# ~alp d~p/dz   Phi_p_sgs,z
  -0.5568093E+001   0.1448171E+001
  -0.5759957E+001   0.7479534E+000
  -0.7833075E+001   0.4991230E+000
  -0.1070891E+002   0.1124877E+001
  -0.1241101E+002   0.1340270E+001
  -0.1261835E+002   0.1118143E+001
  -0.1093720E+002   0.9026500E+000
  -0.9416214E+001   0.1650233E+001
  -0.8964815E+001   0.3647298E+001
  -0.1032625E+002   0.9465652E+001
  -0.1583484E+002   0.1266383E+002
  -0.2054206E+002   0.1093189E+002
  -0.2074202E+002   0.1007919E+002
  -0.1866316E+002   0.1403634E+002
  -0.1788636E+002   0.4753160E+002
  -0.1594888E+002   0.1031381E+003
  -0.8992554E+001   0.1538974E+003
  -0.3244931E+001   0.1797501E+003
  -0.1047270E+002   0.1513805E+003
  -0.1535708E+002   0.1102530E+003
  -0.2154653E+002   0.5743734E+002
  -0.2156266E+002   0.1517573E+002
  -0.1182702E+002   0.5558314E+001
  -0.8528677E+001   0.4185322E+001
  -0.6888711E+001   0.3969308E+001
  -0.6753611E+001   0.5653150E+001
  -0.4767544E+001   0.5671992E+001
  -0.2592450E+001   0.4602874E+001
  -0.1391227E+001   0.4062811E+001
  -0.1837259E+001   0.3726320E+001
  -0.2710029E+001   0.2814639E+001
  -0.3160670E+001   0.1878195E+001
  -0.3654780E+001   0.1292656E+001
  -0.4071148E+001   0.1210834E+001
  -0.4115067E+001   0.1127015E+001
  -0.4065433E+001   0.1161255E+001
  -0.4032011E+001   0.1323567E+001
  -0.4216841E+001   0.1662079E+001
  -0.4079846E+001   0.1417350E+001
  -0.4723861E+001   0.1403426E+001
  -0.4369453E+001   0.4104794E+000
  -0.5033947E+001   0.3562472E+000
  -0.7426138E+001   0.5332910E+000
  -0.9318329E+001   0.1079598E+001
  -0.9584357E+001   0.1127463E+001
  -0.8701015E+001   0.4389724E+000
  -0.7273780E+001   0.2061361E+001
  -0.6328501E+001   0.9059065E+001
  -0.5680212E+001   0.1556722E+002
  -0.7139931E+001   0.2487657E+002
  -0.1396709E+002   0.3047399E+002
  -0.2000937E+002   0.2717914E+002
  -0.2097828E+002   0.2082298E+002
  -0.1791355E+002   0.1372730E+002
  -0.1459150E+002   0.2764921E+002
  -0.1403084E+002   0.6310307E+002
  -0.1137303E+002   0.9269837E+002
  -0.7186350E+001   0.1076469E+003
  -0.1086085E+002   0.8874117E+002
  -0.1433037E+002   0.6261227E+002
  -0.1851413E+002   0.3301282E+002
  -0.2091970E+002   0.1107819E+002
