#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.2320207E-001   0.5339008E-003   0.4681142E-001   0.3505060E-001   0.9505254E+000   0.1952376E-001
   0.2108587E-001   0.2923876E-003   0.3501919E-001  -0.1385646E-001   0.1017080E+001   0.1817278E-001
   0.2687866E-001   0.5567970E-003   0.5123065E-001  -0.4410733E-001   0.8333937E+000   0.1158467E-001
   0.3766263E-001   0.1338775E-002   0.7794459E-001  -0.1905800E-001   0.6018199E+000   0.7280550E-002
   0.4908072E-001   0.2022606E-002   0.8016858E-001   0.1368018E-003   0.4865876E+000   0.5136448E-002
   0.5925198E-001   0.2509384E-002   0.7128751E-001   0.1592319E-001   0.4608721E+000   0.4417589E-002
   0.5864522E-001   0.2573008E-002   0.6362071E-001   0.3574181E-001   0.4465624E+000   0.4958368E-002
   0.5420985E-001   0.2481867E-002   0.2082936E-001   0.4412155E-001   0.4370757E+000   0.5698148E-002
   0.5188787E-001   0.2582597E-002  -0.4051325E-001   0.4848904E-001   0.3875653E+000   0.5945309E-002
   0.5337161E-001   0.3639977E-002  -0.9055467E-001   0.5408121E-001   0.2718743E+000   0.5821570E-002
   0.6484190E-001   0.5612947E-002  -0.1099857E+000   0.3663619E-001   0.1624850E+000   0.5460710E-002
   0.6970507E-001   0.6111337E-002  -0.1103735E+000   0.3292087E-001   0.1258316E+000   0.5640788E-002
   0.6134446E-001   0.5878539E-002  -0.1082525E+000   0.3358580E-001   0.1382060E+000   0.6885207E-002
   0.5240732E-001   0.5229038E-002  -0.1377880E+000   0.3456965E-001   0.1453577E+000   0.1422949E-001
   0.5647930E-001   0.9241030E-002  -0.2341732E+000   0.3989966E-001  -0.2410703E+000   0.2411118E-001
   0.7223194E-001   0.1711386E-001  -0.2453382E+000   0.3960316E-001  -0.7126076E+000   0.2287774E-001
   0.9604555E-001   0.2149964E-001  -0.1851658E+000   0.4442089E-001  -0.8188038E+000   0.1907252E-001
   0.1220526E+000   0.2226733E-001  -0.1350139E+000   0.5293602E-001  -0.7484069E+000   0.1480055E-001
   0.1278192E+000   0.1992153E-001  -0.8528749E-001   0.5887134E-001  -0.6541048E+000   0.1004099E-001
   0.1044214E+000   0.1368988E-001  -0.4374593E-001   0.7223301E-001  -0.4749908E+000   0.9820172E-002
