 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
  -0.9827963E+002  -0.8622635E+002
  -0.3873235E+003  -0.3642438E+003
  -0.1187389E+001   0.1139132E+001
  -0.2788010E+003  -0.2715275E+003
  -0.3756306E+003  -0.3818905E+003
  -0.1541225E+003  -0.1541682E+003
  -0.2122675E+002  -0.1976969E+002
  -0.1898293E+003  -0.1808907E+003
  -0.6858074E+002  -0.6878687E+002
  -0.3220355E+003  -0.3246274E+003
  -0.2994562E+003  -0.3171535E+003
  -0.1989592E+003  -0.2015237E+003
  -0.3254251E+003  -0.3223996E+003
  -0.8159266E+003  -0.8616680E+003
  -0.1132474E+004  -0.1468420E+004
   0.5047585E+003   0.2659076E+003
   0.1372836E+004   0.7332066E+003
   0.5425095E+003   0.4049469E+003
   0.1887035E+003   0.1996161E+003
   0.9336300E+001   0.1096707E+002
  -0.6386865E+002  -0.6389482E+002
  -0.1303454E+003  -0.1301582E+003
  -0.1680529E+003  -0.1688856E+003
  -0.2083126E+003  -0.2153715E+003
  -0.1862820E+003  -0.1952204E+003
  -0.1702020E+003  -0.1707038E+003
  -0.1772930E+003  -0.1796653E+003
  -0.6121408E+002  -0.6021300E+002
  -0.9432934E+002  -0.9312115E+002
  -0.8730193E+002  -0.8274223E+002
  -0.1116696E+002  -0.1057669E+002
  -0.3755789E+002  -0.3817995E+002
  -0.9137988E+001  -0.1339065E+002
   0.1312337E+002   0.1228201E+002
   0.5575737E+002   0.5690061E+002
   0.1384972E+003   0.1454577E+003
   0.9813004E+002   0.1061414E+003
   0.6521356E+002   0.6474887E+002
   0.6019322E+002   0.6071374E+002
   0.8810238E+002   0.9333394E+002
   0.2329973E+002   0.2645971E+002
  -0.4483151E+003  -0.4107609E+003
  -0.2595863E+003  -0.2480049E+003
  -0.2978365E+003  -0.3111493E+003
  -0.1456908E+003  -0.1480290E+003
   0.5277291E+002   0.5858426E+002
   0.2406880E+002   0.2658263E+002
  -0.9948300E+002  -0.1049639E+003
  -0.2881948E+003  -0.2959723E+003
  -0.2564425E+003  -0.2560592E+003
  -0.3110156E+003  -0.3270320E+003
  -0.2890790E+003  -0.2928894E+003
  -0.6160884E+003  -0.6258027E+003
  -0.1024086E+004  -0.1077827E+004
  -0.1179554E+004  -0.1479578E+004
  -0.5645034E+003  -0.7085338E+003
   0.1348133E+004   0.1214539E+004
   0.1484415E+004   0.1233654E+004
   0.8231350E+003   0.7344766E+003
   0.2727664E+003   0.2473083E+003
  -0.5304224E+002  -0.5290738E+002
  -0.1360917E+003  -0.1375041E+003
  -0.2034375E+003  -0.2040760E+003
  -0.2367031E+003  -0.2409169E+003
  -0.1247938E+003  -0.1297110E+003
  -0.1773855E+003  -0.1771081E+003
  -0.1957226E+003  -0.1959797E+003
  -0.5890544E+002  -0.5703862E+002
  -0.1221603E+003  -0.1272168E+003
  -0.2988272E+003  -0.3051965E+003
   0.8278708E+002   0.7714340E+002
   0.3202297E+002   0.3186576E+002
   0.1279030E+003   0.1431823E+003
   0.6098351E+002   0.6131854E+002
   0.7972189E+002   0.7984211E+002
   0.1034559E+003   0.1054866E+003
   0.1161445E+003   0.1177981E+003
   0.3006728E+002   0.3359104E+002
   0.3244157E+002   0.3235731E+002
   0.5158584E+002   0.5473496E+002
   0.1301270E+003   0.1399012E+003
  -0.2822941E+003  -0.2881400E+003
  -0.2208104E+003  -0.2226697E+003
  -0.1625965E+003  -0.1630359E+003
  -0.1353909E+003  -0.1349512E+003
  -0.2730299E+002  -0.2704753E+002
  -0.4685894E+002  -0.4659770E+002
  -0.4333542E+001  -0.5692252E+001
  -0.3233529E+003  -0.3183366E+003
  -0.2225896E+003  -0.2250170E+003
  -0.1841824E+003  -0.1936875E+003
  -0.5893701E+002  -0.4792847E+002
  -0.1812075E+003  -0.1608831E+003
  -0.1167152E+004  -0.1077603E+004
  -0.8170955E+003  -0.9620931E+003
  -0.2610568E+003  -0.3279996E+003
   0.1058430E+004   0.1020650E+004
   0.6926072E+003   0.5726916E+003
   0.7397242E+003   0.7085661E+003
   0.1214680E+004   0.1101793E+004
   0.3318341E+003   0.2833617E+003
   0.5344609E+002   0.4604447E+002
  -0.8848662E+002  -0.8903205E+002
  -0.2467477E+003  -0.2476007E+003
  -0.2440000E+003  -0.2615741E+003
  -0.2311951E+003  -0.2582591E+003
  -0.3714501E+002  -0.2967514E+002
   0.1019404E+003   0.1221148E+003
  -0.1760520E+003  -0.1588855E+003
  -0.3189061E+003  -0.3329209E+003
   0.2129489E+003   0.2095491E+003
   0.1386143E+003   0.1397966E+003
   0.4645295E+003   0.4753115E+003
   0.1666743E+003   0.1948068E+003
   0.8320860E+002   0.8453632E+002
   0.7636237E+002   0.7663379E+002
   0.7347530E+002   0.7742431E+002
   0.6924690E+002   0.7393233E+002
  -0.2864095E+001  -0.3078731E+001
   0.3185158E+002   0.3822150E+002
   0.2084093E+003   0.1963728E+003
  -0.3686876E+002  -0.4510319E+002
  -0.1921780E+003  -0.2039681E+003
  -0.1956114E+003  -0.2012575E+003
  -0.3043168E+003  -0.3166166E+003
  -0.2653585E+003  -0.2688670E+003
  -0.1195337E+003  -0.1196840E+003
   0.1180245E+002   0.1242719E+002
  -0.2086659E+003  -0.1986041E+003
  -0.2786686E+003  -0.2868904E+003
  -0.5180307E+002  -0.5331457E+002
   0.1620924E+003   0.1737102E+003
  -0.7769153E+002  -0.6641815E+002
  -0.1121745E+004  -0.9315425E+003
  -0.7454676E+003  -0.7513554E+003
   0.2597371E+003   0.1129885E+003
   0.3071699E+003   0.1942467E+003
   0.1518684E+003   0.2198124E+003
   0.2406246E+003   0.2421001E+003
   0.1021497E+004   0.9390235E+003
   0.1000264E+004   0.9573959E+003
   0.2976222E+003   0.2959746E+003
   0.1369615E+003   0.1365202E+003
  -0.9895277E+002  -0.1004130E+003
   0.4442084E+002  -0.7027965E+001
   0.1073388E+003   0.8839685E+002
   0.1069262E+003   0.1084376E+003
   0.1725435E+003   0.1741609E+003
  -0.9582488E+002  -0.8729327E+002
  -0.5276946E+003  -0.5226007E+003
  -0.3805485E+002  -0.3244616E+002
   0.1246025E+003   0.1192960E+003
   0.5319889E+003   0.5356904E+003
   0.5751568E+003   0.5800846E+003
   0.5136151E+002   0.5248175E+002
   0.1043017E+002   0.1129014E+002
  -0.3504948E+001  -0.1612506E+001
   0.4026681E+002   0.4775157E+002
   0.1867029E+002   0.1341101E+002
   0.2637858E+002   0.2314595E+002
   0.2762817E+003   0.2900816E+003
   0.5473128E+002   0.4124035E+002
  -0.1535106E+003  -0.1545454E+003
  -0.1741975E+003  -0.1782214E+003
