 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.3810775E+003   0.3811955E+003
   0.3428182E+003   0.3490008E+003
   0.3046761E+003   0.3071218E+003
   0.2720757E+003   0.2730382E+003
   0.2747007E+003   0.2764135E+003
   0.3397772E+003   0.3402239E+003
   0.4410592E+003   0.4350495E+003
   0.6557300E+003   0.6510023E+003
   0.8603423E+003   0.8980171E+003
   0.9941450E+003   0.9907164E+003
   0.1020436E+004   0.1000559E+004
   0.8672829E+003   0.8526537E+003
   0.6905280E+003   0.6957720E+003
   0.6454743E+003   0.6519572E+003
   0.6620420E+003   0.6641756E+003
   0.7275160E+003   0.7217084E+003
   0.6713149E+003   0.6628624E+003
   0.5462887E+003   0.5488214E+003
   0.5117898E+003   0.5133867E+003
   0.5468747E+003   0.5472783E+003
   0.5870982E+003   0.5858496E+003
   0.6360619E+003   0.6325888E+003
   0.6865257E+003   0.6841817E+003
   0.6771613E+003   0.6572326E+003
   0.5603306E+003   0.5311987E+003
   0.4936855E+003   0.4821002E+003
   0.5225419E+003   0.5219606E+003
   0.5400052E+003   0.5485280E+003
   0.5576767E+003   0.5493512E+003
   0.6575639E+003   0.6444158E+003
   0.7240585E+003   0.7366855E+003
   0.7248280E+003   0.7458847E+003
   0.6897963E+003   0.7260781E+003
   0.6387906E+003   0.6470079E+003
   0.5532168E+003   0.5561549E+003
   0.4780868E+003   0.4806572E+003
   0.4681391E+003   0.4721122E+003
   0.5171858E+003   0.5207891E+003
   0.5011284E+003   0.5004163E+003
   0.4348342E+003   0.4314130E+003
   0.4131347E+003   0.4293652E+003
   0.4043958E+003   0.4231207E+003
   0.4078224E+003   0.4135148E+003
   0.4164264E+003   0.4117345E+003
   0.4300491E+003   0.4244131E+003
   0.4773164E+003   0.4741790E+003
   0.5453902E+003   0.5415006E+003
   0.7347946E+003   0.7250399E+003
   0.9473122E+003   0.9593123E+003
   0.1048916E+004   0.1073215E+004
   0.1044905E+004   0.1022936E+004
   0.8989724E+003   0.8901104E+003
   0.7138881E+003   0.7137517E+003
   0.6418568E+003   0.6476867E+003
   0.6194869E+003   0.6269795E+003
   0.6347104E+003   0.6334441E+003
   0.5492397E+003   0.5483301E+003
   0.4733689E+003   0.4770918E+003
   0.5060004E+003   0.5061665E+003
   0.5682788E+003   0.5669057E+003
