 # filt(alp*rho*Vry/tfpF)    filt(alp*rho*Vry)/filt(tfpF)
  -0.5924897E+002  -0.5961793E+002
  -0.2219737E+002  -0.2142430E+002
   0.9784652E+002   0.9639154E+002
   0.1148031E+003   0.1182405E+003
   0.1019985E+003   0.1022687E+003
   0.8961342E+001   0.9280812E+001
  -0.1227039E+002  -0.1212906E+002
  -0.5479057E+002  -0.5474953E+002
  -0.5786945E+002  -0.5783509E+002
  -0.5782983E+002  -0.5787851E+002
  -0.4250699E+002  -0.4281741E+002
  -0.8350961E+001  -0.8488402E+001
   0.2142330E+001   0.2117418E+001
   0.2293411E+002   0.2284047E+002
   0.6754919E+002   0.6776412E+002
   0.7837903E+002   0.7866746E+002
   0.8301456E+002   0.8369943E+002
   0.2404089E+003   0.2461811E+003
   0.5505000E+003   0.5451190E+003
   0.1875028E+003   0.1875244E+003
   0.3753196E+003   0.3790499E+003
   0.2562862E+003   0.2555842E+003
   0.3613509E+003   0.3621065E+003
   0.2635720E+003   0.2643562E+003
   0.1839205E+003   0.1837772E+003
   0.1411728E+003   0.1411682E+003
   0.6407297E+002   0.6399813E+002
   0.1516232E+002   0.1518717E+002
  -0.3275752E+002  -0.3280033E+002
  -0.1949102E+003  -0.1946564E+003
  -0.4367663E+003  -0.4376092E+003
  -0.5556454E+003  -0.5549734E+003
  -0.4356796E+003  -0.4395719E+003
  -0.2536930E+003  -0.2545424E+003
  -0.2345139E+003  -0.2346300E+003
  -0.1956882E+003  -0.1954963E+003
  -0.1312920E+003  -0.1323373E+003
  -0.1065971E+003  -0.1089380E+003
  -0.1690746E+003  -0.1688668E+003
  -0.1391513E+003  -0.1404361E+003
  -0.3741827E+002  -0.3733968E+002
   0.1265301E+002   0.1395957E+002
   0.1181502E+003   0.1166421E+003
   0.4189224E+002   0.4345616E+002
  -0.1727621E+002  -0.1677028E+002
  -0.5014076E+002  -0.5004940E+002
  -0.6167851E+002  -0.6165069E+002
  -0.6263364E+002  -0.6263566E+002
  -0.6284338E+002  -0.6312218E+002
  -0.8305664E+002  -0.8346963E+002
  -0.6954557E+002  -0.7010097E+002
  -0.1658266E+002  -0.1693176E+002
   0.1134341E+002   0.1143877E+002
   0.1801438E+002   0.1798713E+002
   0.5824315E+002   0.5811839E+002
   0.8825728E+002   0.8849766E+002
   0.8220330E+002   0.8283907E+002
   0.1312903E+003   0.1345019E+003
   0.3243016E+003   0.3214893E+003
   0.1128622E+004   0.1095654E+004
   0.6891607E+003   0.6653933E+003
   0.3180184E+003   0.3238375E+003
   0.2347146E+003   0.2343901E+003
   0.2387599E+003   0.2401457E+003
   0.1647831E+003   0.1652436E+003
   0.6317850E+002   0.6265940E+002
  -0.3305953E+002  -0.3360193E+002
  -0.1499094E+003  -0.1498611E+003
  -0.1756944E+003  -0.1755744E+003
  -0.2392767E+003  -0.2401748E+003
  -0.2438914E+003  -0.2458558E+003
  -0.2485370E+003  -0.2527896E+003
  -0.1833624E+003  -0.1847929E+003
  -0.1419265E+003  -0.1420025E+003
  -0.1383939E+003  -0.1384293E+003
  -0.1421794E+003  -0.1423022E+003
  -0.1347835E+003  -0.1381197E+003
  -0.3285656E+003  -0.3383014E+003
  -0.1984112E+003  -0.2035540E+003
  -0.9625582E+002  -0.9669983E+002
  -0.6456275E+002  -0.6432782E+002
  -0.3766100E+002  -0.3713849E+002
  -0.1511365E+003  -0.1522501E+003
  -0.1609965E+003  -0.1616684E+003
  -0.1319451E+003  -0.1320034E+003
  -0.1121226E+003  -0.1121381E+003
  -0.9710003E+002  -0.9718890E+002
  -0.9475967E+002  -0.9558439E+002
  -0.1451719E+003  -0.1465075E+003
  -0.1862775E+003  -0.1870065E+003
  -0.1144316E+003  -0.1149984E+003
  -0.2898790E+002  -0.2943484E+002
   0.2886057E+002   0.2884417E+002
   0.4289187E+002   0.4321858E+002
   0.5667647E+002   0.5657898E+002
   0.8090390E+002   0.8090684E+002
   0.8054108E+002   0.8083781E+002
   0.7797664E+002   0.7900208E+002
   0.4742937E+002   0.4863775E+002
   0.7541883E+002   0.7939265E+002
   0.5456519E+003   0.5031859E+003
   0.9279230E+003   0.9181926E+003
   0.2786698E+003   0.2827501E+003
   0.2078837E+003   0.2078541E+003
   0.1489691E+003   0.1489511E+003
  -0.4287697E+002  -0.4302399E+002
  -0.3820012E+002  -0.3770467E+002
  -0.2234121E+002  -0.2234313E+002
  -0.3439176E+001  -0.2187250E+001
   0.9650010E+002   0.9579136E+002
   0.6783997E+002   0.6786276E+002
   0.4726792E+002   0.5623812E+002
  -0.2819158E+002  -0.2393934E+002
  -0.8974864E+002  -0.8991263E+002
  -0.3260305E+002  -0.3255233E+002
  -0.8506170E+002  -0.8758702E+002
  -0.2810849E+003  -0.2823446E+003
  -0.1562361E+003  -0.1599715E+003
  -0.1210893E+003  -0.1211795E+003
  -0.9687571E+002  -0.9683790E+002
  -0.1773837E+003  -0.1784835E+003
  -0.1912397E+003  -0.1915578E+003
  -0.2311735E+003  -0.2315765E+003
  -0.2335040E+003  -0.2338318E+003
  -0.1965550E+003  -0.1967530E+003
  -0.1822449E+003  -0.1830795E+003
  -0.2095421E+003  -0.2113828E+003
  -0.3588288E+003  -0.3588808E+003
  -0.4935862E+003  -0.4926358E+003
  -0.3197846E+003  -0.3200069E+003
  -0.1520092E+003  -0.1520861E+003
  -0.5062234E+002  -0.5069902E+002
   0.3494560E+002   0.3467796E+002
   0.7741767E+002   0.7768837E+002
   0.7076808E+002   0.7092766E+002
   0.7470002E+002   0.7466054E+002
   0.7189567E+002   0.7188736E+002
   0.7424423E+002   0.7440772E+002
   0.6817062E+002   0.6831299E+002
   0.3979145E+002   0.3943474E+002
   0.4281822E+002   0.4357402E+002
   0.3593791E+003   0.3465469E+003
   0.6252126E+003   0.6255239E+003
   0.1841575E+003   0.1842360E+003
   0.1763551E+003   0.1721365E+003
   0.1526480E+003   0.1546741E+003
  -0.3156499E+002  -0.3030509E+002
  -0.2957385E+002  -0.3011201E+002
   0.9363987E+002   0.9388515E+002
   0.3894321E+003   0.3871618E+003
   0.8175626E+003   0.8391039E+003
   0.1035433E+004   0.1031147E+004
   0.5553999E+003   0.5569380E+003
   0.3124119E+003   0.3118155E+003
  -0.5470325E+002  -0.6149837E+002
  -0.2271563E+003  -0.2573546E+003
  -0.1214833E+003  -0.1429825E+003
  -0.1104248E+003  -0.1116064E+003
  -0.1795484E+003  -0.1807875E+003
  -0.1845308E+003  -0.1860432E+003
  -0.7509565E+003  -0.7521145E+003
  -0.8308215E+003  -0.8298991E+003
  -0.7178600E+003  -0.7172010E+003
  -0.6049018E+003  -0.6055497E+003
  -0.5796234E+003  -0.5802488E+003
  -0.6712285E+003  -0.6694623E+003
  -0.9500660E+003  -0.9424323E+003
  -0.9094298E+003  -0.9082949E+003
  -0.4657630E+003  -0.4715741E+003
  -0.2363106E+003  -0.2395446E+003
