 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.1289155E+004   0.1289556E+004
   0.1363754E+004   0.1387826E+004
   0.1644180E+004   0.1727007E+004
   0.1574672E+004   0.1652573E+004
   0.1163426E+004   0.1219757E+004
   0.8836065E+003   0.8763683E+003
   0.8973538E+003   0.9967964E+003
   0.1412523E+004   0.1400228E+004
   0.1299995E+004   0.1328445E+004
   0.1222629E+004   0.1290387E+004
   0.1085899E+004   0.1204486E+004
   0.9604627E+003   0.9835232E+003
   0.8132038E+003   0.8337724E+003
   0.7764151E+003   0.8011226E+003
   0.8622662E+003   0.8961221E+003
   0.1103736E+004   0.1116309E+004
   0.1289745E+004   0.1327941E+004
   0.1237466E+004   0.1290859E+004
   0.8975587E+003   0.9052321E+003
   0.7902133E+003   0.7900751E+003
   0.1122698E+004   0.1134153E+004
   0.1435120E+004   0.1478698E+004
   0.1245045E+004   0.1245190E+004
   0.1065854E+004   0.1069014E+004
   0.1170480E+004   0.1184833E+004
   0.9845297E+003   0.1054306E+004
   0.1164298E+004   0.1293912E+004
   0.9742032E+003   0.1168439E+004
   0.6786768E+003   0.6771402E+003
   0.6248985E+003   0.5918565E+003
   0.5084749E+003   0.5141446E+003
   0.4699310E+003   0.4551433E+003
   0.1844812E+004   0.1716851E+004
   0.1805858E+004   0.1977079E+004
   0.9788255E+003   0.9985190E+003
   0.6346856E+003   0.6326563E+003
   0.5882698E+003   0.5861170E+003
   0.8266127E+003   0.8369441E+003
   0.1082481E+004   0.1163124E+004
   0.1267147E+004   0.1271883E+004
   0.1325461E+004   0.1345227E+004
   0.1261958E+004   0.1287940E+004
   0.1297114E+004   0.1308854E+004
   0.1535784E+004   0.1548377E+004
   0.1340194E+004   0.1357482E+004
   0.1170245E+004   0.1142601E+004
   0.1130190E+004   0.1274360E+004
   0.1300457E+004   0.1347373E+004
   0.1205729E+004   0.1240248E+004
   0.1426930E+004   0.1434165E+004
   0.1460035E+004   0.1466055E+004
   0.1062631E+004   0.1100647E+004
   0.1008924E+004   0.1021136E+004
   0.1031112E+004   0.1053301E+004
   0.1133538E+004   0.1181982E+004
   0.1184274E+004   0.1223424E+004
   0.1094704E+004   0.1099678E+004
   0.9994621E+003   0.1002561E+004
   0.9022196E+003   0.9016174E+003
   0.9088516E+003   0.9107221E+003
   0.1050307E+004   0.1050464E+004
   0.1933980E+004   0.2164459E+004
   0.2408373E+004   0.2651668E+004
   0.1900365E+004   0.1942685E+004
   0.1569787E+004   0.1558850E+004
   0.8766774E+003   0.8831436E+003
