 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.1260329E+004   0.1260329E+004
   0.1181030E+004   0.1181030E+004
   0.1641633E+004   0.1641633E+004
   0.1407183E+004   0.1407183E+004
   0.1006188E+004   0.1006188E+004
   0.8176579E+003   0.8176579E+003
   0.7423754E+003   0.7423754E+003
   0.1429650E+004   0.1429650E+004
   0.1168470E+004   0.1168470E+004
   0.1222785E+004   0.1222785E+004
   0.1026291E+004   0.1026291E+004
   0.9725765E+003   0.9725765E+003
   0.7573930E+003   0.7573930E+003
   0.6918806E+003   0.6918806E+003
   0.7233964E+003   0.7233964E+003
   0.1024213E+004   0.1024213E+004
   0.1489969E+004   0.1489969E+004
   0.1419367E+004   0.1419367E+004
   0.8848318E+003   0.8848318E+003
   0.7311844E+003   0.7311844E+003
   0.1069590E+004   0.1069590E+004
   0.1344029E+004   0.1344029E+004
   0.1026244E+004   0.1026244E+004
   0.9212452E+003   0.9212452E+003
   0.1352207E+004   0.1352207E+004
   0.9600601E+003   0.9600601E+003
   0.1359200E+004   0.1359200E+004
   0.1115265E+004   0.1115265E+004
   0.5832097E+003   0.5832097E+003
   0.3924615E+003   0.3924615E+003
   0.2409480E+003   0.2409480E+003
   0.2033894E+003   0.2033894E+003
   0.2579436E+004   0.2579436E+004
   0.1685413E+004   0.1685413E+004
   0.7527657E+003   0.7527657E+003
   0.5902922E+003   0.5902922E+003
   0.5554069E+003   0.5554069E+003
   0.8113306E+003   0.8113306E+003
   0.1041094E+004   0.1041094E+004
   0.1286558E+004   0.1286558E+004
   0.1314611E+004   0.1314611E+004
   0.1231392E+004   0.1231392E+004
   0.1026572E+004   0.1026572E+004
   0.1429744E+004   0.1429744E+004
   0.1011439E+004   0.1011439E+004
   0.1363477E+004   0.1363477E+004
   0.1145712E+004   0.1145712E+004
   0.1453281E+004   0.1453281E+004
   0.1202816E+004   0.1202816E+004
   0.1449312E+004   0.1449312E+004
   0.1489822E+004   0.1489822E+004
   0.9888055E+003   0.9888055E+003
   0.1140906E+004   0.1140906E+004
   0.1074213E+004   0.1074213E+004
   0.1168865E+004   0.1168865E+004
   0.1099426E+004   0.1099426E+004
   0.9769063E+003   0.9769063E+003
   0.9339641E+003   0.9339641E+003
   0.8409640E+003   0.8409640E+003
   0.9078404E+003   0.9078404E+003
   0.9301684E+003   0.9301684E+003
   0.1900529E+004   0.1900529E+004
   0.3526188E+004   0.3526188E+004
   0.2212440E+004   0.2212440E+004
   0.1636685E+004   0.1636685E+004
   0.7661451E+003   0.7661451E+003
   0.6726219E+003   0.6726219E+003
   0.3315830E+003   0.3315830E+003
   0.5664464E+003   0.5664464E+003
   0.3705082E+003   0.3705082E+003
   0.2678377E+003   0.2678377E+003
   0.2749609E+003   0.2749609E+003
   0.5987371E+003   0.5987371E+003
   0.1384599E+004   0.1384599E+004
   0.1708900E+004   0.1708900E+004
   0.9787271E+003   0.9787271E+003
   0.6626229E+003   0.6626229E+003
   0.1220718E+004   0.1220718E+004
   0.1262233E+004   0.1262233E+004
   0.1251150E+004   0.1251150E+004
   0.1526500E+004   0.1526500E+004
   0.1006498E+004   0.1006498E+004
   0.1246481E+004   0.1246481E+004
