#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.3022486E+002   0.1150314E+002  -0.1931101E+002   0.3042058E+002   0.1154344E+002   0.1744712E+002  -0.1947008E+002  -0.3728833E+002   0.2135692E+002   0.2675502E+001   0.3328147E+004
  -0.2826175E+002   0.2052256E+002  -0.1082254E+002  -0.4693144E+002   0.1440899E+002   0.1644657E+001  -0.7252179E+002  -0.9399034E+001   0.1596380E+002   0.2111042E+001   0.5111622E+004
   0.9454005E+000   0.6669389E+001  -0.5902277E+001  -0.4055629E+002   0.9593471E+001  -0.5818766E+001  -0.6215777E+002   0.4319716E+002   0.1281462E+002   0.2335349E+002   0.3664166E+004
   0.1184382E+002   0.6246005E+001  -0.2867514E+001  -0.3045799E+002  -0.1378558E+002  -0.7692678E+001  -0.5651215E+002   0.2330830E+002   0.1068523E+002   0.8743472E+001   0.2597016E+004
  -0.1042256E+002   0.7701568E+001  -0.7601861E+001   0.1529016E+002  -0.2329299E+002   0.5963012E+001   0.3187194E+002   0.1788635E+002   0.3372597E+002   0.1041806E-001   0.2631858E+004
  -0.1959503E+002  -0.1182231E+001  -0.4863178E+001   0.4469353E+002  -0.1528028E+002   0.1929898E+002  -0.7831098E+001  -0.6833923E+001   0.3703455E+002   0.2159242E+001   0.3092334E+004
  -0.1979256E+002   0.1053510E+001  -0.5970266E+000   0.1628698E+002  -0.1081808E+002   0.1726756E+002  -0.3201801E+002  -0.2798326E+002   0.3921099E+002   0.8600354E+001   0.2761252E+004
   0.2796292E+001   0.4413120E+001   0.4577321E+001  -0.2091301E+001  -0.3884096E+001   0.1023211E+002  -0.2686096E+002  -0.2621817E+002   0.2177872E+002   0.2069092E+002   0.7332663E+003
   0.1796153E+002   0.3125040E+001   0.9493288E+000  -0.1200618E+001   0.1786454E+000   0.5152549E+001  -0.5258990E+001  -0.3478172E+002   0.1175943E+002   0.2989961E+002   0.6130195E+003
   0.5582920E+002   0.2104725E+002   0.1102015E+002  -0.3843587E+001  -0.3220631E+001   0.4157589E+001  -0.1268652E+003  -0.1284148E+003  -0.1786150E+002   0.3474707E+002   0.1762180E+005
   0.3734428E+002   0.1104281E+002   0.8200411E+001  -0.9883190E+001  -0.5191111E+001   0.1236585E+001  -0.1015165E+003  -0.1125376E+003  -0.4565119E+001   0.2758805E+002   0.1173726E+005
   0.9377606E+001   0.2549153E+001   0.5033265E+001  -0.1308290E+002   0.5027497E+001   0.4505142E+001  -0.2566528E+002  -0.8711161E+002   0.1850303E+001   0.1625541E+002   0.3708793E+004
   0.6505026E+001  -0.8684334E+000   0.9944122E-001  -0.1099862E+002   0.1394621E+002   0.3673135E+001   0.5608993E+002  -0.4920309E+002  -0.1042308E+002   0.1002816E+002   0.2997456E+004
  -0.1815581E+001   0.1105544E+001  -0.3843850E+001  -0.3949802E+001   0.2608677E+002   0.3072266E+001   0.8394551E+002  -0.3846412E+002  -0.5824938E+001   0.1844625E+002   0.4442799E+004
  -0.1498352E+002   0.1707377E+002  -0.4020627E+001   0.8338388E+001   0.1990176E+002   0.5864018E+000   0.8931247E+002  -0.2895295E+002  -0.1390287E+002  -0.8984629E+001   0.5149537E+004
  -0.3992011E+002   0.4493567E+002   0.3434661E+001   0.2641154E+002   0.5974227E+000  -0.3324961E+001   0.1304164E+003   0.4591567E+002  -0.5644133E+001  -0.4496682E+002   0.1336207E+005
  -0.1036415E+002   0.2063004E+002  -0.4372204E+001   0.1391475E+002  -0.1208521E+002   0.2201694E+001   0.1045405E+003   0.2496651E+003   0.3411834E+002   0.1166898E+002   0.3870408E+005
  -0.1981262E+000   0.5941702E+001  -0.4639374E+001   0.1599864E+002   0.9925336E+001   0.7962147E+001   0.3351170E+003   0.2967160E+003  -0.2018142E+002  -0.1045421E+002   0.1017322E+006
  -0.2750092E+001   0.3790961E+001  -0.7104606E+001  -0.8318130E+000   0.1979420E+002   0.9382928E+001   0.8056843E+000   0.1747066E+003  -0.5625334E+002  -0.3920923E+002   0.2002004E+005
   0.3471241E+001   0.2428877E+001  -0.1476416E+002  -0.4912878E+001   0.2649869E+002   0.6055395E+001  -0.2071202E+001   0.1301169E+003  -0.5819008E+002  -0.2822015E+002   0.1325110E+005
  -0.9046937E+001  -0.2433355E+001  -0.2350850E+002  -0.1080203E+002   0.2963725E+002   0.5326487E+001  -0.5779501E+002   0.6914514E+002  -0.3939466E+002  -0.1880435E+002   0.8560015E+004
  -0.5587585E+002  -0.6560972E+001  -0.3726869E+002  -0.3204576E+002   0.3168300E+002   0.3450899E+001   0.1117398E+003   0.3207758E+002  -0.1473397E+002  -0.3892681E+002   0.7987261E+004
   0.1512623E+002   0.1648163E+002   0.1653567E+001   0.3998917E+002   0.4039476E+002   0.3190758E+002  -0.6137984E+002  -0.7073851E+002  -0.1139786E+003  -0.5845766E+002   0.1784458E+005
   0.1392825E+002   0.8588504E+001   0.1730260E+002   0.1435083E+002   0.2142041E+002   0.1077428E+002  -0.8750283E+002  -0.3730222E+002  -0.8535493E+002  -0.5000627E+002   0.1018376E+005
   0.3251555E+001  -0.4578888E+000   0.3291659E+001   0.4639811E+001   0.1199507E+002   0.1624088E+001  -0.4304901E+002  -0.2524851E+002  -0.2629272E+002  -0.1104609E+002   0.1883214E+004
  -0.3979038E+001  -0.4868012E+001  -0.2493748E+001  -0.2845742E+000   0.9510904E+001  -0.8961087E+000  -0.4314370E+002  -0.3033424E+002  -0.1099578E+002  -0.5463915E+001   0.1759576E+004
   0.9829410E+001  -0.7208820E+001  -0.5282552E+001  -0.5716698E+001   0.7594101E+001  -0.2149343E+001  -0.1011322E+003  -0.4929133E+002  -0.2591369E+002  -0.8490177E+001   0.7870434E+004
   0.1543390E+002  -0.7829999E+001   0.7092095E+001  -0.9748994E+001   0.9746863E+001   0.2428235E+001  -0.3134921E+002  -0.3111755E+002  -0.3326610E+002  -0.8085332E+001   0.2278302E+004
   0.1524335E+002  -0.1614861E+002   0.8329882E+001  -0.2025299E+001   0.1218460E+002   0.3470606E+001  -0.1580430E+002   0.7359321E+001  -0.2907543E+002  -0.1647481E+001   0.1477023E+004
   0.1376078E+002  -0.2304921E+002   0.2203080E+001  -0.2158167E+001   0.1636099E+002   0.7869293E+000   0.2532485E+002   0.3999889E+002  -0.1348943E+002   0.1663235E+002   0.2075135E+004
  -0.8355001E+001  -0.1444519E+002  -0.5634758E+001   0.1560851E+001   0.3173975E+002  -0.3635759E+001   0.5017287E+002   0.1155261E+001   0.1459744E+002   0.3798219E+002   0.1887322E+004
  -0.8591370E+001   0.2678198E+002  -0.1418290E+001  -0.1369771E+002   0.3890520E+002   0.2117089E+001   0.7940449E+002  -0.1349945E+003   0.1115775E+002   0.4147158E+002   0.1309335E+005
   0.3864852E+001   0.5248851E+002  -0.2301686E+001  -0.1253051E+002   0.5257544E+002  -0.7918685E+000   0.5252771E+002  -0.2700634E+003   0.9667830E+001   0.6610812E+002   0.4015675E+005
   0.9250903E+001   0.4830568E+002  -0.2640993E+001  -0.6279142E+000   0.6077835E+002  -0.4243996E+001   0.4894372E+002  -0.3019769E+003  -0.4404695E+001   0.6562456E+002   0.5145763E+005
   0.1436848E+002   0.3507866E+002   0.5535413E+001  -0.1202732E+002   0.6829745E+002  -0.1086178E+002   0.1496902E+002  -0.2735546E+003  -0.4418749E+002   0.3847844E+002   0.4725224E+005
   0.9644664E+001   0.1385341E+002   0.3576958E+001   0.4417095E+001   0.4416923E+002  -0.3397329E+001  -0.1203037E+003  -0.3963522E+002  -0.5178827E+002   0.2025625E+001   0.1262997E+005
   0.1254959E+002   0.1182065E+002  -0.5472177E+001  -0.4426087E+001   0.1823278E+002   0.8527705E+000  -0.5961292E+002   0.3381001E+002  -0.3389929E+001   0.2739244E+002   0.2997431E+004
   0.8160907E+001   0.8889410E+001  -0.1385148E+002   0.4155167E+001   0.4889958E+001   0.8520037E+001  -0.1701676E+002   0.4661932E+001   0.4252020E+001   0.1730288E+002   0.6571821E+003
  -0.7528848E+001   0.6261683E+001  -0.2097181E+002   0.1207093E+002   0.5227351E+001   0.1158466E+002   0.2564097E+001  -0.2912293E+002   0.1303630E+002   0.1073480E+002   0.7068017E+003
  -0.2029856E+002   0.3473320E+001  -0.1877632E+002   0.2157139E+002   0.1767547E+002   0.1270981E+002  -0.6144498E+001  -0.4647173E+002   0.1606098E+002   0.1343789E+002   0.2116293E+004
  -0.1336534E+002   0.2307315E+002  -0.9356751E+001   0.1506179E+002   0.6164068E+001   0.9547888E+001   0.3861266E+000  -0.3426146E+002   0.1343254E+001  -0.5858022E+001   0.1279747E+004
