#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.9767841E+000   0.4329212E-004  -0.9904620E+000   0.3878386E+000   0.3255792E+001   0.1404345E-035
   0.9615861E+000   0.1331128E-002  -0.8844448E+000   0.3912918E+000   0.2250675E+001   0.1426541E-035
   0.9429348E+000   0.2031729E-002  -0.6168127E+000   0.4282343E+000   0.1358761E+001   0.1454758E-035
   0.9320292E+000   0.2710984E-002  -0.2721415E+000   0.4159426E+000   0.1171674E+001   0.1471780E-035
   0.9231925E+000   0.3802406E-002  -0.1704908E+000   0.2488451E+000   0.9821707E+000   0.1485868E-035
   0.8970558E+000   0.6480868E-002  -0.1155152E+000   0.1048589E+000   0.6868328E+000   0.1529160E-035
   0.9121223E+000   0.6717706E-002   0.1350070E+000   0.1750578E+000   0.1937980E+001   0.1503902E-035
   0.9565167E+000   0.1413566E-002   0.4862594E+000   0.1234631E+000   0.3500124E+001   0.1434102E-035
   0.9674748E+000   0.2556332E-003   0.6039352E+000  -0.1427416E+000   0.4404655E+001   0.1417858E-035
   0.9661176E+000   0.8690869E-003   0.5792593E+000  -0.3120202E+000   0.4935732E+001   0.1419850E-035
   0.9685126E+000   0.1137216E-002   0.5728639E+000  -0.1329047E+000   0.5649688E+001   0.1416339E-035
   0.9818168E+000   0.7012636E-003   0.5017291E+000   0.1249661E+000   0.6417808E+001   0.1397147E-035
   0.9913366E+000   0.1996242E-004   0.2754714E+000   0.1261270E+000   0.6572794E+001   0.1383730E-035
   0.9918611E+000   0.1843807E-004   0.4569569E-001   0.1700963E-001   0.6309237E+001   0.1382998E-035
   0.9911201E+000   0.3030875E-004  -0.4835979E-001  -0.3249680E-001   0.6240565E+001   0.1384032E-035
   0.9899468E+000   0.3860080E-004   0.5570692E-002  -0.4818543E-001   0.6284196E+001   0.1385673E-035
   0.9877896E+000   0.5911524E-004   0.2083401E+000  -0.6177028E-001   0.6189363E+001   0.1388699E-035
   0.9861328E+000   0.5886997E-004   0.3782465E+000  -0.8204509E-001   0.5720038E+001   0.1391032E-035
   0.9889302E+000   0.4963630E-004   0.2258899E+000  -0.2410020E+000   0.5699483E+001   0.1387097E-035
   0.9934176E+000   0.4969294E-005  -0.1913907E+000  -0.5544043E+000   0.6540603E+001   0.1380831E-035
   0.9907667E+000   0.2359326E-003  -0.3645413E+000  -0.7192940E+000   0.6835074E+001   0.1384526E-035
   0.9828785E+000   0.6221094E-003   0.2749978E-001  -0.6960069E+000   0.5597614E+001   0.1395638E-035
   0.9790622E+000   0.5749455E-003   0.5614559E+000  -0.6826060E+000   0.4149249E+001   0.1401078E-035
   0.9797448E+000   0.1406710E-003   0.6947500E+000  -0.6822234E+000   0.3384426E+001   0.1400102E-035
   0.9722886E+000   0.3265563E-003   0.6060131E+000  -0.5565369E+000   0.2186553E+001   0.1410838E-035
   0.9247142E+000   0.7831539E-002   0.5769693E+000  -0.4325343E+000   0.3496676E+000   0.1483423E-035
   0.8304537E+000   0.3365825E-001   0.4668436E+000  -0.3120792E+000  -0.7415049E+000   0.1651798E-035
   0.8043324E+000   0.3413750E-001   0.2729226E+000  -0.7792141E-001  -0.1183097E+001   0.1705442E-035
   0.8576264E+000   0.1894513E-001   0.2712078E+000   0.8267380E-001  -0.1085022E+001   0.1599463E-035
   0.9095640E+000   0.1044394E-001   0.3656226E+000   0.8745634E-001  -0.5958129E+000   0.1508131E-035
   0.9413676E+000   0.6215740E-002   0.2317217E+000  -0.4753481E-002  -0.1497475E+000   0.1457180E-035
   0.9345861E+000   0.6039392E-002  -0.9865200E-001   0.4717958E-001  -0.2906979E+000   0.1467754E-035
   0.9139107E+000   0.5659499E-002  -0.7974814E-001   0.4353576E+000  -0.1214520E+000   0.1500959E-035
   0.9353721E+000   0.3514098E-002   0.5783863E+000   0.8334532E+000   0.1222365E+001   0.1466520E-035
   0.9772758E+000   0.9023578E-003   0.9955158E+000   0.8090145E+000   0.2463990E+001   0.1403639E-035
   0.9895970E+000   0.3412878E-004   0.6609381E+000   0.5373020E+000   0.2491484E+001   0.1386162E-035
   0.9844005E+000   0.1732547E-003   0.1070323E+000   0.2851851E+000   0.2048778E+001   0.1393480E-035
   0.9689536E+000   0.4680842E-003  -0.1985414E+000   0.6320841E-001   0.1805438E+001   0.1415694E-035
   0.9669930E+000   0.4607941E-003  -0.5641696E+000   0.7723861E-001   0.2523214E+001   0.1418565E-035
   0.9767423E+000   0.1755674E-003  -0.8906048E+000   0.2920787E+000   0.3382476E+001   0.1404405E-035
   0.9762473E+000   0.6579020E-004  -0.8796829E+000   0.4722572E+000   0.3035920E+001   0.1405118E-035
   0.9702031E+000   0.1976148E-003  -0.7808908E+000   0.5822585E+000   0.2219008E+001   0.1413871E-035
   0.9566888E+000   0.6414475E-003  -0.6217876E+000   0.6326110E+000   0.1554422E+001   0.1433844E-035
