#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.9774187E+000   0.7561969E-005  -0.9603273E+000   0.3864619E+000   0.3377960E+001   0.3789270E-034
   0.9827768E+000   0.2613464E-004  -0.1341723E+001   0.5007745E+000   0.3306871E+001   0.3768611E-034
   0.9728999E+000   0.1068823E-003  -0.9750476E+000   0.7597972E+000   0.2316225E+001   0.3806870E-034
   0.9799557E+000   0.2231955E-004  -0.4672939E+000   0.5339928E+000   0.2671384E+001   0.3779461E-034
   0.9859553E+000   0.5336327E-004  -0.2667637E+000   0.6018088E+000   0.2691766E+001   0.3756462E-034
   0.9136482E+000   0.1478914E-002  -0.3790889E+000   0.1036469E+000   0.2432666E+000   0.4053752E-034
   0.9484437E+000   0.8198323E-003   0.1803208E+000  -0.7071112E-001   0.1607411E+001   0.3905033E-034
   0.9747660E+000   0.1432948E-003   0.4639303E+000   0.2328312E+000   0.4379305E+001   0.3799582E-034
   0.9719114E+000   0.6464157E-004   0.6795996E+000  -0.1965662E+000   0.4443813E+001   0.3810742E-034
   0.9756076E+000   0.1086543E-003   0.4516273E+000  -0.4802950E+000   0.4879453E+001   0.3796305E-034
   0.9736985E+000   0.2865831E-003   0.4259309E+000  -0.1948677E+000   0.4893482E+001   0.3803748E-034
   0.9918481E+000   0.1911654E-005   0.5346176E+000   0.2583681E+000   0.6989636E+001   0.3734144E-034
   0.9926224E+000   0.2845524E-005   0.1965470E+000   0.1082261E+000   0.6241533E+001   0.3731231E-034
   0.9924147E+000   0.6082008E-005  -0.1141864E+000  -0.6920342E-001   0.5741282E+001   0.3732012E-034
   0.9888226E+000   0.2492082E-004  -0.2671422E+000  -0.1204135E+000   0.4833461E+001   0.3745569E-034
   0.9820012E+000   0.1759317E-004  -0.2124675E+000  -0.2074269E+000   0.4239477E+001   0.3771588E-034
   0.9831280E+000   0.1823989E-004   0.1261453E+000  -0.1786651E+000   0.5187367E+001   0.3767265E-034
