 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
   0.7635707E+001   0.7749466E+001
   0.1114620E+003   0.1124162E+003
   0.8022380E+002   0.8055385E+002
   0.9985056E+002   0.1028035E+003
  -0.5044995E+000   0.3008587E+001
  -0.3631205E+003  -0.3599941E+003
  -0.3393967E+003  -0.3461947E+003
  -0.1275178E+003  -0.1290554E+003
   0.1092829E+003   0.1583450E+003
   0.5507347E+003   0.5437656E+003
   0.2544704E+003   0.2525944E+003
   0.2329882E+003   0.2298732E+003
   0.2506866E+003   0.2451520E+003
   0.1100566E+003   0.1111614E+003
   0.1552404E+003   0.1617120E+003
   0.7245912E+002   0.7869281E+002
  -0.1832011E+002  -0.2204100E+002
   0.4120269E+002   0.4308215E+002
   0.1480616E+003   0.1474446E+003
   0.1467678E+003   0.1480542E+003
   0.1275893E+003   0.1279404E+003
   0.1307059E+003   0.1306578E+003
   0.7231737E+002   0.7197602E+002
   0.2780374E+002   0.2814281E+002
  -0.7376890E+002  -0.8803698E+002
  -0.1645716E+003  -0.1650894E+003
  -0.6503815E+002  -0.6778760E+002
   0.4944987E+001   0.4624118E+001
   0.2516822E+002   0.2532939E+002
   0.4605206E+002   0.4638384E+002
   0.1412229E+003   0.1377629E+003
   0.1322444E+003   0.1269429E+003
   0.1312431E+003   0.1259307E+003
   0.1372522E+001   0.3082921E+001
  -0.9156057E+002  -0.8935421E+002
  -0.2903384E+003  -0.2792294E+003
  -0.1284360E+004  -0.1284318E+004
  -0.1446129E+004  -0.1463619E+004
  -0.2395397E+003  -0.2192188E+003
   0.6157798E+002   0.6838141E+002
  -0.9751174E+002  -0.9925233E+002
  -0.7663794E+002  -0.7753570E+002
  -0.3610974E+002  -0.3600026E+002
   0.4173737E+002   0.4419126E+002
  -0.2716347E+002  -0.2426166E+002
  -0.2222503E+003  -0.2208619E+003
  -0.3442553E+003  -0.3446655E+003
  -0.1957966E+003  -0.1991784E+003
   0.1340868E+003   0.1792537E+003
   0.6529327E+003   0.6504213E+003
   0.2760281E+003   0.2671583E+003
   0.3074576E+003   0.2967514E+003
   0.3579511E+003   0.3329506E+003
   0.1101532E+003   0.1044738E+003
   0.3493066E+002   0.3803066E+002
  -0.1363867E+001  -0.2113354E+000
   0.2185026E+002   0.2301872E+002
   0.6225732E+002   0.6328997E+002
   0.7978334E+002   0.8219476E+002
   0.1136582E+003   0.1152219E+003
   0.1403530E+003   0.1410348E+003
   0.1450458E+003   0.1452726E+003
   0.9583209E+002   0.9591329E+002
   0.4497905E+002   0.4466151E+002
   0.8806737E+001   0.7195773E+001
  -0.6625073E+002  -0.7799681E+002
  -0.1119044E+003  -0.1114571E+003
  -0.4120186E+002  -0.4197668E+002
   0.5223231E+002   0.5192728E+002
   0.5543361E+002   0.5528371E+002
   0.1092662E+003   0.1126755E+003
   0.6267554E+002   0.6189559E+002
   0.9827376E+002   0.9836327E+002
   0.9223380E+002   0.8965145E+002
   0.1859226E+003   0.1792500E+003
  -0.1030992E+003  -0.9694000E+002
  -0.5716931E+003  -0.5374798E+003
  -0.1066404E+004  -0.1037446E+004
  -0.6536353E+003  -0.6519079E+003
  -0.1032667E+003  -0.9393519E+002
  -0.1334376E+003  -0.1357455E+003
  -0.1584763E+003  -0.1657726E+003
  -0.1320418E+003  -0.1300355E+003
  -0.9914754E+002  -0.9979982E+002
  -0.8720677E+002  -0.8710099E+002
  -0.1647307E+003  -0.1662231E+003
  -0.2788246E+003  -0.2812836E+003
  -0.2529190E+003  -0.2670547E+003
   0.3595348E+001   0.6797390E+001
   0.4080442E+003   0.4408515E+003
   0.4012282E+003   0.4004646E+003
   0.4688305E+003   0.4519827E+003
   0.5024413E+003   0.4281760E+003
   0.9687143E+002   0.8185673E+002
  -0.1809745E+001  -0.1437403E+001
  -0.3028907E+001  -0.2446167E+001
   0.1839794E+002   0.1874700E+002
   0.3644719E+002   0.3680815E+002
   0.7570646E+002   0.7554606E+002
   0.1088826E+003   0.1090280E+003
   0.1108333E+003   0.1110990E+003
   0.1153455E+003   0.1149233E+003
   0.9908480E+002   0.9919330E+002
   0.6931157E+002   0.6921452E+002
   0.4057243E+002   0.4007590E+002
   0.2212764E+002   0.1944060E+002
  -0.2895774E+002  -0.4117207E+002
  -0.8103397E+002  -0.8165437E+002
  -0.5692859E+002  -0.5128305E+002
   0.9180786E+002   0.9010094E+002
   0.8419195E+002   0.8320734E+002
   0.6751379E+002   0.6826577E+002
   0.1094795E+003   0.1130038E+003
   0.1986150E+003   0.2077842E+003
   0.9315395E+002   0.9713553E+002
  -0.2062921E+003  -0.2124232E+003
  -0.3983992E+003  -0.4013775E+003
  -0.8012599E+003  -0.8024149E+003
  -0.7647945E+003  -0.7637675E+003
  -0.3291570E+003  -0.3366493E+003
   0.4167000E+001  -0.2675202E+002
  -0.1928440E+003  -0.1981655E+003
  -0.2789949E+003  -0.3172699E+003
  -0.2742251E+003  -0.2783372E+003
   0.3586075E+002   0.4161461E+002
  -0.3501206E+002  -0.3723208E+002
   0.4711475E+002   0.3372505E+002
  -0.8091536E+002  -0.8360321E+002
  -0.3376167E+003  -0.3449960E+003
   0.2619761E+001   0.1469799E+002
   0.2838986E+003   0.2929414E+003
   0.6147684E+003   0.5974083E+003
   0.6250441E+003   0.5548961E+003
   0.1136435E+003   0.1148728E+003
   0.7243285E+002   0.6991902E+002
   0.3602898E+002   0.3585647E+002
   0.4585582E+002   0.4553817E+002
   0.7614990E+002   0.7640476E+002
   0.1178392E+003   0.1200871E+003
   0.1646090E+003   0.1677617E+003
   0.1421446E+003   0.1407174E+003
   0.8023924E+002   0.8070688E+002
   0.7366962E+002   0.7357337E+002
   0.7286938E+002   0.7293762E+002
   0.6077748E+002   0.6084992E+002
   0.3962216E+002   0.3947464E+002
   0.9067543E+001   0.3770190E+001
  -0.7789867E+002  -0.7958699E+002
  -0.1054122E+003  -0.1051622E+003
   0.2111372E+003   0.2193014E+003
   0.8757000E+002   0.9216925E+002
   0.4559182E+002   0.4523077E+002
   0.8071206E+002   0.8143698E+002
   0.6296709E+002   0.6552640E+002
  -0.1366313E+002  -0.1665610E+002
  -0.2905760E+003  -0.2872195E+003
  -0.5908171E+003  -0.5857214E+003
  -0.8941058E+003  -0.9028274E+003
  -0.5802371E+003  -0.6049036E+003
  -0.3596111E+003  -0.3955922E+003
  -0.1983437E+003  -0.2090423E+003
  -0.3714302E+003  -0.3980567E+003
  -0.3925654E+003  -0.4255177E+003
  -0.2221185E+003  -0.2148416E+003
   0.1166934E+003   0.1189827E+003
   0.1956286E+003   0.1879910E+003
   0.2128662E+003   0.2126875E+003
  -0.1188271E+002  -0.1125275E+002
  -0.3252481E+003  -0.3198387E+003
  -0.4321571E+003  -0.4468011E+003
   0.7562501E+002   0.8630866E+002
   0.5710380E+003   0.5912461E+003
   0.4518611E+003   0.4423256E+003
   0.1636432E+003   0.1634629E+003
   0.1609267E+003   0.1612797E+003
   0.7968162E+002   0.8225950E+002
   0.6777365E+002   0.6783131E+002
   0.8560493E+002   0.8565617E+002
   0.1009222E+003   0.1009356E+003
   0.1713678E+003   0.1776915E+003
   0.2507965E+003   0.2509869E+003
   0.9315167E+002   0.9461651E+002
   0.5269640E+002   0.5275502E+002
   0.4765610E+002   0.4756698E+002
   0.3616824E+002   0.3590666E+002
   0.1541455E+002   0.1536306E+002
  -0.1445202E+002  -0.1587140E+002
  -0.8147376E+002  -0.8261146E+002
  -0.1123402E+003  -0.1145892E+003
   0.2527418E+003   0.2612000E+003
   0.2219928E+003   0.2357912E+003
   0.3678201E+002   0.3656598E+002
   0.3926029E+002   0.3945965E+002
   0.3784846E+002   0.3772883E+002
   0.4720051E+001   0.2707110E+001
