 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
  -0.3630818E+003  -0.3922867E+003
  -0.3212375E+003  -0.3546493E+003
  -0.3269364E+003  -0.3829192E+003
  -0.2500090E+003  -0.2890120E+003
  -0.1848501E+003  -0.2008271E+003
  -0.8577842E+002  -0.8682348E+002
  -0.6175043E+001  -0.1122030E+001
   0.3674915E+001   0.7706524E+001
  -0.2411515E+002  -0.2455143E+002
  -0.4214164E+002  -0.4219323E+002
  -0.8058002E+001  -0.4209857E+001
   0.8132602E+002   0.9105634E+002
   0.1672146E+003   0.1727840E+003
   0.2446113E+003   0.2368547E+003
   0.2443808E+003   0.2309920E+003
   0.1901027E+003   0.1854227E+003
   0.1436595E+003   0.1486799E+003
   0.9036947E+002   0.9783866E+002
   0.9136454E+002   0.9538796E+002
   0.1250957E+003   0.1311748E+003
   0.1455551E+003   0.1575055E+003
   0.1410805E+003   0.1485097E+003
   0.1284382E+003   0.1320504E+003
   0.9461502E+002   0.9982331E+002
   0.5280186E+002   0.5408954E+002
   0.3853856E+002   0.3877845E+002
   0.1326525E+002   0.9760371E+001
  -0.1200427E+002  -0.1888476E+002
   0.9528020E+001   0.1140467E+002
   0.6088196E+002   0.6910234E+002
   0.8602954E+002   0.9531820E+002
   0.1141665E+003   0.1287148E+003
   0.1178680E+003   0.1358612E+003
   0.6376611E+002   0.7058647E+002
   0.2173687E+002   0.2080175E+002
  -0.2476297E+002  -0.2991246E+002
  -0.1017030E+003  -0.1081758E+003
  -0.1816149E+003  -0.1851867E+003
  -0.2498265E+003  -0.2648883E+003
  -0.2943568E+003  -0.3186656E+003
  -0.3088547E+003  -0.3346248E+003
  -0.3051842E+003  -0.3339718E+003
  -0.3389713E+003  -0.3927906E+003
  -0.2680127E+003  -0.3009986E+003
  -0.1972064E+003  -0.2081464E+003
  -0.7878295E+002  -0.7668739E+002
   0.9631122E+001   0.1479181E+002
   0.1825438E+002   0.2260802E+002
  -0.2907066E+002  -0.2824458E+002
  -0.7328575E+002  -0.7738736E+002
  -0.6385076E+002  -0.6821888E+002
   0.2853941E+002   0.3361671E+002
   0.1164659E+003   0.1242786E+003
   0.1938596E+003   0.1983423E+003
   0.2175649E+003   0.2217783E+003
   0.1704045E+003   0.1810628E+003
   0.1379167E+003   0.1512733E+003
   0.1117234E+003   0.1215010E+003
   0.1085111E+003   0.1132554E+003
   0.1450106E+003   0.1564240E+003
   0.1649536E+003   0.1855472E+003
   0.1555199E+003   0.1683042E+003
   0.1434027E+003   0.1481567E+003
   0.1042081E+003   0.1088041E+003
   0.4841176E+002   0.5082306E+002
   0.3453936E+002   0.3655761E+002
   0.1686758E+002   0.1765434E+002
  -0.6106316E+001  -0.8626788E+001
   0.8631962E+001   0.1108421E+002
   0.6580672E+002   0.7525112E+002
   0.9325572E+002   0.1021949E+003
   0.1186425E+003   0.1319523E+003
   0.1242908E+003   0.1441931E+003
   0.6655772E+002   0.7643649E+002
   0.1975289E+002   0.1949135E+002
  -0.1018285E+002  -0.1369644E+002
  -0.4585529E+002  -0.5048425E+002
  -0.8526445E+002  -0.9062668E+002
  -0.1327865E+003  -0.1445620E+003
  -0.1887625E+003  -0.2012949E+003
  -0.2414963E+003  -0.2573392E+003
  -0.3014541E+003  -0.3169347E+003
  -0.3293306E+003  -0.3632530E+003
  -0.2615705E+003  -0.2746518E+003
  -0.1778004E+003  -0.1807264E+003
  -0.7587265E+002  -0.7166760E+002
  -0.2421061E+002  -0.1732116E+002
  -0.1497163E+002  -0.9712421E+001
  -0.5336376E+002  -0.5128005E+002
  -0.9638297E+002  -0.9782431E+002
  -0.7737828E+002  -0.8345051E+002
  -0.8359160E+001  -0.7984134E+001
   0.5419315E+002   0.5815921E+002
   0.1280481E+003   0.1353306E+003
   0.1666844E+003   0.1814329E+003
   0.1458525E+003   0.1626848E+003
   0.1375356E+003   0.1541137E+003
   0.1252640E+003   0.1350530E+003
   0.1199560E+003   0.1247408E+003
   0.1605005E+003   0.1794740E+003
   0.1809951E+003   0.2079211E+003
   0.1687652E+003   0.1853981E+003
   0.1591024E+003   0.1660893E+003
   0.1168526E+003   0.1219559E+003
   0.5303128E+002   0.5849984E+002
   0.3980793E+002   0.4582463E+002
   0.2829816E+002   0.3553809E+002
   0.1265679E+002   0.1723200E+002
   0.2026620E+002   0.2566052E+002
   0.7169472E+002   0.8112764E+002
   0.9605300E+002   0.1028691E+003
   0.1115787E+003   0.1200913E+003
   0.1187726E+003   0.1324108E+003
   0.7114164E+002   0.8058658E+002
   0.3471802E+002   0.3782269E+002
   0.3235432E+002   0.3453765E+002
   0.2709474E+002   0.2849945E+002
   0.8569725E+001   0.7840755E+001
  -0.3446266E+002  -0.3658271E+002
