 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.3385731E+003   0.3543400E+003
   0.3831196E+003   0.3808217E+003
   0.5021128E+003   0.5007406E+003
   0.5412285E+003   0.5451893E+003
   0.5977091E+003   0.6103985E+003
   0.7878075E+003   0.7842115E+003
   0.1004405E+004   0.1002196E+004
   0.1048897E+004   0.1045985E+004
   0.1275683E+004   0.1275203E+004
   0.9109517E+003   0.9080045E+003
   0.6529324E+003   0.6522485E+003
   0.5158309E+003   0.5148408E+003
   0.4893818E+003   0.4895332E+003
   0.3635929E+003   0.3627827E+003
   0.2970166E+003   0.3011153E+003
   0.2670800E+003   0.2672019E+003
   0.2372521E+003   0.2371894E+003
   0.2394101E+003   0.2391978E+003
   0.2610464E+003   0.2606425E+003
   0.2832119E+003   0.2829779E+003
   0.3683175E+003   0.3671447E+003
   0.8275839E+003   0.7880271E+003
   0.1280200E+004   0.1217295E+004
   0.1099854E+004   0.1040146E+004
   0.1468932E+004   0.1419477E+004
   0.7818553E+003   0.7757341E+003
   0.5466594E+003   0.5479738E+003
   0.5747556E+003   0.5741329E+003
   0.4729664E+003   0.4707960E+003
   0.9191393E+003   0.8976802E+003
   0.1214460E+004   0.1190949E+004
   0.9961999E+003   0.1012668E+004
   0.5136085E+003   0.5123439E+003
   0.5421288E+003   0.5409518E+003
   0.5239697E+003   0.5256964E+003
   0.5435474E+003   0.5438952E+003
   0.4992538E+003   0.4982876E+003
   0.2907301E+003   0.2900340E+003
   0.2450222E+003   0.2469473E+003
   0.2494248E+003   0.2536175E+003
   0.2670037E+003   0.2674521E+003
   0.4389187E+003   0.4476071E+003
   0.4896469E+003   0.4929159E+003
   0.3574213E+003   0.3567273E+003
   0.3431175E+003   0.3464921E+003
   0.5807717E+003   0.5829242E+003
   0.6641298E+003   0.6655605E+003
   0.8224277E+003   0.8235422E+003
   0.8171855E+003   0.8146415E+003
   0.1319109E+004   0.1320885E+004
   0.5450864E+003   0.5427205E+003
   0.5346896E+003   0.5331348E+003
   0.3414703E+003   0.3404873E+003
   0.2480959E+003   0.2498299E+003
   0.2537706E+003   0.2556796E+003
   0.2512392E+003   0.2513318E+003
   0.1975273E+003   0.1975840E+003
   0.1983500E+003   0.1982861E+003
   0.2428140E+003   0.2421623E+003
   0.3157971E+003   0.3154295E+003
   0.4578836E+003   0.4568208E+003
   0.6742280E+003   0.6792726E+003
   0.8902201E+003   0.8880395E+003
   0.8830785E+003   0.8790691E+003
   0.7241193E+003   0.6951325E+003
   0.4848946E+003   0.4850087E+003
   0.5032572E+003   0.5042798E+003
   0.5131524E+003   0.5128955E+003
   0.3126779E+003   0.3257388E+003
   0.7427332E+003   0.7210812E+003
   0.8508923E+003   0.8449845E+003
   0.8183716E+003   0.8227124E+003
   0.5512150E+003   0.5492532E+003
   0.4056620E+003   0.4062921E+003
   0.4331653E+003   0.4392138E+003
   0.5327576E+003   0.5327317E+003
   0.6945904E+003   0.6963123E+003
   0.3902644E+003   0.3893040E+003
   0.2904031E+003   0.2906333E+003
   0.2466050E+003   0.2465037E+003
   0.4016090E+003   0.4012552E+003
   0.4067174E+003   0.4073049E+003
   0.4068710E+003   0.4066421E+003
   0.2534491E+003   0.2527642E+003
   0.1835055E+003   0.1855553E+003
   0.4822964E+003   0.4810451E+003
   0.7859894E+003   0.7668407E+003
   0.8723393E+003   0.8711686E+003
   0.6137711E+003   0.6162598E+003
   0.1079785E+004   0.1059065E+004
   0.3282426E+003   0.3272352E+003
   0.4655451E+003   0.4645430E+003
   0.2141064E+003   0.2140951E+003
   0.2593952E+003   0.2591156E+003
   0.2722095E+003   0.2718569E+003
   0.2548320E+003   0.2548889E+003
   0.2266303E+003   0.2266212E+003
   0.2333763E+003   0.2325431E+003
   0.3007347E+003   0.3005561E+003
   0.3531695E+003   0.3518291E+003
   0.4124534E+003   0.4120964E+003
   0.6149519E+003   0.6181167E+003
   0.4272293E+003   0.4230836E+003
   0.2941576E+003   0.3004432E+003
   0.3669101E+003   0.3711722E+003
   0.4446880E+003   0.4500152E+003
   0.4812765E+003   0.4811022E+003
   0.4806258E+003   0.4808840E+003
   0.4477147E+003   0.4597158E+003
   0.4584551E+003   0.4547603E+003
   0.3759682E+003   0.3746662E+003
   0.3683139E+003   0.3673888E+003
   0.3788834E+003   0.3774190E+003
   0.3990307E+003   0.3986332E+003
   0.3240002E+003   0.3241520E+003
   0.4241494E+003   0.4352777E+003
   0.5784347E+003   0.5952738E+003
   0.4284783E+003   0.4287131E+003
   0.4091682E+003   0.4098697E+003
   0.4680683E+003   0.4707212E+003
   0.5174151E+003   0.5182419E+003
   0.5203160E+003   0.5221898E+003
   0.4298921E+003   0.4289575E+003
   0.1693086E+003   0.1686574E+003
   0.3959525E+003   0.3404073E+003
   0.1864629E+004   0.1732269E+004
   0.2036736E+004   0.1986830E+004
   0.8346038E+003   0.8206328E+003
   0.6824550E+003   0.6725438E+003
   0.7290081E+003   0.7169503E+003
   0.4081425E+003   0.4077423E+003
   0.3973123E+003   0.3966047E+003
   0.3167877E+003   0.3157282E+003
   0.3653711E+003   0.3644815E+003
   0.3902058E+003   0.3897893E+003
   0.2887772E+003   0.2891474E+003
   0.2800964E+003   0.2801906E+003
   0.2692214E+003   0.2691586E+003
   0.3379366E+003   0.3378565E+003
   0.3528803E+003   0.3515581E+003
   0.4131916E+003   0.4159038E+003
   0.4563690E+003   0.4554275E+003
   0.3775488E+003   0.3766904E+003
   0.2717168E+003   0.2716079E+003
   0.3841597E+003   0.3840866E+003
   0.4722638E+003   0.4716122E+003
   0.4998355E+003   0.5047040E+003
   0.5441057E+003   0.5464173E+003
   0.5724118E+003   0.5819856E+003
   0.8734958E+003   0.8622427E+003
   0.7936974E+003   0.7663528E+003
   0.5149718E+003   0.5162959E+003
   0.3335191E+003   0.3336287E+003
   0.3529345E+003   0.3528301E+003
   0.3732459E+003   0.3710544E+003
   0.4051106E+003   0.4037754E+003
   0.4234210E+003   0.4214737E+003
   0.4040464E+003   0.4025561E+003
   0.4420106E+003   0.4424236E+003
   0.4615251E+003   0.4618097E+003
   0.5425210E+003   0.5415822E+003
   0.5419628E+003   0.5409741E+003
   0.5450505E+003   0.5588368E+003
   0.4525478E+003   0.4628128E+003
   0.1019349E+004   0.9625364E+003
   0.7731667E+003   0.6244623E+003
   0.1154778E+004   0.1115626E+004
   0.8470241E+003   0.8283678E+003
   0.8212465E+003   0.8094442E+003
   0.6019776E+003   0.5978775E+003
   0.4497297E+003   0.4476794E+003
   0.4632670E+003   0.4639196E+003
   0.4897082E+003   0.4908598E+003
   0.5199309E+003   0.5212799E+003
   0.4114083E+003   0.4112567E+003
   0.3251874E+003   0.3253718E+003
   0.3003911E+003   0.3003468E+003
   0.2709588E+003   0.2713190E+003
   0.3003078E+003   0.3015258E+003
   0.3168604E+003   0.3154392E+003
   0.4262755E+003   0.4338313E+003
   0.3809619E+003   0.3823514E+003
   0.4787129E+003   0.4779635E+003
   0.2080116E+003   0.2080806E+003
   0.3224720E+003   0.3220837E+003
   0.5044927E+003   0.5045714E+003
   0.6281385E+003   0.6279414E+003
   0.5460944E+003   0.5571905E+003
   0.6040869E+003   0.6179501E+003
   0.7522741E+003   0.7397402E+003
   0.8126677E+003   0.8148778E+003
   0.7278109E+003   0.7302152E+003
   0.6346684E+003   0.6338360E+003
   0.4432477E+003   0.4429602E+003
   0.5113056E+003   0.5128887E+003
   0.5657602E+003   0.5697557E+003
   0.5142403E+003   0.5168009E+003
   0.5049669E+003   0.5053607E+003
   0.5136646E+003   0.5141963E+003
   0.5227810E+003   0.5226449E+003
   0.5894962E+003   0.5958151E+003
   0.5508362E+003   0.5533324E+003
   0.6031095E+003   0.6084523E+003
   0.7431486E+003   0.7495519E+003
   0.8787484E+003   0.8992911E+003
   0.1020338E+003   0.9805286E+002
   0.8822087E+003   0.8576872E+003
   0.1337791E+004   0.1318320E+004
   0.1228551E+004   0.1216016E+004
   0.8190341E+003   0.8128583E+003
   0.7156368E+003   0.7164080E+003
   0.5681999E+003   0.5671180E+003
   0.5066991E+003   0.5049882E+003
   0.4466376E+003   0.4458162E+003
   0.3525963E+003   0.3519228E+003
   0.2922128E+003   0.2916544E+003
   0.2503546E+003   0.2500233E+003
   0.2542160E+003   0.2550344E+003
   0.2300082E+003   0.2305454E+003
   0.2468211E+003   0.2456193E+003
   0.4340306E+003   0.4385298E+003
   0.3210904E+003   0.3214837E+003
   0.5059623E+003   0.5071045E+003
   0.2992826E+003   0.3010329E+003
   0.2840834E+003   0.2837663E+003
   0.5251031E+003   0.5245448E+003
   0.6954789E+003   0.6951419E+003
   0.6310596E+003   0.6377229E+003
   0.5931267E+003   0.5920606E+003
   0.5524709E+003   0.5536856E+003
   0.5677144E+003   0.5689715E+003
   0.8253452E+003   0.8435231E+003
   0.9843383E+003   0.9888450E+003
   0.7300661E+003   0.7276747E+003
   0.7271951E+003   0.7261468E+003
   0.8428270E+003   0.8421875E+003
   0.7153888E+003   0.7117632E+003
   0.6149149E+003   0.6134561E+003
   0.5360466E+003   0.5357380E+003
   0.5530948E+003   0.5528211E+003
   0.4918937E+003   0.4926842E+003
   0.5047115E+003   0.5028659E+003
   0.5689340E+003   0.5665777E+003
   0.6570311E+003   0.6626854E+003
   0.5048304E+003   0.4858695E+003
   0.1443722E+003   0.1441134E+003
   0.1132432E+004   0.1081839E+004
   0.1743836E+004   0.1705193E+004
   0.1654498E+004   0.1674846E+004
   0.1169684E+004   0.1169552E+004
   0.7059571E+003   0.7045588E+003
   0.5627772E+003   0.5628615E+003
   0.4956449E+003   0.4981124E+003
   0.4484469E+003   0.4505601E+003
   0.3795455E+003   0.3796932E+003
   0.3002108E+003   0.2997924E+003
   0.2189220E+003   0.2187752E+003
   0.2067041E+003   0.2069201E+003
   0.1437695E+003   0.1436747E+003
