 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.3906900E+003   0.3906900E+003
   0.3709633E+003   0.3709633E+003
   0.4863155E+003   0.4863155E+003
   0.5487207E+003   0.5487207E+003
   0.6761889E+003   0.6761889E+003
   0.8755867E+003   0.8755867E+003
   0.1149342E+004   0.1149342E+004
   0.8450544E+003   0.8450544E+003
   0.1330564E+004   0.1330564E+004
   0.9142744E+003   0.9142744E+003
   0.6609649E+003   0.6609649E+003
   0.5234185E+003   0.5234185E+003
   0.4948433E+003   0.4948433E+003
   0.3682745E+003   0.3682745E+003
   0.2974351E+003   0.2974351E+003
   0.2600313E+003   0.2600313E+003
   0.2375237E+003   0.2375237E+003
   0.2359267E+003   0.2359267E+003
   0.2571424E+003   0.2571424E+003
   0.2696368E+003   0.2696368E+003
   0.3401676E+003   0.3401676E+003
   0.9345279E+003   0.9345279E+003
   0.1683503E+004   0.1683503E+004
   0.7931594E+003   0.7931594E+003
   0.1562195E+004   0.1562195E+004
   0.7440436E+003   0.7440436E+003
   0.5030371E+003   0.5030371E+003
   0.5926300E+003   0.5926300E+003
   0.4771293E+003   0.4771293E+003
   0.1125495E+004   0.1125495E+004
   0.1626692E+004   0.1626692E+004
   0.1067924E+004   0.1067924E+004
   0.5049924E+003   0.5049924E+003
   0.5223005E+003   0.5223005E+003
   0.5251342E+003   0.5251342E+003
   0.5324269E+003   0.5324269E+003
   0.4979495E+003   0.4979495E+003
   0.2845349E+003   0.2845349E+003
   0.2458522E+003   0.2458522E+003
   0.2347189E+003   0.2347189E+003
   0.2564500E+003   0.2564500E+003
   0.4538611E+003   0.4538611E+003
   0.5196713E+003   0.5196713E+003
   0.3583552E+003   0.3583552E+003
   0.3543431E+003   0.3543431E+003
   0.6076141E+003   0.6076141E+003
   0.6668535E+003   0.6668535E+003
   0.7895597E+003   0.7895597E+003
   0.5994201E+003   0.5994201E+003
   0.1434971E+004   0.1434971E+004
   0.5012520E+003   0.5012520E+003
   0.5630488E+003   0.5630488E+003
   0.3342176E+003   0.3342176E+003
   0.2400405E+003   0.2400405E+003
   0.2530607E+003   0.2530607E+003
   0.2581957E+003   0.2581957E+003
   0.1873409E+003   0.1873409E+003
   0.1985722E+003   0.1985722E+003
   0.2430934E+003   0.2430934E+003
   0.3144383E+003   0.3144383E+003
   0.4600776E+003   0.4600776E+003
   0.6121391E+003   0.6121391E+003
   0.9020541E+003   0.9020541E+003
   0.8280041E+003   0.8280041E+003
   0.7186551E+003   0.7186551E+003
   0.4615429E+003   0.4615429E+003
   0.4932202E+003   0.4932202E+003
   0.5075872E+003   0.5075872E+003
   0.1631528E+003   0.1631528E+003
   0.7729126E+003   0.7729126E+003
   0.9175917E+003   0.9175917E+003
   0.7991248E+003   0.7991248E+003
   0.5455627E+003   0.5455627E+003
   0.3941851E+003   0.3941851E+003
   0.4242032E+003   0.4242032E+003
   0.5318608E+003   0.5318608E+003
   0.7395183E+003   0.7395183E+003
   0.3859886E+003   0.3859886E+003
   0.2906564E+003   0.2906564E+003
   0.2391258E+003   0.2391258E+003
   0.3985406E+003   0.3985406E+003
   0.4028562E+003   0.4028562E+003
   0.4018822E+003   0.4018822E+003
   0.2615068E+003   0.2615068E+003
   0.1567498E+003   0.1567498E+003
   0.4432243E+003   0.4432243E+003
   0.6945446E+003   0.6945446E+003
   0.8694818E+003   0.8694818E+003
   0.4818316E+003   0.4818316E+003
   0.1209672E+004   0.1209672E+004
   0.2735669E+003   0.2735669E+003
   0.4486312E+003   0.4486312E+003
   0.2073941E+003   0.2073941E+003
   0.2636646E+003   0.2636646E+003
   0.2718463E+003   0.2718463E+003
   0.2580196E+003   0.2580196E+003
   0.2237519E+003   0.2237519E+003
   0.2313087E+003   0.2313087E+003
   0.3025683E+003   0.3025683E+003
   0.3531212E+003   0.3531212E+003
   0.4093853E+003   0.4093853E+003
   0.5864815E+003   0.5864815E+003
   0.4220438E+003   0.4220438E+003
   0.2393535E+003   0.2393535E+003
   0.3209363E+003   0.3209363E+003
   0.4667602E+003   0.4667602E+003
   0.4748274E+003   0.4748274E+003
   0.4956212E+003   0.4956212E+003
   0.4955355E+003   0.4955355E+003
   0.3893595E+003   0.3893595E+003
   0.3029841E+003   0.3029841E+003
   0.3364620E+003   0.3364620E+003
   0.3704689E+003   0.3704689E+003
   0.4112446E+003   0.4112446E+003
   0.3135673E+003   0.3135673E+003
   0.4503361E+003   0.4503361E+003
   0.6083088E+003   0.6083088E+003
   0.4289020E+003   0.4289020E+003
   0.4167833E+003   0.4167833E+003
   0.5032450E+003   0.5032450E+003
   0.5066340E+003   0.5066340E+003
   0.5253342E+003   0.5253342E+003
   0.4413334E+003   0.4413334E+003
   0.1412919E+003   0.1412919E+003
   0.2606865E+003   0.2606865E+003
   0.2216064E+004   0.2216064E+004
   0.2512811E+004   0.2512811E+004
   0.8636889E+003   0.8636889E+003
   0.5387768E+003   0.5387768E+003
   0.7615992E+003   0.7615992E+003
   0.4136504E+003   0.4136504E+003
   0.3989355E+003   0.3989355E+003
   0.3131549E+003   0.3131549E+003
   0.3486502E+003   0.3486502E+003
   0.3957825E+003   0.3957825E+003
   0.2824616E+003   0.2824616E+003
   0.2826434E+003   0.2826434E+003
   0.2664700E+003   0.2664700E+003
   0.3392983E+003   0.3392983E+003
   0.3609090E+003   0.3609090E+003
   0.3892369E+003   0.3892369E+003
   0.4616561E+003   0.4616561E+003
   0.4001996E+003   0.4001996E+003
   0.2712337E+003   0.2712337E+003
   0.3874721E+003   0.3874721E+003
   0.4667538E+003   0.4667538E+003
   0.4936133E+003   0.4936133E+003
   0.5517959E+003   0.5517959E+003
   0.5764137E+003   0.5764137E+003
   0.8865393E+003   0.8865393E+003
   0.9241198E+003   0.9241198E+003
   0.5275990E+003   0.5275990E+003
   0.3247851E+003   0.3247851E+003
   0.3508285E+003   0.3508285E+003
   0.3510415E+003   0.3510415E+003
   0.4091911E+003   0.4091911E+003
   0.4240201E+003   0.4240201E+003
   0.3856571E+003   0.3856571E+003
   0.4061684E+003   0.4061684E+003
   0.4207838E+003   0.4207838E+003
   0.5316847E+003   0.5316847E+003
   0.5251919E+003   0.5251919E+003
   0.5353308E+003   0.5353308E+003
   0.4529694E+003   0.4529694E+003
   0.1103777E+004   0.1103777E+004
   0.3255373E+003   0.3255373E+003
   0.1035420E+004   0.1035420E+004
   0.6589149E+003   0.6589149E+003
   0.8254632E+003   0.8254632E+003
   0.5130678E+003   0.5130678E+003
   0.4352728E+003   0.4352728E+003
   0.4551886E+003   0.4551886E+003
   0.5144004E+003   0.5144004E+003
   0.5331162E+003   0.5331162E+003
   0.4072007E+003   0.4072007E+003
   0.3242132E+003   0.3242132E+003
   0.3019099E+003   0.3019099E+003
   0.2687373E+003   0.2687373E+003
   0.3007554E+003   0.3007554E+003
   0.3165853E+003   0.3165853E+003
   0.4413638E+003   0.4413638E+003
   0.3688316E+003   0.3688316E+003
   0.4982653E+003   0.4982653E+003
   0.1961741E+003   0.1961741E+003
   0.3175956E+003   0.3175956E+003
   0.5061184E+003   0.5061184E+003
   0.6352118E+003   0.6352118E+003
   0.5318964E+003   0.5318964E+003
   0.6238097E+003   0.6238097E+003
   0.7577831E+003   0.7577831E+003
   0.8109191E+003   0.8109191E+003
   0.7196538E+003   0.7196538E+003
   0.6413044E+003   0.6413044E+003
   0.4212749E+003   0.4212749E+003
   0.4989625E+003   0.4989625E+003
   0.5556399E+003   0.5556399E+003
   0.5026736E+003   0.5026736E+003
   0.4858384E+003   0.4858384E+003
   0.5089705E+003   0.5089705E+003
   0.5226516E+003   0.5226516E+003
   0.5924090E+003   0.5924090E+003
   0.5205296E+003   0.5205296E+003
   0.6200147E+003   0.6200147E+003
   0.7759829E+003   0.7759829E+003
   0.7624578E+003   0.7624578E+003
   0.2472779E+002   0.2472779E+002
   0.8720695E+003   0.8720695E+003
   0.1105904E+004   0.1105904E+004
   0.1386813E+004   0.1386813E+004
   0.6995936E+003   0.6995936E+003
   0.7012066E+003   0.7012066E+003
   0.5660136E+003   0.5660136E+003
   0.5125417E+003   0.5125417E+003
   0.4577908E+003   0.4577908E+003
   0.3500372E+003   0.3500372E+003
   0.2888516E+003   0.2888516E+003
   0.2470588E+003   0.2470588E+003
   0.2571649E+003   0.2571649E+003
   0.2319899E+003   0.2319899E+003
   0.2464757E+003   0.2464757E+003
   0.5014988E+003   0.5014988E+003
