 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.3180369E+003   0.3451342E+003
   0.4039706E+003   0.4179715E+003
   0.4898672E+003   0.4894846E+003
   0.5202472E+003   0.5297139E+003
   0.5369578E+003   0.5491581E+003
   0.6008722E+003   0.6110289E+003
   0.6931230E+003   0.6909657E+003
   0.7741446E+003   0.7676832E+003
   0.8015336E+003   0.7947066E+003
   0.7508423E+003   0.7503716E+003
   0.6174448E+003   0.6135211E+003
   0.5069024E+003   0.5056248E+003
   0.4467560E+003   0.4476167E+003
   0.3715683E+003   0.3726020E+003
   0.3093707E+003   0.3232455E+003
   0.2680823E+003   0.2859406E+003
   0.2295176E+003   0.2290446E+003
   0.2350797E+003   0.2330680E+003
   0.2847350E+003   0.2818051E+003
   0.3391937E+003   0.3373510E+003
   0.4487625E+003   0.4486584E+003
   0.6286970E+003   0.6008693E+003
   0.7959972E+003   0.7433751E+003
   0.8766324E+003   0.8212520E+003
   0.8540740E+003   0.8203189E+003
   0.7606869E+003   0.7626207E+003
   0.6522125E+003   0.6680232E+003
   0.5401802E+003   0.5486979E+003
   0.5381977E+003   0.5347813E+003
   0.6535326E+003   0.6292216E+003
   0.7923070E+003   0.7862309E+003
   0.7615793E+003   0.8000271E+003
   0.6034174E+003   0.6033195E+003
   0.5148112E+003   0.5160460E+003
   0.5106399E+003   0.5209982E+003
   0.5253800E+003   0.5258137E+003
   0.4841609E+003   0.4806877E+003
   0.3591065E+003   0.3575582E+003
   0.2865694E+003   0.3063344E+003
   0.2779735E+003   0.3097345E+003
   0.3306244E+003   0.3579671E+003
   0.4034797E+003   0.4304422E+003
   0.4523555E+003   0.4639360E+003
   0.4388876E+003   0.4555257E+003
   0.4824543E+003   0.4938844E+003
   0.6152326E+003   0.6187279E+003
   0.7246106E+003   0.7290421E+003
   0.8024688E+003   0.8048998E+003
   0.8973819E+003   0.9021141E+003
   0.8611007E+003   0.8616061E+003
   0.6642837E+003   0.6511029E+003
   0.4690610E+003   0.4689417E+003
   0.3752081E+003   0.3808873E+003
   0.3049562E+003   0.3157865E+003
   0.2695685E+003   0.2807452E+003
   0.2482568E+003   0.2496275E+003
   0.2247242E+003   0.2238010E+003
   0.2198896E+003   0.2166931E+003
   0.2584368E+003   0.2554309E+003
   0.3280407E+003   0.3246633E+003
   0.4534127E+003   0.4663328E+003
   0.6166607E+003   0.6265535E+003
   0.6978729E+003   0.6844196E+003
   0.6766617E+003   0.6575028E+003
   0.6187432E+003   0.6078021E+003
   0.5553799E+003   0.5573486E+003
   0.5291209E+003   0.5354445E+003
   0.5120879E+003   0.5218317E+003
   0.5788739E+003   0.5723744E+003
   0.6991327E+003   0.6676146E+003
   0.7799352E+003   0.7662273E+003
   0.7074196E+003   0.7258781E+003
   0.5544809E+003   0.5469720E+003
   0.4564162E+003   0.4529564E+003
   0.4431491E+003   0.4531148E+003
   0.5239041E+003   0.5370518E+003
   0.5408226E+003   0.5470313E+003
   0.4271887E+003   0.4233455E+003
   0.3170626E+003   0.3147326E+003
   0.2980605E+003   0.2992712E+003
   0.4065284E+003   0.4081352E+003
   0.4335784E+003   0.4407922E+003
   0.4141252E+003   0.4157015E+003
   0.3558876E+003   0.3552241E+003
   0.4933683E+003   0.4586110E+003
   0.7641850E+003   0.6831433E+003
   0.8423742E+003   0.7915434E+003
   0.7910958E+003   0.7778091E+003
   0.8280753E+003   0.8224160E+003
   0.7523189E+003   0.7435973E+003
