 # filt(alp*rho*Vry/tfpF)    filt(alp*rho*Vry)/filt(tfpF)
  -0.3438481E+002  -0.3264651E+002
   0.4205129E+002   0.4577048E+002
   0.1368192E+003   0.1351667E+003
   0.1182346E+003   0.1247808E+003
   0.6535574E+002   0.6742179E+002
   0.1494454E+002   0.1663373E+002
  -0.1985879E+002  -0.1922069E+002
  -0.5115076E+002  -0.5094753E+002
  -0.5984957E+002  -0.5979128E+002
  -0.5855679E+002  -0.5892539E+002
  -0.4106565E+002  -0.4265465E+002
  -0.1162743E+002  -0.1259335E+002
   0.4902614E+001   0.4691653E+001
   0.2612508E+002   0.2577665E+002
   0.6063287E+002   0.6162288E+002
   0.7667956E+002   0.7838614E+002
   0.1014638E+003   0.1083957E+003
   0.2280348E+003   0.2471822E+003
   0.4089569E+003   0.3869621E+003
   0.3753732E+003   0.3607070E+003
   0.3103091E+003   0.3218429E+003
   0.3169939E+003   0.3163930E+003
   0.3194366E+003   0.3209589E+003
   0.2628794E+003   0.2643353E+003
   0.1835652E+003   0.1819262E+003
   0.1210145E+003   0.1201472E+003
   0.5555625E+002   0.5490450E+002
  -0.4410424E+001  -0.3957080E+001
  -0.6547074E+002  -0.6552442E+002
  -0.1939129E+003  -0.1939531E+003
  -0.3338861E+003  -0.3347043E+003
  -0.3903597E+003  -0.3954117E+003
  -0.3294905E+003  -0.3408890E+003
  -0.2405243E+003  -0.2439759E+003
  -0.2139791E+003  -0.2143244E+003
  -0.1788501E+003  -0.1789876E+003
  -0.1306130E+003  -0.1379625E+003
  -0.1431397E+003  -0.1523508E+003
  -0.1534992E+003  -0.1564526E+003
  -0.1026518E+003  -0.1046160E+003
  -0.4522845E+002  -0.4516131E+002
   0.8795614E+001   0.1103207E+002
   0.5028753E+002   0.4818532E+002
   0.3160262E+002   0.3319958E+002
  -0.1428120E+002  -0.1112367E+002
  -0.4806042E+002  -0.4738950E+002
  -0.5900952E+002  -0.5895435E+002
  -0.6409705E+002  -0.6441780E+002
  -0.7160314E+002  -0.7349233E+002
  -0.8515775E+002  -0.8760010E+002
  -0.6663078E+002  -0.6979771E+002
  -0.2003283E+002  -0.2197908E+002
   0.9687568E+001   0.9841102E+001
   0.2531407E+002   0.2520777E+002
   0.5846209E+002   0.5814003E+002
   0.8278987E+002   0.8429375E+002
   0.8835568E+002   0.9386510E+002
   0.1434085E+003   0.1631637E+003
   0.3855070E+003   0.3809352E+003
   0.6606984E+003   0.6214666E+003
   0.6880193E+003   0.6846215E+003
   0.4284004E+003   0.4549154E+003
   0.2627327E+003   0.2627368E+003
   0.2343070E+003   0.2375247E+003
   0.1543769E+003   0.1555525E+003
   0.6404948E+002   0.6235724E+002
  -0.1080174E+002  -0.1250962E+002
  -0.7907738E+002  -0.7763081E+002
  -0.1147996E+003  -0.1147981E+003
  -0.1533387E+003  -0.1596268E+003
  -0.2120260E+003  -0.2216747E+003
  -0.2561975E+003  -0.2746513E+003
  -0.2144999E+003  -0.2276387E+003
  -0.1557377E+003  -0.1574972E+003
  -0.1388144E+003  -0.1389397E+003
  -0.1311365E+003  -0.1345254E+003
  -0.1651045E+003  -0.1752697E+003
  -0.2300423E+003  -0.2475653E+003
  -0.1916798E+003  -0.2107533E+003
  -0.1064702E+003  -0.1106162E+003
  -0.6869335E+002  -0.6833471E+002
  -0.6104624E+002  -0.6113886E+002
  -0.1194059E+003  -0.1223137E+003
  -0.1470391E+003  -0.1533375E+003
  -0.1254011E+003  -0.1257896E+003
  -0.1111925E+003  -0.1113151E+003
  -0.1044625E+003  -0.1056867E+003
