# ~alp d~p/dy   Phi_p_sgs,y
  -0.1188885E+001  -0.1604809E+001
  -0.1583632E+001  -0.1512490E+001
  -0.1738545E+001  -0.1489134E+001
  -0.6865687E+000  -0.8290072E+000
   0.1714970E+001   0.6555325E+000
   0.5114735E+001   0.1383297E+001
   0.9604329E+001   0.4595926E+001
   0.1140658E+002   0.7220689E+001
   0.1019172E+002   0.6651760E+001
   0.6748221E+001   0.7995681E+001
   0.2769216E+001   0.5818657E+001
   0.1384368E+001   0.1414322E+000
   0.6833782E+000  -0.2513081E+000
   0.1058052E+001  -0.3000728E+000
   0.1967984E+001  -0.3654986E+000
   0.1601946E+001   0.4536513E+000
   0.6410745E+000   0.1531759E+001
  -0.1060716E+001   0.1525147E+001
  -0.2982777E+001   0.6686366E+000
  -0.5149473E+001  -0.1358538E+001
  -0.9004941E+001  -0.3392427E+001
  -0.1626855E+002  -0.6996979E+001
  -0.2657501E+002  -0.1126987E+002
  -0.3355264E+002  -0.1090926E+002
  -0.3389500E+002  -0.1103835E+002
  -0.2714543E+002  -0.1238478E+002
  -0.2193673E+002  -0.1536642E+002
  -0.2274606E+002  -0.2438078E+002
  -0.2677220E+002  -0.2869336E+002
  -0.2860137E+002  -0.2848284E+002
  -0.2481178E+002  -0.2349331E+002
  -0.1469142E+002  -0.1364870E+002
  -0.5264487E+001  -0.4836566E+001
  -0.1572328E+001  -0.2332596E+001
   0.8497582E-001  -0.5181723E+000
   0.7808551E+000  -0.6928660E+000
   0.1279447E+001  -0.1812207E+001
   0.1058798E+001  -0.2253802E+001
   0.4578685E+000  -0.1843682E+001
  -0.3597722E+000  -0.1585546E+001
  -0.8928216E+001  -0.7827369E+001
  -0.8874555E+001  -0.6405388E+001
  -0.6982642E+001  -0.5379598E+001
  -0.3292181E+001  -0.4070369E+001
   0.1344365E+001  -0.4203818E+000
   0.5401515E+001   0.8500342E+000
   0.9824701E+001   0.5363763E+001
   0.1233401E+002   0.8816599E+001
   0.1163686E+002   0.8185414E+001
   0.8658564E+001   0.9393800E+001
   0.4040193E+001   0.7787617E+001
   0.1496235E+001   0.1060178E+001
  -0.3315475E+000  -0.2180653E+001
  -0.7043486E+000  -0.4139845E+001
  -0.2411129E+000  -0.4928203E+001
  -0.7783910E+000  -0.4091969E+001
  -0.1489850E+001  -0.9158295E+000
