# ~alp d~p/dy   Phi_p_sgs,y
  -0.6386130E+000  -0.3505376E-003
  -0.1252290E+001  -0.2610853E-002
  -0.5477293E+000   0.3686580E-001
   0.8896355E+000  -0.4636161E-001
   0.1050304E+001  -0.7895546E-002
   0.1764939E+001   0.1737090E+000
   0.9162828E+001   0.1317589E+001
   0.1366690E+002  -0.5341486E+000
  -0.3207111E+001   0.1426519E+001
  -0.1609408E+001   0.5787196E-001
   0.3780519E+001   0.2719255E+000
  -0.8315750E+001   0.8327733E-001
  -0.1504283E+002  -0.6314929E+000
  -0.2811845E+001  -0.2260106E+001
  -0.4171391E+000   0.7706966E+000
   0.3434120E+000   0.1333606E+001
   0.1608623E+002   0.4403999E+001
  -0.4317862E+000   0.4077116E-003
  -0.4255912E+000   0.2380453E-002
  -0.1019060E+001   0.1693846E-002
  -0.2295553E+001  -0.7281963E-002
  -0.5243656E+001  -0.1051094E+000
  -0.1294251E+002  -0.5988260E-001
  -0.1207987E+002  -0.8850471E+000
  -0.6240905E+001  -0.3088610E+000
  -0.1927958E+002  -0.8960168E+000
  -0.1772273E+002  -0.1095262E+001
  -0.3160849E+001  -0.8528544E-001
  -0.2057185E+002  -0.2243817E+002
  -0.2646461E+003  -0.4330310E+002
  -0.1514974E+003  -0.1352521E+002
  -0.5012430E+002  -0.2718097E+001
  -0.4511950E+001  -0.2723551E+000
  -0.3702889E+000  -0.1950207E-001
   0.3846717E+000  -0.6730879E-002
   0.4399929E+000   0.6257139E-003
   0.3245335E+000  -0.3668555E-002
   0.1704556E+000  -0.7436027E-002
  -0.3575803E+000  -0.2409595E-001
  -0.6220441E+000  -0.7413973E-002
  -0.8250778E+000  -0.3239781E-002
  -0.1782510E+001  -0.3152850E-002
  -0.6892767E+001  -0.5102571E+000
  -0.8713776E+001  -0.6929902E+000
  -0.4139800E+001  -0.8701678E+000
   0.9459614E+001   0.3250807E+000
   0.1944078E+002   0.1399481E+001
   0.4034329E+002   0.4505626E+001
   0.6271447E+002   0.2084812E+002
  -0.4692031E+000   0.8125769E+000
   0.1104059E+002   0.1061948E+001
  -0.9341914E+000   0.4314595E-001
   0.2679626E+001   0.1697435E+000
   0.2843046E+001   0.3796961E-001
   0.2187094E+001   0.2675981E+001
   0.3815138E+002   0.3816096E+001
  -0.3728489E+000   0.4221193E+000
  -0.6779373E+000   0.1674842E-001
  -0.1341024E+001  -0.2092901E-002
  -0.2279558E+001  -0.9973212E-002
