#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.2769380E-001  -0.2089850E-001   0.8740550E-001   0.3305014E-001  -0.7186456E-001   0.1611915E+001
   0.2404768E-001  -0.1522336E-001   0.4578607E-001   0.3708530E-001  -0.6082107E-001   0.2384583E+000
   0.1885542E-001   0.9975708E-003   0.2793568E-002   0.3282611E-001  -0.2712129E-001   0.1054116E+000
   0.1991916E-001   0.4219499E-002  -0.1562102E-001   0.5546792E-001  -0.1571585E-001   0.2337553E+000
   0.2743755E-001   0.7304528E-002  -0.1245928E-001   0.7141086E-001  -0.6370949E-002   0.3512860E+000
   0.2898749E-001   0.5103843E-002  -0.3003924E-001   0.6915024E-001  -0.4206584E-001   0.4246015E+000
   0.3373733E-001   0.7526943E-002   0.1389169E-001   0.7081391E-001   0.1849212E-002   0.5777702E+000
   0.2624241E-001   0.1144703E-001   0.7301403E-002   0.5816267E-001  -0.3561080E-002   0.5473849E+000
   0.2123557E-001  -0.4400368E-004  -0.7272895E-002   0.3224437E-001  -0.3143797E-001   0.3666507E+000
   0.5443563E-001  -0.7818859E-002  -0.8765870E-001   0.3333595E-001   0.3576222E-001   0.8612027E+000
   0.2224839E+000  -0.3202278E-001  -0.2984529E+000   0.3784705E-001  -0.1235433E-002   0.1612006E+001
   0.4750775E+000   0.1903239E-001  -0.3193167E+000   0.5650311E-001  -0.7338918E-001   0.1447788E+001
   0.6152757E+000   0.6302354E-001  -0.6602103E-001   0.9325998E-001   0.4707325E-002   0.9196245E+000
   0.5825356E+000   0.7322761E-001  -0.2130837E+000   0.1090239E+000  -0.1827421E-001   0.1750005E+001
   0.5755968E+000   0.6502568E-001  -0.5744556E+000   0.1254547E+000  -0.1153490E+000   0.1987742E+001
   0.4096679E+000   0.6825693E-001  -0.4949200E+000   0.1040627E+000  -0.2057718E+000   0.1369651E+001
   0.1210020E+000   0.3932903E-001  -0.1672367E+000   0.9116098E-001  -0.1269136E+000   0.6464720E+000
   0.3717567E-001  -0.3970697E-002   0.6020661E-002   0.8856049E-001   0.4605643E-001   0.3060452E+000
   0.3348391E-001  -0.2733532E-001  -0.5879425E-001   0.1297935E+000   0.1674379E+000   0.9259600E+000
   0.5735843E-001  -0.4844636E-001  -0.1785066E+000   0.1709295E+000   0.2492616E+000   0.1040778E+001
   0.7766764E-001  -0.4804583E-001  -0.1505523E+000   0.1628521E+000   0.2598038E+000   0.6393123E+000
   0.7010078E-001  -0.2358716E-001  -0.9535226E-001   0.1125145E+000   0.1773568E+000   0.6630775E+000
   0.7866489E-001  -0.4654176E-002  -0.3714669E-001   0.8367125E-001   0.9840204E-001   0.6458636E+000
   0.1423609E+000   0.1272149E-001  -0.6646138E-001   0.5954422E-001   0.6243097E-001   0.6181000E+000
   0.2176063E+000   0.2358787E-001  -0.1171326E+000   0.4006445E-001   0.1445927E-001   0.5888651E+000
   0.2118551E+000   0.1170803E-001  -0.1602827E+000   0.7639396E-001  -0.5877721E-001   0.8204799E+000
   0.3571771E+000  -0.1751166E-001  -0.1091698E+000   0.1637719E+000  -0.1497307E+000   0.8914582E+000
   0.5388166E+000   0.1222832E-001  -0.1972442E+000   0.1990873E+000  -0.1342165E+000   0.8094736E+000
   0.4691375E+000   0.7275434E-001  -0.2731002E+000   0.1726618E+000  -0.1457790E+000   0.1141871E+001
   0.3715799E+000   0.8405642E-001  -0.1306169E+000   0.1020663E+000  -0.1734977E+000   0.1090831E+001
   0.1218565E+000   0.4238058E-001  -0.5489840E-001   0.7427941E-001  -0.9542272E-001   0.5819587E+000
   0.4772171E-001  -0.1762756E-002   0.3721256E-001   0.3768925E-001   0.2097934E-001   0.3599365E+000
   0.4227656E-001  -0.2547552E-002   0.6066134E-001   0.3685858E-001   0.2796319E-001   0.7151740E+000
   0.4115612E-001   0.9684400E-004   0.6903282E-001   0.3480999E-001   0.5538163E-001   0.8680731E+000
   0.4002664E-001   0.1110649E-001   0.1022399E+000   0.4506255E-001   0.1175059E+000   0.1132355E+001
   0.5161739E-001   0.3556191E-001   0.1313698E+000   0.6755199E-001   0.1847014E+000   0.1462250E+001
   0.3779488E-001   0.3430718E-001   0.1476395E+000   0.6756573E-001   0.2064151E+000   0.1402400E+001
   0.2645886E-001   0.1535068E-001   0.9138239E-001   0.4348950E-001   0.1581077E+000   0.1031424E+001
   0.3057073E-001  -0.2660729E-002   0.7585840E-001   0.3373209E-001   0.3035500E-001   0.1310177E+001
   0.2728755E-001  -0.1839819E-001   0.9436895E-001   0.3426496E-001  -0.3819740E-001   0.2312334E+001
   0.3314043E-001  -0.2708953E-001   0.5458859E-001   0.4401299E-001  -0.4044787E-001   0.2124913E+001
