 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.4828425E+003   0.4931509E+003
   0.5204933E+003   0.5370506E+003
   0.6601425E+003   0.6719256E+003
   0.7881052E+003   0.8224950E+003
   0.7319376E+003   0.7366991E+003
   0.4973703E+003   0.5075706E+003
   0.3941190E+003   0.3968475E+003
   0.4347586E+003   0.4340033E+003
   0.5165369E+003   0.5165031E+003
   0.6032915E+003   0.6035840E+003
   0.7141952E+003   0.7160030E+003
   0.7275545E+003   0.7307009E+003
   0.6497363E+003   0.6503591E+003
   0.6281099E+003   0.6276035E+003
   0.6061795E+003   0.6064356E+003
   0.5073877E+003   0.5122208E+003
   0.4845190E+003   0.4908206E+003
   0.5056155E+003   0.5271293E+003
   0.4099775E+003   0.4098632E+003
   0.4228341E+003   0.4339004E+003
   0.3758754E+003   0.3822270E+003
   0.2972515E+003   0.2933687E+003
   0.3793914E+003   0.3794602E+003
   0.4521204E+003   0.4529971E+003
   0.4886597E+003   0.4873090E+003
   0.5278803E+003   0.5276541E+003
   0.5916163E+003   0.5939967E+003
   0.5888383E+003   0.5970808E+003
   0.5762794E+003   0.5815530E+003
   0.5586242E+003   0.5585468E+003
   0.5273002E+003   0.5281446E+003
   0.5988944E+003   0.5969768E+003
   0.7435873E+003   0.7473064E+003
   0.7299322E+003   0.7319506E+003
   0.7124937E+003   0.7123711E+003
   0.5954378E+003   0.5949383E+003
   0.5502134E+003   0.5664967E+003
   0.4818055E+003   0.4958518E+003
   0.4779330E+003   0.4797534E+003
   0.5035573E+003   0.5112673E+003
   0.4595802E+003   0.4621863E+003
   0.6405437E+003   0.6716635E+003
   0.7019061E+003   0.7160958E+003
   0.7188833E+003   0.7616824E+003
   0.5498970E+003   0.5595454E+003
   0.4414526E+003   0.4451287E+003
   0.4053798E+003   0.4062208E+003
   0.4339099E+003   0.4344015E+003
   0.4943523E+003   0.4973365E+003
   0.5767574E+003   0.5795258E+003
   0.6630344E+003   0.6665560E+003
   0.6915680E+003   0.6968024E+003
   0.6481174E+003   0.6517773E+003
   0.6186762E+003   0.6194271E+003
   0.6309669E+003   0.6306359E+003
   0.6057899E+003   0.6098589E+003
   0.5921977E+003   0.6045618E+003
   0.5122240E+003   0.5309402E+003
   0.4324704E+003   0.4443006E+003
   0.4029225E+003   0.4060904E+003
   0.4607629E+003   0.4874979E+003
   0.4690526E+003   0.4921530E+003
   0.3608336E+003   0.3563184E+003
   0.3975098E+003   0.3999357E+003
   0.4375511E+003   0.4397303E+003
   0.5289574E+003   0.5334631E+003
