#dalpdx  dalpdy   dalpdz
  -0.1383175E+001   0.4250423E+000  -0.8392020E+000
  -0.2158813E+001   0.1079451E+001  -0.1283746E+001
  -0.1624340E+001   0.1118390E+001  -0.1311183E+001
  -0.2727664E+001   0.1471393E+001  -0.1054579E+001
  -0.1137673E+001   0.2443871E+001  -0.2864505E+000
   0.9118935E+000   0.3019794E+001  -0.2051947E+000
   0.1309628E+001   0.3307345E+001  -0.6774771E-001
   0.2302085E+001   0.3133750E+001  -0.3241257E+000
   0.3345224E+001   0.1618093E+001  -0.6314173E+000
   0.1108302E+001  -0.1070172E+000  -0.5846549E-001
   0.1257760E+001  -0.1004221E+001   0.1395517E+000
   0.7293423E+000  -0.1134551E+001   0.1978737E+000
   0.1153085E+001  -0.1012345E+001   0.3047016E+000
   0.5800326E+000  -0.6278030E+000   0.2111376E+000
   0.3549351E-001  -0.2570158E+000   0.3461983E-001
  -0.4410646E+000  -0.1302214E+000  -0.2381929E-001
  -0.1129835E+000   0.2212402E+000  -0.8954185E-003
   0.5082061E-001   0.2324763E+000  -0.1720501E-001
  -0.2598040E+000   0.3619407E+000  -0.5423898E-001
  -0.7081586E+000   0.6347156E+000  -0.2047272E+000
  -0.7206236E+000  -0.5979389E-001  -0.3809140E+000
  -0.7279166E+000   0.1375869E-001  -0.4232796E+000
  -0.6223435E+000   0.5301863E-001  -0.4677270E+000
  -0.1193643E+001  -0.2820561E+000  -0.4464926E+000
  -0.5168650E+001  -0.2018039E+000  -0.7620016E+000
  -0.5231881E+001  -0.1804413E+001  -0.5201638E+000
  -0.2670123E+001  -0.3202162E+001  -0.2069563E+000
  -0.8557776E+000  -0.3398719E+001  -0.5185266E-001
   0.3687954E+001  -0.2872514E+001   0.8123710E+000
   0.4913053E+001  -0.8950960E+000   0.1367422E+001
   0.6495912E+000   0.1458784E+001   0.1191907E+001
   0.9046893E+000   0.2172514E+001   0.1027245E+001
   0.5832757E+000   0.1226871E+001   0.5133656E+000
   0.1323907E+001   0.3858472E+000   0.2059679E+000
   0.1649055E+001  -0.1467522E+000  -0.6960418E-001
   0.1128421E+001  -0.4986560E+000  -0.9125062E-001
   0.3166567E-001  -0.3492362E+000   0.1678587E+000
  -0.4348648E-002  -0.2704128E-002   0.2089735E+000
   0.5801460E-001  -0.1596299E+000   0.6633048E-001
   0.1148800E-002  -0.4073135E+000  -0.9615951E-001
  -0.5806408E+000   0.5062326E+000  -0.8209063E+000
  -0.1330363E+001   0.1055283E+001  -0.1374017E+001
  -0.1747723E+001   0.1864034E+001  -0.1695949E+001
  -0.2261853E+001   0.1851968E+001  -0.1629426E+001
  -0.6625562E+000   0.2599857E+001  -0.1339254E+001
   0.9160885E+000   0.2883903E+001  -0.1449956E+001
   0.1499826E+001   0.2391862E+001  -0.9397615E+000
   0.1802973E+001   0.2425605E+001  -0.1001143E+001
   0.1621439E+001   0.1017454E+001  -0.1273802E+001
  -0.3828901E+000  -0.8642792E+000  -0.3386674E+000
   0.6321158E+000  -0.1741003E+001  -0.2205282E+000
   0.6073221E+000  -0.2306531E+001  -0.2364380E+000
   0.1432687E+001  -0.2459743E+001  -0.3627492E-003
