#dalpdx  dalpdy   dalpdz
   0.2589241E+000   0.1092519E+001   0.3779611E+000
  -0.1715296E+001   0.1114665E+001  -0.9260297E+000
  -0.1803971E+001   0.3794800E+001  -0.4962841E+001
   0.2103889E+001  -0.1854687E+000  -0.4200411E+001
  -0.2300801E+001   0.9149638E+001  -0.4386988E+001
  -0.9293402E+001   0.8551276E+001  -0.1133019E+002
   0.1359327E+002   0.4987594E+001  -0.7134110E+001
  -0.2197772E+001  -0.3102705E+000  -0.5834829E-001
   0.2766700E+001  -0.5245242E+000   0.5346285E+000
  -0.2563270E+001  -0.5178820E+001   0.5594661E+000
   0.2960100E+001  -0.8248770E+001   0.7577866E+000
   0.1043237E+001  -0.1275975E+001   0.2338574E+000
  -0.4180698E-001  -0.1040441E+001   0.2582292E+000
  -0.1578669E+000  -0.1091492E+001   0.2087498E+000
  -0.5639015E+000  -0.1192451E+001   0.2430990E+000
  -0.2317302E+000  -0.4753477E+000   0.1280421E+000
  -0.7427509E-001   0.8659549E+000  -0.8588169E-001
   0.1977122E+000   0.2147295E+001   0.4284731E-001
   0.9189250E+000   0.4838718E+000   0.9800945E-001
   0.3615595E+000  -0.5703720E-001  -0.4786352E-001
  -0.3038166E+000   0.4791212E+000  -0.1853358E+000
  -0.6177375E+000   0.1369035E+001  -0.5459996E+000
  -0.2053538E+000   0.4376255E+000  -0.6592777E+000
  -0.4721297E+000  -0.1871581E+001  -0.5230630E+000
  -0.6292337E+000  -0.1436957E+001   0.1008090E+001
  -0.1196669E+002  -0.1575547E+001  -0.2494186E+001
  -0.1489684E+002  -0.3655990E+002   0.3484956E+001
   0.2322805E+001  -0.4360946E+002   0.9407166E+001
   0.1468756E+002   0.1614749E+002   0.8396884E+000
   0.6525102E+001   0.2942275E+002   0.8867222E+001
   0.7455659E+001   0.1361542E+002   0.6889944E+001
  -0.9151218E+001   0.8532839E+001   0.9960786E+001
  -0.3128024E+001   0.4554594E+001   0.4123967E+001
   0.1183423E+002  -0.8100008E+001  -0.6571199E+001
   0.1397462E+001  -0.1443785E+001  -0.7861247E+000
  -0.1795612E+000   0.2091750E+000  -0.7692972E-001
  -0.9911383E+000  -0.1070030E+000   0.4005387E+000
  -0.4583779E+001  -0.3369821E+001   0.3211447E+000
   0.4567849E+001   0.2131439E+001   0.3083760E+001
  -0.4402519E+000   0.4914964E+000  -0.5446911E-002
  -0.4399653E+000  -0.1090360E+001  -0.1577620E+000
  -0.1755460E+001  -0.1266290E+001  -0.5832831E+000
  -0.2841735E+001  -0.1823636E+001  -0.1542564E+000
  -0.2889422E+001  -0.2489865E+001  -0.1043775E+001
   0.2051166E+001  -0.1224121E+002  -0.7300477E+000
  -0.1114900E+001  -0.3491774E+001  -0.5070753E+001
   0.9053598E+001   0.4409335E+001  -0.7295821E+001
  -0.5231161E+001  -0.1392146E+001   0.3913039E+000
   0.3836096E+001  -0.5720692E+001   0.6756505E+000
  -0.4145067E+001   0.3308748E+000  -0.1420101E+001
   0.8894878E+000  -0.1856532E+001   0.4870615E+000
   0.7533816E+001  -0.6322596E+001   0.2333749E+001
   0.9876845E+000  -0.1507629E+000   0.8159709E-001
   0.1224050E+000   0.6286851E+000  -0.8639325E-001
   0.1962151E+000   0.1271872E+001  -0.1547811E+000
   0.3659706E+000   0.1170164E+001  -0.1694893E+000
  -0.8863729E-002   0.3616522E+000  -0.9562734E-001
  -0.3822611E+000   0.7046180E-002  -0.1115925E-002
   0.5137083E-001  -0.2885768E-001   0.7283501E-001
   0.4133264E+000  -0.2458097E+000  -0.2939782E-001
  -0.1899967E+000  -0.3576304E+000  -0.2395812E+000
  -0.4652995E+001  -0.5943535E+001  -0.1638555E+001
  -0.2148499E+001  -0.1590938E+002  -0.2908600E+001
   0.1425771E+001  -0.7401625E+001  -0.1489279E+001
  -0.8507204E+000  -0.1816649E+001  -0.5420353E+000
  -0.1413147E+002  -0.2596637E+001  -0.3033710E+000
  -0.5364862E+002   0.2397418E+001  -0.1252140E+002
   0.4599349E+002   0.9180954E+001  -0.4599614E+000
   0.2452822E+002  -0.1230637E+002   0.2699643E+001
   0.2471143E+001  -0.1715111E+001   0.8486000E+000
   0.7371582E-001   0.2152874E+000   0.1850254E+000
  -0.2501517E+001   0.3386129E+000   0.5531277E+000
  -0.1275697E+002   0.8427180E+001   0.5509511E+001
   0.3950633E+001  -0.1106014E+001   0.1203886E+001
   0.7753679E+001  -0.8789073E+001  -0.1067825E+001
   0.2419535E+001  -0.4564071E+001  -0.3046422E+000
  -0.1938199E+001  -0.1049879E+001   0.9024070E+000
  -0.2498563E+001   0.5531972E-001   0.8339163E+000
   0.5115504E+001  -0.7935698E+000   0.4994616E+000
  -0.1134440E+001  -0.3793809E+000  -0.2637393E+000
   0.1677581E+000  -0.9972397E+000  -0.9450380E+000
   0.4036235E+000   0.1362964E+001   0.1580330E+000
  -0.3564135E+001   0.2781156E+001  -0.6789719E+000
  -0.5818595E+001   0.2940571E+001   0.1957746E+001
  -0.3028374E+001   0.2282612E+001  -0.1541468E+001
   0.1049583E+002   0.5984875E+001  -0.1182485E+002
   0.3512969E+001   0.1888015E+001  -0.3231447E+001
  -0.5343643E+001   0.4794923E+001   0.1049504E+000
   0.6931232E+000   0.5123943E+001   0.1378526E+000
   0.1744298E+001   0.2733067E+001  -0.1206913E+001
  -0.7831234E+001   0.4139996E+001  -0.4124428E+001
   0.6230715E+001  -0.2409987E+001   0.1904266E+001
   0.3625713E+001  -0.4073725E+001   0.7960712E+000
   0.6082976E+000  -0.2354670E+001  -0.6840787E-001
