# ~alp d~p/dz   Phi_p_sgs,z
  -0.5035359E+001   0.3717206E+000
  -0.4355649E+001   0.4351977E+000
  -0.5009146E+001   0.9101271E+000
  -0.6457355E+001   0.1506724E+001
  -0.3610157E+001   0.1807897E+001
  -0.1449327E+001   0.2379812E+001
  -0.8924094E+000   0.2995521E+001
  -0.1405786E+001   0.3520760E+001
  -0.2789768E+001   0.3737478E+001
  -0.6103435E+001   0.2700459E+001
  -0.1029783E+002   0.1617950E+001
  -0.1077256E+002   0.8408443E+000
  -0.8310673E+001   0.2080409E+000
  -0.7547383E+001  -0.2536348E-001
  -0.9381942E+001   0.1333846E-001
  -0.9252086E+001   0.7223923E-002
  -0.5775159E+001  -0.3095374E-001
  -0.2587436E+001   0.7229464E-002
  -0.1531890E+001   0.7852309E-002
  -0.1199665E+001   0.4522040E-002
  -0.1150112E+001   0.5484932E-003
  -0.1274936E+001  -0.4159743E-002
  -0.1547151E+001  -0.9869053E-002
  -0.2667859E+001  -0.5336405E-001
  -0.1338122E+002  -0.7858149E+000
  -0.2896855E+002  -0.6616586E+000
  -0.3901921E+002   0.9311737E-001
  -0.6159531E+002   0.1590826E+002
  -0.4706027E+002   0.9518094E+001
  -0.1549219E+002   0.5662356E+001
  -0.5208921E+001  -0.2036054E+001
   0.1247999E+001   0.1525463E+000
   0.7132390E+001  -0.1922214E+000
   0.1123123E+002   0.3230802E+001
   0.1689116E+002   0.1082104E+002
   0.8190271E+001   0.1267194E+002
  -0.1531910E+002   0.1920893E+002
  -0.6103662E+001   0.8141837E+000
  -0.4173108E+001   0.3767838E+000
  -0.4508194E+001   0.2869583E+000
  -0.5823959E+001   0.3933473E+000
  -0.7705224E+001   0.8777890E+000
  -0.8115848E+001   0.1284189E+001
  -0.4320227E+001  -0.1783813E+000
  -0.4760397E+000   0.1145910E-001
   0.3230459E+001   0.9714996E+000
   0.4742464E+001   0.2728449E+001
   0.4309159E+001   0.4100327E+001
   0.2419382E+001   0.3811823E+001
  -0.2334644E+001   0.3072933E+001
  -0.5930902E+001   0.1924347E+001
  -0.4744681E+001   0.4032448E+000
  -0.3330336E+001  -0.4154821E-001
  -0.4052428E+001  -0.9427355E-001
  -0.8172531E+001  -0.8145157E-002
  -0.1059468E+002   0.7079776E-001
  -0.7232924E+001  -0.6847128E-001
  -0.2838760E+001   0.4911009E-001
  -0.1607185E+001   0.2487882E-001
  -0.1260714E+001   0.1327749E-001
  -0.1164269E+001   0.8297332E-002
  -0.1179802E+001   0.4240882E-002
  -0.1289833E+001  -0.5726076E-003
  -0.1591368E+001  -0.5959455E-002
  -0.4605698E+001  -0.1710806E+000
  -0.2100090E+002  -0.1400960E+001
  -0.5633252E+002  -0.6960868E+001
  -0.9668105E+002   0.2350914E+002
  -0.5181286E+002   0.1437336E+002
  -0.9388433E+001   0.1599038E+002
  -0.2383145E+001   0.2897389E+000
   0.1261210E+001   0.2286732E+000
   0.4881544E+001  -0.3472486E+000
   0.6470942E+001   0.7365579E+000
   0.1089862E+002   0.8205381E+001
   0.1909695E+000   0.1818124E+002
  -0.1743541E+002   0.2410439E+002
  -0.3788875E+001   0.1114579E+000
  -0.3937081E+001   0.9885630E-001
  -0.6979291E+001   0.4365715E+000
  -0.9965000E+001   0.6120028E+000
  -0.1026339E+002   0.4021582E+000
  -0.7789178E+001  -0.6890785E-001
  -0.2142740E+001  -0.5354178E+000
   0.1069803E+001   0.2462633E+000
   0.9660119E+001   0.1730718E+002
   0.2484362E+002   0.5584124E+002
   0.2839443E+002   0.6293640E+002
   0.1406464E+002   0.2905529E+002
   0.1706952E+001   0.3673106E+001
  -0.1530738E+001   0.5537096E+000
  -0.1707523E+001   0.1342210E-002
  -0.2117424E+001   0.1061342E+000
  -0.2896373E+001   0.1473864E+000
  -0.6551281E+001   0.6415698E-003
  -0.1132739E+002   0.3654395E+000
  -0.8916642E+001  -0.2169240E-001
  -0.3587223E+001   0.2828758E+000
  -0.1821421E+001   0.9288325E-001
  -0.1441497E+001   0.3743493E-001
  -0.1349070E+001   0.2602786E-001
  -0.1318587E+001   0.2068027E-001
  -0.1334743E+001   0.9619679E-002
  -0.1509737E+001   0.1930154E-002
  -0.2289913E+001  -0.1037050E-001
  -0.1246675E+002  -0.1092892E+001
  -0.5435115E+002  -0.5541842E+001
  -0.9341496E+002   0.1989474E+002
  -0.5419356E+002   0.1869657E+002
  -0.1340504E+002   0.1576519E+002
  -0.4374150E+001   0.1106095E+001
  -0.1099555E+001  -0.3188707E+000
   0.2231939E+001  -0.1217258E+001
   0.2835152E+001   0.5892767E-001
   0.1155559E+001   0.5590821E+001
  -0.7829804E+001   0.1387189E+002
  -0.1056078E+002   0.1163712E+002
  -0.3256102E+001   0.3682303E-001
  -0.5285480E+001   0.1832769E+000
  -0.9128679E+001   0.4485075E+000
  -0.1081139E+002   0.2799843E+000
  -0.8677587E+001  -0.2456380E+000
  -0.5083468E+001  -0.6114791E+000
  -0.2834051E+000  -0.1896278E+000
   0.2054940E+001   0.2791304E+001
   0.2230721E+002   0.7346843E+002
   0.9346076E+002   0.2373946E+003
   0.1348942E+003   0.2909388E+003
   0.6271416E+002   0.1580006E+003
   0.6571351E+001   0.2436940E+002
  -0.1797439E+000   0.7159682E+000
  -0.1008657E+001  -0.6362002E-001
  -0.2147882E+001   0.9251677E-001
  -0.3900956E+001   0.5085121E+000
  -0.6612224E+001   0.6483932E+000
  -0.1130608E+002   0.1701430E+001
  -0.1000124E+002   0.1555151E+001
  -0.5697912E+001   0.2036083E+001
  -0.2667788E+001   0.4689622E+000
  -0.2026188E+001   0.1081507E+000
  -0.1978183E+001   0.5802624E-001
  -0.2009895E+001   0.5894305E-001
  -0.2035346E+001   0.5230564E-001
  -0.2086601E+001   0.1951727E-001
  -0.2685919E+001   0.1761189E-002
  -0.8932282E+001   0.5663570E+000
  -0.3761814E+002   0.2291565E+002
  -0.5109957E+002   0.3038529E+002
  -0.3872651E+002   0.2207268E+002
  -0.1196796E+002   0.1038358E+001
  -0.6679905E+001   0.1635760E+001
  -0.6787416E+001   0.1253370E+001
  -0.4285608E+001   0.2444467E+000
  -0.3617950E+001   0.1855014E+001
  -0.4901709E+001   0.3608592E+001
  -0.4862615E+001   0.3059949E+001
  -0.2920502E+001   0.6760925E+000
  -0.2807581E+001  -0.7936796E-002
  -0.4769996E+001   0.6649722E-001
  -0.6810586E+001   0.6993072E-001
  -0.6537711E+001  -0.1813480E+000
  -0.3965021E+001  -0.5104438E+000
  -0.1648397E+001  -0.4363501E+000
   0.1273897E+001   0.5699229E+000
   0.4131040E+001   0.5267657E+001
   0.4021301E+002   0.1236244E+003
   0.2114385E+003   0.4430053E+003
   0.3284245E+003   0.5051395E+003
   0.1459380E+003   0.2622426E+003
   0.1510285E+002   0.4281204E+002
   0.9364787E-001   0.1568367E+001
  -0.6910810E+000  -0.1617573E-001
  -0.1976677E+001   0.8969316E-001
  -0.5712506E+001   0.7251283E+000
  -0.9963052E+001   0.2643602E+001
  -0.9839801E+001   0.6652688E+001
  -0.2275156E+001   0.9684031E+001
  -0.2538162E+001   0.1091668E+002
