 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
   0.1313152E+003   0.1270112E+003
   0.2340636E+003   0.2278689E+003
   0.2371756E+003   0.2350897E+003
   0.2413713E+003   0.2426070E+003
   0.1777333E+003   0.1755659E+003
   0.3133182E+002   0.2767760E+002
  -0.5586227E+002  -0.5479767E+002
  -0.2514515E+002  -0.2449937E+002
   0.4127354E+002   0.4142526E+002
   0.1065727E+003   0.1036089E+003
   0.9974042E+002   0.9421633E+002
   0.6646270E+002   0.6465478E+002
   0.4987156E+002   0.4951135E+002
   0.4559780E+001   0.2166688E+001
  -0.3833123E+002  -0.4353251E+002
  -0.3685429E+002  -0.4016949E+002
  -0.1692489E+002  -0.1697789E+002
  -0.4286221E+002  -0.4223328E+002
  -0.1274261E+003  -0.1255995E+003
  -0.1878048E+003  -0.1873033E+003
  -0.1268404E+003  -0.1435975E+003
   0.4042028E+002   0.2235547E+002
   0.6968658E+002   0.7095130E+002
   0.9249892E+002   0.8621647E+002
   0.1430646E+003   0.1206475E+003
   0.6210435E+002   0.4287756E+002
  -0.1235102E+003  -0.1336288E+003
  -0.2843044E+003  -0.2884652E+003
  -0.2527460E+003  -0.2522686E+003
  -0.2358957E+003  -0.2321711E+003
  -0.2663820E+003  -0.2695435E+003
  -0.2321683E+003  -0.2424968E+003
  -0.9425068E+002  -0.9475196E+002
  -0.1950598E+002  -0.2212555E+002
   0.7250825E+002   0.6987185E+002
   0.1468945E+003   0.1474085E+003
   0.1721545E+003   0.1732655E+003
   0.1322993E+003   0.1320176E+003
   0.4901625E+002   0.5321814E+002
   0.2844759E+002   0.2317903E+002
   0.4377943E+002   0.4346272E+002
   0.1219173E+003   0.1267233E+003
   0.1677288E+003   0.1710321E+003
   0.1685106E+003   0.1720193E+003
   0.1208540E+003   0.1171207E+003
   0.2089532E+002   0.1684517E+002
  -0.7004508E+002  -0.6931978E+002
  -0.9224158E+002  -0.9252133E+002
   0.1456454E+002   0.1263661E+002
   0.2166355E+003   0.2137932E+003
   0.2608363E+003   0.2493055E+003
   0.1662319E+003   0.1650672E+003
   0.1097689E+003   0.1102266E+003
  -0.4375570E+001  -0.7427173E+001
  -0.6176227E+002  -0.6618462E+002
  -0.4912003E+002  -0.4992587E+002
  -0.1919687E+002  -0.1915386E+002
  -0.3685978E+002  -0.3611726E+002
  -0.9049022E+002  -0.8917487E+002
  -0.1135453E+003  -0.1130896E+003
  -0.4233282E+002  -0.5497471E+002
   0.1589012E+003   0.1428363E+003
   0.2433482E+003   0.2364168E+003
   0.1659939E+003   0.1534247E+003
   0.7503717E+002   0.5725323E+002
  -0.3587295E+002  -0.5405202E+002
  -0.2240469E+003  -0.2292867E+003
  -0.4519222E+003  -0.4416360E+003
  -0.3546261E+003  -0.3454009E+003
  -0.2794812E+003  -0.2722695E+003
  -0.2951118E+003  -0.2992702E+003
  -0.2229979E+003  -0.2258698E+003
  -0.1025316E+003  -0.1012439E+003
  -0.5025308E+002  -0.5094403E+002
   0.2686776E+002   0.2328636E+002
   0.1251432E+003   0.1267870E+003
   0.2182985E+003   0.2253478E+003
   0.1921844E+003   0.1914294E+003
   0.7774483E+002   0.7871405E+002
   0.9852935E+001   0.9719221E+001
   0.6978149E+001   0.6964152E+001
   0.4916956E+002   0.5116054E+002
   0.8868993E+002   0.9017494E+002
   0.5753522E+002   0.6257051E+002
  -0.9210716E+002  -0.5275231E+002
  -0.6917485E+002  -0.3532552E+002
   0.2367145E+002   0.2605594E+002
  -0.1348250E+002  -0.2181528E+002
   0.8229139E+002   0.7955583E+002
   0.3056752E+003   0.3000916E+003
   0.3193203E+003   0.3113476E+003
   0.1988983E+003   0.1986046E+003
   0.1045991E+003   0.1040923E+003
  -0.3438751E+002  -0.3497632E+002
  -0.7174423E+002  -0.7229627E+002
  -0.4716844E+002  -0.4721157E+002
  -0.2335773E+002  -0.2321481E+002
  -0.5718178E+002  -0.5560453E+002
  -0.6580377E+002  -0.6514191E+002
  -0.3474569E+002  -0.3428159E+002
   0.7289689E+002   0.6590370E+002
   0.2926432E+003   0.2855019E+003
   0.3435429E+003   0.3394957E+003
   0.1690733E+003   0.1630881E+003
  -0.6035135E+001  -0.1251001E+002
  -0.1065446E+003  -0.1113023E+003
  -0.2270956E+003  -0.2291730E+003
  -0.4697293E+003  -0.4539928E+003
  -0.3901587E+003  -0.3769944E+003
  -0.2785620E+003  -0.2698818E+003
  -0.2679557E+003  -0.2635053E+003
  -0.1809440E+003  -0.1771511E+003
  -0.1217880E+003  -0.1202267E+003
  -0.1022911E+003  -0.1008151E+003
  -0.3501489E+002  -0.3668764E+002
   0.9177616E+002   0.9411662E+002
   0.2104245E+003   0.2203985E+003
   0.1796895E+003   0.1783287E+003
   0.5891351E+002   0.6002184E+002
   0.1826973E+001   0.1628119E+001
   0.3243507E+001   0.3224103E+001
   0.1940062E+002   0.2011573E+002
   0.1300560E+002   0.1368907E+002
  -0.1099326E+003  -0.9243594E+002
  -0.4398422E+003  -0.3240675E+003
  -0.2324510E+003  -0.1541066E+003
   0.2924891E+003   0.2894045E+003
   0.2902010E+003   0.2570771E+003
   0.2350227E+003   0.2273044E+003
