#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.2102714E-001   0.9538792E-004  -0.1313328E+000   0.2784548E+000   0.2744870E+000   0.2178829E-001
   0.2449229E-001   0.6607362E-004  -0.1673473E+000   0.3141975E+000   0.3044304E+000   0.2606834E-001
   0.2681979E-001   0.1478256E-003  -0.1522874E+000  -0.2373961E-002   0.4313081E-001   0.1836631E-001
   0.2435729E-001   0.1825047E-003  -0.1536145E+000  -0.2104702E+000  -0.2943930E+000   0.1697158E-001
   0.4243680E-001   0.6639162E-003  -0.8499560E-002  -0.2740453E+000  -0.4253260E+000   0.1000607E-001
   0.2238126E-001   0.2653653E-004  -0.2173180E+000  -0.1420906E+000  -0.5646961E-001   0.4875425E-001
   0.5928971E-001   0.1038174E-003  -0.3508807E+000   0.3392938E-001  -0.1389567E+000   0.1910095E-001
   0.1102643E+000   0.1214719E-002  -0.3104961E+000   0.7617783E-001  -0.5567093E+000   0.2905428E-002
   0.2302945E+000   0.2736214E-002  -0.3076643E+000   0.7244095E-001  -0.6093780E+000   0.2191785E-002
   0.1572742E+000   0.4326830E-002  -0.1626338E+000   0.1380216E+000  -0.3343655E+000   0.8256686E-002
   0.1305459E+000   0.1985574E-002   0.7670455E-003   0.1129071E+000  -0.8391429E+000   0.7584585E-002
   0.3058059E+000   0.2310232E-002   0.1763296E+000   0.4254588E-001  -0.1599105E+001   0.1388112E-002
   0.3000203E+000   0.4775255E-002   0.1890062E+000   0.1065522E-001  -0.1630415E+001   0.3992759E-003
   0.3848461E+000   0.4801629E-002   0.2134754E+000  -0.1613720E+000  -0.9090565E+000   0.5507480E-003
   0.8752735E-001   0.4030670E-002   0.1368696E+000  -0.8237115E-001  -0.1956516E+000   0.1834343E-001
   0.3028374E-001   0.1837343E-003  -0.8253643E-001   0.1023275E+000  -0.5411269E-002   0.2799037E-001
   0.2409504E-001   0.3155143E-004   0.1522092E-001   0.1252786E+000   0.4434357E+000   0.6891391E-001
   0.8530492E-002   0.7285004E-005   0.8123308E-001   0.2080129E+000   0.1214154E+001   0.1242078E+000
   0.1428382E-001   0.3014850E-004  -0.1148960E+000   0.2217367E+000   0.1547757E+001   0.7467100E-001
   0.5406344E-001   0.2639419E-004   0.4713640E-001   0.1664565E+000   0.1802615E+001   0.2534958E-001
   0.3239872E-001   0.1563694E-003   0.6088440E-001   0.1312783E+000   0.1009572E+001   0.4529527E-001
   0.4617600E-002   0.1438092E-005  -0.2262190E+000  -0.1398071E+000   0.1345937E+001   0.4369994E-001
   0.6440603E-002   0.2075927E-005  -0.3967202E+000  -0.1172284E+000   0.1833240E+001   0.4519530E-001
   0.1916248E-001   0.2502098E-004  -0.4110469E+000  -0.5410094E-001   0.1783501E+001   0.1081097E+000
   0.1270526E+000   0.2676678E-002  -0.1509885E+000   0.1800881E+000   0.7892731E+000   0.2260234E-001
   0.1432584E+000   0.1966423E-002  -0.2452399E+000   0.1663858E+000   0.5891044E+000   0.4038707E-002
   0.1067573E+000   0.6654539E-003  -0.2807327E+000   0.1677585E+000   0.3642495E+000   0.5404573E-002
   0.2203531E+000   0.1242245E-001  -0.1531945E+000   0.1354615E+000   0.5142712E-001   0.4004125E-002
   0.8651581E-001   0.5294940E-003  -0.8994460E-001  -0.3402943E-001   0.5036166E+000   0.1741390E-001
   0.2594029E-001   0.1330262E-003  -0.9012603E-001   0.4271346E-001   0.4513878E+000   0.3970474E-001
   0.9827727E-002   0.6259603E-005  -0.1751093E+000   0.7144729E-001   0.7637997E+000   0.7141439E-001
   0.9688697E-002   0.5597204E-005  -0.2573159E+000  -0.1739205E-001   0.8614652E+000   0.5809848E-001
   0.1576654E-001   0.4034295E-004  -0.1450657E+000  -0.1463603E+000   0.1074353E+001   0.6334382E-001
   0.3102831E-001   0.3652063E-004   0.1704765E-001  -0.2254229E+000   0.1406541E+001   0.8023228E-001
   0.4239049E-001   0.5278153E-004   0.2787333E-002  -0.3864445E-001   0.1788013E+001   0.1047822E+000
   0.1219956E-001   0.1153758E-004  -0.1817509E-002  -0.1392825E+000   0.1327672E+001   0.1230594E+000
   0.8167980E-001   0.1084486E-002   0.1739149E+000  -0.1425628E+000   0.2419982E+000   0.1995271E-001
   0.7153176E-001   0.1004177E-002   0.1215535E+000  -0.6754809E-001   0.2562947E+000   0.9413935E-002
   0.5785529E-001   0.2033834E-003   0.2230708E+000  -0.1334501E+000   0.3460366E+000   0.1091548E-001
   0.7398887E-001   0.1373671E-002   0.8002853E-001  -0.5444993E-001   0.3524157E+000   0.1648034E-001
   0.4962506E-001   0.6160061E-003  -0.6882094E-001   0.2901388E+000   0.6363183E-001   0.9250527E-002
   0.1759178E-001   0.1454196E-004  -0.7421069E-001   0.2652130E+000   0.2485430E+000   0.8779581E-002
   0.1272119E-001   0.3608177E-005  -0.7368288E-001   0.1370938E-001   0.3179325E+000   0.1110091E-001
   0.6592245E-002   0.1001752E-005  -0.1753426E+000  -0.2262504E+000   0.4591420E+000   0.5049200E-001
   0.2833618E-001   0.3041079E-003   0.1342961E-001  -0.2605934E+000  -0.3089252E+000   0.2487830E-001
   0.2318988E-001   0.2231002E-004  -0.1859883E+000  -0.6678476E-001  -0.1319908E+000   0.3926535E-001
   0.7302004E-001   0.2989414E-003  -0.2519497E+000   0.9017115E-001  -0.4419745E+000   0.4436891E-002
   0.8888911E-001   0.1228018E-002  -0.1913452E+000   0.1110935E+000  -0.6795066E+000   0.9945096E-003
   0.3387618E-001   0.4356289E-003  -0.1435557E+000   0.6343797E-001  -0.7772729E+000   0.9906718E-002
   0.2146359E-001   0.2857719E-003  -0.7147309E-001   0.1113521E+000  -0.1026474E+001   0.3764535E-001
   0.2326809E+000   0.9551589E-002   0.1774147E+000   0.2814692E-001  -0.1724421E+001   0.1548876E-002
   0.3004778E+000   0.4301120E-002   0.1715023E+000   0.3106936E-002  -0.1826634E+001   0.1198543E-003
   0.2372671E+000   0.1430395E-002   0.1475415E+000   0.2598326E-001  -0.1694085E+001   0.1969335E-003
   0.4071453E+000   0.3438917E-002   0.1755606E+000   0.3944372E-001  -0.1213471E+001   0.5475177E-003
   0.3069111E+000   0.1064857E-001   0.2420750E+000   0.8102479E-002  -0.6578313E+000   0.5323576E-002
   0.2594261E-001   0.5737855E-003   0.1306687E-001   0.1248590E-001   0.3577504E+000   0.4760130E-001
   0.9697722E-002   0.9740805E-006  -0.1797181E-001  -0.6244735E-001   0.1286050E+001   0.1017042E+000
   0.6756745E-002   0.1960078E-005  -0.1012563E-001   0.6255638E-001   0.1842891E+001   0.4396755E-001
   0.3292828E-001   0.3164364E-003  -0.4113972E-001   0.1774783E+000   0.1949827E+001   0.1262991E-001
   0.4451304E-001   0.9445945E-004   0.3216334E-001   0.2322688E+000   0.1843827E+001   0.1171051E-001
   0.2397149E-001   0.1107961E-004  -0.4056919E-001   0.2065665E+000   0.1161737E+001   0.4676617E-001
   0.5329789E-002   0.2354829E-005  -0.2905561E+000  -0.3638610E-001   0.1246556E+001   0.4366934E-001
   0.7967290E-002   0.4097656E-005  -0.3553665E+000  -0.1581049E-001   0.1711102E+001   0.5950947E-001
   0.2203005E-001   0.3120042E-004  -0.3075528E+000   0.1547428E+000   0.1459790E+001   0.9316107E-001
   0.1239357E+000   0.1004405E-002  -0.1263627E+000   0.2208891E+000   0.7395644E+000   0.1135794E-001
   0.5653064E-001   0.1050558E-002  -0.2195427E+000   0.1688858E+000   0.5271755E+000   0.4805455E-002
   0.6175940E-001   0.2937893E-002  -0.1887304E+000   0.2389643E+000   0.7380047E-001   0.3107200E-002
   0.1173323E+000   0.4938434E-002  -0.1123403E+000   0.2092863E+000  -0.1155211E+000   0.3851242E-002
   0.1244759E+000   0.3041722E-002  -0.8174474E-001   0.1713318E+000   0.1527069E+000   0.9027987E-002
   0.5878607E-001   0.3316703E-003  -0.2043190E-001   0.1376479E+000   0.2769011E+000   0.1398309E-001
   0.6705910E-001   0.3879537E-002   0.9190522E-001   0.1873373E+000   0.4468118E-001   0.1226880E-001
   0.3672060E-001   0.9820201E-003   0.1850956E+000   0.1793432E+000   0.2165989E-001   0.1444200E-001
   0.3364398E-001   0.1401115E-003   0.1130924E+000   0.1939402E+000   0.2027191E-001   0.1753539E-001
   0.6740752E-001   0.9922111E-003   0.2424552E-001   0.1836941E+000   0.4391865E-001   0.2098705E-001
