#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.9565752E+000   0.3474328E-002   0.1199882E+000   0.6788898E-001   0.6323119E+000   0.1128816E-036
   0.9536468E+000   0.3649565E-002   0.1070142E+000   0.6303386E-001   0.5488391E+000   0.1132282E-036
   0.9540444E+000   0.3542421E-002   0.9267716E-001   0.4461294E-001   0.4890497E+000   0.1131810E-036
   0.9617651E+000   0.1654822E-002   0.7825092E-001   0.1971009E-001   0.4323264E+000   0.1122724E-036
   0.9634462E+000   0.1425142E-002   0.6801099E-001  -0.1060152E-001   0.3952620E+000   0.1120765E-036
   0.9650048E+000   0.1442152E-002   0.6832343E-001  -0.4488223E-001   0.4005568E+000   0.1118955E-036
   0.9682673E+000   0.1328841E-002   0.7526665E-001  -0.9429102E-001   0.4349734E+000   0.1115185E-036
   0.9708119E+000   0.9802588E-003   0.8548900E-001  -0.1435069E+000   0.4124715E+000   0.1112262E-036
   0.9721794E+000   0.6281306E-003   0.1015501E+000  -0.1836033E+000   0.3723673E+000   0.1110697E-036
   0.9703241E+000   0.7019099E-003   0.1077760E+000  -0.2118785E+000   0.3341326E+000   0.1112821E-036
   0.9640795E+000   0.1076956E-002   0.8661171E-001  -0.2228754E+000   0.2723217E+000   0.1120029E-036
   0.9536318E+000   0.1611155E-002   0.4640103E-001  -0.2141337E+000   0.1587035E+000   0.1132300E-036
   0.9508601E+000   0.1661443E-002   0.1158150E-001  -0.2022296E+000   0.1067086E+000   0.1135600E-036
   0.9547043E+000   0.1771917E-002  -0.2308299E-001  -0.2120079E+000   0.2090170E+000   0.1131028E-036
   0.9612392E+000   0.1759912E-002  -0.6530244E-001  -0.2251793E+000   0.3525013E+000   0.1123338E-036
   0.9672867E+000   0.1543481E-002  -0.9981340E-001  -0.2295299E+000   0.4590484E+000   0.1116315E-036
   0.9747131E+000   0.7777198E-003  -0.1145478E+000  -0.2299273E+000   0.5500981E+000   0.1107810E-036
   0.9728994E+000   0.1152795E-002  -0.1143586E+000  -0.2126810E+000   0.6051361E+000   0.1109875E-036
   0.9645529E+000   0.1845824E-002  -0.1034945E+000  -0.1686430E+000   0.5708745E+000   0.1119479E-036
   0.9517865E+000   0.2568172E-002  -0.6355209E-001  -0.1218879E+000   0.4405563E+000   0.1134495E-036
   0.9405934E+000   0.3283007E-002  -0.9904932E-002  -0.7912378E-001   0.3519424E+000   0.1147996E-036
   0.9360275E+000   0.3720783E-002   0.4156045E-001  -0.3234493E-001   0.3371377E+000   0.1153595E-036
   0.9376835E+000   0.3765324E-002   0.8196646E-001   0.8107133E-002   0.3798276E+000   0.1151558E-036
   0.9419069E+000   0.3478090E-002   0.1146944E+000   0.4115850E-001   0.4384868E+000   0.1146395E-036
   0.9503823E+000   0.3074801E-002   0.1251013E+000   0.9467738E-001   0.5364566E+000   0.1136171E-036
   0.9582896E+000   0.2104059E-002   0.1033541E+000   0.1480611E+000   0.5866066E+000   0.1126796E-036
   0.9561326E+000   0.1855090E-002   0.6686905E-001   0.1476848E+000   0.5520865E+000   0.1129338E-036
   0.9541193E+000   0.1649021E-002   0.1269583E-001   0.1192049E+000   0.5100909E+000   0.1131721E-036
   0.9484092E+000   0.1864268E-002  -0.5035202E-001   0.8017105E-001   0.4872837E+000   0.1138535E-036
   0.9462904E+000   0.1983310E-002  -0.9798759E-001   0.1449291E-001   0.5592293E+000   0.1141084E-036
   0.9460834E+000   0.2015690E-002  -0.1128349E+000  -0.5088498E-001   0.7020806E+000   0.1141334E-036
   0.9543052E+000   0.1589505E-002  -0.1009182E+000  -0.7382728E-001   0.9410188E+000   0.1131501E-036
   0.9598390E+000   0.1568380E-002  -0.6176517E-001  -0.8046086E-001   0.1197199E+001   0.1124977E-036
   0.9698868E+000   0.1038660E-002  -0.7998607E-002  -0.9097761E-001   0.1463107E+001   0.1113323E-036
   0.9751961E+000   0.6501926E-003   0.3864895E-001  -0.8749573E-001   0.1576881E+001   0.1107261E-036
   0.9762403E+000   0.5424975E-003   0.7516766E-001  -0.7912187E-001   0.1530480E+001   0.1106077E-036
   0.9769060E+000   0.5661410E-003   0.1021314E+000  -0.6030463E-001   0.1426725E+001   0.1105323E-036
   0.9710891E+000   0.1469975E-002   0.1170159E+000  -0.2073602E-001   0.1255125E+001   0.1111944E-036
   0.9602436E+000   0.3486850E-002   0.1242967E+000   0.2673170E-001   0.1008381E+001   0.1124503E-036
   0.9572905E+000   0.3510912E-002   0.1263791E+000   0.5908388E-001   0.7740236E+000   0.1127972E-036
   0.9656565E+000   0.2035080E-002   0.1442086E+000   0.7928028E-001   0.7367679E+000   0.1118200E-036
   0.9617231E+000   0.2274635E-002   0.1285776E+000   0.6293550E-001   0.6053463E+000   0.1122773E-036
   0.9563239E+000   0.2641768E-002   0.1100374E+000   0.3223739E-001   0.4762261E+000   0.1129112E-036
   0.9555927E+000   0.2233831E-002   0.9243050E-001  -0.7093292E-002   0.3550586E+000   0.1129976E-036
   0.9545092E+000   0.2129985E-002   0.7952260E-001  -0.5087328E-001   0.2828770E+000   0.1131259E-036
   0.9547496E+000   0.2152661E-002   0.7784298E-001  -0.9783556E-001   0.2807095E+000   0.1130974E-036
   0.9573231E+000   0.2089552E-002   0.9002927E-001  -0.1465155E+000   0.3240435E+000   0.1127934E-036
   0.9617175E+000   0.1593007E-002   0.1109895E+000  -0.1812642E+000   0.3284053E+000   0.1122780E-036
   0.9657516E+000   0.8921140E-003   0.1282342E+000  -0.2059371E+000   0.3148629E+000   0.1118090E-036
   0.9655213E+000   0.7336467E-003   0.1292373E+000  -0.2164228E+000   0.2876651E+000   0.1118356E-036
   0.9608226E+000   0.1005040E-002   0.1053868E+000  -0.2113656E+000   0.2383585E+000   0.1123826E-036
   0.9538300E+000   0.1390670E-002   0.6747893E-001  -0.2013059E+000   0.1742601E+000   0.1132064E-036
