#dalpdx  dalpdy   dalpdz
   0.1614332E+001  -0.1561406E+001  -0.4774335E+001
  -0.2173047E-001   0.7134821E+000  -0.3169583E+001
  -0.1483182E+001   0.1286360E+001  -0.1823879E+001
  -0.3886997E+001   0.1939641E+001  -0.1577808E+001
   0.4250806E+000   0.1106890E+001  -0.2479979E+001
   0.1437708E+001   0.7402966E+000  -0.2291044E+001
   0.9748094E+000   0.1040894E+001  -0.1926297E+001
  -0.5080534E-001   0.6113810E+000  -0.1294169E+001
  -0.4351313E+001  -0.3052511E+000   0.9290807E+000
  -0.2732247E+001  -0.1694286E+001   0.2561758E+001
   0.7476751E+000  -0.2602571E+001   0.2384865E+001
   0.2879612E+001  -0.2024153E+001   0.1753019E+001
   0.3331799E+001  -0.5189059E+000   0.1158804E+001
   0.2379796E+001  -0.1633638E+001  -0.3610580E+000
  -0.8647755E+000  -0.1429366E+001  -0.1266418E+001
  -0.2388523E+000  -0.3040305E+000  -0.1151867E+001
   0.2364442E+001   0.3007223E+000  -0.1543608E+001
   0.4286756E+001   0.9165286E+000  -0.1568562E+001
   0.6960427E+001   0.9432940E+000  -0.3588666E+001
   0.1483352E+001   0.7549841E+000  -0.8265409E+001
  -0.4280141E+001   0.1653168E-002  -0.1044744E+002
   0.4742800E+001  -0.1273720E+001  -0.9107471E+001
  -0.2884259E+001  -0.6186251E+001  -0.8991019E+001
   0.1052611E+001  -0.1030228E+002  -0.7085965E+001
   0.1096312E+002  -0.1422701E+002  -0.6383646E+001
  -0.4553830E+001  -0.1762969E+002  -0.7679311E+001
  -0.6399710E+001  -0.1461101E+002  -0.8371280E+001
  -0.5228958E+001  -0.9864438E+001  -0.5765513E+001
  -0.1139198E+002  -0.5676749E+001  -0.3022129E+001
  -0.5348827E+001  -0.9269291E+000  -0.2122733E+001
  -0.1658095E+001   0.4651606E+000  -0.6924721E+000
   0.2231559E+000   0.8108252E+000  -0.2767795E+000
   0.3786616E+001   0.8843768E+000  -0.2635515E+000
   0.2764957E+001   0.6193221E+000   0.1640308E+001
   0.8558178E+000   0.1831544E+001   0.3059980E+001
   0.3895313E+000   0.6510079E+000   0.3723649E+001
  -0.2632838E+001  -0.5893667E-001   0.3152539E+001
  -0.1960682E+001  -0.1510118E+000   0.8563474E+000
   0.1586038E+001  -0.1615954E+000  -0.6451861E+000
   0.4363015E+001   0.1065461E+001  -0.1740895E+001
   0.3240529E+001   0.2071431E+001  -0.2056288E+001
   0.6326971E+000   0.2476984E+001  -0.8876352E+000
  -0.1600234E+001   0.3606804E+001  -0.5240551E+000
  -0.4328040E+001   0.3095392E+001  -0.1396772E+001
   0.3062646E+000   0.2649237E+001  -0.3236640E+001
   0.1579134E+001   0.2894825E+001  -0.3177193E+001
   0.4802176E+000   0.7377216E+000  -0.2648836E+001
  -0.7393216E+000  -0.7640536E+000  -0.1624465E+001
  -0.5189833E+001  -0.1186244E+001   0.8600594E+000
  -0.3558242E+001  -0.1709719E+001   0.2225121E+001
  -0.4524763E-001  -0.2049321E+001   0.1763547E+001
   0.3815187E+001  -0.2582473E+001   0.1141550E+001
   0.3748221E+001  -0.1905058E+001   0.3151451E+000
   0.3043678E+001  -0.3298923E+001  -0.3429759E+000
  -0.3732612E+000  -0.2262900E+001  -0.8098340E+000
   0.1159305E+001  -0.1602334E+001  -0.8760024E+000
   0.3409668E+001   0.1747108E-001  -0.1479833E+001
   0.4601491E+001   0.2601851E+001  -0.1932324E+001
   0.7238948E+001   0.3311758E+001  -0.3623561E+001
   0.3005210E+001   0.4972297E+001  -0.7108910E+001
  -0.5548659E+001   0.4373357E+001  -0.8161600E+001
   0.1851123E+000   0.7647054E-001  -0.6921513E+001
  -0.5443283E+001  -0.1910990E+001  -0.6304853E+001
  -0.4307123E+001  -0.4811218E+001  -0.4352988E+001
   0.6247196E+001  -0.9701550E+001  -0.4689252E+001
  -0.3756677E+001  -0.1332378E+002  -0.6416083E+001
  -0.4398157E+001  -0.1286820E+002  -0.7265707E+001
  -0.1821366E+001  -0.1282888E+002  -0.5351867E+001
  -0.6815776E+001  -0.9418478E+001  -0.2841019E+001
  -0.1180520E+001  -0.3562198E+001  -0.1777314E+001
  -0.4057923E+000  -0.1624227E+001  -0.2514688E+000
   0.2952385E+000  -0.5032186E+000  -0.2986401E+000
   0.4087419E+001  -0.2237187E+000  -0.8091413E+000
   0.3474800E+001   0.1084999E+001   0.8363054E+000
   0.1520922E+001   0.2305299E+001   0.1874640E+001
   0.8262041E-001   0.2782105E+001   0.2051950E+001
  -0.2698326E+001   0.2718984E+001   0.2188603E+001
  -0.2327844E+001   0.2211420E+001   0.3962459E+000
   0.1968991E+001   0.1548293E+001  -0.1062737E+001
   0.5198842E+001   0.1886041E+001  -0.7518317E+000
   0.3220123E+001   0.1591623E+001  -0.8204013E+000
   0.2460803E+001   0.2276091E+001   0.1158036E+000
