#dalpdx  dalpdy   dalpdz
   0.7324102E+000  -0.4517678E+001   0.1343204E+001
   0.6621217E+000  -0.1888679E+001   0.1386879E+001
  -0.1676409E+001   0.2220610E+001   0.4899071E+000
  -0.2059293E+001   0.3928182E+001   0.8604221E+000
  -0.4485810E+000   0.3661777E+001   0.1414506E+001
  -0.3738510E+001  -0.7280212E+000   0.2443502E+001
  -0.4931893E+001  -0.3974091E+001   0.4795522E+001
  -0.5470058E+001  -0.6120103E+001   0.6546767E+001
  -0.3005177E+001  -0.6164755E+001   0.7385533E+001
  -0.1017818E+002  -0.8365868E+001   0.3859957E+001
  -0.1373144E+002  -0.6573132E+001   0.2355906E+001
  -0.1472509E+002  -0.7045068E+001   0.5125301E+001
   0.4953464E+000  -0.1204707E+002   0.6487121E+001
   0.1668596E+002  -0.1457993E+002   0.4980623E+001
   0.1970472E+002  -0.1218615E+002   0.1529351E+001
   0.1871562E+002  -0.3875549E+001   0.1122663E+000
   0.4278115E+001   0.3625790E+001   0.2049049E+001
   0.3996893E+000   0.1544770E+001   0.1243520E+001
  -0.2753961E+001   0.1797912E+000   0.3245125E+000
   0.8009015E+000  -0.2940975E+000   0.2960832E-002
   0.3363866E+001  -0.8475741E+000  -0.9791870E+000
   0.2899961E+001  -0.7615779E+000  -0.1522735E+001
  -0.5391279E+001  -0.1881032E+001  -0.3516556E+001
  -0.1045691E+002  -0.8702588E+000  -0.7026053E+001
  -0.6338281E+001   0.2096876E+000  -0.3496813E+001
  -0.1918772E+001   0.1907218E+001  -0.8115092E-001
   0.3764501E-001   0.1387182E+001   0.4856214E+001
   0.1721960E+001   0.1130203E+001   0.3177217E+001
   0.2035668E+001   0.2249880E+001   0.2192833E+001
   0.7741114E+001   0.4047440E+001   0.3489630E+001
   0.5733533E+001   0.4060057E+001   0.3659231E+001
   0.9811697E+000   0.1996337E-001   0.3532804E+001
  -0.7240484E+000  -0.5845334E+001   0.2482053E+001
  -0.7339660E+000  -0.8648156E+001   0.1903234E+001
  -0.8437691E+000  -0.8692151E+001  -0.1709137E+000
  -0.1112730E+000  -0.5293341E+001  -0.1764755E+001
   0.3356518E+000  -0.2039701E+001  -0.1929234E+001
  -0.7053240E-001  -0.1547778E+001  -0.1318911E+001
   0.3770362E+000  -0.2736097E+001   0.8425484E-001
   0.1158613E+001  -0.4686795E+001   0.1035689E+001
   0.1307607E+001  -0.9259816E+001  -0.3344025E+000
   0.4691593E+001  -0.9081453E+001   0.6875752E+000
   0.1243370E+001  -0.4982582E+001  -0.2777707E+000
  -0.3527500E+000  -0.1395380E+001  -0.9618739E-001
  -0.1793338E+001   0.6183185E+000   0.7523937E+000
  -0.6928460E+001  -0.9304485E+000   0.3482293E+001
  -0.6967363E+001  -0.2038783E+001   0.8093328E+001
  -0.4522182E+001  -0.3292959E+000   0.1171389E+002
  -0.3709268E+001   0.1532278E+001   0.1302036E+002
  -0.9597927E+001   0.3144708E+001   0.9615721E+001
  -0.1143354E+002   0.6754884E+001   0.8123448E+001
  -0.1774372E+002   0.6394582E+001   0.1134551E+002
  -0.5081867E+001   0.1574969E+001   0.1264751E+002
   0.1349957E+002  -0.1687769E+001   0.1080982E+002
   0.2077818E+002  -0.6779053E+001   0.5224490E+001
   0.2808816E+002  -0.3101061E+001   0.1803721E+001
   0.4728422E+001  -0.2785992E+001   0.2896238E+001
   0.9984394E-001  -0.1626789E+001   0.1881933E+001
  -0.1886442E+001   0.4138666E+000   0.2762743E+000
  -0.1602410E+001  -0.9719330E+000  -0.7611943E+000
