# ~alp d~p/dz   Phi_p_sgs,z
  -0.1573275E+002   0.2046559E+002
  -0.1026182E+002   0.2448359E+002
   0.2097060E+001   0.2430645E+002
   0.9297910E+001   0.1806928E+002
   0.1150185E+002   0.1782815E+002
   0.1092846E+002   0.1566328E+002
   0.1045860E+002   0.7284080E+001
   0.8110472E+001   0.6624970E+001
   0.7307687E+001   0.7803541E+001
   0.6619012E+001   0.6558303E+001
   0.5440880E+001   0.3655683E+001
   0.6460094E+001   0.2125285E+001
   0.1161624E+002   0.2704052E+002
   0.3721463E+002   0.1155018E+003
   0.8091377E+002   0.2173085E+003
   0.1242499E+003   0.2525042E+003
   0.1232065E+003   0.2560987E+003
   0.8228993E+002   0.2146646E+003
   0.3762054E+002   0.1165908E+003
   0.9981235E+001   0.4414162E+002
   0.2110282E+001   0.2232650E+002
   0.1081986E+000   0.1010763E+002
  -0.4676842E+000   0.3580311E+001
  -0.6409534E+000   0.2606326E+001
  -0.7582313E+000   0.8904287E+001
  -0.1280193E+001   0.2706810E+002
  -0.1573754E+001   0.3292142E+002
  -0.1410356E+001   0.3362987E+002
  -0.7289373E+000   0.3099135E+002
   0.1033356E+001   0.1846412E+002
   0.2224005E+001   0.9261362E+001
   0.1163199E+001   0.8507398E+001
  -0.7365707E+000   0.8143850E+001
  -0.2788764E+001   0.2999454E+001
  -0.3257911E+001   0.5224545E+000
  -0.3532898E+001   0.1050771E+000
  -0.3589100E+001   0.3119355E+000
  -0.3737762E+001   0.5165397E+000
  -0.7644616E+001   0.7329549E+001
  -0.1436234E+002   0.1827740E+002
  -0.2172222E+002   0.1523300E+002
  -0.1934527E+002   0.1631332E+002
  -0.9164489E+001   0.1314058E+002
   0.4828522E+000   0.7076524E+001
   0.4755984E+001   0.7755809E+001
   0.5426985E+001   0.7647109E+001
   0.4878332E+001   0.3414353E+001
   0.3323842E+001   0.2952395E+001
   0.2814435E+001   0.3497433E+001
   0.2906078E+001   0.2684018E+001
   0.3505923E+001   0.9974608E+000
   0.7503628E+001   0.6352915E+001
   0.1679707E+002   0.4555533E+002
   0.5249761E+002   0.1469159E+003
   0.1045466E+003   0.2545133E+003
   0.1431222E+003   0.2905215E+003
   0.1399254E+003   0.2849715E+003
   0.9662635E+002   0.2306912E+003
   0.5270984E+002   0.1217027E+003
   0.2262016E+002   0.5184166E+002
   0.1056040E+002   0.3313372E+002
   0.5295569E+001   0.1993046E+002
   0.2352672E+001   0.7772550E+001
   0.1614919E+001   0.5135842E+001
   0.1350937E+001   0.1003867E+002
   0.1153031E+001   0.2714208E+002
   0.1850281E+001   0.3404566E+002
   0.3401371E+001   0.3535896E+002
   0.5572298E+001   0.3359708E+002
   0.8121451E+001   0.2277471E+002
   0.8533915E+001   0.1443595E+002
   0.5120676E+001   0.1342147E+002
   0.9822060E+000   0.1285184E+002
  -0.2756522E+001   0.6246072E+001
  -0.3852827E+001   0.1750658E+001
  -0.4379143E+001   0.8776158E-001
  -0.4858424E+001   0.3991550E+000
  -0.5101576E+001   0.8833269E+000
  -0.8607741E+001   0.4685633E+001
  -0.1750760E+002   0.1333516E+002
  -0.2539893E+002   0.1253634E+002
  -0.2387451E+002   0.1216489E+002
  -0.1560394E+002   0.7911407E+001
  -0.6763537E+001   0.2733574E+001
  -0.2004959E+001   0.3362800E+001
  -0.5263091E+000   0.4486842E+001
  -0.8147297E+000   0.3370397E+001
  -0.1625028E+001   0.3448724E+001
  -0.1629336E+001   0.3524431E+001
  -0.4322926E+000   0.2384396E+001
   0.2078243E+001   0.5434615E+000
   0.7886579E+001   0.9178458E+001
   0.1847361E+002   0.5557607E+002
   0.5375358E+002   0.1564599E+003
   0.1073410E+003   0.2566520E+003
   0.1404791E+003   0.2850318E+003
   0.1396020E+003   0.2699705E+003
   0.1059110E+003   0.2082014E+003
   0.6338017E+002   0.1080640E+003
   0.3457584E+002   0.5089230E+002
   0.2119478E+002   0.3640032E+002
   0.1322193E+002   0.2552591E+002
   0.7592275E+001   0.1261642E+002
