# ~alp d~p/dz   Phi_p_sgs,z
  -0.2909905E+002   0.0000000E+000
   0.2441586E+002   0.0000000E+000
  -0.5145910E+001   0.0000000E+000
  -0.4149318E+001   0.0000000E+000
   0.2584228E+002   0.0000000E+000
   0.1467108E+002   0.0000000E+000
   0.3684548E+002   0.0000000E+000
   0.9890909E+002   0.0000000E+000
  -0.2079082E+000   0.0000000E+000
   0.5795035E+000   0.0000000E+000
   0.6255602E+001   0.0000000E+000
   0.3743727E+001   0.0000000E+000
   0.4226364E+001   0.0000000E+000
   0.4143676E+002   0.0000000E+000
   0.1193182E+004   0.0000000E+000
   0.5192630E+004   0.0000000E+000
   0.1762357E+004   0.0000000E+000
   0.1381610E+002   0.0000000E+000
  -0.1057295E+001   0.0000000E+000
  -0.1263865E+001   0.0000000E+000
  -0.9891218E+000   0.0000000E+000
  -0.1187552E+001   0.0000000E+000
  -0.8673725E+000   0.0000000E+000
  -0.1624635E+001   0.0000000E+000
  -0.2973712E+001   0.0000000E+000
  -0.3618858E+001   0.0000000E+000
  -0.6918920E+001   0.0000000E+000
  -0.3787600E+001   0.0000000E+000
  -0.2670902E+001   0.0000000E+000
  -0.4412495E+000   0.0000000E+000
  -0.7635101E+001   0.0000000E+000
  -0.1339808E+002   0.0000000E+000
  -0.7496755E+001   0.0000000E+000
  -0.6767155E+001   0.0000000E+000
  -0.7215296E+001   0.0000000E+000
  -0.6496763E+001   0.0000000E+000
  -0.2491977E+001   0.0000000E+000
  -0.1706949E+001   0.0000000E+000
  -0.2631996E+001   0.0000000E+000
  -0.7004641E+001   0.0000000E+000
  -0.1127330E+002   0.0000000E+000
   0.4442769E+002   0.0000000E+000
  -0.2604741E+002   0.0000000E+000
   0.6573418E+000   0.0000000E+000
   0.2571496E+001   0.0000000E+000
   0.1239113E+002   0.0000000E+000
   0.2575748E+001   0.0000000E+000
  -0.4095077E+000   0.0000000E+000
  -0.3265722E+001   0.0000000E+000
   0.8821397E+000   0.0000000E+000
   0.3075815E+001   0.0000000E+000
   0.1780525E+001   0.0000000E+000
   0.1051541E+002   0.0000000E+000
   0.8601958E+002   0.0000000E+000
   0.2475368E+004   0.0000000E+000
   0.3329366E+004   0.0000000E+000
   0.5150467E+004   0.0000000E+000
   0.5962592E+003   0.0000000E+000
   0.2172954E+003   0.0000000E+000
  -0.1749511E+001   0.0000000E+000
  -0.1129993E+001   0.0000000E+000
  -0.6317404E+000   0.0000000E+000
  -0.3769480E+000   0.0000000E+000
  -0.1834204E+001   0.0000000E+000
  -0.8127318E+000   0.0000000E+000
  -0.3265553E+001   0.0000000E+000
  -0.8512089E+001   0.0000000E+000
  -0.3370810E+001   0.0000000E+000
  -0.1393067E+001   0.0000000E+000
   0.3731245E+002   0.0000000E+000
  -0.3229750E+001   0.0000000E+000
  -0.2401745E+002   0.0000000E+000
  -0.2208609E+001   0.0000000E+000
  -0.1783367E+001   0.0000000E+000
  -0.3306039E+001   0.0000000E+000
  -0.5164354E+001   0.0000000E+000
  -0.7446889E+001   0.0000000E+000
  -0.2219036E+001   0.0000000E+000
  -0.2037742E+001   0.0000000E+000
  -0.3382064E+001   0.0000000E+000
  -0.1359408E+002   0.0000000E+000
  -0.1673859E+002   0.0000000E+000
  -0.4129313E+002   0.0000000E+000
   0.1415859E+003   0.0000000E+000
   0.5556008E+002   0.0000000E+000
   0.1710250E+002   0.0000000E+000
  -0.8435299E+000   0.0000000E+000
  -0.1766958E+001   0.0000000E+000
   0.6262659E+001   0.0000000E+000
  -0.1432192E+001   0.0000000E+000
   0.6747765E+000   0.0000000E+000
   0.3148385E+001   0.0000000E+000
   0.1789505E+002   0.0000000E+000
   0.4127212E+003   0.0000000E+000
   0.1231342E+004   0.0000000E+000
   0.3605092E+004   0.0000000E+000
   0.2771110E+004   0.0000000E+000
   0.5206534E+003   0.0000000E+000
   0.5276507E+003   0.0000000E+000
   0.7217295E+003   0.0000000E+000
   0.1200238E+003   0.0000000E+000
   0.3298161E+002   0.0000000E+000
   0.3299076E+001   0.0000000E+000
   0.1663062E+001   0.0000000E+000
  -0.5612102E+001   0.0000000E+000
  -0.2490926E+002   0.0000000E+000
  -0.2200030E+002   0.0000000E+000
  -0.2509904E+002   0.0000000E+000
  -0.5136417E+002   0.0000000E+000
   0.4231881E+002   0.0000000E+000
   0.1388426E+001   0.0000000E+000
  -0.6557349E+001   0.0000000E+000
  -0.3835766E+002   0.0000000E+000
   0.5063030E+000   0.0000000E+000
  -0.1610023E+001   0.0000000E+000
  -0.4205698E+001   0.0000000E+000
  -0.7754039E+001   0.0000000E+000
  -0.1139840E+002   0.0000000E+000
  -0.1754425E+001   0.0000000E+000
  -0.3050992E+001   0.0000000E+000
  -0.4868155E+002   0.0000000E+000
   0.1141807E+003   0.0000000E+000
   0.1127255E+002   0.0000000E+000
   0.1741766E+000   0.0000000E+000
   0.5184070E+001   0.0000000E+000
   0.4013401E+001   0.0000000E+000
  -0.1222211E+002   0.0000000E+000
  -0.2094877E+002   0.0000000E+000
  -0.4199885E+001   0.0000000E+000
   0.4747990E+001   0.0000000E+000
   0.5588615E+001   0.0000000E+000
  -0.5407453E+000   0.0000000E+000
   0.4743566E+002   0.0000000E+000
   0.6016230E+003   0.0000000E+000
   0.1413298E+004   0.0000000E+000
   0.2076140E+004   0.0000000E+000
   0.2786168E+004   0.0000000E+000
   0.8545813E+002   0.0000000E+000
   0.3808445E+002   0.0000000E+000
   0.8967030E+002   0.0000000E+000
   0.2510611E+002   0.0000000E+000
   0.2815647E+002   0.0000000E+000
   0.3226766E+002   0.0000000E+000
   0.3039269E+002   0.0000000E+000
   0.1133904E+003   0.0000000E+000
  -0.3195818E+001   0.0000000E+000
   0.7375161E+001   0.0000000E+000
   0.3694618E+002   0.0000000E+000
   0.3172597E+002   0.0000000E+000
   0.2041911E+003   0.0000000E+000
  -0.8500490E+001   0.0000000E+000
  -0.1029060E+002   0.0000000E+000
  -0.1173048E+002   0.0000000E+000
   0.1781116E+002   0.0000000E+000
  -0.1527499E+001   0.0000000E+000
  -0.2750717E+001   0.0000000E+000
  -0.4175587E+001   0.0000000E+000
  -0.2119237E+002   0.0000000E+000
  -0.2178137E+002   0.0000000E+000
  -0.1276295E+002   0.0000000E+000
   0.8013674E+002   0.0000000E+000
   0.2964395E+002   0.0000000E+000
   0.1789921E+000   0.0000000E+000
  -0.6338435E+001   0.0000000E+000
  -0.8721080E+000   0.0000000E+000
  -0.2627039E+001   0.0000000E+000
  -0.3521246E+001   0.0000000E+000
  -0.3130416E+001   0.0000000E+000
  -0.5005202E+001   0.0000000E+000
  -0.1045006E+002   0.0000000E+000
   0.2205314E+002   0.0000000E+000
   0.5340156E+001   0.0000000E+000
   0.1811471E+003   0.0000000E+000
   0.9435438E+002   0.0000000E+000
   0.3496773E+003   0.0000000E+000
   0.6939603E+003   0.0000000E+000
   0.6862902E+003   0.0000000E+000
   0.1107809E+002   0.0000000E+000
  -0.6424749E+001   0.0000000E+000
  -0.3670519E+002   0.0000000E+000
   0.9124089E+001   0.0000000E+000
   0.2607013E+001   0.0000000E+000
   0.3460345E+001   0.0000000E+000
  -0.7908617E+000   0.0000000E+000
   0.2906996E+001   0.0000000E+000
  -0.3368074E+001   0.0000000E+000
   0.4252471E+001   0.0000000E+000
   0.3438805E+002   0.0000000E+000
   0.3938499E+002   0.0000000E+000
   0.3494466E+002   0.0000000E+000
   0.4185303E+002   0.0000000E+000
  -0.3301020E+002   0.0000000E+000
  -0.6776470E+001   0.0000000E+000
   0.1623987E+001   0.0000000E+000
  -0.3508768E+001   0.0000000E+000
  -0.2570210E+001   0.0000000E+000
  -0.1327214E+001   0.0000000E+000
  -0.3805690E+001   0.0000000E+000
  -0.9131661E+001   0.0000000E+000
  -0.2091546E+002   0.0000000E+000
  -0.1455447E+001   0.0000000E+000
  -0.5027113E+001   0.0000000E+000
  -0.4779533E+001   0.0000000E+000
  -0.7781452E+001   0.0000000E+000
  -0.2647769E+001   0.0000000E+000
  -0.5922289E+001   0.0000000E+000
  -0.5340327E+001   0.0000000E+000
  -0.4276157E+001   0.0000000E+000
  -0.6047264E+001   0.0000000E+000
  -0.3776211E+001   0.0000000E+000
  -0.7977134E+000   0.0000000E+000
   0.1650098E+002   0.0000000E+000
   0.2926745E+002   0.0000000E+000
   0.2917041E+001   0.0000000E+000
   0.3681267E+002   0.0000000E+000
   0.1112450E+003   0.0000000E+000
   0.1231139E+002   0.0000000E+000
  -0.4172497E+000   0.0000000E+000
  -0.4621344E+001   0.0000000E+000
  -0.9267443E+001   0.0000000E+000
  -0.4955213E+001   0.0000000E+000
   0.1163775E+002   0.0000000E+000
   0.3105952E+001   0.0000000E+000
   0.1203974E+001   0.0000000E+000
   0.4168914E+001   0.0000000E+000
  -0.1181731E+002   0.0000000E+000
  -0.5595358E+000   0.0000000E+000
   0.2108043E+001   0.0000000E+000
   0.1048505E+003   0.0000000E+000
   0.5796884E+001   0.0000000E+000
   0.3632524E+002   0.0000000E+000
  -0.6553881E+001   0.0000000E+000
  -0.1626630E+002   0.0000000E+000
  -0.7432758E+001   0.0000000E+000
  -0.2101134E+001   0.0000000E+000
  -0.2412526E+001   0.0000000E+000
  -0.2495960E+001   0.0000000E+000
  -0.3862895E+001   0.0000000E+000
  -0.2588266E+001   0.0000000E+000
  -0.1736985E+001   0.0000000E+000
   0.3399077E+002   0.0000000E+000
   0.7259185E+001   0.0000000E+000
  -0.1202418E+002   0.0000000E+000
  -0.8165081E+001   0.0000000E+000
  -0.6583244E+001   0.0000000E+000
  -0.1720818E+001   0.0000000E+000
  -0.3291023E+001   0.0000000E+000
  -0.1148204E+002   0.0000000E+000
  -0.4708477E+001   0.0000000E+000
