# ~alp d~p/dz   Phi_p_sgs,z
  -0.1154107E+002   0.9278458E+001
  -0.1187135E+002   0.8527874E+001
  -0.1016990E+002   0.6323952E+001
  -0.9131088E+001   0.5033185E+001
  -0.7381101E+001   0.3447022E+001
  -0.3039320E+001   0.5208376E+000
  -0.2353874E+001   0.1504875E+000
  -0.2401200E+001   0.1531010E-001
  -0.2889397E+001   0.1794226E-001
  -0.3243477E+001   0.3021391E-001
  -0.3219255E+001   0.2323484E-001
  -0.2771947E+001   0.1599486E-001
  -0.2093275E+001  -0.2664463E-004
  -0.1625646E+001  -0.1124802E-001
  -0.1589269E+001  -0.1151743E-001
  -0.2644187E+001   0.5526845E-002
  -0.8025702E+001  -0.2849653E+000
  -0.1619539E+002  -0.8789740E+000
  -0.2681193E+002  -0.7417427E+000
  -0.3404366E+002   0.1212944E+001
  -0.3410833E+002   0.2581132E+001
  -0.2781483E+002   0.2123093E+001
  -0.1852039E+002   0.9249800E+000
  -0.1301733E+002   0.9365407E+000
  -0.1184325E+002   0.1120659E+001
  -0.1290695E+002   0.1448025E+001
  -0.1614718E+002   0.2906322E+001
  -0.1713041E+002   0.3061753E+001
  -0.1674350E+002   0.3600072E+001
  -0.1521305E+002   0.4833542E+001
  -0.1141749E+002   0.4918213E+001
  -0.8193264E+001   0.4274658E+001
  -0.6455421E+001   0.3233224E+001
  -0.5298831E+001   0.1250646E+001
  -0.5593528E+001   0.4809887E+000
  -0.6971451E+001   0.4882537E+000
  -0.8042317E+001   0.9626202E+000
  -0.8912514E+001   0.2692698E+001
  -0.9110548E+001   0.4081205E+001
  -0.9062154E+001   0.5984494E+001
  -0.9292336E+001   0.4579337E+001
  -0.1040863E+002   0.5289510E+001
  -0.9022410E+001   0.4192457E+001
  -0.8091245E+001   0.3501643E+001
  -0.6585855E+001   0.2512690E+001
  -0.3013503E+001   0.3280668E+000
  -0.3022815E+001   0.1299747E+000
  -0.3869327E+001   0.7704830E-001
  -0.4914115E+001   0.1245425E+000
  -0.5586509E+001   0.1460908E+000
  -0.5469771E+001   0.9733262E-001
  -0.4480188E+001   0.2994228E-001
  -0.3255858E+001  -0.7455702E-002
  -0.2300209E+001  -0.1929434E-001
  -0.1791727E+001  -0.1251158E-001
  -0.2357121E+001   0.1312405E-001
  -0.6844578E+001  -0.2939694E+000
  -0.1389621E+002  -0.1000357E+001
  -0.2237319E+002  -0.1261578E+001
  -0.3020663E+002   0.1563804E-002
  -0.3278338E+002   0.1333658E+001
  -0.2771659E+002   0.1350395E+001
  -0.2056570E+002   0.5990152E+000
  -0.1648960E+002   0.4157599E+000
  -0.1417759E+002   0.5242049E+000
  -0.1776769E+002   0.1691436E+001
  -0.2189053E+002   0.3440592E+001
  -0.2009984E+002   0.2874556E+001
  -0.1637643E+002   0.1892033E+001
  -0.1190583E+002   0.3164502E+001
  -0.8221195E+001   0.4338380E+001
  -0.6657786E+001   0.4951592E+001
  -0.6571629E+001   0.4382900E+001
  -0.6937520E+001   0.1959733E+001
  -0.8394127E+001   0.8710483E+000
  -0.9743234E+001   0.7332203E+000
  -0.1014475E+002   0.8910523E+000
  -0.9605775E+001   0.1016160E+001
  -0.7876279E+001   0.8974144E+000
  -0.6835766E+001   0.1588646E+001
  -0.7114025E+001   0.1793704E+001
  -0.7772263E+001   0.1999064E+001
  -0.6759384E+001   0.1319881E+001
  -0.6157333E+001   0.1093140E+001
  -0.5390135E+001   0.1218437E+001
  -0.3847762E+001   0.5026299E+000
  -0.4970366E+001   0.5440910E+000
  -0.6547925E+001   0.6179562E+000
  -0.7807669E+001   0.6582679E+000
  -0.8212514E+001   0.4537584E+000
  -0.7592191E+001   0.1488125E+000
  -0.6241656E+001   0.2971608E-001
  -0.4722684E+001  -0.1137001E-001
  -0.3366964E+001  -0.2126865E-001
  -0.2265589E+001  -0.9298037E-002
  -0.1955492E+001   0.5812848E-002
  -0.4190582E+001  -0.6521553E-001
  -0.9439463E+001  -0.6240908E+000
  -0.1576676E+002  -0.1128365E+001
  -0.2218543E+002  -0.8412117E+000
  -0.2747711E+002   0.3683379E-001
  -0.2622682E+002   0.5054298E+000
  -0.2276015E+002   0.5190564E+000
  -0.2330747E+002   0.1302230E+001
  -0.2154352E+002   0.1457096E+001
  -0.2348913E+002   0.2436012E+001
  -0.2491754E+002   0.2575436E+001
  -0.1788641E+002   0.1076060E+001
  -0.1090081E+002  -0.7852092E+000
  -0.5047705E+001   0.1445811E+001
  -0.2734789E+001   0.5459150E+001
  -0.3705793E+001   0.6747645E+001
  -0.5731371E+001   0.6893035E+001
  -0.7848134E+001   0.4696477E+001
  -0.9929098E+001   0.1901063E+001
  -0.1005188E+002   0.8931964E+000
  -0.9943141E+001   0.8449854E+000
  -0.9158545E+001   0.7502187E+000
  -0.7232704E+001   0.4991637E+000
  -0.5883491E+001   0.6133324E+000
  -0.6553214E+001   0.2220417E+001
  -0.5922584E+001   0.2008297E+001
  -0.4919660E+001   0.1728430E+001
  -0.4585499E+001   0.1816288E+001
  -0.4812027E+001   0.2347550E+001
  -0.5421089E+001   0.2414474E+001
  -0.6926204E+001   0.2184246E+001
  -0.8372991E+001   0.1893205E+001
  -0.9040242E+001   0.1288462E+001
  -0.8847206E+001   0.5005154E+000
  -0.8447371E+001   0.1125717E+000
  -0.7469470E+001   0.3347409E-001
  -0.6074704E+001  -0.6896861E-002
  -0.4617979E+001  -0.1909957E-001
  -0.2960719E+001   0.7370642E-002
  -0.1842598E+001   0.1108542E-001
  -0.2023472E+001  -0.1278400E-001
  -0.3855845E+001  -0.1007500E+000
  -0.8004738E+001  -0.5271334E+000
  -0.1305918E+002  -0.9724460E+000
  -0.1861200E+002  -0.8439502E+000
  -0.2317056E+002  -0.3508874E+000
  -0.2566689E+002   0.1053577E+000
  -0.3299120E+002   0.4070475E+001
  -0.3276136E+002   0.4969784E+001
  -0.3068831E+002   0.4148479E+001
  -0.2589814E+002   0.1589933E+001
  -0.1351980E+002  -0.4823081E+000
  -0.5315837E+001  -0.2795698E+001
  -0.6134187E-001   0.3117392E+000
   0.1177328E+001   0.5701770E+001
  -0.1110294E+001   0.6097887E+001
  -0.4999360E+001   0.7473924E+001
  -0.9181828E+001   0.6952397E+001
  -0.1249064E+002   0.4153383E+001
  -0.1013022E+002   0.1402951E+001
  -0.9264205E+001   0.1214343E+001
  -0.8549632E+001   0.1144728E+001
  -0.7159140E+001   0.1272995E+001
  -0.6391410E+001   0.1823767E+001
  -0.5293034E+001   0.1526032E+001
  -0.3634041E+001   0.3174095E+001
  -0.2260736E+001   0.8358792E+001
  -0.1849436E+001   0.1228500E+002
  -0.2641759E+001   0.1313716E+002
  -0.4328078E+001   0.1237411E+002
  -0.6441617E+001   0.7893389E+001
  -0.7926019E+001   0.2606903E+001
  -0.8248268E+001   0.1117331E+001
  -0.8014265E+001   0.2703737E+000
  -0.8243036E+001  -0.2790015E-001
  -0.8099502E+001   0.2576839E-001
  -0.7078118E+001   0.6876271E-002
  -0.5790690E+001  -0.7221844E-002
  -0.3849486E+001   0.6067605E-001
  -0.1964256E+001   0.5406830E-001
  -0.1459450E+001   0.1777506E-001
  -0.1495522E+001  -0.1145855E-001
  -0.1946653E+001  -0.6095388E-001
  -0.4713227E+001  -0.5384287E+000
  -0.9588892E+001  -0.9856636E+000
  -0.1605182E+002  -0.9922006E+000
  -0.2686774E+002  -0.1203406E+001
  -0.4386602E+002   0.7030252E+001
  -0.4451379E+002   0.8739733E+001
  -0.3816930E+002   0.5204951E+001
  -0.2567346E+002   0.5014589E+000
  -0.9100030E+001  -0.5868996E+000
  -0.1680298E+001  -0.2905539E+001
   0.1865551E+001   0.6267285E+000
   0.2812803E+001   0.4767146E+001
   0.8439651E-001   0.4313542E+001
  -0.5496802E+001   0.7319449E+001
  -0.1116792E+002   0.8888406E+001
  -0.1425208E+002   0.6184535E+001
  -0.9740120E+001   0.1796867E+001
