 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
   0.4453423E+003   0.4394759E+003
   0.6022087E+002   0.7235698E+002
   0.2080076E+002   0.2788538E+002
   0.4578956E+002   0.5569974E+002
   0.1832170E+003   0.2000729E+003
   0.4208588E+003   0.4269494E+003
   0.5603849E+003   0.5635069E+003
   0.5544950E+003   0.5562262E+003
   0.2542433E+003   0.2627918E+003
   0.1284465E+003   0.1224006E+003
   0.1471784E+003   0.1266705E+003
   0.3849689E+003   0.3547722E+003
   0.2737360E+003   0.3696986E+003
  -0.1803941E+003   0.2960735E+002
   0.1646933E+003   0.4375113E+003
   0.4668765E+003   0.4937198E+003
  -0.7481861E+002  -0.8202765E+002
  -0.2948426E+003  -0.3179046E+003
  -0.5963991E+003  -0.6324036E+003
  -0.7394049E+003  -0.7368797E+003
  -0.4982673E+003  -0.5104189E+003
  -0.2967158E+003  -0.3065533E+003
  -0.4850552E+003  -0.4895767E+003
  -0.5774181E+003  -0.6481206E+003
  -0.6652978E+002  -0.1340941E+003
   0.1840758E+003   0.1394511E+003
  -0.2087520E+003  -0.2340490E+003
  -0.4804277E+003  -0.4529227E+003
  -0.7002970E+002  -0.1003098E+001
   0.4296409E+003   0.4393497E+003
   0.2868706E+003   0.2872463E+003
   0.1653676E+003   0.1575875E+003
  -0.1292868E+003  -0.1304362E+003
  -0.4531328E+003  -0.4400827E+003
  -0.4551000E+003  -0.4458860E+003
  -0.1015489E+003  -0.1091334E+003
   0.2068506E+003   0.2075196E+003
   0.2954421E+003   0.2865287E+003
   0.2550412E+003   0.2498542E+003
   0.5289361E+003   0.5069358E+003
   0.8392267E+003   0.7740112E+003
   0.3525166E+003   0.3482138E+003
   0.7560609E+002   0.8369819E+002
   0.5221747E+002   0.6322767E+002
   0.3976720E+003   0.4375436E+003
   0.8991385E+003   0.9077347E+003
   0.1093658E+004   0.1107769E+004
   0.1053423E+004   0.1052527E+004
   0.4883021E+003   0.4634096E+003
   0.1462104E+003   0.1049584E+003
   0.1140235E+002  -0.2130126E+002
  -0.1442593E+003  -0.1388165E+003
  -0.4092210E+003  -0.2711895E+003
  -0.1037691E+003  -0.3216900E+001
   0.2552384E+003   0.3133913E+003
   0.7409661E+002   0.8060265E+002
  -0.1745891E+003  -0.1824819E+003
