# ~alp d~p/dy   Phi_p_sgs,y
  -0.1317779E+001  -0.4376023E+001
  -0.4032549E+001  -0.4409498E+001
  -0.6189585E+001  -0.6153910E+001
  -0.7392453E+001  -0.7494177E+001
  -0.9350585E+001  -0.8737596E+001
  -0.1014775E+002  -0.8584768E+001
  -0.9383515E+001  -0.7307178E+001
  -0.8403181E+001  -0.5318031E+001
  -0.7385356E+001  -0.2676175E+001
  -0.7173008E+001  -0.1469028E+001
  -0.7004469E+001  -0.5808826E+000
  -0.6544905E+001   0.3893619E+000
  -0.5342548E+001   0.3126251E+000
  -0.3909786E+001   0.1186786E+000
  -0.3056261E+001   0.3240771E+000
  -0.2302167E+001   0.1189997E+000
  -0.1588966E+001  -0.2095776E+000
  -0.2208463E+001  -0.8145771E+000
  -0.3598730E+001  -0.3390775E+001
  -0.4446155E+001  -0.3659234E+001
  -0.3017446E+001   0.5103766E+000
   0.3637046E+001   0.7114710E+001
   0.1079918E+002   0.1418300E+002
   0.1615056E+002   0.1821063E+002
   0.1635775E+002   0.1860946E+002
   0.1287895E+002   0.1304115E+002
   0.1159237E+002   0.6164572E+001
   0.1067432E+002   0.2044052E+001
   0.1057707E+002  -0.1183424E+001
   0.9833324E+001  -0.2075731E+001
   0.7706510E+001  -0.1625683E+001
   0.5007901E+001  -0.1366940E+001
   0.2543397E+001  -0.1836056E+000
   0.6599356E+000   0.1456036E+001
  -0.1499205E+000   0.1647718E+001
  -0.3464782E+000   0.1396846E+001
  -0.1029300E+000   0.1203410E+001
   0.3576344E+000   0.5752365E+000
   0.1235427E+001  -0.1535190E+001
   0.8250155E+000  -0.4365339E+001
   0.6775789E+000  -0.4317686E+001
  -0.1597457E+001  -0.5065998E+001
  -0.5254440E+001  -0.7638016E+001
  -0.1064737E+002  -0.1420503E+002
  -0.1737200E+002  -0.1945545E+002
  -0.2037426E+002  -0.1907464E+002
  -0.1884823E+002  -0.1816247E+002
  -0.1436526E+002  -0.1244926E+002
  -0.9607752E+001  -0.3496277E+001
  -0.7456471E+001  -0.9236021E+000
  -0.6511036E+001  -0.3052744E+000
  -0.5386117E+001   0.3826749E+000
  -0.4247028E+001   0.7888462E+000
  -0.3234347E+001   0.9507434E+000
