# ~alp d~p/dy   Phi_p_sgs,y
  -0.2412593E+001  -0.5405467E+001
  -0.6395248E+001  -0.4574583E+001
  -0.7977328E+001  -0.5762905E+001
  -0.1007077E+002  -0.7283985E+001
  -0.1217313E+002  -0.8513016E+001
  -0.1251882E+002  -0.7662725E+001
  -0.1090593E+002  -0.5268744E+001
  -0.9510159E+001  -0.4171412E+001
  -0.1008339E+002  -0.3273365E+001
  -0.1051048E+002  -0.1763869E+001
  -0.9654911E+001  -0.5687026E+000
  -0.6396297E+001   0.1550070E+000
  -0.4579929E+001   0.8384696E+000
  -0.2731833E+001   0.4046329E+000
  -0.2132081E+001   0.4980543E+000
  -0.1391436E+001   0.2064362E+000
  -0.8235549E+000   0.1497164E-001
  -0.1314361E+001  -0.1003342E+000
  -0.2649267E+001  -0.1287803E+001
  -0.3185251E+001  -0.3168418E+001
  -0.1794379E+001  -0.6922787E+000
   0.6385784E+001   0.7894747E+001
   0.1879196E+002   0.2019809E+002
   0.2704128E+002   0.2576177E+002
   0.2622610E+002   0.2352258E+002
   0.1924990E+002   0.1256763E+002
   0.1226368E+002   0.4604260E+001
   0.1160715E+002  -0.1213410E+001
   0.1013742E+002  -0.2164069E+001
   0.8506402E+001  -0.3231708E+001
   0.5346930E+001  -0.3051101E+001
   0.2573893E+001  -0.2433553E+001
   0.8480255E+000  -0.3282174E+000
  -0.1507609E+000   0.7799331E+000
  -0.7341431E+000   0.6595290E+000
  -0.8105535E+000   0.4181279E+000
  -0.4716233E+000   0.1528262E+000
   0.2777339E-001   0.7188861E-001
   0.9259094E+000  -0.5609040E+000
   0.7671159E+000  -0.4783117E+001
   0.7658025E+000  -0.4598357E+001
  -0.1498684E+001  -0.4823157E+001
  -0.5441951E+001  -0.6694330E+001
  -0.9935479E+001  -0.9837906E+001
  -0.1943289E+002  -0.1895683E+002
  -0.2490558E+002  -0.2015227E+002
  -0.2112583E+002  -0.1788455E+002
  -0.1412369E+002  -0.9232782E+001
  -0.1004256E+002  -0.1261098E+001
  -0.9097365E+001  -0.3784535E+000
  -0.7384251E+001  -0.9902942E-002
  -0.4042348E+001   0.5471449E-001
  -0.2138161E+001   0.1428158E+001
  -0.1375786E+001   0.1983836E+001
  -0.1604355E+001   0.1963671E+001
  -0.1341452E+001   0.3797329E+000
  -0.1226021E+001  -0.2945447E+000
  -0.1922641E+001  -0.5250957E+000
  -0.2077855E+001  -0.3730041E+000
  -0.9290767E+000  -0.1595500E+000
   0.3621909E+001   0.5019332E+001
   0.1394766E+002   0.1399671E+002
   0.2485052E+002   0.2173647E+002
   0.2738048E+002   0.2681514E+002
   0.2112070E+002   0.2376970E+002
   0.1572341E+002   0.1260044E+002
   0.1253730E+002   0.4277196E+001
   0.1522699E+002  -0.9286966E+000
   0.1614994E+002  -0.2052368E+001
   0.1705181E+002  -0.2392818E+001
   0.1285203E+002  -0.2327783E+001
   0.1008507E+002  -0.1115565E+001
   0.6648974E+001   0.1021413E+001
   0.5133806E+001   0.3482279E+001
   0.4082600E+001   0.5186346E+001
   0.3200615E+001   0.6706498E+001
   0.2856534E+001   0.6162467E+001
   0.2446667E+001   0.3592533E+001
   0.2011759E+001   0.1565817E+001
   0.1880628E+001  -0.1697547E+001
   0.1632161E+001  -0.6405550E+000
   0.1174839E+001  -0.1686326E+001
   0.2700298E-001  -0.2324599E+001
  -0.5455273E+001  -0.1464984E+002
  -0.2116616E+002  -0.3639445E+002
  -0.3638776E+002  -0.3815847E+002
  -0.3227547E+002  -0.3486835E+002
  -0.1510874E+002  -0.1570621E+002
  -0.6057159E+001  -0.7597310E+000
  -0.3207829E+001   0.8957332E+000
