#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.2706884E-001   0.1658694E-002  -0.1187590E+000   0.3653901E-001  -0.5273720E-001   0.8501413E+000
   0.5764747E-001   0.2449810E-002  -0.2030365E+000   0.2718225E-001  -0.2158348E-001   0.8967613E+000
   0.3523841E-001  -0.5168994E-002  -0.1264688E+000   0.3871080E-001   0.4510432E-001   0.7251229E+000
   0.4950666E-001  -0.6205202E-002  -0.1048302E+000   0.1066383E+000   0.4468351E-001   0.4593771E+000
   0.3712393E-001   0.6810257E-002  -0.4394032E-001   0.1186025E+000  -0.1582906E+000   0.2529038E+000
   0.2805717E-001   0.9351198E-002   0.3752924E-002   0.6333309E-001  -0.9027927E-001   0.1674633E+000
   0.4606623E-001  -0.1134939E-001   0.2173571E-002   0.4550609E-001  -0.4343666E-001   0.1947661E+000
   0.1083954E-001   0.3727957E-003  -0.2182458E-002   0.4341826E-001   0.5730269E-002   0.1150443E+000
   0.1554477E-001   0.4520942E-002   0.1020884E-001   0.3203367E-001   0.5684250E-002   0.6501216E-001
   0.5252528E-001  -0.1861877E-001   0.9892737E-001   0.6651479E-001  -0.9017385E-001   0.3348477E+000
   0.3543651E-001   0.1428913E-002  -0.4592059E-002   0.2833974E-001  -0.3989824E-001   0.3768326E+000
   0.4406172E-001   0.1636624E-001  -0.7035632E-001   0.2546242E-001  -0.1031569E+000   0.6120456E+000
   0.9614002E-001   0.4819070E-001   0.4783029E-001   0.3848287E-001   0.5322386E-001   0.3650049E+000
   0.6030415E-001   0.2846847E-001  -0.1390812E+000   0.2405691E-001  -0.3125267E-001   0.5547542E+000
   0.1366829E-001   0.6347089E-002  -0.2837425E-001   0.1515270E-001   0.5308122E-002   0.1590522E+000
   0.1355492E-001   0.4679934E-003   0.1685835E-001   0.2970514E-002   0.9623328E-004   0.9572187E-001
   0.3180923E-001   0.4139879E-002  -0.2964459E-002   0.2963469E-002   0.1027940E-002   0.3127286E-001
   0.7365131E-001   0.4798615E-001   0.1046651E+000   0.7604184E-001   0.1273943E+000   0.2517883E+000
   0.4945824E-001   0.2052599E-002   0.8121719E-001   0.2186426E-001   0.3640278E-002   0.2283691E+000
   0.1198678E-001  -0.5029693E-002   0.4730548E-001   0.2459034E-001  -0.5520828E-001   0.4860882E+000
   0.7952809E-002  -0.1644013E-002  -0.4229710E-001   0.2049363E-001   0.3564382E-001   0.3898923E+000
   0.1118057E-001  -0.2857313E-002  -0.6762250E-001   0.4793185E-002   0.3376005E-001   0.5923272E+000
   0.7496544E-002  -0.1200505E-002  -0.3432800E-001   0.3981552E-002   0.2221898E-001   0.3311241E+000
   0.1872976E-001  -0.4313978E-002  -0.3206569E-001   0.9683342E-002   0.2576310E-001   0.2339505E+000
   0.3606261E-001   0.1139315E-001   0.1267224E+000   0.3210843E-001   0.1136195E+000   0.1027693E+001
   0.4109576E-001   0.2629299E-001   0.6162316E-001   0.3075783E-001   0.6105192E-001   0.1528462E+000
   0.6470667E-002  -0.1462287E-002  -0.2981361E-002   0.4775576E-002   0.1818857E-001   0.9252391E-001
   0.1717722E-002  -0.8140342E-003  -0.3754067E-002   0.1218631E-002   0.9314782E-002   0.1360523E+000
   0.6554036E-002  -0.2253860E-002   0.3175117E-001   0.1365181E-002  -0.6125081E-002   0.2828328E+000
   0.1415784E-001  -0.6071192E-002   0.1666974E-002   0.1068283E-001   0.2362073E-001   0.8461115E-001
   0.4521246E-001   0.1658113E-002  -0.8475663E-002   0.2456008E-001  -0.5257679E-001   0.5935199E+000
   0.2378433E-001  -0.1214490E-001  -0.1778010E-001   0.5253993E-001   0.1236164E+000   0.3977327E+000
   0.2202871E-001   0.5790381E-002  -0.1248271E-001   0.1211729E-001   0.3406784E-002   0.3371781E-001
