#dalpdx  dalpdy   dalpdz
  -0.8401248E+000  -0.7626159E+000  -0.3320224E+000
   0.3346875E+001   0.9358744E+000   0.8868421E+000
   0.4456884E+001  -0.1459245E+001   0.5181006E+000
   0.5586435E+001  -0.3935583E+001   0.2921920E+001
   0.3483678E+001  -0.1985744E+002   0.6970832E+001
  -0.6294762E+001  -0.2270594E+002   0.2565211E+001
  -0.1985571E+001  -0.3500201E+000  -0.2002523E+001
   0.1238299E+001  -0.3360848E+000  -0.2773253E+001
  -0.2091773E+001  -0.1099371E+002  -0.1344374E+001
   0.7328902E+000  -0.3874355E+001  -0.1014989E+001
   0.1252006E+002   0.9968888E+001  -0.6417973E+000
   0.1981312E+002   0.9114124E+001   0.2822070E+001
  -0.1414408E+002  -0.1619458E+002  -0.3325923E+001
  -0.2669804E+002  -0.1278081E+002  -0.8020821E+001
   0.8447938E+000   0.8761336E+000  -0.8169510E+000
   0.1074316E+002  -0.3164387E+001   0.1178714E+002
   0.4597754E+002  -0.4719603E+001   0.6512135E+002
   0.3157364E+002  -0.6818816E+001   0.8392731E+002
  -0.2597490E+002   0.1883270E+001   0.5353271E+002
  -0.2254693E+002   0.5891954E+001   0.3352379E+002
  -0.3218694E+002   0.3761180E+001   0.1830925E+002
  -0.1277865E+002   0.1847108E+002   0.8114202E+001
  -0.4913126E+001   0.1243555E+002   0.5143960E+001
  -0.2111220E+000   0.3710431E+001   0.1198326E+001
   0.7378747E+000   0.1339583E+001   0.2499537E-001
   0.5000497E+001   0.7449347E-001  -0.1590712E+001
   0.1538275E+002   0.5916021E+001  -0.3124133E+001
   0.1220836E+002   0.2416533E+002   0.3140395E+000
  -0.1092192E+002   0.1512594E+002   0.7106961E+000
  -0.1524552E+002   0.1670814E+001   0.2895403E+001
  -0.4901026E+001  -0.2943985E-001   0.1300416E+000
   0.1360812E+000   0.2377700E+001  -0.1048975E+001
   0.4290396E+000   0.4993075E+001  -0.1170817E+001
   0.4157957E+001   0.5851775E+001   0.1451898E+000
   0.9517976E+001   0.9091389E+001  -0.3820081E+000
  -0.2746404E+001   0.7219777E+001  -0.4870064E+001
  -0.1138325E+002   0.1470222E+001  -0.3736697E+001
  -0.2706804E+001  -0.1154843E+001  -0.2304885E+001
  -0.8766133E+000  -0.3533784E+001  -0.2837461E+001
  -0.1922769E+001  -0.3429477E+001  -0.1832835E+001
   0.1099141E+001   0.3239491E+001  -0.1163472E+001
  -0.4159042E+000   0.2070394E+001  -0.1098899E+001
   0.1030207E+001  -0.3238041E+001  -0.2127677E+001
   0.6584162E+001  -0.2652341E+001  -0.5715158E+000
  -0.1650563E+001  -0.8218560E+000  -0.1129519E+001
   0.2441503E+001  -0.6695126E+000  -0.2071006E+001
   0.3804463E+001   0.2495805E+001  -0.1545755E+001
  -0.7011649E+001  -0.1684926E+001  -0.1964632E+001
   0.3159620E+001   0.5790238E+001  -0.4396547E+001
   0.2034898E+002   0.2894694E+002  -0.8749446E+001
   0.2046412E+001   0.2592143E+002   0.4109466E+001
  -0.1292265E+002  -0.1028451E+002   0.8544664E+001
  -0.1149720E+002  -0.2023384E+002  -0.1004478E+001
  -0.5244214E+001  -0.3124026E+001  -0.1969790E+001
  -0.8375298E+000  -0.1461055E+001  -0.8358193E+000
   0.3168535E+001  -0.4692806E+001   0.4141068E+001
   0.2625880E+002  -0.2287378E+002   0.3293404E+002
   0.1301078E+002  -0.5733597E+002   0.4077921E+002
   0.6208143E+001  -0.4943761E+002   0.2221827E+002
  -0.6311951E+001  -0.2410782E+002  -0.4233070E+001
  -0.1950314E+002  -0.1476347E+002  -0.1587031E+002
   0.1781825E+000   0.6333307E+001  -0.2409808E+001
  -0.3467432E+001   0.2580018E+002   0.1033317E+002
  -0.8144858E+001   0.3191277E+002   0.1360034E+002
  -0.7048124E+001   0.1634703E+002   0.5573842E+001
   0.4712319E+001   0.1042221E+002   0.3466733E-001
   0.2878136E+002   0.1484729E+002   0.4390938E+001
   0.2585350E+001  -0.2533109E+001   0.4053957E+001
  -0.2280477E+002  -0.2055900E+002  -0.2416845E+001
  -0.6654655E+001  -0.5936056E+001   0.6777759E+000
  -0.3664675E+001   0.8993992E+001   0.2905943E+001
  -0.6437582E+000   0.2248825E+001   0.5885524E+000
   0.1741397E+001   0.6939369E+000  -0.1320812E+001
   0.5608303E+001   0.3407068E+001   0.6013138E+000
   0.8290251E+001   0.1570663E+001  -0.2017706E+001
  -0.8595866E+001  -0.6895913E+001  -0.1891615E+001
  -0.1492610E+002  -0.9358005E+001   0.1826022E+000
  -0.1013876E+001  -0.4402516E+001  -0.1203798E+001
   0.1538847E+000  -0.2263962E+001  -0.1503529E+001
   0.3582168E+000   0.4101057E+000  -0.1560418E+001
   0.1642249E+001  -0.1150008E+001  -0.1557451E+001
  -0.1764173E+001  -0.1933524E+000  -0.1891462E+001
  -0.1925571E+001   0.1166912E+001  -0.1840403E+001
