#dalpdx  dalpdy   dalpdz
  -0.7594155E+000  -0.6480485E-001  -0.5531134E+000
   0.2042023E+001   0.5727049E+000   0.4546026E+000
   0.4282212E+001  -0.1586660E+001   0.7692687E+000
   0.7314896E+001  -0.5458637E+001   0.3474693E+001
   0.3808194E+001  -0.1200959E+002   0.4083784E+001
  -0.3168633E+001  -0.1352669E+002   0.3772820E+000
  -0.3076125E+001  -0.7047164E+001  -0.2630741E+001
  -0.7421791E+000  -0.7952356E+001  -0.2448482E+001
  -0.1564289E+001  -0.7820370E+001  -0.1739146E+001
   0.2828797E+001   0.4238514E+001  -0.2044562E+001
   0.8726340E+001   0.1256129E+002  -0.8076204E+000
   0.1281986E+002   0.6779952E+001   0.3128177E+001
  -0.9232522E+001  -0.8779523E+001  -0.1702566E+001
  -0.1860448E+002  -0.9246897E+001  -0.4904936E+001
  -0.1448999E+001  -0.5820170E+000  -0.7425666E+000
   0.1802563E+002  -0.4357827E+001   0.2010258E+002
   0.3618783E+002  -0.8652790E+001   0.5207083E+002
   0.1653715E+002  -0.1084284E+002   0.5747247E+002
  -0.5419127E+001  -0.3069134E+001   0.3808584E+002
  -0.2341549E+002   0.3238965E+000   0.2396337E+002
  -0.2081462E+002   0.3758977E+001   0.1047241E+002
  -0.1313993E+002   0.1419763E+002   0.6573582E+001
  -0.4369661E+001   0.1404086E+002   0.5643857E+001
  -0.2332737E+001   0.7522491E+001   0.3242790E+001
   0.5895482E+000   0.3884147E+001   0.7136667E+000
   0.6291742E+001   0.1772874E+001  -0.1251330E+001
   0.1699450E+002   0.9545110E+001   0.2071452E-001
   0.8463964E+001   0.1350368E+002   0.9010473E-001
  -0.9904791E+001   0.7499253E+001   0.5840741E+000
  -0.1154378E+002   0.1336165E+001   0.7538479E+000
  -0.5389400E+001   0.2660787E+001   0.1293095E+001
  -0.2179606E-001   0.5002456E+001  -0.4972679E+000
   0.4514573E+000   0.5199156E+001  -0.7330662E+000
   0.4036117E+001   0.6091596E+001   0.1820182E+000
   0.8299583E+001   0.7522383E+001  -0.1014359E+001
  -0.2958351E+001   0.4250032E+001  -0.3050785E+001
  -0.7648506E+001   0.5893789E+000  -0.3412271E+001
  -0.3030965E+001  -0.2306688E+001  -0.2701634E+001
  -0.7270912E+000  -0.4751246E+001  -0.3162120E+001
  -0.1753395E+001  -0.3945491E+001  -0.2287120E+001
   0.6592526E+000   0.9983877E+000  -0.1018798E+001
   0.6499404E-001   0.9557645E+000  -0.1026970E+001
   0.2807914E+001  -0.1592451E+001  -0.1579041E+001
   0.3683914E+001  -0.8071052E+000  -0.4155167E+000
   0.1132265E+001   0.6887050E-001  -0.3809675E+000
  -0.6848874E+000   0.8172696E+000  -0.1980085E+001
   0.9302725E+000   0.1106031E+001  -0.1593746E+001
  -0.2979278E+001   0.4325455E+000  -0.1901499E+001
   0.5438389E+001   0.9107111E+001  -0.4495724E+001
   0.1476514E+002   0.2206205E+002  -0.4485733E+001
   0.2256382E+001   0.1713282E+002   0.5209161E+001
  -0.9435023E+001  -0.6012816E+001   0.9814883E+001
  -0.1017878E+002  -0.1521636E+002   0.1617066E+001
  -0.9217139E+001  -0.7766723E+001  -0.2572080E+001
  -0.9617367E+000  -0.1574290E+001  -0.6783322E+000
   0.9299040E+001  -0.6663340E+001   0.9656151E+001
   0.2111268E+002  -0.2261646E+002   0.2717739E+002
   0.1136321E+002  -0.4125534E+002   0.2787155E+002
   0.4712859E+001  -0.3361960E+002   0.1537831E+002
  -0.7174707E+001  -0.1838898E+002   0.1155411E+001
  -0.1475690E+002  -0.8781895E+001  -0.8797835E+001
  -0.1979886E+001   0.5423425E+001  -0.1355811E+001
   0.9441635E+000   0.1981244E+002   0.6332598E+001
  -0.6894636E+001   0.2266037E+002   0.9304678E+001
  -0.9275415E+001   0.1605458E+002   0.5475224E+001
   0.1053737E+002   0.1129378E+002  -0.1689160E+000
   0.1724182E+002   0.9890564E+001   0.1669535E+001
   0.2169614E+001   0.9302701E-001   0.1257933E+001
  -0.1643371E+002  -0.9568807E+001  -0.6198037E+000
  -0.6686499E+001  -0.2896579E+001   0.1401917E-001
  -0.3439369E+001   0.3048587E+001   0.1965831E+001
  -0.3391561E+001   0.3026655E+001   0.1852030E+000
   0.2406289E+001   0.7533940E+000  -0.1051044E+001
   0.4082864E+001   0.2854434E+001   0.2778793E+000
   0.6673031E+001   0.1272186E+001  -0.1304679E+001
  -0.6832434E+001  -0.4200746E+001  -0.1297749E+001
  -0.9886536E+001  -0.5517366E+001  -0.4387947E+000
  -0.2333218E+001  -0.3366428E+001  -0.1102042E+001
   0.7786312E-001  -0.1822003E+001  -0.1365056E+001
   0.4871467E+000  -0.5871673E+000  -0.1357854E+001
   0.1446744E+001   0.8273137E+000  -0.1582455E+001
  -0.1266332E+001   0.1050658E+001  -0.2007761E+001
  -0.3610020E+000   0.4916845E+000  -0.2013086E+001
   0.6394289E+001  -0.3048023E-001  -0.4968759E-001
   0.3882292E+001   0.2187379E+001  -0.6670969E+000
  -0.3111323E+001   0.2537613E+001  -0.2818942E+001
  -0.3197249E+000  -0.2444260E+001  -0.8176683E+000
   0.8045118E+001   0.7854820E+001   0.1690026E+001
   0.2323354E+002   0.3004831E+002   0.4077023E+001
   0.1341571E+002   0.3509650E+002   0.7872001E+001
  -0.2035798E+002   0.1447613E+002   0.1647965E+002
  -0.2421409E+002  -0.3321675E+001   0.1525872E+002
  -0.6185439E+001  -0.2679755E+001   0.3523449E+001
  -0.2623709E+001  -0.1068325E+001  -0.9773707E+000
  -0.2088194E+001  -0.1708648E+001  -0.6289441E+000
   0.1530854E+001  -0.2866484E+001   0.1816154E+001
   0.8326316E+001  -0.7241105E+001   0.8135446E+001
   0.9174136E+001  -0.8623646E+001   0.8766539E+001
   0.7486978E+001  -0.1450733E+002   0.1300892E+001
  -0.3561580E+001  -0.1901500E+002  -0.9235987E+001
  -0.4607732E+001  -0.1370854E+002  -0.1361962E+002
   0.9264109E+001  -0.5702851E+001  -0.8160710E+001
   0.2348086E+002   0.9712632E+001  -0.3095398E+001
  -0.9458415E+001   0.1877454E+002   0.3683635E+001
  -0.2019924E+002   0.2221343E+002   0.4142601E+001
   0.1304450E+002   0.2074793E+002  -0.7002502E+000
   0.5239699E+000   0.3541041E+001   0.2887978E+001
  -0.1497322E+002  -0.1927787E+002   0.1877238E+001
  -0.1235063E+002  -0.1604151E+002  -0.1687468E+001
   0.3937809E+001  -0.4533430E+001  -0.1245447E+001
   0.1118187E+001  -0.2209887E+001  -0.3489505E+000
  -0.4016110E+001   0.6556976E+000  -0.1608265E+001
   0.3329179E+001   0.1175577E+001  -0.1778342E+001
   0.1001068E+001  -0.2676957E+000   0.7719188E+000
   0.1943473E+000  -0.5059815E+001   0.1272228E+001
  -0.8611304E+001  -0.9523298E+001   0.1749391E+001
  -0.6535658E+001  -0.6652719E+001   0.1126045E+001
   0.2994681E+000  -0.2116353E+001  -0.3104994E+000
   0.1505631E+001  -0.1268811E+001  -0.5199438E+000
