#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
   0.3965668E+001  -0.2609061E-001   0.6741051E+000   0.7118878E+001   0.4832889E+001  -0.1425259E+002  -0.1009084E+003  -0.2406120E+001  -0.9108166E+001  -0.3096087E+000   0.5309373E+004
   0.3103669E+002  -0.5859367E+001   0.9209733E+001  -0.1343253E+000   0.1126752E+002  -0.1205663E+002  -0.1314246E+003   0.1837228E+002  -0.3947986E+002   0.2824354E+001   0.1015238E+005
   0.4209924E+002  -0.1444882E+002   0.1539030E+002   0.8613091E+000   0.2005501E+002  -0.1164820E+002  -0.9290298E+002   0.5827400E+002  -0.5910007E+002   0.3054177E+001   0.9847660E+004
   0.3086454E+002  -0.1916299E+002   0.1958391E+002  -0.1520303E+002   0.2245080E+002  -0.6905346E+001  -0.2279456E+002   0.7069523E+002  -0.4952018E+002   0.3795155E+001   0.6534346E+004
   0.7307806E+001  -0.1123971E+002   0.1684506E+002  -0.1435768E+002   0.2158730E+002   0.2551821E+000  -0.3643516E+002   0.6756629E+002  -0.2563663E+002   0.3258474E+001   0.3992488E+004
   0.2157047E+002   0.1328382E+000   0.1153979E+002  -0.1425925E+001   0.2132180E+002  -0.2740431E+001   0.1025712E+003   0.1283728E+003  -0.3703341E+002   0.5858868E+001   0.1668318E+005
   0.4342576E+002   0.8588971E+001   0.1103548E+002  -0.1895529E+001   0.1675385E+002  -0.2407636E+002   0.1668433E+003   0.1744619E+003  -0.5124398E+002   0.8935629E+001   0.3191655E+005
   0.3428512E+002  -0.1036582E+002   0.7480857E+001  -0.2101390E+002   0.6748608E+001  -0.3348378E+002   0.2142604E+003   0.1100309E+003  -0.3603395E+002   0.4999776E+001   0.3051779E+005
   0.1090551E+002  -0.4459888E+002   0.3824290E+001  -0.4115085E+002  -0.9256323E+001  -0.2350633E+002   0.7529242E+002  -0.2973916E+002  -0.1914315E+000   0.1457751E+001   0.8427714E+004
  -0.1557988E+001  -0.7021854E+002  -0.1219657E+001   0.4275847E+001  -0.2382056E+002  -0.1036425E+002   0.1150930E+003  -0.1502508E+003   0.2486828E+002  -0.5102687E+000   0.2274459E+005
  -0.5458907E+001  -0.6883536E+002  -0.6567041E+001   0.2930877E+002  -0.3572957E+002  -0.3116396E+001   0.1054359E+003  -0.2395408E+003   0.3965744E+002  -0.1531034E+001   0.3798830E+005
  -0.2129997E+002  -0.6163147E+002  -0.1117167E+002   0.2184508E+002  -0.3882909E+002   0.6959799E+000   0.7166416E+002  -0.2555735E+003   0.5764593E+002  -0.2483123E+001   0.4038481E+005
  -0.3114163E+002  -0.5693570E+002  -0.1142857E+002  -0.7530248E+001  -0.3665064E+002   0.3660096E+001   0.3276910E+001  -0.1861133E+003   0.6647515E+002  -0.1317114E+001   0.2548717E+005
  -0.2166049E+002  -0.4961844E+002  -0.9149249E+001  -0.1137387E+002  -0.3825674E+002   0.6040795E+001  -0.9866119E+001  -0.9147681E+002   0.5939446E+002  -0.5227747E+000   0.1115085E+005
  -0.2616380E+001  -0.4009977E+002  -0.7503061E+001  -0.3078828E+001  -0.4301139E+002   0.8883706E+001   0.1287916E+002  -0.2099110E+002   0.4517247E+002  -0.4552973E+000   0.4917250E+004
   0.1520866E+002  -0.3327414E+002  -0.5659085E+001  -0.3342721E+001  -0.4589630E+002   0.1054576E+002  -0.3383426E+001   0.2942289E+002   0.3036820E+002  -0.3194356E+000   0.4769994E+004
   0.2521822E+002  -0.2655044E+002  -0.2064568E+001  -0.1935420E+001  -0.4494156E+002   0.9350730E+001  -0.6800894E+002   0.1009452E+003   0.1965858E+002  -0.6475551E-001   0.1198563E+005
  -0.2268430E+001  -0.2049694E+002  -0.1918562E+001  -0.1703785E+002  -0.2749283E+002   0.5586955E+001  -0.5596074E+002   0.1431132E+003   0.2959933E+002  -0.1619245E+000   0.1507242E+005
  -0.4061790E+002  -0.1001222E+002  -0.7225119E+001  -0.3626901E+002  -0.2731925E+001   0.2429903E+000   0.5250921E+002   0.1408620E+003   0.4331647E+002  -0.3335166E-001   0.1558521E+005
  -0.4695224E+002   0.9693386E+000  -0.1320322E+002  -0.3325317E+002   0.1039994E+002  -0.2237578E+001   0.6726926E+002   0.1491792E+003   0.3704068E+002   0.4883809E+000   0.1646321E+005
   0.1929102E+002  -0.5123848E+000  -0.1128047E+002  -0.9089553E+001  -0.6119569E+001   0.4537524E+001  -0.9349656E+002   0.1982350E+003  -0.8768261E+001   0.4403193E+001   0.2657358E+005
   0.6152099E+002  -0.4022402E+001  -0.4467796E+001   0.8466986E+001  -0.2172648E+002   0.1381933E+002  -0.2058620E+003   0.1801530E+003  -0.3310697E+002   0.6687545E+001   0.4627985E+005
   0.4733792E+002  -0.5661492E+001   0.2581595E+001   0.3265949E+001  -0.3064783E+002   0.1810373E+002  -0.1463057E+003   0.6147107E+002  -0.1187388E+002   0.4816213E+001   0.1681067E+005
   0.4266284E+001  -0.7319723E+001   0.5699058E+001   0.1027558E+002  -0.2694611E+002   0.9173138E+001  -0.1227524E+003  -0.1052620E+002   0.2419327E+002   0.1513446E+001   0.8184866E+004
  -0.7350582E+001  -0.2415325E+002   0.5660192E+001   0.1165967E+002  -0.2029313E+002  -0.5314658E+001  -0.1984400E+003  -0.1926362E+002   0.2877742E+002   0.1133707E+001   0.2025567E+005
  -0.4903059E+001  -0.3639356E+002   0.8111988E+001   0.1902524E+002  -0.1101083E+002  -0.8874588E+001  -0.2011508E+003  -0.2044573E+002   0.2280285E+002   0.6888959E+001   0.1986209E+005
  -0.2187884E+002  -0.2728188E+002   0.4561060E+001   0.2280183E+002  -0.1085925E+002   0.9655067E+000  -0.1187795E+003  -0.1007954E+003   0.3237962E+002  -0.3584665E+000   0.1316096E+005
  -0.1404350E+002   0.7306045E+000  -0.2930980E+001   0.2438884E+002  -0.1998290E+002   0.5046250E+001  -0.8085436E+001  -0.1422415E+003   0.3558889E+002   0.1562492E+001   0.1164974E+005
   0.3017004E+001   0.1648839E+002  -0.7035943E+001   0.1036236E+002  -0.2464009E+002  -0.8541350E+001   0.2474788E+002  -0.7478398E+002   0.1867284E+002  -0.2950239E+001   0.4950902E+004
  -0.1028094E+001   0.1198771E+002   0.1104298E+001  -0.8377590E+001  -0.2492697E+002  -0.2976823E+002   0.7506717E+002   0.4122172E+002   0.2306100E+002  -0.2894056E+001   0.4124582E+004
  -0.3489162E+002  -0.6618502E+001   0.9320518E+001  -0.2349370E+001  -0.2678176E+002  -0.3880292E+002   0.1310866E+002   0.1082852E+003   0.5472854E+002  -0.6944834E+001   0.7619460E+004
  -0.2057500E+002  -0.1931459E+002   0.1633810E+001   0.2597608E+002  -0.2865598E+002  -0.4582440E+002  -0.1525854E+001   0.9110273E+002   0.4204341E+002  -0.7187570E+001   0.4042181E+004
