#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.2228703E-001   0.2115509E-003  -0.5492723E-003  -0.8215331E-001  -0.2079688E-001   0.2239914E-002
   0.1316665E-001   0.4309177E-005  -0.5492562E-002  -0.1430378E+000   0.1300302E+000   0.2965918E-002
   0.1191786E-001   0.1365063E-005   0.6962396E-002  -0.1333224E+000   0.2434721E+000   0.5016603E-002
   0.1169025E-001   0.6889734E-006   0.2929525E-001  -0.8387845E-001   0.3359723E+000   0.5780929E-002
   0.1678769E-001   0.2489335E-004   0.9158449E-001  -0.7729805E-001   0.3590519E+000   0.5571571E-002
   0.3617662E-001   0.1191919E-003   0.1314559E+000  -0.9578315E-001   0.3184847E+000   0.3981556E-002
   0.3912473E-001   0.4778410E-004   0.1488766E+000  -0.9796220E-001   0.2999473E+000   0.3435181E-002
   0.2407802E-001   0.4015721E-004   0.1592298E+000  -0.1013631E+000   0.2705102E+000   0.4954924E-002
   0.2007951E-001   0.2448963E-004   0.1568871E+000  -0.1380221E+000   0.2111492E+000   0.5350482E-002
   0.4586390E-001   0.1601365E-003   0.1247744E+000  -0.1727527E+000   0.1246118E+000   0.1956515E-002
   0.2489126E-001   0.1999282E-003   0.1116687E+000  -0.2143656E+000   0.1328924E+000   0.1615246E-002
   0.1097774E-001   0.6153376E-005   0.1233322E+000  -0.2640717E+000   0.1896428E+000   0.2339566E-002
   0.1009584E-001   0.2680168E-004   0.1374327E+000  -0.1980068E+000   0.8415394E-001   0.2334933E-002
   0.8998700E-001   0.5041534E-002   0.1503349E+000  -0.9867329E-001  -0.8297384E-001   0.5540928E-003
   0.1213419E+000   0.3745924E-002   0.1322526E+000  -0.6265198E-001  -0.7213646E-001   0.6813352E-003
   0.8380111E-001   0.1329965E-002   0.4732136E-001   0.3884852E-001  -0.6288928E-001   0.2426497E-002
   0.3683716E-001   0.9328614E-003   0.4029155E-001   0.8623253E-002   0.4991214E-001   0.1112172E-001
   0.1159739E-001   0.2854914E-005  -0.7359566E-001  -0.1099576E+000   0.2255213E+000   0.1528501E-001
   0.1167575E-001   0.8891747E-005  -0.1443285E+000  -0.1273551E+000   0.1677942E+000   0.1033914E-001
   0.1145996E-001   0.2753064E-004  -0.1540466E+000  -0.1039278E+000   0.6908056E-001   0.1259351E-001
   0.1664903E-001   0.1960907E-003  -0.1457270E+000  -0.9215437E-001  -0.9075429E-001   0.1499636E-001
   0.3681069E-001   0.1135554E-002  -0.1001659E+000  -0.1118690E+000  -0.1993719E+000   0.1291420E-001
   0.3258453E-001   0.1064509E-002  -0.4007961E-001  -0.1098080E+000  -0.1769483E+000   0.1697759E-001
   0.1066027E-001   0.6451213E-004   0.9102437E-002  -0.3482596E-001   0.4506248E-001   0.3062807E-001
   0.4487907E-001   0.1382224E-002   0.8031298E-002   0.2851839E-001  -0.2371439E+000   0.5221250E-002
   0.1058484E+000   0.4082069E-002   0.3721426E-001   0.6876109E-001  -0.2732240E+000   0.2029982E-002
   0.1076560E+000   0.1105845E-002   0.3856009E-001   0.7552633E-001  -0.2655073E+000   0.2124450E-002
   0.7994118E-001   0.3802900E-003   0.2356929E-001   0.7704582E-001  -0.2358437E+000   0.3590273E-002
   0.5576708E-001   0.5656774E-003   0.1773265E-001   0.5089163E-001  -0.2487619E+000   0.3904659E-002
   0.3167454E-001   0.2086010E-003   0.1587950E-001   0.8949723E-002  -0.3095076E+000   0.2523697E-002
   0.4293790E-001   0.3168787E-003   0.1771586E-001  -0.5824364E-003  -0.3792526E+000   0.1391522E-002
   0.4035748E-001   0.1138703E-002  -0.1688825E-001   0.6538232E-001  -0.4781601E+000   0.1213133E-002
   0.1500982E+000   0.5149745E-002  -0.4045204E-001   0.9685816E-001  -0.5376812E+000   0.5729855E-003
   0.1034359E+000   0.4689357E-002  -0.2155273E-001   0.1066745E+000  -0.4801142E+000   0.2614756E-002
   0.7487056E-001   0.8388715E-003  -0.5851378E-001  -0.1214472E-001  -0.1250384E+000   0.6512595E-002
   0.3686749E-001   0.9066800E-003  -0.7809673E-001  -0.1080589E+000   0.5358901E-001   0.7261269E-002
   0.2250355E-001   0.1035062E-003  -0.9519372E-001  -0.1728550E+000   0.1488002E+000   0.5034740E-002
   0.4362709E-001   0.1119479E-002  -0.6683368E-001  -0.5976354E-001  -0.3915966E-001   0.1953404E-002
   0.7930828E-001   0.1005150E-002  -0.5461613E-001  -0.5199532E-001  -0.1278568E+000   0.1326347E-002
   0.3453560E-001   0.4492736E-003  -0.2469639E-001  -0.6453896E-001  -0.7181291E-001   0.1669015E-002
   0.2111862E-001   0.4168155E-004   0.9300125E-002  -0.1108576E+000   0.8092292E-001   0.3183561E-002
   0.1194882E-001   0.7787358E-005   0.6433548E-001  -0.1293322E+000   0.2211067E+000   0.6348788E-002
   0.9298462E-002   0.4240578E-005   0.6882743E-001  -0.9770464E-001   0.3337406E+000   0.8303006E-002
   0.1158748E-001   0.3750850E-005   0.7655860E-001  -0.5481284E-001   0.3968220E+000   0.7351725E-002
   0.2566441E-001   0.1118494E-003   0.1062800E+000  -0.7141012E-001   0.3591440E+000   0.5083404E-002
   0.4183703E-001   0.8462161E-004   0.1193533E+000  -0.8400427E-001   0.3423230E+000   0.3965780E-002
   0.2563245E-001   0.1360228E-003   0.1095968E+000  -0.8774068E-001   0.3740616E+000   0.6452212E-002
   0.1632455E-001   0.1872850E-004   0.9386129E-001  -0.1198842E+000   0.3428230E+000   0.1456027E-001
   0.2383322E-001   0.1171557E-003   0.1248010E+000  -0.1583651E+000   0.1997997E+000   0.9575799E-002
   0.3886037E-001   0.4534128E-004   0.1416145E+000  -0.1763738E+000   0.1443204E+000   0.4429491E-002
   0.1745944E-001   0.5034406E-004   0.1768866E+000  -0.2350490E+000   0.1655758E+000   0.5711563E-002
   0.8565598E-002   0.1819168E-005   0.1936911E+000  -0.2898907E+000   0.2329329E+000   0.7638937E-002
   0.9914536E-002   0.1342215E-004   0.1586332E+000  -0.2206751E+000   0.1296650E+000   0.4817843E-002
   0.6311395E-001   0.2477674E-002   0.1426423E+000  -0.9404236E-001  -0.7161892E-001   0.9441667E-003
   0.1217880E+000   0.2200078E-002   0.1044929E+000  -0.4181925E-001  -0.5761679E-001   0.1477135E-002
   0.4567033E-001   0.2318498E-003   0.1137438E-001   0.3804227E-001   0.3374342E-001   0.3454311E-002
   0.2504498E-001   0.4453250E-004   0.4010234E-002  -0.1198696E-001   0.6121582E-001   0.7794275E-002
   0.1568991E-001   0.1097503E-004  -0.5543431E-001  -0.5992817E-001   0.4583363E-001   0.7906171E-002
   0.2022199E-001   0.4698615E-004  -0.1138579E+000  -0.8103228E-001  -0.2773337E-002   0.5318073E-002
   0.3618817E-001   0.1954927E-003  -0.1304331E+000  -0.6583833E-001  -0.1047179E+000   0.3435418E-002
   0.6011940E-001   0.4896545E-003  -0.1137490E+000  -0.6528173E-001  -0.2350598E+000   0.2807849E-002
   0.1118850E+000   0.1057608E-002  -0.8832686E-001  -0.1128704E+000  -0.3176233E+000   0.2273235E-002
   0.1098857E+000   0.9029624E-003  -0.4371396E-001  -0.9956406E-001  -0.2849486E+000   0.3014978E-002
   0.5938347E-001   0.1210833E-002  -0.5829231E-002  -0.2789662E-001  -0.2349640E+000   0.5422311E-002
   0.6310368E-001   0.8359695E-003  -0.1893947E-001   0.2095235E-001  -0.2181624E+000   0.2543669E-002
   0.9273636E-001   0.1975560E-002   0.8888803E-002   0.5090395E-001  -0.2375955E+000   0.2481308E-002
   0.8675163E-001   0.7374725E-003   0.5797362E-002   0.1647055E-001  -0.1515185E+000   0.3859573E-002
   0.5940477E-001   0.8562586E-003  -0.5993935E-001  -0.7721023E-002  -0.1163436E+000   0.3803512E-002
   0.3560732E-001   0.1642475E-004  -0.1192016E+000  -0.5311475E-001  -0.1334245E+000   0.2108466E-002
   0.3660762E-001   0.7514272E-004  -0.7176660E-001  -0.6674616E-001  -0.2341156E+000   0.2894965E-002
   0.6913939E-001   0.1371408E-002  -0.6788195E-002  -0.2099590E-001  -0.4035843E+000   0.1356443E-002
   0.5084662E-001   0.6846338E-003  -0.2742791E-001   0.2170104E-001  -0.4440406E+000   0.9705372E-003
   0.5404863E-001   0.1545781E-002  -0.6308722E-001   0.9206557E-001  -0.4850052E+000   0.1153779E-002
   0.5207120E-001   0.1221237E-002  -0.4974937E-001   0.1188198E+000  -0.4136268E+000   0.3025387E-002
   0.8532780E-001   0.1493811E-002  -0.6547896E-001   0.7343555E-002  -0.1191047E+000   0.5196741E-002
   0.7372057E-001   0.2372178E-002  -0.8917584E-001  -0.4421301E-001   0.2649339E-001   0.5515528E-002
   0.7899507E-001   0.3473455E-002  -0.8347000E-001  -0.7468073E-001   0.5035888E-001   0.4264063E-002
   0.1502281E+000   0.5417787E-002  -0.4903183E-001  -0.5164668E-001  -0.6262428E-001   0.1457354E-002
   0.1040305E+000   0.2814232E-002  -0.3564579E-001  -0.8520431E-001  -0.1107723E+000   0.1547339E-002
   0.4639059E-001   0.4316954E-003   0.9199435E-002  -0.9282749E-001   0.3545096E-001   0.3310097E-002
   0.1872707E-001   0.6495128E-004   0.7623750E-001  -0.9116444E-001   0.1995307E+000   0.7696090E-002
   0.9475479E-002   0.6195206E-005   0.1316187E+000  -0.7046636E-001   0.3704076E+000   0.1140343E-001
   0.9026671E-002   0.4528821E-005   0.1224931E+000  -0.4404953E-001   0.4385428E+000   0.1066315E-001
   0.1742733E-001   0.6482316E-004   0.9915197E-001  -0.4337639E-001   0.3966372E+000   0.7425571E-002
   0.3226849E-001   0.5416888E-004   0.9668662E-001  -0.6068843E-001   0.3772450E+000   0.6327647E-002
   0.2475775E-001   0.5897339E-004   0.6096986E-001  -0.8810007E-001   0.4311807E+000   0.1115873E-001
   0.1949113E-001   0.1709505E-004  -0.1631957E-001  -0.1271330E+000   0.3356390E+000   0.2026139E-001
   0.3835500E-001   0.9362013E-003   0.5466714E-001  -0.1101199E+000   0.4251693E-001   0.1442306E-001
   0.5413966E-001   0.1207099E-002   0.1309201E+000  -0.1058255E+000  -0.3138588E-001   0.7342034E-002
   0.4092471E-001   0.1947780E-003   0.1791631E+000  -0.1334931E+000   0.1195727E-001   0.5440634E-002
   0.2223072E-001   0.3229463E-004   0.2226725E+000  -0.1883528E+000   0.7627655E-001   0.6866144E-002
   0.1044387E-001   0.8702353E-005   0.2497645E+000  -0.2566675E+000   0.1988848E+000   0.1084723E-001
   0.1155515E-001   0.2677161E-004   0.1807517E+000  -0.2166738E+000   0.1467119E+000   0.8637887E-002
   0.4970180E-001   0.7846954E-003   0.1382139E+000  -0.9451678E-001  -0.6208928E-001   0.1610621E-002
   0.9256679E-001   0.8902190E-003   0.1033138E+000  -0.2566342E-001  -0.7227876E-001   0.2271701E-002
   0.4690811E-001   0.5518370E-003  -0.1303150E-001  -0.2188232E-001  -0.5716614E-001   0.2526847E-002
   0.8474621E-001   0.1855239E-002  -0.5325761E-001  -0.3517338E-001  -0.1522544E+000   0.1359264E-002
   0.9552068E-001   0.3788044E-002  -0.5826820E-001  -0.4814723E-001  -0.2011519E+000   0.1526840E-002
   0.9129054E-001   0.4203905E-002  -0.6985979E-001  -0.3961202E-001  -0.1903158E+000   0.1350601E-002
   0.6441013E-001   0.5394157E-003  -0.1000130E+000  -0.3481560E-001  -0.1884791E+000   0.1128588E-002
   0.3793674E-001   0.3484756E-003  -0.8007996E-001  -0.5420436E-001  -0.2453671E+000   0.1360484E-002
   0.6489780E-001   0.2448902E-002  -0.4753933E-001  -0.1309054E+000  -0.3445841E+000   0.2147188E-002
   0.1166401E+000   0.1803895E-002  -0.4415182E-001  -0.9678168E-001  -0.2689688E+000   0.2496768E-002
   0.5773570E-001   0.3504719E-003  -0.4476401E-001  -0.2043591E-001  -0.1597219E+000   0.2749309E-002
   0.2652706E-001   0.4068781E-004  -0.1948633E-002  -0.9242297E-002   0.8237330E-001   0.3606076E-002
   0.4146159E-001   0.3238079E-003  -0.2793615E-002  -0.1049896E-001   0.7429501E-001   0.2363014E-002
   0.6407209E-001   0.5573884E-003  -0.3173909E-002  -0.1251931E-001   0.4354978E-001   0.1787781E-002
   0.1002626E+000   0.2297980E-002  -0.2307194E-002  -0.8058766E-002  -0.6400717E-001   0.1334012E-002
   0.4538034E-001   0.4361664E-003  -0.3265137E-001  -0.2561048E-001  -0.2156606E-001   0.1771281E-002
   0.3908004E-001   0.2324794E-004  -0.4620014E-001  -0.2080959E-001  -0.7841914E-002   0.5574733E-002
   0.6220393E-001   0.1079200E-002  -0.1565858E-001  -0.1086262E-001  -0.2546605E+000   0.4098013E-002
   0.9714454E-001   0.1239744E-002  -0.9516093E-002  -0.2220625E-003  -0.3899333E+000   0.1595078E-002
   0.6781866E-001   0.7623548E-003  -0.4460625E-001   0.2466221E-001  -0.3890249E+000   0.1556233E-002
   0.4623158E-001   0.2055916E-003  -0.5292357E-001   0.2854860E-001  -0.2650465E+000   0.3586415E-002
   0.9312629E-001   0.1164611E-002  -0.1061809E+000  -0.1780154E-002  -0.5353951E-001   0.4289394E-002
   0.7339746E-001   0.3127626E-002  -0.1239778E+000  -0.4231179E-002   0.5660014E-001   0.6785660E-002
   0.1357082E+000   0.7465085E-002  -0.9151329E-001  -0.5980779E-001   0.5927623E-001   0.6595318E-002
   0.2234377E+000   0.4595230E-002  -0.3807913E-001  -0.7311598E-001  -0.2978585E-001   0.3665910E-002
   0.1324547E+000   0.4039788E-002   0.1083095E-002  -0.6401826E-001  -0.2398918E-001   0.3355158E-002
   0.3854392E-001   0.4921328E-003   0.7281733E-001  -0.3437597E-001   0.1607757E+000   0.6402101E-002
   0.1627847E-001   0.1016526E-004   0.1377019E+000  -0.1448286E-001   0.3380724E+000   0.9222799E-002
   0.1371946E-001   0.8269678E-005   0.1390115E+000  -0.9009899E-002   0.4051923E+000   0.8711308E-002
   0.1933563E-001   0.8311975E-004   0.9960214E-001  -0.9600746E-002   0.3941894E+000   0.7529342E-002
   0.2879725E-001   0.7196980E-004   0.8127025E-001  -0.2355499E-001   0.3931088E+000   0.7551396E-002
   0.2141304E-001   0.4783458E-004   0.3965918E-001  -0.5958804E-001   0.4869461E+000   0.1129474E-001
   0.2237306E-001   0.5921555E-005  -0.6046486E-001  -0.1098175E+000   0.4492477E+000   0.1732214E-001
   0.2494369E-001   0.2333491E-004  -0.2652383E-001  -0.8553532E-001   0.1766475E+000   0.1636045E-001
   0.9694518E-001   0.5295375E-002   0.1015425E+000  -0.2396406E-001  -0.1593729E+000   0.3800513E-002
   0.1995303E+000   0.9189868E-002   0.1427780E+000  -0.3258932E-001  -0.2110444E+000   0.1012344E-002
   0.1107268E+000   0.6294315E-002   0.1624800E+000  -0.3999048E-001  -0.1835697E+000   0.1153960E-002
   0.2568218E-001   0.1145436E-003   0.1976829E+000  -0.9166661E-001  -0.6423091E-001   0.4435439E-002
   0.1157709E-001   0.9474610E-005   0.2433537E+000  -0.1894601E+000   0.1391100E+000   0.1099181E-001
   0.1528665E-001   0.7511806E-004   0.1725468E+000  -0.1808115E+000   0.1327907E+000   0.1035451E-001
   0.6639293E-001   0.1694147E-002   0.1024405E+000  -0.5368464E-001  -0.8261965E-001   0.2051082E-002
   0.1163628E+000   0.1534041E-002   0.3595918E-001  -0.2037867E-001  -0.1329216E+000   0.2140755E-002
   0.7626351E-001   0.4826465E-003  -0.3430915E-001  -0.5177617E-001  -0.1659459E+000   0.3671189E-002
   0.7510036E-001   0.1401747E-002  -0.2985167E-001  -0.5954995E-001  -0.2187060E+000   0.4121238E-002
   0.8718902E-001   0.3003380E-002  -0.1662895E-001  -0.6643080E-001  -0.2776470E+000   0.4547138E-002
   0.1273782E+000   0.3806992E-002  -0.3322170E-002  -0.5139350E-001  -0.2983601E+000   0.3985138E-002
   0.8821919E-001   0.1102907E-002   0.3713411E-001  -0.4866876E-001  -0.3125847E+000   0.4331291E-002
   0.4166741E-001   0.1495488E-003   0.1129840E+000  -0.6754048E-001  -0.3282611E+000   0.4439575E-002
   0.5091461E-001   0.6995869E-003   0.1163048E+000  -0.1072740E+000  -0.3791833E+000   0.3503521E-002
   0.1466065E+000   0.2636198E-002   0.4589017E-001  -0.8522532E-001  -0.3793174E+000   0.2928778E-002
   0.5693659E-001   0.6714480E-003   0.2680076E-001  -0.2475342E-001  -0.9652954E-001   0.4793771E-002
   0.9749563E-001   0.3454037E-002   0.4872730E-001   0.7782341E-002   0.2436220E-001   0.1492041E-002
   0.8356905E-001   0.1386080E-002   0.6923738E-002  -0.1131046E-001   0.8221405E-001   0.1091483E-002
   0.4160228E-001   0.4613393E-003  -0.2551534E-001   0.1026700E-001   0.1148227E+000   0.2304377E-002
   0.6713689E-001   0.1827848E-002   0.1992310E-001   0.2719731E-001   0.3308774E-001   0.2419329E-002
   0.3670997E-001   0.4615119E-003   0.5315870E-001   0.1747263E-001   0.8513179E-001   0.3371006E-002
   0.2666631E-001   0.3492720E-004   0.2736940E-001   0.4770673E-001   0.2053071E+000   0.8021779E-002
   0.4482732E-001   0.7427466E-004  -0.1249021E-001   0.8703710E-001   0.1038245E+000   0.8328392E-002
   0.6292736E-001   0.3023267E-003   0.1443967E-001   0.6456281E-001  -0.1435348E+000   0.3351129E-002
   0.5822998E-001   0.4558938E-003   0.2032735E-001   0.3717553E-001  -0.2510457E+000   0.1399655E-002
   0.7054388E-001   0.1071822E-002  -0.6353142E-001   0.6081731E-002  -0.1187935E+000   0.3379017E-002
   0.6238095E-001   0.1253092E-002  -0.1355247E+000   0.3221429E-001  -0.7805515E-002   0.5565775E-002
   0.3618498E-001   0.8049070E-003  -0.1422728E+000  -0.1169591E-001   0.1666559E+000   0.1574384E-001
   0.1292595E+000   0.7666418E-002  -0.8757157E-001  -0.6409655E-001   0.1228062E+000   0.1004136E-001
   0.2053228E+000   0.4990519E-002  -0.1146220E-001  -0.4814630E-001   0.1005506E+000   0.5830201E-002
   0.1182035E+000   0.3298159E-002   0.3196820E-001   0.4866622E-002   0.1433808E+000   0.3006961E-002
   0.4589140E-001   0.2751337E-003   0.6151049E-001   0.8979937E-002   0.2522932E+000   0.3247317E-002
   0.3032671E-001   0.1209764E-003   0.9123905E-001   0.9793416E-002   0.3162398E+000   0.3549260E-002
   0.2896826E-001   0.8818211E-004   0.8028518E-001   0.1888807E-001   0.3408628E+000   0.4235980E-002
   0.2666597E-001   0.1123575E-003   0.5675218E-001   0.6416747E-002   0.3793387E+000   0.6323773E-002
   0.2030414E-001   0.4227296E-004   0.4445327E-002  -0.5287751E-001   0.5082870E+000   0.7661599E-002
   0.1716112E-001   0.1070239E-004  -0.8024992E-001  -0.9564667E-001   0.5741073E+000   0.8932918E-002
   0.2582923E-001   0.9706901E-005  -0.9922543E-001  -0.9498246E-001   0.3817835E+000   0.1394590E-001
   0.2402996E-001   0.1708181E-004   0.8882367E-002  -0.5973158E-001   0.1318032E+000   0.1180122E-001
   0.6738506E-001   0.2625047E-002   0.1430246E+000   0.4113177E-002  -0.1991980E+000   0.3191829E-002
   0.2053916E+000   0.5684296E-002   0.1581681E+000  -0.3219267E-001  -0.2742291E+000   0.9702967E-003
   0.1544530E+000   0.6063193E-002   0.1485595E+000  -0.3514255E-001  -0.2513515E+000   0.6891295E-003
   0.3562855E-001   0.2619635E-003   0.1676825E+000  -0.5640047E-001  -0.1207701E+000   0.2921077E-002
   0.1413267E-001   0.2275889E-004   0.2263482E+000  -0.1464947E+000   0.1048177E+000   0.1065045E-001
   0.2635791E-001   0.6462742E-003   0.1227917E+000  -0.1409696E+000   0.7151327E-001   0.1067271E-001
   0.1165127E+000   0.2584111E-002   0.5954588E-001  -0.4252078E-001  -0.1134442E+000   0.4256370E-002
   0.1126478E+000   0.3060902E-002   0.6644550E-001  -0.4834502E-001  -0.2876757E+000   0.7527995E-002
   0.8739234E-001   0.3813345E-002   0.1660931E+000  -0.1017195E+000  -0.5166703E+000   0.9719201E-002
   0.6429443E-001   0.1668886E-002   0.2049357E+000  -0.9087826E-001  -0.5075726E+000   0.9330377E-002
   0.6062716E-001   0.9996588E-003   0.2066712E+000  -0.7464738E-001  -0.5460069E+000   0.7191404E-002
   0.1065784E+000   0.2435632E-002   0.2038419E+000  -0.5473354E-001  -0.6328947E+000   0.4221620E-002
   0.1012270E+000   0.1305419E-002   0.2153620E+000  -0.2817907E-001  -0.6278122E+000   0.3914778E-002
   0.5800684E-001   0.2650988E-003   0.2340259E+000  -0.1277380E-001  -0.5571044E+000   0.4723140E-002
   0.7171126E-001   0.1107317E-002   0.1620125E+000  -0.7262850E-001  -0.4780002E+000   0.4358521E-002
   0.1349779E+000   0.2064258E-002   0.8447137E-001  -0.6406155E-001  -0.4367407E+000   0.2665466E-002
   0.7606902E-001   0.5443735E-003   0.6205976E-001   0.3125787E-001  -0.1621797E+000   0.3829220E-002
   0.1858678E+000   0.6198791E-002   0.1043765E-001   0.1130364E-001   0.1540304E-001   0.8456584E-003
   0.5978218E-001   0.1651435E-002  -0.2877208E-001   0.4140700E-002   0.7805623E-001   0.1157271E-002
   0.1442318E-001   0.5431493E-004   0.1882296E-001   0.2445796E-001   0.2236025E+000   0.3391276E-002
   0.1424876E-001   0.5179376E-004   0.6167609E-001   0.7805229E-001   0.2854769E+000   0.6611762E-002
   0.1735894E-001   0.1660459E-004   0.7666464E-001   0.8485808E-001   0.3583680E+000   0.7344208E-002
