# ~alp d~p/dy   Phi_p_sgs,y
   0.2887920E+001   0.9885564E-001
   0.3969564E+001  -0.7147789E+001
   0.4651611E+001  -0.1433130E+002
  -0.2627537E+001  -0.1875725E+002
  -0.2199729E+002  -0.3157883E+002
  -0.5068943E+002  -0.3810616E+002
  -0.4110882E+002  -0.2188587E+002
  -0.1340300E+002  -0.5042504E+001
  -0.7087341E+001  -0.4572710E+000
  -0.9177636E+001  -0.6442237E+001
  -0.5828789E+001  -0.9360356E+001
  -0.3273808E+000  -0.5057366E+001
   0.4868877E+000  -0.5239009E-001
   0.5577810E+000  -0.1314213E+000
   0.5360335E+000  -0.3201934E+000
   0.3932116E+000  -0.4131534E+000
   0.2862622E+000  -0.3094336E+000
  -0.1644351E+000  -0.1796961E+000
  -0.7362840E+000   0.7831881E-001
  -0.9125667E+000  -0.5179952E-001
  -0.1374879E+001  -0.2496989E+001
  -0.1216019E+001  -0.5310443E+001
  -0.2240575E+000  -0.4257749E+001
  -0.1685185E+001  -0.1005901E+000
  -0.5671006E+001  -0.1975055E+001
  -0.2818347E+002  -0.2097137E+002
  -0.3283475E+002   0.4450624E+001
   0.8156992E+002   0.6320857E+001
   0.1270947E+003   0.9353162E+002
   0.7396180E+002   0.1008577E+003
   0.3323899E+002   0.7824639E+002
   0.3671248E+002   0.7225899E+002
   0.6812579E+002   0.5557324E+002
   0.4894017E+002   0.2397423E+002
   0.9175662E+001   0.1010102E+002
   0.2098519E+001   0.5923410E+000
   0.2549300E+001  -0.6305177E+000
   0.3001386E+001  -0.1709541E+001
   0.1420627E+001  -0.4140412E+000
   0.2230548E+001   0.2654453E+000
   0.4060393E+001   0.4262908E+000
   0.1001682E+002   0.8931776E+000
   0.2414449E+002   0.5637787E+001
   0.3788263E+002   0.1531820E+002
   0.2959244E+002   0.1288749E+002
   0.5349972E+001  -0.8266608E+000
  -0.7097704E+001  -0.1753255E+001
  -0.5076749E+001  -0.2838652E+000
  -0.7693740E+001   0.5353938E+000
  -0.1631909E+002  -0.4719791E+001
  -0.2173252E+002  -0.1167623E+002
  -0.7986536E+001  -0.1411321E+002
   0.4890015E+000  -0.2603351E+001
   0.1009064E+001  -0.1812641E+000
   0.1077873E+001  -0.4229760E+000
   0.8063878E+000  -0.4885025E+000
   0.5511483E+000  -0.2874240E+000
   0.4852171E+000  -0.6922026E-001
   0.1954468E+000   0.8431493E-001
  -0.2038210E+000   0.1614473E+000
   0.9183706E-001   0.1251846E+001
   0.1072841E+001  -0.4816441E+001
  -0.1960086E+000  -0.4021720E+001
  -0.5248103E+001   0.1142616E+001
  -0.1094651E+002  -0.1678252E+001
  -0.5059554E+002  -0.2336465E+002
  -0.1462891E+003   0.1411318E+002
  -0.8801217E+002   0.5464352E+001
   0.2667150E+001   0.1817793E+002
   0.7958449E+000   0.3417597E+001
  -0.6258223E+000   0.6593632E+001
   0.5970717E+000   0.2024811E+002
   0.2904846E+002   0.4167000E+002
   0.6005861E+002   0.2575218E+002
