# ~alp d~p/dz   Phi_p_sgs,z
   0.2842435E+001   0.1415095E+000
  -0.8904045E+000   0.1180673E+000
  -0.1192421E+001  -0.1944857E-001
  -0.2786244E+001  -0.7731397E-002
  -0.2809420E+001   0.6730641E-002
  -0.2196446E+001  -0.3151110E-002
  -0.7891717E+001   0.1744348E+001
  -0.1038556E+002   0.1064791E+002
  -0.8858074E+001   0.7365316E+001
  -0.6497416E+001   0.5539100E+000
  -0.1574737E+001   0.2493048E+000
  -0.7939625E-001   0.7582028E-001
  -0.6964910E+001  -0.5313412E+001
  -0.7339977E+002   0.1049939E+002
  -0.1316160E+001  -0.9905087E-001
   0.3183664E+000   0.4265757E+000
   0.1038701E+002   0.4790443E+000
   0.1077775E+002   0.6160638E-001
   0.9434599E+001   0.1788919E-001
   0.5062927E+002   0.2712497E+001
   0.6466091E+002   0.1052680E+002
   0.4096851E+002   0.3479714E+001
   0.3282785E+002   0.2424356E+001
   0.2192248E+002   0.3046232E+001
   0.5447256E+002   0.8149635E+001
   0.3202729E+002   0.2483250E+001
   0.2055116E+002   0.1036127E+002
   0.2462479E+003   0.8835355E+000
   0.7860137E+002   0.1049162E+002
   0.6404865E+001   0.2105836E+001
  -0.8713982E+000   0.4610758E+000
  -0.4228596E+001   0.4175178E+000
  -0.2902996E+001   0.1334681E+001
  -0.4174284E+001   0.1669804E+000
   0.5990452E+002   0.1308815E+002
   0.1372699E+004   0.3485542E+003
   0.1898460E+004   0.1587179E+002
   0.3643359E+003   0.2770783E+003
  -0.6612221E+001   0.3718350E+001
   0.5561312E+000   0.2054391E+000
  -0.1206186E+001  -0.5857186E-001
  -0.1805770E+001   0.2318121E-002
  -0.1289895E+001   0.1620191E-001
  -0.1729995E+001   0.4749545E-002
  -0.2659755E+001  -0.1243641E-001
  -0.3460596E+001  -0.1166048E-001
  -0.2434139E+001   0.2656165E-001
  -0.6053620E+001   0.3619777E+001
  -0.1906928E+002   0.1071777E+002
   0.1072709E+002   0.1686904E+001
   0.4258659E+001  -0.1385908E+000
   0.5650926E+000  -0.7030400E+001
  -0.6941528E+002   0.5513789E+001
  -0.2664028E+001  -0.8065117E-002
  -0.6911847E+000   0.1145907E+000
   0.2206725E+001  -0.3142914E-001
   0.3806509E+001   0.1327868E+000
   0.8234633E+001   0.2542826E+000
   0.2989724E+002   0.7784485E+000
   0.1608736E+002   0.2628430E+001
   0.1910761E+002   0.4592061E+001
   0.3812863E+002   0.2286602E+001
   0.4545087E+002   0.1278361E+001
   0.2910692E+002   0.1628839E+001
   0.1688760E+001   0.5753442E+000
  -0.2604134E+002   0.1415191E+001
  -0.2164473E+002   0.1095534E+002
  -0.2173758E+002   0.1763845E+002
   0.3996500E+002  -0.3293952E+000
   0.4144728E+002   0.6658561E+000
   0.4926834E+002   0.4127153E+001
   0.7138072E+001   0.2448984E+000
   0.1938770E+002   0.2145831E+000
   0.1514651E+002   0.1353781E+001
   0.5883051E+002   0.4977189E+001
   0.4301937E+003   0.9052166E+002
   0.2021293E+004   0.6410236E+002
   0.4884531E+003   0.2330088E+003
  -0.5002858E+001   0.1329866E+002
