# <alp>   <alp2>    <alp/alpg>   <alpg/alp>    <alp^2/alpg>    <alp^2/alpg^2>
   0.9909412E-002   0.1162013E-003   0.1002721E-001   0.1179364E+003   0.1177968E-003   0.1194167E-003
   0.1268731E-001   0.2014570E-003   0.1289270E-001   0.9733502E+002   0.2053921E-003   0.2094151E-003
   0.2251912E-001   0.5843666E-003   0.2312080E-001   0.5229474E+002   0.6016780E-003   0.6195419E-003
   0.3459022E-001   0.1455021E-002   0.3612713E-001   0.3455710E+002   0.1536906E-002   0.1625095E-002
   0.5114943E-001   0.4318201E-002   0.5613867E-001   0.2662875E+002   0.4989245E-002   0.5793605E-002
   0.4718048E-001   0.4048953E-002   0.5188090E-001   0.2988472E+002   0.4700420E-002   0.5481469E-002
   0.3339143E-001   0.1531373E-002   0.3502857E-001   0.3627753E+002   0.1637140E-002   0.1752419E-002
   0.3498043E-001   0.1528152E-002   0.3659441E-001   0.3412231E+002   0.1613980E-002   0.1705367E-002
   0.3322099E-001   0.1385914E-002   0.3467764E-001   0.4014968E+002   0.1456647E-002   0.1531382E-002
   0.2917112E-001   0.1126877E-002   0.3035213E-001   0.4702701E+002   0.1181011E-002   0.1237993E-002
   0.4505364E-001   0.2708961E-002   0.4798702E-001   0.3007740E+002   0.2933382E-002   0.3180289E-002
   0.8793147E-001   0.9513977E-002   0.9884512E-001   0.1357432E+002   0.1091365E-001   0.1255135E-001
   0.1025759E+000   0.1475459E-001   0.1204527E+000   0.1575404E+002   0.1787685E-001   0.2174976E-001
   0.4344185E-001   0.5185132E-002   0.4984075E-001   0.5034168E+002   0.6398898E-002   0.7940125E-002
   0.1574983E-001   0.2717490E-003   0.1602675E-001   0.6908665E+002   0.2769278E-003   0.2822123E-003
   0.2668278E-001   0.1397483E-002   0.2827150E-001   0.4936333E+002   0.1588716E-002   0.1819161E-002
   0.9391606E-001   0.2642625E-001   0.1375284E+000   0.4255470E+002   0.4361235E-001   0.7399893E-001
   0.2218219E+000   0.7994604E-001   0.3598593E+000   0.2229862E+002   0.1380374E+000   0.2433623E+000
   0.2182150E+000   0.6614811E-001   0.3247214E+000   0.7026977E+001   0.1065064E+000   0.1763740E+000
   0.1631102E+000   0.3250724E-001   0.2057303E+000   0.6959998E+001   0.4262011E-001   0.5642142E-001
   0.1038851E+000   0.1645807E-001   0.1245098E+000   0.2142413E+002   0.2062473E-001   0.2605823E-001
   0.3845511E-001   0.2819038E-002   0.4156635E-001   0.6265316E+002   0.3111231E-002   0.3437107E-002
   0.1737496E-001   0.7840563E-003   0.1822973E-001   0.1009913E+003   0.8547739E-003   0.9334403E-003
   0.1114618E-001   0.1443887E-003   0.1129298E-001   0.9894201E+002   0.1467942E-003   0.1492551E-003
   0.1222737E-001   0.1545610E-003   0.1238398E-001   0.8353336E+002   0.1566109E-003   0.1586890E-003
   0.1761777E-001   0.3784402E-003   0.1800746E-001   0.6335365E+002   0.3896942E-003   0.4014210E-003
   0.4255761E-001   0.2610556E-002   0.4542114E-001   0.3236421E+002   0.2863527E-002   0.3152154E-002
   0.8714228E-001   0.1045289E-001   0.9957258E-001   0.1466647E+002   0.1243031E-001   0.1487350E-001
   0.9325033E-001   0.1145140E-001   0.1067479E+000   0.1363161E+002   0.1349755E-001   0.1597397E-001
   0.5304044E-001   0.4097718E-002   0.5763580E-001   0.2399535E+002   0.4595360E-002   0.5167513E-002
   0.2616735E-001   0.7300604E-003   0.2692051E-001   0.3922761E+002   0.7531572E-003   0.7771006E-003
   0.2106992E-001   0.4630598E-003   0.2154412E-001   0.4796812E+002   0.4742012E-003   0.4856423E-003
   0.2293456E-001   0.5857300E-003   0.2353810E-001   0.4612506E+002   0.6035346E-003   0.6219789E-003
   0.2578874E-001   0.7885105E-003   0.2660931E-001   0.4229852E+002   0.8205734E-003   0.8543365E-003
   0.4441298E-001   0.2495308E-002   0.4708531E-001   0.2816788E+002   0.2672329E-002   0.2863211E-002
   0.6068974E-001   0.4221932E-002   0.6526561E-001   0.1859572E+002   0.4575870E-002   0.4962046E-002
   0.4128418E-001   0.2309980E-002   0.4377176E-001   0.3129538E+002   0.2487580E-002   0.2681177E-002
   0.2065713E-001   0.4555706E-003   0.2112373E-001   0.5047086E+002   0.4665941E-003   0.4779034E-003
   0.1783951E-001   0.3481873E-003   0.1819545E-001   0.5959564E+002   0.3559347E-003   0.3638779E-003
   0.1430115E-001   0.2399205E-003   0.1454585E-001   0.8292937E+002   0.2447046E-003   0.2496010E-003
   0.1727735E-001   0.3937561E-003   0.1768165E-001   0.8695047E+002   0.4043003E-003   0.4151465E-003
   0.1873423E-001   0.4169940E-003   0.1916182E-001   0.6863033E+002   0.4275935E-003   0.4384826E-003
   0.1683436E-001   0.3543999E-003   0.1719799E-001   0.7381039E+002   0.3636275E-003   0.3731322E-003
   0.3057384E-001   0.1310549E-002   0.3195867E-001   0.5208877E+002   0.1384832E-002   0.1464115E-002
   0.3701448E-001   0.1615635E-002   0.3871881E-001   0.3029195E+002   0.1704331E-002   0.1798787E-002
   0.3160995E-001   0.1124462E-002   0.3278116E-001   0.3427367E+002   0.1171204E-002   0.1220090E-002
   0.4394075E-001   0.2194517E-002   0.4626434E-001   0.2530475E+002   0.2323593E-002   0.2460928E-002
   0.3738424E-001   0.1775187E-002   0.3926451E-001   0.3522408E+002   0.1880274E-002   0.1992282E-002
   0.2613712E-001   0.1237788E-002   0.2748980E-001   0.5523176E+002   0.1352680E-002   0.1482762E-002
   0.6020179E-001   0.7373794E-002   0.6898220E-001   0.4156978E+002   0.8780402E-002   0.1048691E-001
   0.9436922E-001   0.1257446E-001   0.1093259E+000   0.1928935E+002   0.1495670E-001   0.1784407E-001
   0.7846259E-001   0.8570985E-002   0.8836275E-001   0.1835970E+002   0.9900159E-002   0.1146511E-001
   0.4567400E-001   0.3887766E-002   0.5013703E-001   0.3344902E+002   0.4463032E-002   0.5139614E-002
   0.2023113E-001   0.4847024E-003   0.2073162E-001   0.5414507E+002   0.5004875E-003   0.5170037E-003
   0.1534205E-001   0.2515861E-003   0.1559809E-001   0.6910258E+002   0.2560393E-003   0.2605753E-003
   0.1521545E-001   0.4202532E-003   0.1567020E-001   0.8324616E+002   0.4547460E-003   0.4943901E-003
   0.5089864E-001   0.1159709E-001   0.6871773E-001   0.8420736E+002   0.1781909E-001   0.2809133E-001
   0.1110551E+000   0.3026743E-001   0.1577222E+000   0.5243316E+002   0.4666703E-001   0.7347996E-001
   0.1249911E+000   0.2740184E-001   0.1633521E+000   0.2494789E+002   0.3836108E-001   0.5471872E-001
   0.1322049E+000   0.2407691E-001   0.1629335E+000   0.1473671E+002   0.3072853E-001   0.3950860E-001
   0.9156508E-001   0.1236857E-001   0.1064805E+000   0.1980289E+002   0.1491546E-001   0.1808913E-001
   0.7992887E-001   0.8245803E-002   0.8928349E-001   0.1955386E+002   0.9354613E-002   0.1062659E-001
   0.7505101E-001   0.8930662E-002   0.8544774E-001   0.3268853E+002   0.1039674E-001   0.1212866E-001
   0.5385245E-001   0.6393857E-002   0.6150680E-001   0.4617177E+002   0.7654347E-002   0.9210040E-002
   0.3429256E-001   0.2184023E-002   0.3670759E-001   0.5085155E+002   0.2415031E-002   0.2678006E-002
   0.3118052E-001   0.1376310E-002   0.3263877E-001   0.4502417E+002   0.1458247E-002   0.1545821E-002
   0.7628950E-001   0.9831058E-002   0.8822143E-001   0.2418368E+002   0.1193193E-001   0.1457146E-001
   0.1264936E+000   0.2038756E-001   0.1517151E+000   0.9918533E+001   0.2522149E-001   0.3135902E-001
   0.8944170E-001   0.1170798E-001   0.1034426E+000   0.1744468E+002   0.1400094E-001   0.1681206E-001
   0.5314681E-001   0.4172631E-002   0.5782625E-001   0.2536113E+002   0.4679444E-002   0.5261529E-002
   0.4101519E-001   0.2301946E-002   0.4349934E-001   0.3109361E+002   0.2484151E-002   0.2683572E-002
   0.3128898E-001   0.1202195E-002   0.3255122E-001   0.3722707E+002   0.1262238E-002   0.1325930E-002
   0.3241199E-001   0.1194767E-002   0.3365875E-001   0.3399948E+002   0.1246765E-002   0.1301289E-002
   0.3901888E-001   0.1771832E-002   0.4088761E-001   0.2880983E+002   0.1868731E-002   0.1971502E-002
   0.5898348E-001   0.3771897E-002   0.6303004E-001   0.1810078E+002   0.4046565E-002   0.4342223E-002
   0.6432070E-001   0.4773553E-002   0.6951127E-001   0.2170285E+002   0.5190564E-002   0.5646243E-002
   0.3383574E-001   0.2008215E-002   0.3601363E-001   0.6600099E+002   0.2177892E-002   0.2363811E-002
   0.1493548E-001   0.2753141E-003   0.1521671E-001   0.9290748E+002   0.2812312E-003   0.2872886E-003
   0.1476983E-001   0.2401383E-003   0.1501423E-001   0.7744788E+002   0.2443912E-003   0.2487236E-003
   0.1510675E-001   0.2650315E-003   0.1537707E-001   0.7967276E+002   0.2703169E-003   0.2757167E-003
   0.2044983E-001   0.4635340E-003   0.2092515E-001   0.5346721E+002   0.4753261E-003   0.4874409E-003
   0.2056955E-001   0.4583322E-003   0.2103916E-001   0.5195343E+002   0.4696124E-003   0.4811900E-003
   0.1384436E-001   0.2185632E-003   0.1406685E-001   0.8203463E+002   0.2224898E-003   0.2264934E-003
   0.2755776E-001   0.1438522E-002   0.2910866E-001   0.6748501E+002   0.1550894E-002   0.1673349E-002
   0.4412768E-001   0.2527215E-002   0.4684228E-001   0.2963882E+002   0.2714596E-002   0.2917628E-002
   0.3670969E-001   0.1497099E-002   0.3827767E-001   0.2933005E+002   0.1567983E-002   0.1642573E-002
   0.3756123E-001   0.1515105E-002   0.3914444E-001   0.2777903E+002   0.1583212E-002   0.1654556E-002
   0.3022842E-001   0.1347822E-002   0.3168415E-001   0.4141915E+002   0.1455729E-002   0.1576738E-002
   0.7366433E-001   0.1019049E-001   0.8605768E-001   0.3215960E+002   0.1239334E-001   0.1513598E-001
   0.1489611E+000   0.2658201E-001   0.1820317E+000   0.9866678E+001   0.3307063E-001   0.4127052E-001
   0.1353979E+000   0.2241225E-001   0.1629877E+000   0.9276786E+001   0.2758980E-001   0.3407885E-001
   0.5255165E-001   0.4750384E-002   0.5805507E-001   0.2823950E+002   0.5503421E-002   0.6406833E-002
   0.2358159E-001   0.5715699E-003   0.2416776E-001   0.4259687E+002   0.5861736E-003   0.6011608E-003
   0.1755741E-001   0.3518503E-003   0.1791712E-001   0.6714777E+002   0.3597158E-003   0.3677673E-003
   0.1006996E-001   0.1170332E-003   0.1018862E-001   0.1105498E+003   0.1186528E-003   0.1202985E-003
   0.7411962E-002   0.6008385E-004   0.7472598E-002   0.1443915E+003   0.6063534E-004   0.6119278E-004
   0.1229197E-001   0.5580707E-003   0.1292082E-001   0.1344897E+003   0.6288436E-003   0.7115249E-003
   0.3466856E-001   0.2914734E-002   0.3797224E-001   0.7395103E+002   0.3303679E-002   0.3751646E-002
   0.6237241E-001   0.6060017E-002   0.6925299E-001   0.3245707E+002   0.6880582E-002   0.7828296E-002
   0.6954803E-001   0.8064788E-002   0.7915888E-001   0.2664172E+002   0.9610853E-002   0.1153565E-001
   0.4476326E-001   0.3898146E-002   0.4936292E-001   0.3475802E+002   0.4599662E-002   0.5476496E-002
   0.6742740E-001   0.6133625E-002   0.7433875E-001   0.1990469E+002   0.6911348E-002   0.7801956E-002
   0.1081037E+000   0.1454161E-001   0.1254588E+000   0.1139753E+002   0.1735513E-001   0.2082075E-001
   0.1296663E+000   0.2407480E-001   0.1611006E+000   0.1274929E+002   0.3143427E-001   0.4144002E-001
   0.8070482E-001   0.9491649E-002   0.9220291E-001   0.1689113E+002   0.1149810E-001   0.1408149E-001
   0.7900093E-001   0.7994396E-002   0.8813497E-001   0.1527407E+002   0.9134036E-002   0.1046236E-001
   0.1129478E+000   0.1625144E-001   0.1324362E+000   0.1239184E+002   0.1948836E-001   0.2344107E-001
   0.7906726E-001   0.1075685E-001   0.9213074E-001   0.2674723E+002   0.1306347E-001   0.1593759E-001
   0.2989655E-001   0.1332727E-002   0.3134124E-001   0.4308845E+002   0.1444692E-002   0.1572018E-002
   0.3288057E-001   0.1852386E-002   0.3489085E-001   0.5476778E+002   0.2010287E-002   0.2184180E-002
   0.4982354E-001   0.3403014E-002   0.5352959E-001   0.3607952E+002   0.3706048E-002   0.4039413E-002
   0.3604275E-001   0.1606017E-002   0.3773867E-001   0.3567162E+002   0.1695924E-002   0.1791661E-002
   0.3012375E-001   0.1059447E-002   0.3122751E-001   0.3910045E+002   0.1103762E-002   0.1150156E-002
   0.4238919E-001   0.2060300E-002   0.4456580E-001   0.2709905E+002   0.2176611E-002   0.2299917E-002
   0.5264057E-001   0.2965827E-002   0.5579166E-001   0.2073648E+002   0.3151091E-002   0.3348313E-002
   0.3362390E-001   0.1766150E-002   0.3550575E-001   0.7835782E+002   0.1881843E-002   0.2005742E-002
   0.1049802E-001   0.3132444E-003   0.1082878E-001   0.1926917E+003   0.3307616E-003   0.3494783E-003
   0.5940867E-002   0.4532705E-004   0.5986630E-002   0.2063450E+003   0.4576335E-004   0.4620453E-004
   0.8934629E-002   0.9863057E-004   0.9034566E-002   0.1380705E+003   0.9993742E-004   0.1012638E-003
   0.1453380E-001   0.2447873E-003   0.1478335E-001   0.7985551E+002   0.2495498E-003   0.2544147E-003
   0.1848442E-001   0.3663742E-003   0.1885875E-001   0.5697388E+002   0.3743232E-003   0.3824562E-003
   0.2238251E-001   0.5291897E-003   0.2292521E-001   0.4627549E+002   0.5427048E-003   0.5565818E-003
   0.1939865E-001   0.4157054E-003   0.1982424E-001   0.5721446E+002   0.4255893E-003   0.4357240E-003
   0.2044436E-001   0.6743393E-003   0.2115790E-001   0.6452678E+002   0.7135392E-003   0.7558416E-003
   0.4631320E-001   0.2788976E-002   0.4931034E-001   0.3206669E+002   0.2997136E-002   0.3222257E-002
   0.4706679E-001   0.2512615E-002   0.4974260E-001   0.2275948E+002   0.2675811E-002   0.2851028E-002
   0.3874098E-001   0.1821499E-002   0.4068387E-001   0.2823053E+002   0.1942897E-002   0.2075299E-002
   0.7372884E-001   0.8923709E-002   0.8426357E-001   0.2386131E+002   0.1053473E-001   0.1246879E-001
   0.1675337E+000   0.3560675E-001   0.2151818E+000   0.9488582E+001   0.4764811E-001   0.6458791E-001
   0.2209251E+000   0.5508034E-001   0.2978621E+000   0.4261587E+001   0.7693698E-001   0.1088081E+000
   0.1430640E+000   0.2711195E-001   0.1787329E+000   0.8750366E+001   0.3566891E-001   0.4753378E-001
   0.5197890E-001   0.3802087E-002   0.5619126E-001   0.2685746E+002   0.4212356E-002   0.4679486E-002
   0.2559693E-001   0.7351008E-003   0.2635823E-001   0.4119548E+002   0.7612956E-003   0.7886750E-003
   0.1585176E-001   0.3114564E-003   0.1617040E-001   0.8032341E+002   0.3186393E-003   0.3260013E-003
   0.7012200E-002   0.5193631E-004   0.7064547E-002   0.1492631E+003   0.5234689E-004   0.5276092E-004
   0.5648400E-002   0.3346817E-004   0.5682083E-002   0.1820178E+003   0.3368333E-004   0.3390005E-004
   0.1662079E-001   0.6925239E-003   0.1736222E-001   0.1214295E+003   0.7414228E-003   0.7944443E-003
   0.5293704E-001   0.4529098E-002   0.5800721E-001   0.4171241E+002   0.5070179E-002   0.5684500E-002
   0.6168015E-001   0.5807869E-002   0.6823341E-001   0.3085605E+002   0.6553260E-002   0.7404072E-002
   0.3789012E-001   0.2439026E-002   0.4058103E-001   0.3910517E+002   0.2690916E-002   0.2974004E-002
   0.3120806E-001   0.1101053E-002   0.3235446E-001   0.3546998E+002   0.1146406E-002   0.1193836E-002
   0.4750685E-001   0.2822397E-002   0.5055374E-001   0.2476421E+002   0.3046895E-002   0.3292627E-002
   0.9802848E-001   0.1470298E-001   0.1167407E+000   0.1415256E+002   0.1871221E-001   0.2408113E-001
   0.1530860E+000   0.3418805E-001   0.1998214E+000   0.1068689E+002   0.4673541E-001   0.6434915E-001
   0.1044350E+000   0.1612679E-001   0.1246532E+000   0.1390266E+002   0.2021826E-001   0.2554246E-001
   0.1365189E+000   0.2161697E-001   0.1628052E+000   0.8009967E+001   0.2628627E-001   0.3206586E-001
   0.9949048E-001   0.1501576E-001   0.1176486E+000   0.3705559E+002   0.1815815E-001   0.2202473E-001
   0.2573981E-001   0.1595888E-002   0.2752073E-001   0.8375170E+002   0.1780923E-002   0.1993361E-002
   0.2740635E-001   0.1110262E-002   0.2858078E-001   0.5609457E+002   0.1174433E-002   0.1243132E-002
   0.2147463E-001   0.8065622E-003   0.2232674E-001   0.8366826E+002   0.8521028E-003   0.9007995E-003
   0.2254798E-001   0.9217421E-003   0.2352641E-001   0.8558325E+002   0.9784299E-003   0.1039375E-002
   0.4114281E-001   0.2496667E-002   0.4386845E-001   0.3529828E+002   0.2725636E-002   0.2981205E-002
   0.4250455E-001   0.2529572E-002   0.4526038E-001   0.3126084E+002   0.2755821E-002   0.3008133E-002
   0.4467671E-001   0.2297682E-002   0.4711326E-001   0.2562259E+002   0.2436552E-002   0.2584433E-002
   0.3886725E-001   0.1985299E-002   0.4097430E-001   0.4450720E+002   0.2107043E-002   0.2236784E-002
   0.1167311E-001   0.2555526E-003   0.1193701E-001   0.1472293E+003   0.2638946E-003   0.2725596E-003
   0.4569980E-002   0.2259457E-004   0.4592706E-002   0.2290889E+003   0.2272609E-004   0.2285864E-004
   0.5231915E-002   0.2891897E-004   0.5261003E-002   0.2022910E+003   0.2908778E-004   0.2925763E-004
   0.8020720E-002   0.7058689E-004   0.8091988E-002   0.1367023E+003   0.7126840E-004   0.7195698E-004
   0.1301307E-001   0.1844104E-003   0.1320034E-001   0.8340985E+002   0.1872758E-003   0.1901889E-003
   0.2162924E-001   0.4801546E-003   0.2212061E-001   0.4638900E+002   0.4913700E-003   0.5028550E-003
   0.2386367E-001   0.5887754E-003   0.2446784E-001   0.4239336E+002   0.6041712E-003   0.6199823E-003
   0.2170218E-001   0.4910871E-003   0.2220513E-001   0.4708969E+002   0.5029514E-003   0.5151142E-003
   0.1904408E-001   0.3830761E-003   0.1943550E-001   0.5456131E+002   0.3914164E-003   0.3999505E-003
   0.5015788E-001   0.3808692E-002   0.5436798E-001   0.3294635E+002   0.4210108E-002   0.4659552E-002
   0.7311018E-001   0.6316473E-002   0.8011282E-001   0.1578069E+002   0.7002640E-002   0.7770452E-002
   0.8850409E-001   0.1088584E-001   0.1014990E+000   0.1523011E+002   0.1299487E-001   0.1562094E-001
   0.1402698E+000   0.2304792E-001   0.1685073E+000   0.8531529E+001   0.2823746E-001   0.3472131E-001
   0.1630717E+000   0.3329627E-001   0.2072986E+000   0.7541629E+001   0.4422693E-001   0.5951261E-001
   0.1456330E+000   0.3358115E-001   0.1935981E+000   0.1089682E+002   0.4796512E-001   0.6951343E-001
   0.9900796E-001   0.1536210E-001   0.1191863E+000   0.1312231E+002   0.2017832E-001   0.2701572E-001
   0.5836432E-001   0.3879816E-002   0.6255794E-001   0.1967466E+002   0.4193615E-002   0.4536355E-002
   0.4740049E-001   0.2928326E-002   0.5056929E-001   0.2736284E+002   0.3168805E-002   0.3432437E-002
   0.4047955E-001   0.3217780E-002   0.4413539E-001   0.4947049E+002   0.3655845E-002   0.4168125E-002
   0.2310928E-001   0.1813641E-002   0.2520685E-001   0.1067283E+003   0.2097562E-002   0.2435205E-002
   0.8771087E-002   0.1561208E-003   0.8934231E-002   0.1509554E+003   0.1631444E-003   0.1706563E-003
   0.2171853E-001   0.8443803E-003   0.2261002E-001   0.9067841E+002   0.8914878E-003   0.9417652E-003
   0.3773557E-001   0.1956610E-002   0.3982615E-001   0.4051314E+002   0.2090575E-002   0.2235282E-002
   0.2336139E-001   0.8805708E-003   0.2429676E-001   0.5875489E+002   0.9353701E-003   0.9946066E-003
   0.1954965E-001   0.4491913E-003   0.2001120E-001   0.5855657E+002   0.4615441E-003   0.4742832E-003
   0.2571534E-001   0.8331828E-003   0.2658168E-001   0.4986143E+002   0.8663417E-003   0.9009828E-003
   0.3553644E-001   0.1679673E-002   0.3732181E-001   0.3799510E+002   0.1785368E-002   0.1899079E-002
   0.1222367E+000   0.2375749E-001   0.1536915E+000   0.1430730E+002   0.3145482E-001   0.4191461E-001
   0.1448879E+000   0.3170348E-001   0.1874788E+000   0.1468638E+002   0.4259085E-001   0.5751972E-001
   0.8427861E-001   0.1116567E-001   0.9777510E-001   0.1953123E+002   0.1349649E-001   0.1639172E-001
   0.1272147E+000   0.1948612E-001   0.1508980E+000   0.8916649E+001   0.2368331E-001   0.2889329E-001
   0.6479926E-001   0.7998260E-002   0.7446213E-001   0.4266696E+002   0.9662870E-002   0.1174542E-001
   0.4356359E-001   0.3527173E-002   0.4749027E-001   0.6440393E+002   0.3926679E-002   0.4376267E-002
   0.5350514E-001   0.4165096E-002   0.5811541E-001   0.3441142E+002   0.4610266E-002   0.5109366E-002
   0.2392871E-001   0.8842318E-003   0.2485920E-001   0.6936329E+002   0.9304870E-003   0.9796797E-003
