# <alp>   <alp2>    <alp/alpg>   <alpg/alp>    <alp^2/alpg>    <alp^2/alpg^2>
   0.6557881E-002   0.4300581E-004   0.6601171E-002   0.1514883E+003   0.4328970E-004   0.4357546E-004
   0.7584854E-002   0.5753001E-004   0.7642824E-002   0.1308417E+003   0.5796970E-004   0.5841275E-004
   0.3302417E-001   0.1090596E-002   0.3415202E-001   0.2928085E+002   0.1127842E-002   0.1166360E-002
   0.4894811E-001   0.2395917E-002   0.5146734E-001   0.1942980E+002   0.2519229E-002   0.2648887E-002
   0.5734096E-001   0.3287986E-002   0.6082896E-001   0.1643954E+002   0.3487991E-002   0.3700162E-002
   0.4072847E-001   0.1658808E-002   0.4245771E-001   0.2355285E+002   0.1729237E-002   0.1802657E-002
   0.2168392E-001   0.4701926E-003   0.2216454E-001   0.4511711E+002   0.4806142E-003   0.4912667E-003
   0.2444859E-001   0.5977338E-003   0.2506131E-001   0.3990215E+002   0.6127137E-003   0.6280691E-003
   0.3276356E-001   0.1073451E-002   0.3387337E-001   0.2952172E+002   0.1109812E-002   0.1147405E-002
   0.1667438E-001   0.2780351E-003   0.1695713E-001   0.5897223E+002   0.2827498E-003   0.2875444E-003
   0.2273538E-001   0.5168977E-003   0.2326431E-001   0.4298430E+002   0.5289229E-003   0.5412279E-003
   0.9967701E-001   0.9935507E-002   0.1107125E+000   0.9032404E+001   0.1103549E-001   0.1225726E-001
   0.2121696E+000   0.4501593E-001   0.2693087E+000   0.3713211E+001   0.5713912E-001   0.7252718E-001
   0.2327947E-001   0.5419336E-003   0.2383432E-001   0.4195631E+002   0.5548502E-003   0.5680747E-003
   0.1271236E-001   0.1616041E-003   0.1287605E-001   0.7766360E+002   0.1636849E-003   0.1657925E-003
   0.2650294E-001   0.7024061E-003   0.2722447E-001   0.3673166E+002   0.7215287E-003   0.7411719E-003
   0.2338907E-001   0.5470488E-003   0.2394923E-001   0.4175500E+002   0.5601502E-003   0.5735654E-003
   0.3973761E+000   0.1579078E+000   0.6594098E+000   0.1516508E+001   0.2620337E+000   0.4348212E+000
   0.3030447E+000   0.9183609E-001   0.4348123E+000   0.2299843E+001   0.1317676E+000   0.1890617E+000
   0.1767225E+000   0.3123084E-001   0.2146572E+000   0.4658590E+001   0.3793476E-001   0.4607773E-001
   0.9281536E-001   0.8614691E-002   0.1023114E+000   0.9774079E+001   0.9496073E-002   0.1046763E-001
   0.1798913E-001   0.3236090E-003   0.1831867E-001   0.5458911E+002   0.3295370E-003   0.3355737E-003
   0.8656698E-002   0.7493843E-004   0.8732291E-002   0.1145175E+003   0.7559281E-004   0.7625291E-004
   0.1062560E-001   0.1129034E-003   0.1073972E-001   0.9311232E+002   0.1141160E-003   0.1153415E-003
   0.1323353E-001   0.1751262E-003   0.1341100E-001   0.7456565E+002   0.1774748E-003   0.1798549E-003
   0.2046953E-001   0.4190016E-003   0.2089729E-001   0.4785310E+002   0.4277576E-003   0.4366966E-003
   0.5534991E-001   0.3063612E-002   0.5859303E-001   0.1706688E+002   0.3243119E-002   0.3433143E-002
   0.8253725E-001   0.6812397E-002   0.8996251E-001   0.1111574E+002   0.7425258E-002   0.8093253E-002
   0.1097587E+000   0.1204697E-001   0.1232910E+000   0.8110895E+001   0.1353226E-001   0.1520066E-001
   0.4432192E-001   0.1964433E-002   0.4637746E-001   0.2156220E+002   0.2055538E-002   0.2150869E-002
   0.2527209E-001   0.6386786E-003   0.2592733E-001   0.3856934E+002   0.6552379E-003   0.6722264E-003
   0.2012396E-001   0.4049736E-003   0.2053725E-001   0.4869202E+002   0.4132907E-003   0.4217785E-003
   0.2209518E-001   0.4881969E-003   0.2259440E-001   0.4425875E+002   0.4992274E-003   0.5105071E-003
   0.2164230E-001   0.4683891E-003   0.2212105E-001   0.4520581E+002   0.4787504E-003   0.4893408E-003
   0.3944517E-001   0.1555921E-002   0.4106498E-001   0.2435165E+002   0.1619815E-002   0.1686333E-002
   0.5023816E-001   0.2523873E-002   0.5289553E-001   0.1890519E+002   0.2657374E-002   0.2797937E-002
   0.4574557E-001   0.2092657E-002   0.4793855E-001   0.2086004E+002   0.2192976E-002   0.2298104E-002
   0.2057511E-001   0.4233351E-003   0.2100734E-001   0.4760242E+002   0.4322282E-003   0.4413082E-003
   0.1551243E-001   0.2406355E-003   0.1575686E-001   0.6346444E+002   0.2444271E-003   0.2482785E-003
   0.1459038E-001   0.2128793E-003   0.1480641E-001   0.6753829E+002   0.2160313E-003   0.2192299E-003
   0.1665543E-001   0.2774034E-003   0.1693753E-001   0.5904047E+002   0.2821019E-003   0.2868801E-003
   0.2376774E-001   0.5649053E-003   0.2434639E-001   0.4107384E+002   0.5786587E-003   0.5927469E-003
   0.9429757E-002   0.8892031E-004   0.9519523E-002   0.1050473E+003   0.8976679E-004   0.9062132E-004
   0.2498753E-001   0.6243767E-003   0.2562791E-001   0.3901996E+002   0.6403781E-003   0.6567897E-003
   0.2835167E-001   0.8038173E-003   0.2917894E-001   0.3427129E+002   0.8272718E-003   0.8514108E-003
   0.2390296E-001   0.5713517E-003   0.2448831E-001   0.4083582E+002   0.5853431E-003   0.5996772E-003
   0.6966195E-001   0.4852788E-002   0.7487811E-001   0.1335504E+002   0.5216155E-002   0.5606731E-002
   0.5237556E-001   0.2743200E-002   0.5527038E-001   0.1809287E+002   0.2894817E-002   0.3054815E-002
   0.1107412E-001   0.1226360E-003   0.1119812E-001   0.8930067E+002   0.1240093E-003   0.1253980E-003
   0.3824627E-001   0.1462777E-002   0.3976721E-001   0.2514634E+002   0.1520947E-002   0.1581431E-002
   0.1250157E+000   0.1562892E-001   0.1428776E+000   0.6998997E+001   0.1786194E-001   0.2041401E-001
