 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
  -0.1289147E+002  -0.1283158E+002
  -0.1489243E+002  -0.1510121E+002
  -0.1051298E+003  -0.1052118E+003
  -0.8294232E+002  -0.8288084E+002
  -0.5837317E+002  -0.5845853E+002
  -0.8884586E+002  -0.8894201E+002
  -0.1092651E+003  -0.1095448E+003
  -0.3512398E+003  -0.3352341E+003
  -0.7844832E+002  -0.7341835E+002
  -0.2831642E+003  -0.2800234E+003
  -0.6358773E+003  -0.6300569E+003
  -0.1947326E+003  -0.1936301E+003
   0.3726277E+002   0.3747798E+002
   0.2789641E+003   0.2840736E+003
   0.2052324E+003   0.2062199E+003
   0.2968517E+003   0.2936155E+003
   0.6531670E+003   0.6367840E+003
   0.1035900E+003   0.1036986E+003
   0.8370409E+002   0.8369542E+002
   0.6478130E+002   0.6490350E+002
   0.2609083E+002   0.2613483E+002
  -0.7124770E+002  -0.7129765E+002
  -0.2880401E+003  -0.2876130E+003
  -0.3463689E+003  -0.3439895E+003
   0.1296550E+002   0.1293239E+002
  -0.1262436E+003  -0.1232165E+003
  -0.3087858E+003  -0.3075423E+003
  -0.1120404E+003  -0.1119728E+003
   0.3933343E+001  -0.5604704E+001
   0.8374197E+003   0.7932494E+003
   0.5029826E+003   0.4539671E+003
   0.2019269E+003   0.1967674E+003
   0.7363727E+002   0.7397194E+002
   0.1311841E+003   0.1313762E+003
   0.1192946E+003   0.1194783E+003
   0.7052474E+002   0.7056359E+002
   0.2390578E+002   0.2391357E+002
  -0.2323823E+002  -0.2307560E+002
  -0.4102651E+002  -0.4080145E+002
  -0.3174797E+002  -0.3168331E+002
  -0.3090310E+002  -0.3098951E+002
  -0.2305089E+002  -0.2320838E+002
  -0.6371113E+002  -0.6364632E+002
  -0.7856528E+002  -0.7859757E+002
   0.2940446E+002   0.2900763E+002
   0.2323092E+002   0.2288282E+002
   0.3642761E+002   0.3696374E+002
  -0.2802023E+003  -0.2664858E+003
  -0.5195327E+003  -0.4785896E+003
  -0.4979266E+002  -0.5024876E+002
  -0.1050109E+004  -0.1040712E+004
  -0.1565896E+003  -0.1582416E+003
   0.1416353E+003   0.1418309E+003
   0.2062074E+003   0.2057840E+003
   0.2094962E+003   0.2103746E+003
   0.8058526E+003   0.7963951E+003
   0.1593090E+003   0.1586909E+003
   0.5257300E+002   0.5269824E+002
   0.7975668E+001   0.8027673E+001
   0.9811913E+000   0.1046823E+001
  -0.3374756E+002  -0.3389354E+002
  -0.2491330E+003  -0.2482543E+003
  -0.4570972E+003  -0.4567887E+003
  -0.2323301E+003  -0.2321066E+003
   0.5857855E+001   0.6137221E+001
  -0.4595092E+002  -0.4506448E+002
  -0.6849134E+002  -0.6884296E+002
  -0.6233477E+002  -0.6239882E+002
  -0.7644111E+001  -0.7572871E+001
   0.3959767E+003   0.3621623E+003
   0.6971499E+003   0.6599375E+003
   0.3859669E+003   0.3808829E+003
   0.2340590E+003   0.2360457E+003
   0.2314122E+003   0.2315869E+003
   0.1971798E+003   0.1976645E+003
   0.1003928E+003   0.1011802E+003
  -0.8114926E+001  -0.8163200E+001
  -0.1483600E+003  -0.1507828E+003
  -0.2508695E+003  -0.2566778E+003
  -0.7426967E+002  -0.7484008E+002
  -0.5199062E+002  -0.5275478E+002
  -0.1377582E+003  -0.1275731E+003
  -0.6821275E+002  -0.6505908E+002
   0.2192874E+002   0.2314693E+002
   0.2010128E+003   0.2019448E+003
   0.1427915E+003   0.1424871E+003
   0.6159951E+002   0.6162849E+002
   0.3021277E+002   0.3033581E+002
  -0.4411554E+003  -0.3793034E+003
  -0.3851602E+003  -0.3642866E+003
  -0.1154169E+004  -0.1128880E+004
  -0.2206592E+003  -0.2252107E+003
   0.3128135E+003   0.3149036E+003
   0.1688305E+003   0.1698416E+003
   0.5547189E+003   0.5510323E+003
   0.1872000E+003   0.1865725E+003
   0.1013775E+003   0.1014663E+003
   0.1966336E+002   0.1971898E+002
  -0.2111021E+002  -0.2119643E+002
  -0.5640628E+002  -0.5643795E+002
  -0.1327524E+003  -0.1333931E+003
  -0.4508618E+003  -0.4508037E+003
  -0.3086308E+003  -0.3094343E+003
  -0.1222738E+003  -0.1223256E+003
   0.1019192E+003   0.1031045E+003
   0.1154275E+003   0.1149559E+003
  -0.2777431E+002  -0.2792235E+002
  -0.1467043E+002  -0.1469400E+002
   0.1575536E+002   0.1592555E+002
   0.1399957E+003   0.1367499E+003
   0.6482675E+003   0.6415346E+003
   0.4019793E+003   0.4034141E+003
   0.4471328E+003   0.4471945E+003
   0.2765454E+003   0.2767769E+003
   0.2448823E+003   0.2455776E+003
   0.2116661E+003   0.2123245E+003
   0.3234536E+002   0.3352015E+002
  -0.2686357E+003  -0.2645477E+003
  -0.4017333E+003  -0.4019470E+003
  -0.8678905E+002  -0.8695708E+002
   0.2224476E+002   0.2262228E+002
  -0.6110827E+002  -0.5863980E+002
   0.7154364E+002   0.6895060E+002
   0.2846718E+003   0.2831224E+003
   0.2466593E+003   0.2466858E+003
   0.1419946E+003   0.1413620E+003
   0.2064351E+000   0.4664808E-001
   0.4564411E+002   0.4565797E+002
  -0.1948159E+003  -0.1901626E+003
  -0.5035096E+003  -0.5037056E+003
  -0.1255620E+004  -0.1205869E+004
  -0.4832610E+003  -0.4679519E+003
   0.4265049E+003   0.4247074E+003
   0.4891382E+003   0.4664452E+003
   0.3313359E+003   0.3288109E+003
   0.1964995E+003   0.1960856E+003
   0.1425167E+003   0.1429603E+003
   0.4476354E+002   0.4475047E+002
  -0.2624633E+002  -0.2631734E+002
  -0.9072066E+002  -0.9121553E+002
  -0.2793122E+003  -0.2792131E+003
  -0.1913105E+003  -0.1917956E+003
  -0.1730347E+003  -0.1732660E+003
  -0.1736884E+003  -0.1743265E+003
   0.1871616E+003   0.1876511E+003
   0.1024994E+003   0.1023093E+003
  -0.5009675E+002  -0.5021698E+002
  -0.4893297E+002  -0.4933032E+002
   0.8804153E+001   0.9182074E+001
   0.7119300E+002   0.7118104E+002
   0.3285640E+003   0.3296764E+003
   0.3778350E+003   0.3799956E+003
   0.5109443E+003   0.5185697E+003
   0.4428924E+003   0.4364490E+003
   0.3192245E+003   0.3154055E+003
   0.1973462E+003   0.1970684E+003
   0.2206938E+002   0.2218623E+002
  -0.1914953E+003  -0.1857333E+003
  -0.7501438E+003  -0.7305176E+003
  -0.1887034E+003  -0.1892244E+003
   0.1061298E+003   0.1058466E+003
   0.8643111E+001   0.8455289E+001
   0.2810509E+002   0.2821446E+002
   0.6697868E+003   0.6396605E+003
   0.3837818E+002   0.3844907E+002
   0.1832150E+003   0.1832770E+003
   0.1520510E+003   0.1534883E+003
  -0.1093483E+003  -0.1067413E+003
  -0.2921633E+003  -0.2926338E+003
  -0.4710595E+003  -0.4713155E+003
  -0.1777630E+004  -0.1742421E+004
  -0.5865643E+003  -0.5516022E+003
  -0.2319960E+003  -0.2594652E+003
   0.7665876E+003   0.7424900E+003
   0.8122247E+003   0.8241658E+003
   0.4945285E+003   0.4957162E+003
   0.2194226E+003   0.2193347E+003
   0.5213916E+002   0.5210593E+002
  -0.5566562E+002  -0.5598626E+002
  -0.2197232E+003  -0.2195271E+003
  -0.1071498E+003  -0.1077140E+003
   0.1014875E+003   0.1013553E+003
   0.7797613E+001   0.7764241E+001
  -0.1903891E+003  -0.1971427E+003
  -0.2771979E+002  -0.7553048E+001
