#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.7158149E-002   0.4001491E-002  -0.8876551E-002   0.7209360E-002  -0.5312178E-002   0.1324136E+000
   0.3281638E-002   0.8484297E-003  -0.7487853E-002   0.5443583E-002  -0.1388366E-001   0.1653308E+000
   0.2644658E-002  -0.7263898E-003  -0.4001663E-002   0.5093796E-002  -0.6019485E-002   0.7178133E-001
   0.5940510E-002  -0.6869426E-003  -0.9190371E-002   0.4336170E-002   0.2246718E-002   0.3717853E-001
   0.6411052E-002   0.4279458E-004  -0.1035363E-001   0.3911289E-002   0.3313311E-002   0.4511751E-001
   0.6441294E-002   0.5985662E-003  -0.7948798E-002   0.3565749E-002   0.2714498E-002   0.5231202E-001
   0.6206428E-002   0.1029596E-002   0.3203772E-002   0.3572179E-002   0.4150230E-002   0.3861799E-001
   0.5464127E-002   0.1413474E-002   0.2038914E-002   0.4242805E-002   0.4731219E-003   0.3185142E-001
   0.4412458E-002   0.2242322E-002  -0.3446106E-002   0.7443936E-002  -0.5374114E-002   0.8399704E-001
   0.6000586E-002   0.4363708E-002  -0.6728601E-002   0.1243266E-001  -0.1403558E-001   0.8399991E-001
   0.7861073E-002   0.4976025E-002  -0.2251452E-002   0.2212344E-001  -0.2145681E-001   0.5625872E-001
   0.1247202E-001   0.3980002E-002   0.1851127E-002   0.2368080E-001  -0.2601397E-001   0.6289710E-001
   0.1680941E-001   0.8799416E-002   0.1717356E-003   0.2079474E-001  -0.2556173E-001   0.6778606E-001
   0.9133617E-002   0.6494372E-002   0.1943499E-002   0.1858688E-001  -0.2301233E-001   0.6755546E-001
   0.4636052E-002   0.1253680E-002   0.6477790E-002   0.8311890E-002  -0.9073729E-002   0.4528161E-001
   0.3196288E-002   0.9676883E-003   0.2873650E-002   0.5995089E-002  -0.4542993E-002   0.3028347E-001
   0.2937964E-002   0.3983870E-002  -0.3492955E-002   0.1071216E-001  -0.8824308E-002   0.3554048E-001
   0.3376289E-002   0.4530554E-002  -0.7904202E-002   0.1402863E-001  -0.1125734E-001   0.5997888E-001
   0.2190973E-002   0.1849487E-002  -0.5324947E-002   0.1412453E-001  -0.6953020E-003   0.7704171E-001
   0.1352473E-002  -0.8594643E-004  -0.1911365E-002   0.1450446E-001   0.9419323E-002   0.6661727E-001
   0.1132604E-002  -0.2906307E-003  -0.6934395E-003   0.1339239E-001   0.1663018E-001   0.7044438E-001
   0.4457117E-002   0.2042676E-002   0.1679014E-002   0.1171211E-001   0.1701636E-001   0.6234345E-001
   0.7315184E-002   0.2635141E-002   0.2082051E-002   0.8208735E-002   0.1204805E-001   0.7220334E-001
   0.1067785E-001   0.1269925E-002   0.8110348E-003   0.6932121E-002   0.8667690E-002   0.7334707E-001
   0.8472685E-002   0.5615898E-003   0.4353504E-002   0.7133368E-002   0.5132999E-002   0.5768405E-001
   0.4830598E-002   0.2701843E-003   0.2921711E-002   0.8376856E-002   0.3288632E-002   0.4084403E-001
   0.5316002E-002   0.2361342E-002  -0.1091700E-002   0.1046966E-001   0.3271815E-002   0.4951991E-001
   0.6292482E-002   0.5792661E-002  -0.3655587E-002   0.1226108E-001  -0.4100623E-002   0.6634923E-001
   0.6563625E-002   0.6566141E-002  -0.1149927E-001   0.1440992E-001  -0.1507849E-001   0.9493244E-001
   0.3417864E-002   0.9115413E-003  -0.6837886E-002   0.3795840E-002  -0.4789311E-002   0.8387275E-001
   0.3967275E-002  -0.4471218E-003  -0.7235537E-002   0.3865112E-002  -0.6659933E-002   0.7068707E-001
   0.5955032E-002   0.1405997E-002  -0.6808797E-002   0.6387758E-002  -0.2160235E-001   0.1154575E+000
   0.6803700E-002   0.2343258E-002  -0.9071788E-002   0.8256195E-002  -0.3580674E-001   0.2337077E+000
   0.6884824E-002   0.1974396E-002  -0.1027748E-001   0.5134698E-002  -0.1505913E-001   0.2167476E+000
   0.6174379E-002  -0.8029138E-003  -0.3604733E-002   0.7630925E-002  -0.2933478E-002   0.1381617E+000
   0.6717448E-002  -0.3723657E-002   0.1131089E-001   0.9128805E-002  -0.5377777E-002   0.1820354E+000
   0.7379638E-002  -0.2655610E-004   0.1686868E-001   0.5958132E-002   0.7581294E-002   0.2199705E+000
   0.7628331E-002   0.4267303E-002   0.1023581E-001   0.8078836E-002   0.1608884E-001   0.2148646E+000
   0.1124401E-001   0.5175237E-002   0.6385986E-002   0.9982582E-002   0.1496404E-001   0.1732398E+000
   0.1143832E-001   0.5895914E-002   0.2119724E-002   0.9452334E-002   0.9541983E-002   0.1090900E+000
   0.5189844E-002   0.2854621E-002  -0.1114043E-001   0.6498603E-002  -0.4358072E-002   0.2625144E+000
   0.2892667E-002   0.1547073E-002  -0.7663401E-002   0.5282015E-002  -0.1250750E-001   0.1966373E+000
   0.1990073E-002   0.7349172E-003  -0.9853446E-003   0.3910762E-002  -0.6707825E-002   0.7467717E-001
   0.2634490E-002   0.1329458E-002  -0.8420115E-003   0.3849865E-002   0.6719406E-003   0.2176255E-001
   0.3135703E-002   0.1947132E-002  -0.1315263E-002   0.4067457E-002   0.1365534E-002   0.1821806E-001
   0.3825337E-002   0.1542489E-002  -0.3592614E-003   0.4100848E-002   0.9700223E-003   0.2290684E-001
   0.6365124E-002   0.5808519E-003   0.5721400E-002   0.3455748E-002   0.1287220E-002   0.3287058E-001
   0.5879538E-002   0.4298430E-003   0.4479322E-002   0.3297189E-002  -0.1318646E-002   0.3239001E-001
   0.4657877E-002   0.1630567E-002   0.1310630E-002   0.5893531E-002  -0.7360798E-002   0.6856864E-001
