#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.1003845E-001   0.7111069E-003   0.2608064E-001   0.6349049E-002  -0.7958998E-002   0.5024776E+000
   0.2046262E-001  -0.1052061E-002  -0.8331111E-001   0.3088532E-002  -0.1118017E-001   0.7102330E+000
   0.4389467E-001   0.7981119E-002  -0.1177223E+000   0.6968751E-002  -0.2700390E-001   0.5446176E+000
   0.4248287E-001   0.2259766E-001  -0.3083552E-001   0.2318645E-001   0.2498397E-003   0.2445887E+000
   0.6151759E-001   0.4186234E-001   0.5907200E-001   0.4557086E-001   0.3579871E-001   0.2849408E+000
   0.3887335E-001   0.1434366E-001   0.1219026E-001   0.3493234E-001  -0.3685900E-002   0.2710988E+000
   0.3539767E+000   0.1038757E+000   0.4998463E+000   0.1025860E+000   0.1920086E+000   0.8243066E+000
   0.5761134E+000   0.1009273E+000   0.7051044E+000   0.1241110E+000   0.1871273E+000   0.1126398E+001
   0.6307108E-001  -0.9534222E-002   0.4026616E-001   0.1052577E+000  -0.1604284E+000   0.2029676E+001
   0.3990424E-001   0.5886908E-001  -0.6332781E-001   0.3536147E+000  -0.6531285E+000   0.1674946E+001
   0.7123247E-001   0.3972820E-001  -0.3858587E-001   0.2268588E+000  -0.2639208E+000   0.4582103E+000
   0.1087064E+000   0.3673132E-002  -0.1894721E-001   0.5452595E-001  -0.6098349E-001   0.2030686E+000
   0.1456500E+000   0.5289350E-001  -0.8569990E-001   0.6128050E-001  -0.8524549E-001   0.2343394E+000
   0.8053398E-001   0.3051539E-001  -0.2879320E-001   0.3718449E-001  -0.3997611E-001   0.2608435E+000
   0.4146541E-001   0.2147892E-001   0.6093176E-001   0.4270627E-001   0.3337950E-001   0.3682911E+000
   0.4542300E-001   0.3930655E-001   0.9147795E-001   0.8957050E-001   0.1112420E+000   0.6658649E+000
   0.4279928E-001   0.5290225E-001   0.2505389E-001   0.1345205E+000   0.7355509E-001   0.5114103E+000
   0.3358560E-001   0.4262158E-001  -0.5820439E-001   0.9426954E-001  -0.5215689E-001   0.2767138E+000
   0.1052822E-001   0.4962786E-002   0.6961615E-002   0.6057929E-001   0.6456815E-001   0.2118990E+000
   0.2587908E-001   0.2295943E-001   0.5322957E-001   0.1078501E+000   0.1573933E+000   0.2972756E+000
   0.6906538E-001   0.6262386E-001   0.1098747E+000   0.1470738E+000   0.2240694E+000   0.4016641E+000
   0.9056042E-001   0.1047925E+000   0.1536975E+000   0.1836198E+000   0.2847961E+000   0.5079076E+000
   0.1391897E+000   0.1927331E+000   0.3550591E+000   0.3285681E+000   0.6730989E+000   0.1600352E+001
   0.1392573E+000   0.1665722E+000   0.3225670E+000   0.3354126E+000   0.7100733E+000   0.1703572E+001
   0.8370868E-001   0.9344048E-001   0.2465212E+000   0.2338416E+000   0.4575169E+000   0.1116382E+001
   0.1773903E-001   0.1175740E-001   0.2379144E-001   0.1276349E+000   0.1693240E+000   0.3549623E+000
   0.1049045E-001   0.2780389E-002  -0.4954933E-002   0.4806873E-001  -0.1187940E-001   0.6657383E-001
   0.9214542E-002  -0.5168352E-002   0.2336571E-001   0.1354448E+000  -0.2807312E+000   0.6752983E+000
   0.5904170E-001   0.1802036E-001  -0.5702806E-002   0.9896743E-001  -0.1223065E+000   0.3326881E+000
   0.7845077E-001  -0.2951537E-001  -0.6534187E-002   0.2088694E+000  -0.5525829E-002   0.1892168E+000
   0.1617760E+000  -0.1617544E+000  -0.6364716E-001   0.3535522E+000  -0.5364805E-001   0.2974879E+000
   0.1417025E+000   0.3633381E-001  -0.1783520E+000   0.2261259E+000  -0.2962515E+000   0.7066680E+000
   0.9124845E-001   0.1306591E+000  -0.2705053E+000   0.3033297E+000  -0.5540654E+000   0.1278456E+001
   0.1044319E+000   0.4920386E-001  -0.9587637E-001   0.3737122E-001  -0.6912824E-001   0.2107518E+000
   0.1092480E-001   0.1400573E-002  -0.6323618E-003   0.6938529E-002  -0.1184282E-001   0.2042910E+000
   0.2552941E-002   0.3715747E-002   0.6683824E-002   0.1408201E-001   0.1667538E-001   0.3290121E+000
   0.1046884E-001   0.1258104E-001   0.4204101E-001   0.2590899E-001   0.1109876E+000   0.7294168E+000
   0.4299220E-001   0.3500541E-001   0.1162862E+000   0.7688195E-001   0.3060844E+000   0.1373225E+001
   0.5904226E-001   0.5260757E-001   0.1741743E+000   0.9815988E-001   0.3481883E+000   0.1377631E+001
   0.2307100E-001   0.1752601E-001   0.7724551E-001   0.4211674E-001   0.1230727E+000   0.6191623E+000
   0.9631197E-002   0.1277733E-001  -0.1566085E-002   0.3813060E-001   0.5771836E-001   0.1068758E+001
   0.5350511E-001   0.2784996E-002   0.6032535E-002   0.5550970E-002   0.2453689E-002   0.1148689E+001
   0.1747486E+000   0.1644306E-001   0.1180232E+000   0.1570858E-001   0.3270255E-002   0.5475084E+000
   0.2268941E+000   0.3260533E-001   0.1478382E+000   0.3301295E-001   0.1822162E-001   0.2169464E+000
   0.1745007E+000   0.6949989E-001   0.1466174E+000   0.8105314E-001   0.6867218E-001   0.2564006E+000
   0.1363645E+000   0.7490303E-001   0.9670847E-001   0.9638853E-001   0.7740831E-001   0.2537101E+000
   0.3266441E+000   0.2448599E-001   0.3293000E+000   0.8452764E-001  -0.1526570E-001   0.4480627E+000
   0.5418284E+000  -0.1802205E-001   0.6566515E+000   0.8008891E-001  -0.2212957E-001   0.9931380E+000
   0.9879517E-001  -0.1191178E-001   0.1047850E+000   0.1367079E+000  -0.2293827E+000   0.1132512E+001
   0.7881941E-001   0.1237976E+000  -0.1791636E+000   0.6086502E+000  -0.1407091E+001   0.3844788E+001
   0.9697675E-001   0.1880906E+000  -0.3163879E+000   0.5265238E+000  -0.8817605E+000   0.1822846E+001
   0.2364534E-001   0.4030672E-001  -0.5930541E-001   0.1691879E+000  -0.2249060E+000   0.5084754E+000
   0.4978980E-001   0.5028413E-001  -0.4267582E-001   0.7963983E-001  -0.7789828E-001   0.1717801E+000
   0.5593162E-001   0.2792894E-001   0.1684968E-001   0.9454757E-001  -0.1540093E+000   0.4938170E+000
