#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.9866871E+000   0.2069066E-004   0.2880734E+000  -0.2350916E+000   0.1673409E+001   0.3753676E-034
   0.9824967E+000   0.3085850E-004   0.2532369E+000   0.1480037E-002   0.1322545E+001   0.3769686E-034
   0.8776675E+000   0.1509105E-002   0.7660061E-001   0.2478873E+000   0.3322648E+000   0.4219940E-034
   0.9606069E+000   0.4636313E-003   0.6298166E-001   0.1736824E+000   0.9545987E+000   0.3855587E-034
   0.9805004E+000   0.7927531E-005   0.7102198E-001   0.8697202E-001   0.1520872E+001   0.3777361E-034
   0.9908902E+000   0.4496111E-005  -0.7587056E-001  -0.3645713E-001   0.2157879E+001   0.3737754E-034
   0.9958639E+000   0.2069479E-006  -0.2546444E+000  -0.1781292E+000   0.3297011E+001   0.3719086E-034
   0.9963985E+000   0.1991775E-007  -0.3459043E+000  -0.5061977E+000   0.4154052E+001   0.3717091E-034
   0.9950497E+000   0.1975281E-006  -0.3488543E+000  -0.5306015E+000   0.4211578E+001   0.3722129E-034
   0.9927727E+000   0.4029986E-006  -0.2755921E+000  -0.5334933E+000   0.4071421E+001   0.3730666E-034
   0.9928052E+000   0.4941759E-006  -0.1704625E+000  -0.5191751E+000   0.4532784E+001   0.3730544E-034
   0.9953898E+000   0.3431055E-006  -0.1615211E-001  -0.4295151E+000   0.5461784E+001   0.3720858E-034
   0.9969950E+000   0.8246030E-007   0.1075941E+000  -0.3545294E+000   0.5968421E+001   0.3714867E-034
   0.9975782E+000   0.4082737E-008   0.2388599E+000  -0.1603701E+000   0.6062783E+001   0.3712695E-034
   0.9974804E+000   0.1072393E-007   0.3573397E+000   0.1660716E+000   0.5287676E+001   0.3713059E-034
   0.9963420E+000   0.2538896E-006   0.2465841E+000   0.1683522E+000   0.2986518E+001   0.3717302E-034
   0.9930458E+000   0.7106862E-006   0.1389318E+000   0.4939859E-001   0.1046798E+001   0.3729640E-034
   0.9641930E+000   0.4374608E-003   0.3016025E+000   0.1765186E+000  -0.8493679E+000   0.3841247E-034
   0.8600423E+000   0.1480177E-003   0.2538477E+000   0.9429797E-001  -0.1580106E+001   0.4306420E-034
   0.9333420E+000   0.3616780E-003  -0.5416756E-002   0.3187891E-001  -0.9592085E+000   0.3968217E-034
   0.9629698E+000   0.3087299E-003  -0.1118210E+000   0.2586599E+000   0.9087533E-001   0.3846127E-034
   0.9816095E+000   0.1692200E-004  -0.7528488E-001   0.3226647E+000   0.6016315E+000   0.3773093E-034
   0.9756608E+000   0.8428904E-005  -0.6667146E-001   0.3308629E+000   0.8586120E+000   0.3796098E-034
   0.9875578E+000   0.1668450E-005  -0.3300661E-001   0.4636151E+000   0.1573423E+001   0.3750367E-034
   0.9897576E+000   0.2402162E-005   0.9550012E-002   0.3198035E+000   0.2017666E+001   0.3742031E-034
   0.9868192E+000   0.3519687E-005   0.3043987E-001  -0.1297663E-001   0.2094730E+001   0.3753173E-034
   0.9792222E+000   0.5889732E-005   0.1041190E+000  -0.2338191E+000   0.1818444E+001   0.3782291E-034
   0.9581081E+000   0.6276916E-004   0.1786332E+000  -0.1915393E+000   0.1226904E+001   0.3865643E-034
   0.9430776E+000   0.1807458E-003   0.1035195E+000  -0.2150513E+000   0.1171743E+001   0.3927252E-034
   0.9460782E+000   0.1458959E-004   0.6958989E-001  -0.3675689E+000   0.1440794E+001   0.3914796E-034
   0.9441565E+000   0.1071777E-003   0.1480925E+000  -0.4045640E+000   0.1562772E+001   0.3922764E-034
   0.9434304E+000   0.5186097E-004   0.2521253E+000  -0.3637802E+000   0.1601530E+001   0.3925784E-034
   0.9743097E+000   0.4307450E-004   0.5575730E+000  -0.4557777E+000   0.2261452E+001   0.3801362E-034
   0.9882537E+000   0.1919835E-005   0.9676567E+000  -0.3338003E+000   0.3076158E+001   0.3747726E-034
   0.9887608E+000   0.2339953E-006   0.1059370E+001  -0.1777694E+000   0.3197894E+001   0.3745804E-034
   0.9892784E+000   0.1195346E-005   0.9152828E+000  -0.1645543E+000   0.2862842E+001   0.3743844E-034
   0.9863723E+000   0.1848861E-004   0.6245464E+000  -0.2840821E+000   0.2317900E+001   0.3754874E-034
   0.9713934E+000   0.1024413E-003   0.2131650E+000  -0.3020110E+000   0.1183855E+001   0.3812774E-034
   0.9667114E+000   0.2716475E-004   0.7006361E-001  -0.3361472E+000   0.9261066E+000   0.3831240E-034
   0.9788764E+000   0.2523720E-004   0.1837375E+000  -0.3549789E+000   0.1323671E+001   0.3783628E-034
   0.9923369E+000   0.6980517E-006   0.2960044E+000  -0.1916597E+000   0.2303085E+001   0.3732305E-034
   0.9641071E+000   0.3202654E-003   0.1799306E+000   0.7586819E-001   0.1174772E+001   0.3841590E-034
