#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.9548923E-001   0.8461082E-002   0.1615802E+000   0.1679698E+000  -0.7993544E+000   0.6002489E-002
   0.1225647E+000   0.7331570E-002   0.1682939E+000   0.1605748E+000  -0.8048488E+000   0.3206669E-002
   0.1233293E+000   0.5572713E-002   0.1881105E+000   0.1757095E+000  -0.7479669E+000   0.2423350E-002
   0.1014554E+000   0.4591537E-002   0.2163378E+000   0.2058452E+000  -0.6332279E+000   0.3985760E-002
   0.8364217E-001   0.4020037E-002   0.2169659E+000   0.2377452E+000  -0.5891154E+000   0.6836981E-002
   0.6365917E-001   0.2353073E-002   0.1888518E+000   0.2686317E+000  -0.6274547E+000   0.1033842E-001
   0.6821268E-001   0.3305236E-002   0.8316547E-001   0.2028466E+000  -0.9129218E+000   0.9704520E-002
   0.8089296E-001   0.4700072E-002   0.5800410E-001   0.1466707E+000  -0.1021137E+001   0.6499467E-002
   0.8995161E-001   0.4847170E-002   0.5468418E-001   0.1431817E+000  -0.9663405E+000   0.6523559E-002
   0.7390874E-001   0.3911398E-002   0.5804073E-001   0.1540737E+000  -0.8143445E+000   0.1164273E-001
   0.4330207E-001   0.1877060E-002   0.6222538E-001   0.1986987E+000  -0.5005313E+000   0.2298693E-001
   0.2583479E-001   0.7574257E-003   0.4786528E-002   0.1485817E+000  -0.1441250E+000   0.4051643E-001
   0.2325926E-001   0.1249979E-002  -0.2129922E+000   0.3835551E-001   0.1322581E+000   0.5137909E-001
   0.7196868E-001   0.1458906E-001  -0.2571524E+000   0.4685019E-001  -0.2867723E+000   0.2789320E-001
   0.1384353E+000   0.2854317E-001  -0.1910793E+000   0.1484044E-001  -0.4674518E+000   0.2065282E-001
   0.1938840E+000   0.3197184E-001  -0.1167472E+000   0.1896898E-005  -0.5894776E+000   0.1511984E-001
   0.1958138E+000   0.2973076E-001  -0.5060166E-001  -0.1302678E-001  -0.7500423E+000   0.1116613E-001
