#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.9851489E+000   0.4150303E-004   0.2745477E+000  -0.2116552E+000   0.1626998E+001   0.8120600E-035
   0.9753150E+000   0.2128745E-003   0.2328582E+000   0.2491327E-001   0.1225083E+001   0.8202478E-035
   0.8916465E+000   0.2235529E-002   0.9235442E-001   0.2395252E+000   0.4048828E+000   0.8972166E-035
   0.9486158E+000   0.1832828E-002   0.5240920E-001   0.1699753E+000   0.9431508E+000   0.8433341E-035
   0.9816721E+000   0.2239802E-004   0.3643467E-001   0.7064084E-001   0.1584751E+001   0.8149361E-035
   0.9906632E+000   0.1277246E-004  -0.8552986E-001  -0.4253869E-001   0.2231988E+001   0.8075399E-035
   0.9956763E+000   0.6570862E-006  -0.2497294E+000  -0.2062745E+000   0.3315967E+001   0.8034740E-035
   0.9962679E+000   0.6694604E-007  -0.3425224E+000  -0.4866749E+000   0.4103458E+001   0.8029968E-035
   0.9948932E+000   0.6741960E-006  -0.3478767E+000  -0.5291591E+000   0.4180752E+001   0.8041064E-035
   0.9927450E+000   0.1185680E-005  -0.2771918E+000  -0.5316091E+000   0.4082532E+001   0.8058464E-035
   0.9928439E+000   0.1428406E-005  -0.1707865E+000  -0.5130305E+000   0.4544817E+001   0.8057661E-035
   0.9952625E+000   0.1062488E-005  -0.2087357E-001  -0.4296475E+000   0.5417146E+001   0.8038081E-035
   0.9968926E+000   0.2709352E-006   0.1086344E+000  -0.3452891E+000   0.5931650E+001   0.8024937E-035
   0.9975208E+000   0.2347134E-007   0.2351115E+000  -0.1538475E+000   0.6005078E+001   0.8019883E-035
   0.9974354E+000   0.3691445E-007   0.3384895E+000   0.1411256E+000   0.5142650E+001   0.8020570E-035
   0.9962480E+000   0.6832598E-006   0.2452173E+000   0.1626825E+000   0.3046448E+001   0.8030129E-035
   0.9929125E+000   0.3038105E-005   0.1464567E+000   0.8138445E-001   0.1107465E+001   0.8057105E-035
   0.9584801E+000   0.1203952E-002   0.2723037E+000   0.1535270E+000  -0.7109229E+000   0.8346548E-035
   0.8787158E+000   0.9576812E-003   0.2545112E+000   0.8733255E-001  -0.1521799E+001   0.9104195E-035
   0.9169060E+000   0.1419175E-002   0.1964802E-001   0.5027724E-001  -0.9946353E+000   0.8724994E-035
   0.9607133E+000   0.5117024E-003  -0.1010943E+000   0.2381140E+000   0.3033569E-001   0.8327146E-035
   0.9805542E+000   0.2634405E-004  -0.7083433E-001   0.3331424E+000   0.5990461E+000   0.8158651E-035
   0.9778754E+000   0.2056207E-004  -0.6014043E-001   0.3517375E+000   0.9217370E+000   0.8181001E-035
   0.9862081E+000   0.8874915E-005  -0.3219098E-001   0.4428368E+000   0.1530112E+001   0.8111878E-035
   0.9876818E+000   0.1978449E-004   0.2770477E-002   0.2931247E+000   0.1941461E+001   0.8099775E-035
   0.9853050E+000   0.1670898E-004   0.3078486E-001  -0.1496254E-001   0.2037989E+001   0.8119313E-035
   0.9777024E+000   0.2265195E-004   0.1038628E+000  -0.2181706E+000   0.1771315E+001   0.8182449E-035
   0.9572637E+000   0.2824433E-003   0.1697125E+000  -0.1993461E+000   0.1275833E+001   0.8357154E-035
   0.9408560E+000   0.4302910E-003   0.1061517E+000  -0.2250328E+000   0.1199213E+001   0.8502896E-035
   0.9448129E+000   0.5772062E-004   0.6653843E-001  -0.3562979E+000   0.1453411E+001   0.8467285E-035
   0.9478780E+000   0.1575001E-003   0.1326796E+000  -0.3943751E+000   0.1616394E+001   0.8439904E-035
   0.9538825E+000   0.1757509E-003   0.2644444E+000  -0.3730671E+000   0.1736604E+001   0.8386777E-035
   0.9761358E+000   0.1018357E-003   0.5813882E+000  -0.4202265E+000   0.2367092E+001   0.8195581E-035
   0.9881010E+000   0.5986802E-005   0.9421438E+000  -0.3212320E+000   0.3065429E+001   0.8096339E-035
   0.9887942E+000   0.5570035E-006   0.1037496E+001  -0.1791059E+000   0.3169202E+001   0.8090662E-035
   0.9890252E+000   0.3850033E-005   0.8985401E+000  -0.1651858E+000   0.2846594E+001   0.8088773E-035
   0.9849544E+000   0.6310943E-004   0.6068634E+000  -0.2690399E+000   0.2248038E+001   0.8122203E-035
   0.9704876E+000   0.2290772E-003   0.2400305E+000  -0.3074996E+000   0.1286705E+001   0.8243279E-035
   0.9703543E+000   0.8609683E-004   0.1107333E+000  -0.3422124E+000   0.1063785E+001   0.8244411E-035
   0.9797573E+000   0.4311606E-004   0.1971801E+000  -0.3374004E+000   0.1389215E+001   0.8165287E-035
   0.9918156E+000   0.3213124E-005   0.2908036E+000  -0.1977055E+000   0.2264466E+001   0.8066015E-035
   0.9634031E+000   0.6426170E-003   0.1909026E+000   0.5961228E-001   0.1265337E+001   0.8303896E-035
   0.8933482E+000   0.1955550E-002   0.8028358E-001   0.2004876E+000   0.4653438E+000   0.8955075E-035
   0.9474568E+000   0.2098854E-002   0.1974041E-001   0.1239852E+000   0.1013871E+001   0.8443657E-035
   0.9893624E+000   0.1439953E-004  -0.1665044E-001  -0.5784404E-001   0.2058742E+001   0.8086016E-035
   0.9938967E+000   0.1574340E-005  -0.9370849E-001  -0.2667433E+000   0.2729298E+001   0.8049126E-035
   0.9957035E+000   0.2226011E-006  -0.1655700E+000  -0.4607594E+000   0.3457444E+001   0.8034521E-035
   0.9953531E+000   0.1172111E-005  -0.2637893E+000  -0.5667475E+000   0.3830043E+001   0.8037348E-035
   0.9920961E+000   0.6665227E-005  -0.3040049E+000  -0.5467444E+000   0.3546426E+001   0.8063735E-035
   0.9880172E+000   0.8817930E-005  -0.2555353E+000  -0.5629982E+000   0.3350987E+001   0.8097025E-035
   0.9886226E+000   0.6701620E-005  -0.1608376E+000  -0.5542585E+000   0.3682933E+001   0.8092067E-035
   0.9921338E+000   0.4563779E-005   0.4551113E-003  -0.4627268E+000   0.4349971E+001   0.8063429E-035
   0.9950221E+000   0.1810291E-005   0.1334445E+000  -0.3516371E+000   0.4987696E+001   0.8040022E-035
   0.9967377E+000   0.4515269E-006   0.2057426E+000  -0.2084847E+000   0.5537326E+001   0.8026184E-035
   0.9974226E+000   0.3975419E-007   0.3466244E+000   0.1509392E+000   0.5662461E+001   0.8020672E-035
   0.9970053E+000   0.2319987E-006   0.3999968E+000   0.3780288E+000   0.4383850E+001   0.8024030E-035
   0.9944039E+000   0.3581560E-005   0.3305677E+000   0.2688092E+000   0.2279571E+001   0.8045021E-035
   0.9824165E+000   0.1239152E-003   0.3578163E+000   0.1938146E+000   0.1160734E+000   0.8143186E-035
   0.9288319E+000   0.2280941E-002   0.3401748E+000   0.1379527E+000  -0.1073114E+001   0.8612969E-035
   0.8675136E+000   0.3122541E-002   0.2614765E+000   0.1559075E+000  -0.1357695E+001   0.9221757E-035
   0.9056905E+000   0.3903549E-002   0.1345760E+000   0.2081023E+000  -0.8902583E+000   0.8833040E-035
   0.9742327E+000   0.3976423E-003   0.9796855E-001   0.3327825E+000   0.1285443E+000   0.8211590E-035
   0.9821887E+000   0.1827772E-004   0.2516839E-001   0.2933641E+000   0.6349796E+000   0.8145074E-035
   0.9840093E+000   0.1362438E-004  -0.3176731E-001   0.2839449E+000   0.1077340E+001   0.8130004E-035
   0.9885610E+000   0.5642502E-005  -0.1134578E+000   0.1439535E+000   0.1642403E+001   0.8092571E-035
   0.9830243E+000   0.5677013E-004  -0.1828316E+000  -0.2219315E+000   0.1746917E+001   0.8138151E-035
   0.9673879E+000   0.1675144E-003  -0.5361630E-001  -0.3719989E+000   0.1537009E+001   0.8269692E-035
   0.9094538E+000   0.1916497E-002   0.1188390E+000  -0.2707963E+000   0.9807311E+000   0.8796489E-035
   0.8791901E+000   0.1035744E-002   0.1420420E+000  -0.2421476E+000   0.1021850E+001   0.9099283E-035
   0.9406566E+000   0.3278047E-003   0.2156354E-001  -0.3152517E+000   0.1782272E+001   0.8504697E-035
   0.9754301E+000   0.7303590E-004  -0.2526925E-001  -0.3802987E+000   0.2437001E+001   0.8201510E-035
   0.9797877E+000   0.8077244E-004   0.2952233E+000  -0.3949142E+000   0.2752778E+001   0.8165035E-035
   0.9864440E+000   0.3853567E-004   0.7388149E+000  -0.3797560E+000   0.3190988E+001   0.8109938E-035
   0.9905510E+000   0.1265350E-005   0.9297845E+000  -0.2996758E+000   0.3424152E+001   0.8076313E-035
   0.9883813E+000   0.3579670E-005   0.8538700E+000  -0.1463677E+000   0.3122024E+001   0.8094042E-035
   0.9818595E+000   0.2925573E-004   0.5855498E+000  -0.6422017E-001   0.2427794E+001   0.8147805E-035
   0.9559122E+000   0.5122586E-003   0.1859637E+000  -0.1398166E+000   0.1311684E+001   0.8368969E-035
   0.9560096E+000   0.5225359E-003   0.1038222E+000  -0.3483695E+000   0.1259752E+001   0.8368117E-035
   0.9834774E+000   0.1315103E-003   0.3405305E+000  -0.4830810E+000   0.2191590E+001   0.8134401E-035
