 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.1447715E+004   0.1506162E+004
   0.1413484E+004   0.1484721E+004
   0.1477092E+004   0.1582402E+004
   0.1573814E+004   0.1686213E+004
   0.1697334E+004   0.1783523E+004
   0.1885797E+004   0.1902795E+004
   0.2020033E+004   0.2035285E+004
   0.2061917E+004   0.1979100E+004
   0.2035243E+004   0.1845495E+004
   0.1695016E+004   0.1539593E+004
   0.1267798E+004   0.1383052E+004
   0.1549595E+004   0.1618316E+004
   0.2214644E+004   0.2088337E+004
   0.2481788E+004   0.2431161E+004
   0.2209689E+004   0.2289610E+004
   0.1723685E+004   0.1789236E+004
   0.1519957E+004   0.1687737E+004
   0.1482162E+004   0.1538926E+004
   0.1361292E+004   0.1383774E+004
   0.1173328E+004   0.1172057E+004
   0.9072529E+003   0.9308391E+003
   0.7083237E+003   0.7510444E+003
   0.7973813E+003   0.8116834E+003
   0.1159475E+004   0.1277688E+004
   0.1837636E+004   0.1890899E+004
   0.2471608E+004   0.2376586E+004
   0.2707150E+004   0.2458676E+004
   0.2632259E+004   0.2396962E+004
   0.2428352E+004   0.2257669E+004
   0.2132867E+004   0.2122648E+004
   0.1811233E+004   0.1847175E+004
   0.1681810E+004   0.1692505E+004
   0.1734888E+004   0.1733512E+004
   0.2002440E+004   0.1994565E+004
   0.2110802E+004   0.2097349E+004
   0.1936893E+004   0.2000847E+004
   0.1797581E+004   0.1849948E+004
   0.1752717E+004   0.1765571E+004
   0.1683331E+004   0.1692369E+004
   0.1593531E+004   0.1621720E+004
   0.1810917E+004   0.1777577E+004
   0.1576680E+004   0.1580375E+004
   0.1486291E+004   0.1520670E+004
   0.1669915E+004   0.1727355E+004
   0.1785759E+004   0.1861442E+004
   0.1862267E+004   0.1871052E+004
   0.1793865E+004   0.1809924E+004
   0.1584857E+004   0.1481164E+004
   0.1355504E+004   0.1126545E+004
   0.1125324E+004   0.1002629E+004
   0.9845772E+003   0.1007170E+004
   0.1309041E+004   0.1267872E+004
   0.2058037E+004   0.1770120E+004
   0.2332334E+004   0.2112403E+004
   0.2068936E+004   0.2153665E+004
   0.1732909E+004   0.1829867E+004
   0.1545845E+004   0.1646966E+004
   0.1405718E+004   0.1397921E+004
   0.1250938E+004   0.1252863E+004
   0.1104811E+004   0.1085667E+004
   0.9009146E+003   0.9087830E+003
   0.7454998E+003   0.7925231E+003
   0.7948501E+003   0.8280291E+003
   0.1134512E+004   0.1223214E+004
   0.1734278E+004   0.1711402E+004
   0.2091673E+004   0.1970741E+004
   0.2015748E+004   0.1859163E+004
   0.2079036E+004   0.1922569E+004
   0.2283847E+004   0.2126513E+004
   0.2277347E+004   0.2188891E+004
   0.1985830E+004   0.1965848E+004
   0.1664955E+004   0.1722741E+004
   0.1606829E+004   0.1723706E+004
   0.2095234E+004   0.2242887E+004
   0.2639458E+004   0.2834929E+004
   0.2642124E+004   0.2778427E+004
   0.2268518E+004   0.2350304E+004
   0.1957838E+004   0.2025191E+004
   0.1908257E+004   0.1942720E+004
   0.1961587E+004   0.1942276E+004
   0.2187279E+004   0.2183759E+004
   0.1978961E+004   0.2016065E+004
   0.1790901E+004   0.1862876E+004
   0.1853287E+004   0.1943056E+004
   0.1762308E+004   0.1817996E+004
   0.1654725E+004   0.1653354E+004
   0.1429287E+004   0.1421370E+004
   0.1098835E+004   0.1041046E+004
   0.7237685E+003   0.6861854E+003
   0.6260966E+003   0.6653869E+003
   0.7489644E+003   0.7700661E+003
   0.9751840E+003   0.9775100E+003
   0.1454439E+004   0.1272193E+004
   0.1556605E+004   0.1315296E+004
   0.1473629E+004   0.1436644E+004
   0.1576888E+004   0.1554559E+004
   0.1651839E+004   0.1800651E+004
   0.1474399E+004   0.1505160E+004
   0.1334950E+004   0.1329265E+004
   0.1266037E+004   0.1271385E+004
   0.1162896E+004   0.1233339E+004
   0.9237763E+003   0.9920932E+003
   0.7964405E+003   0.8717292E+003
   0.1058482E+004   0.1093510E+004
   0.1552224E+004   0.1533866E+004
   0.1769034E+004   0.1737847E+004
   0.1502693E+004   0.1495968E+004
   0.1492886E+004   0.1518753E+004
   0.1815468E+004   0.1731832E+004
   0.1975603E+004   0.1860070E+004
   0.1801404E+004   0.1709855E+004
   0.1532246E+004   0.1506735E+004
   0.1404293E+004   0.1420953E+004
   0.1869080E+004   0.1750867E+004
   0.2676000E+004   0.2544367E+004
   0.3034146E+004   0.3139424E+004
   0.2566581E+004   0.2688368E+004
   0.1892022E+004   0.1977453E+004
   0.1820492E+004   0.1929491E+004
   0.2157762E+004   0.2158983E+004
