#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
   0.6976552E+001   0.9764057E+001   0.7861369E+000   0.8368668E+001  -0.1053680E+002  -0.9560640E+001   0.3415803E+002  -0.8962413E+002  -0.2381407E+002  -0.2737432E+002   0.6170777E+004
   0.1028816E+002   0.4605142E+001  -0.1428575E+001   0.6286489E+001  -0.1170158E+002  -0.8372811E+001   0.2995997E+002  -0.9044975E+002  -0.2645586E+002  -0.2786929E+002   0.6033071E+004
   0.1441809E+002  -0.1358275E+001  -0.3894084E+001   0.7818741E+001  -0.1128823E+002  -0.4893951E+001   0.5145571E+002  -0.9015065E+002  -0.2538810E+002  -0.2225824E+002   0.6483379E+004
   0.1293331E+002  -0.7599525E+001  -0.5281034E+001   0.1144782E+002  -0.8044590E+001  -0.3314019E+001   0.4163081E+002  -0.7527269E+002  -0.1613587E+002  -0.1124715E+002   0.4206179E+004
   0.1131065E+002  -0.1396606E+002  -0.6262899E+001   0.4378648E+001  -0.2240386E+001  -0.9896201E+000   0.3369654E+002  -0.4814312E+002  -0.1583891E+002  -0.6768643E+001   0.1997825E+004
   0.1673488E+002  -0.1715972E+002  -0.7925742E+001  -0.4594744E+001  -0.1396069E+001   0.1328323E+001   0.2584588E+002  -0.6865740E+002  -0.2375636E+002  -0.8417545E+001   0.3486548E+004
   0.2500703E+002  -0.2212914E+002  -0.1155917E+002   0.1687853E+001  -0.2479321E+001   0.3381312E+001   0.5660010E+001  -0.1117574E+003  -0.3768201E+002  -0.1515430E+002   0.8073898E+004
  -0.3555584E+000  -0.1559546E+002  -0.1027631E+001   0.2007113E+001  -0.6279646E+000  -0.7995852E+000  -0.8632020E+002  -0.9313998E+002  -0.1246271E+001  -0.2229794E+001   0.8319881E+004
  -0.2919392E+001  -0.4777604E+001   0.1259736E+001  -0.1012236E+001   0.3604432E+001  -0.3304591E+001  -0.5365995E+002  -0.4693976E+002   0.1188533E+002   0.1257037E+002   0.2762004E+004
  -0.2267507E+001   0.1264929E+000   0.1079112E+001  -0.6638316E+001   0.7290612E+001  -0.3076060E+001  -0.2906025E+002  -0.1677591E+002   0.1383687E+002   0.1885998E+002   0.7409116E+003
  -0.1897500E+001   0.2061892E+001   0.1751638E+001  -0.9039796E+001   0.9789402E+001  -0.1952025E+001  -0.1694681E+002   0.1681893E+001   0.1300825E+002   0.2090015E+002   0.2628707E+003
  -0.4917333E+001   0.3512830E+001   0.1630389E+001  -0.1223919E+002   0.1039902E+002  -0.1925607E+001  -0.2039127E+002   0.1127551E+002   0.1139628E+002   0.1687797E+002   0.4250101E+003
  -0.8368361E+001   0.4288443E+001  -0.2132073E+001  -0.1840995E+002   0.9970557E+001  -0.2612471E+001  -0.1856558E+002   0.1800588E+002   0.1050448E+002   0.1210667E+002   0.6633119E+003
  -0.7402732E+001   0.3263373E+001  -0.7749992E+001  -0.1754727E+002   0.7091904E+001  -0.7153204E+001  -0.8934705E+001   0.2590119E+002   0.7195882E+001   0.6885054E+001   0.5580228E+003
  -0.7088447E+001   0.3081661E+001  -0.1194987E+002  -0.1785839E+002   0.3607930E+001  -0.1180015E+002  -0.6445926E+000   0.3293608E+002   0.6807467E+001   0.3326950E+001   0.5177650E+003
  -0.2254005E+001   0.4266692E+001  -0.1365379E+002  -0.1014090E+002   0.2696576E+000  -0.1202373E+002   0.1220714E+002   0.4154981E+002   0.6856752E+001   0.4872404E+001   0.4984489E+003
   0.4597065E+001   0.3704978E+001  -0.1332987E+002  -0.1149900E+002  -0.1950632E+001  -0.1132005E+002   0.1626164E+002   0.4591464E+002   0.4380867E+001   0.7027300E+001   0.6607326E+003
   0.9376696E+001   0.1155454E+001  -0.9417158E+001  -0.2241543E+001  -0.2440532E+001  -0.7014062E+001   0.3044383E+002   0.5549140E+002  -0.3937229E+001   0.2998935E+001   0.1503059E+004
   0.9976387E+001   0.8746878E+000  -0.6874428E+001  -0.4610901E+000   0.4626744E+000  -0.4918467E+001   0.3068011E+002   0.6072124E+002  -0.1462743E+002  -0.4188366E+001   0.2148272E+004
   0.5664653E+001   0.1747182E+001  -0.3732667E+001  -0.7329454E+000   0.6492523E+000  -0.3517654E+001   0.6821481E+001   0.6414624E+002  -0.1802980E+002  -0.1171589E+002   0.2155027E+004
   0.7284555E+000   0.7901878E+001   0.1178142E+001  -0.5504230E+001   0.2805256E+001  -0.2347022E+001  -0.9659426E+001   0.7587557E+002  -0.1229107E+002  -0.8757354E+001   0.2875971E+004
  -0.1491629E+002   0.1318121E+002   0.9683425E+001  -0.1985830E+001   0.6667706E+001  -0.1719836E+001  -0.2321332E+002   0.8070733E+002   0.5974934E+001  -0.2273651E+001   0.3574640E+004
  -0.1082170E+002   0.1415037E+002   0.1217563E+002   0.5474897E+001   0.5993942E+001  -0.1229043E+001  -0.3710392E+002   0.6832647E+002   0.1759488E+002   0.1276711E+002   0.3162601E+004
   0.3144791E+001   0.1386525E+002   0.1054420E+002   0.4592150E+001   0.8873555E+000   0.6584197E+000  -0.2690872E+002   0.3732298E+002   0.1707581E+002   0.2110796E+002   0.1179275E+004
   0.3921825E+001   0.1521063E+002   0.1021426E+002   0.9286744E+000   0.9747449E+000   0.4549853E+000  -0.1331769E+002   0.1767658E+002   0.1658154E+002   0.2147811E+002   0.4369396E+003
  -0.3654602E+001   0.1105246E+002   0.9538479E+001   0.6212859E+001   0.5542174E+000  -0.1582681E+001  -0.1040382E+002   0.7850258E+001   0.1648703E+002   0.1338665E+002   0.3948125E+003
  -0.1070738E+001   0.4557361E+001   0.7885640E+001   0.1078897E+002   0.3312376E+000  -0.3657393E+001  -0.2757851E+001   0.1224289E+001   0.1583042E+002   0.1509092E+002   0.3098084E+003
  -0.3340417E+001   0.1318755E+001   0.5809125E+001   0.1059043E+002  -0.2324975E+000  -0.3379602E+001  -0.1844132E+001  -0.3351694E+001   0.1470556E+002   0.1113265E+002   0.2875841E+003
  -0.8896786E+001  -0.3371281E+000   0.2961241E+001   0.1010702E+002  -0.5293370E+000  -0.2636162E+001   0.6365010E+000  -0.8020530E+001   0.1357982E+002   0.4153697E+001   0.3690732E+003
  -0.1662852E+002  -0.4731778E+000   0.1414857E+000   0.7607566E+001  -0.3130567E-001  -0.1566103E+001   0.4561521E+001  -0.6347032E+001   0.6386311E+001  -0.1027351E+002   0.3499296E+003
  -0.1037943E+002  -0.1237078E+001  -0.2541280E+001   0.8258682E+001   0.2225870E+001  -0.2706363E+000   0.9055264E+001  -0.2026209E+001  -0.4352254E-001  -0.8197081E+001   0.1387968E+003
  -0.5986649E+001  -0.1633773E+001  -0.5714123E+001   0.3244933E+001   0.6724513E+001   0.1118433E+001   0.8704959E+001   0.6921794E+001  -0.4296173E+001  -0.3558309E+001   0.1333887E+003
  -0.8850080E+001  -0.1609178E+001  -0.6499809E+001   0.5101376E-001   0.8224368E+001   0.2625167E+000   0.9247135E+001   0.1292430E+002  -0.1811670E+001  -0.2437383E+001   0.2391999E+003
  -0.1144741E+002  -0.2979381E+001  -0.4685811E+001  -0.2276768E+000   0.9013823E+001  -0.2454590E+001  -0.4349807E+001   0.1068028E+002  -0.1915287E+001  -0.4348877E+001   0.2894511E+003
  -0.9372749E+001  -0.3339931E+001  -0.2814368E+001   0.4721299E+001   0.8583214E+001  -0.4374461E+001  -0.1863714E+002   0.4483682E+001  -0.2736851E+001  -0.3526386E+001   0.3959090E+003
  -0.6658562E+001  -0.2211995E+001  -0.1654519E+001   0.3544004E+001   0.7151103E+001  -0.5202475E+001  -0.5320090E+001  -0.6581602E+001  -0.3818208E+001  -0.3325668E+001   0.2010087E+003
  -0.6428471E+001  -0.1126792E+000  -0.4803320E+000   0.1193200E+001   0.4188272E+001  -0.6155738E+001  -0.9183131E+001  -0.1874247E+002  -0.5595349E+001  -0.7835547E+001   0.4269450E+003
   0.2727633E+001   0.3317549E+001   0.3602196E+001  -0.5941237E+000   0.2340106E+000  -0.8377105E+001  -0.1069389E+001  -0.3338939E+002  -0.1833886E+002  -0.1537722E+002   0.1144125E+004
   0.7221530E+001   0.8507677E+001   0.4922070E+001  -0.1589049E+001  -0.3726993E+001  -0.8035997E+001   0.1160709E+002  -0.5241428E+002  -0.2264915E+002  -0.1915461E+002   0.2444383E+004
   0.8890899E+001   0.1200295E+002   0.3330263E+001   0.3402076E+001  -0.7423896E+001  -0.8261971E+001   0.2986649E+002  -0.7670992E+002  -0.2313391E+002  -0.2166691E+002   0.4792636E+004
   0.4452252E+001   0.6588790E+001   0.1175677E+001   0.5272310E+001  -0.7989339E+001  -0.7137856E+001   0.2505738E+002  -0.7373880E+002  -0.1225643E+002  -0.1579352E+002   0.3835673E+004
   0.5732012E+001   0.4897760E+001  -0.4631361E+000   0.4504072E+001  -0.9685417E+001  -0.6724889E+001   0.2469169E+002  -0.7739475E+002  -0.1198395E+002  -0.1593735E+002   0.4061377E+004
   0.7225897E+001  -0.2857434E+000  -0.2785826E+001   0.8178496E+001  -0.1025057E+002  -0.4129785E+001   0.4265133E+002  -0.8517179E+002  -0.4415731E+001  -0.7440401E+001   0.4971496E+004
   0.3115897E+001  -0.8053768E+001  -0.3507213E+001   0.1413261E+002  -0.8765039E+001  -0.1547347E+001   0.4857711E+002  -0.9462822E+002   0.1132927E+002   0.5680124E+001   0.5863126E+004
   0.3493561E+001  -0.1651219E+002  -0.4375923E+001   0.1026544E+002  -0.8983746E+001   0.2953773E+001   0.4849708E+002  -0.1184935E+003   0.2678006E+002   0.2128987E+002   0.8326560E+004
   0.1195458E+002  -0.2027878E+002  -0.4450354E+001  -0.4449295E+001  -0.9120789E+001   0.4551773E+001  -0.9532612E+001  -0.1290532E+003   0.2625924E+002   0.2909303E+002   0.8787311E+004
   0.1956430E+002  -0.2406273E+002  -0.1521535E+001   0.1806423E+001  -0.8458765E+001   0.5642771E+001  -0.6849890E+001  -0.1401221E+003   0.2775035E+002   0.3885588E+002   0.1004619E+005
   0.1146609E+002  -0.2176056E+002   0.4251454E+001   0.5081769E+001  -0.7579230E+001   0.3091760E+001  -0.2390980E+002  -0.1073191E+003   0.2855830E+002   0.3244516E+002   0.6417584E+004
   0.7011703E+001  -0.1088808E+002   0.2795414E+001   0.4424596E+001  -0.1997791E+001  -0.1090552E+001  -0.4254331E+001  -0.5339378E+002   0.2178236E+002   0.2679628E+002   0.1794503E+004
   0.4549321E+001  -0.1696019E+001  -0.1621768E+000  -0.9043117E+000   0.4643166E+001  -0.3429142E+001   0.4401439E+001  -0.1493111E+002   0.1233672E+002   0.2152921E+002   0.2208636E+003
   0.1173057E+001   0.3156053E+001  -0.6680757E+000  -0.6509990E+001   0.9250567E+001  -0.4397848E+001  -0.1700454E+001   0.1330392E+001   0.9358667E+001   0.1978229E+002   0.5722141E+002
  -0.3799670E+001   0.5240838E+001  -0.1423458E+001  -0.1157588E+002   0.1069812E+002  -0.5120180E+001  -0.1458264E+002   0.8343194E+001   0.8764957E+001   0.1566341E+002   0.2772888E+003
  -0.8054059E+001   0.6092737E+001  -0.5915059E+001  -0.1823464E+002   0.1187589E+002  -0.5950992E+001  -0.8861447E+001   0.1606745E+002   0.8835877E+001   0.1265771E+002   0.4646284E+003
  -0.8229236E+001   0.6838057E+001  -0.1254393E+002  -0.1968289E+002   0.1329001E+002  -0.1052543E+002  -0.2437396E+001   0.2491325E+002   0.6628617E+001   0.1168939E+002   0.5409555E+003
  -0.6232125E+001   0.7310036E+001  -0.1843330E+002  -0.2108543E+002   0.1121424E+002  -0.1659361E+002   0.9741413E+001   0.3466453E+002   0.6276993E+001   0.1125911E+002   0.4576774E+003
  -0.1846836E+001   0.8418627E+001  -0.1992742E+002  -0.1269388E+002   0.8901554E+001  -0.1756182E+002   0.1993812E+002   0.4712913E+002   0.6365419E+001   0.1342014E+002   0.5093857E+003
   0.8208540E+000   0.5974910E+001  -0.1886945E+002  -0.1478968E+002   0.5683166E+001  -0.1676687E+002   0.2912728E+002   0.6381653E+002   0.3600367E+001   0.1010439E+002   0.1210199E+004
   0.8575774E+001   0.3955874E+001  -0.1288935E+002  -0.1415248E+001   0.3097829E+001  -0.1069422E+002   0.4243972E+002   0.8884075E+002  -0.1150713E+002   0.1664775E+000   0.3708825E+004
   0.1006901E+002   0.4002338E+001  -0.8398163E+001  -0.1384465E+000   0.1302195E+001  -0.7616578E+001   0.3942410E+002   0.1059960E+003  -0.2536871E+002  -0.1399751E+002   0.6009369E+004
   0.7593112E+001   0.4435629E+001  -0.4912489E+001  -0.1121861E+001   0.2779934E-001  -0.5647579E+001   0.1655662E+002   0.1162774E+003  -0.3412448E+002  -0.2650357E+002   0.7180748E+004
   0.7542366E+001   0.5091357E+001  -0.1985657E+001  -0.1279869E+001   0.4673658E+000  -0.5675513E+001   0.1202133E+002   0.1267829E+003  -0.3631209E+002  -0.2830235E+002   0.8499782E+004
  -0.1004196E+002   0.1376317E+002   0.8261905E+001   0.4676659E+000   0.6357971E+001  -0.3607239E+001  -0.3379057E+002   0.1488015E+003  -0.5453374E+001  -0.9137366E+001   0.1111097E+005
