#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
   0.1097033E+002   0.1357690E+002   0.2808808E+001  -0.1369977E+002  -0.7146398E+002  -0.4669445E+002  -0.5399522E+000  -0.1592276E+002   0.1257214E+002  -0.4792151E+002   0.6583056E+004
   0.1631752E+002  -0.3523817E+000  -0.6744943E+001   0.4699895E+002  -0.4652175E+002  -0.2789551E+002   0.6587780E+001  -0.3168622E+002   0.1517150E+002  -0.1503273E+002   0.5448337E+004
  -0.1965841E+002  -0.9534248E+001   0.8090761E+000   0.1398641E+002   0.1189548E+002   0.3806711E+001   0.2026498E+002  -0.1172205E+003   0.5956205E+001  -0.1806730E+001   0.7225662E+004
   0.6944038E+001  -0.2555839E+002  -0.6941460E+001  -0.6022337E+001   0.1248043E+002   0.3702769E+001   0.4384856E+000  -0.1010297E+003   0.7040393E+001   0.2646486E+002   0.5276169E+004
   0.8510669E+002  -0.6506997E+002  -0.2323706E+002  -0.3398311E+001   0.2075040E+002  -0.1014183E+001   0.1479022E+003  -0.1385469E+003  -0.1155295E+002   0.9430414E+002   0.2469608E+005
   0.3319357E+002  -0.3667637E+002  -0.1528765E+002  -0.4092830E+000   0.3633762E+002   0.1880375E+001   0.4680721E+002  -0.8177206E+002  -0.2775867E+001   0.6675533E+002   0.5320272E+004
  -0.1587330E+001  -0.2096429E+002  -0.1551433E+002  -0.6161624E+001   0.3790071E+002   0.7526895E+001   0.3772677E+002  -0.5798707E+002  -0.4836663E+001   0.3147672E+002   0.3019834E+004
  -0.9398695E+002   0.1129432E+002  -0.5297210E+001   0.1498055E+001   0.3350230E+002   0.1007455E+002  -0.8672582E+002  -0.3040563E+002   0.1569436E+001  -0.5891522E+002   0.1332403E+005
   0.6912064E+002   0.3120140E+002   0.2825739E+002  -0.2805759E+001   0.1123492E+002  -0.1174245E+001  -0.2003095E+003  -0.2843849E+002   0.1560115E+002   0.9595671E+002   0.1772063E+005
   0.9956317E+000   0.1352608E+002   0.1316979E+002  -0.1225663E+002   0.1888610E+001  -0.5130204E+001  -0.5035186E+002   0.9449746E+001   0.3107109E+002   0.3395534E+002   0.1287037E+004
  -0.5036172E+002  -0.1886317E+001  -0.9000558E+001  -0.3741471E+002  -0.2011981E+002  -0.4072264E+002   0.1445693E+002   0.1268146E+002   0.1605087E+002  -0.5443066E+002   0.3391500E+004
  -0.7221061E+001  -0.3355804E+002  -0.2015597E+002  -0.4223357E+002  -0.7072056E+002  -0.5919058E+002   0.6884617E+001  -0.1684252E+002   0.1233490E+002  -0.6560672E+002   0.9621709E+004
  -0.4289327E+000  -0.1035507E+002  -0.1003075E+002  -0.5656757E+002  -0.6244895E+002  -0.1999691E+002  -0.5003022E+002  -0.1350339E+002  -0.4772663E+001  -0.6765054E+002   0.7001416E+004
