#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
   0.6594131E+002  -0.3882266E+002  -0.5761958E+002   0.2512970E+002  -0.9080016E+002   0.1906245E+001  -0.4241384E+003  -0.8771459E+001   0.2404667E+002  -0.8121831E+000   0.1293336E+006
  -0.6764691E+001   0.1106999E+002  -0.1156356E+002   0.5681316E+002  -0.6815995E+002   0.2257629E+002  -0.4751127E+003   0.3759855E+002   0.7294305E+002  -0.1981598E+001   0.1325524E+006
   0.1729632E+002   0.8181254E+002  -0.2107571E+002   0.7436862E+002  -0.4692335E+002   0.2678725E+002  -0.2195211E+003  -0.5467589E+002   0.2782895E+002  -0.1798080E+001   0.4480293E+005
   0.3097500E+002   0.1006951E+003  -0.1850510E+002   0.1922979E+002  -0.5655694E+002   0.6211686E+002   0.2711342E+001  -0.2009382E+003   0.2625108E+002   0.6691423E+000   0.2179850E+005
  -0.6390088E+002   0.1550150E+003   0.7015803E+002  -0.4343269E+002  -0.1726942E+002   0.7924590E+002  -0.5410990E+002  -0.3051235E+003   0.7979242E+002  -0.1377882E+001   0.4261219E+005
   0.4794729E+002   0.7387424E+002   0.6469472E+002   0.3244971E+002   0.3305622E+002   0.4765020E+002  -0.1903403E+003  -0.2505468E+003  -0.8082035E+002   0.1831636E+000   0.4405288E+005
   0.5508508E+001   0.5800936E+002   0.5294183E+002  -0.1141331E+002   0.1358191E+002   0.2320354E+002  -0.1032041E+003  -0.1462298E+002  -0.1764396E+002   0.1446455E+001   0.2910980E+004
  -0.1670786E+003   0.1045420E+002   0.1042708E+003  -0.6097139E+002   0.1128245E+003   0.4084717E+002  -0.3045874E+003   0.7312048E+002   0.5768642E+002   0.3432273E+001   0.7180211E+005
   0.3274591E+002  -0.8242046E+001   0.2141625E+002  -0.4924517E+002   0.4460371E+002   0.3153057E+002   0.7172323E+003  -0.1086161E+003  -0.6942454E+002   0.7925079E+001   0.2852849E+006
  -0.1526991E+003   0.5711107E+002   0.1292980E+003  -0.7941569E+002   0.3430759E+002   0.6361655E+002   0.5636465E+002   0.1074753E+002   0.1102876E+003  -0.8103899E+001   0.5688456E+005
  -0.8945587E+001  -0.6360781E+002  -0.5215902E+002  -0.1437045E+003   0.1878718E+002   0.2519111E+002   0.3950253E+002  -0.1674277E+003   0.1471238E+001   0.1131283E+002   0.3207741E+005
   0.8801893E+002  -0.1588982E+003  -0.3904893E+002  -0.5304559E+002  -0.1801727E+003  -0.1292178E+003   0.4807652E+002   0.1712277E+003   0.9732327E+002   0.5169506E+001   0.7305569E+005
   0.1435395E+003  -0.6994074E+001   0.1094394E+002   0.1200712E+003  -0.1988579E+003  -0.5979669E+002  -0.6516557E+002   0.5986049E+003   0.6368506E+002   0.8366674E+001   0.2172008E+006
   0.1303901E+003   0.2312537E+003   0.2977436E+002   0.5850124E+002  -0.3376399E+002  -0.1065434E+002   0.1871222E+003   0.6618946E+003  -0.9101453E+002   0.5611592E+001   0.3039727E+006
  -0.5452647E+002   0.1577861E+003   0.8087101E+002   0.5972228E+000  -0.8367878E+002  -0.1094574E+003   0.4611491E+002   0.4601860E+003   0.1390195E+003   0.8142161E+000   0.1114121E+006
   0.6264327E+002   0.1014630E+003   0.1354322E+002   0.5598964E+002  -0.2837473E+002  -0.1027535E+003  -0.2675626E+003  -0.2753716E+002  -0.2116462E+002   0.1310392E+002   0.5826643E+005
  -0.5250678E+002   0.1290908E+002  -0.7891401E+002  -0.7602874E+002   0.1800879E+002  -0.8170401E+002   0.1720352E+003   0.1359866E+003   0.2142941E+002  -0.1306858E+002   0.1128469E+005
  -0.7014933E+002  -0.3703285E+002  -0.5819242E+002  -0.8036318E+002  -0.4789452E+001  -0.6090673E+002   0.2976908E+003   0.1330203E+003   0.7244355E+002  -0.2495234E+001   0.4836071E+005
   0.1439350E+002  -0.5054255E+002  -0.6036213E+001  -0.1987979E+002  -0.3049098E+002  -0.5390724E+002   0.6613872E+002   0.1049125E+003   0.1514187E+002  -0.9556103E+000   0.6952423E+004
  -0.3888013E+001  -0.4391823E+002   0.3744084E+002  -0.3214277E+002  -0.1059967E+002  -0.7139504E+002   0.6038149E+002   0.3085476E+003   0.1310022E+002  -0.1387456E+001   0.3609637E+005
