 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.1066443E+004   0.1102340E+004
   0.9861772E+003   0.1005538E+004
   0.9219390E+003   0.9414543E+003
   0.8633122E+003   0.8981957E+003
   0.8339290E+003   0.8671494E+003
   0.8006018E+003   0.8286946E+003
   0.7591739E+003   0.7928609E+003
   0.7211965E+003   0.7484079E+003
   0.6969018E+003   0.7241513E+003
   0.7031621E+003   0.7393448E+003
   0.7603725E+003   0.7864833E+003
   0.8192476E+003   0.8321759E+003
   0.8789585E+003   0.8933584E+003
   0.9268743E+003   0.9310126E+003
   0.9443163E+003   0.9482282E+003
   0.9011227E+003   0.9179705E+003
   0.8702534E+003   0.9081953E+003
   0.8311281E+003   0.8809349E+003
   0.7552972E+003   0.7967359E+003
   0.7103619E+003   0.7402046E+003
   0.6591166E+003   0.6860831E+003
   0.6188313E+003   0.6271255E+003
   0.6587645E+003   0.6659141E+003
   0.7363226E+003   0.7357030E+003
   0.7871722E+003   0.8088819E+003
   0.7988808E+003   0.8568468E+003
   0.7872597E+003   0.8287483E+003
   0.7401693E+003   0.7590163E+003
   0.6879698E+003   0.7021906E+003
   0.6757792E+003   0.7057803E+003
   0.6723494E+003   0.7106464E+003
   0.6923376E+003   0.7303104E+003
   0.7614149E+003   0.8188170E+003
   0.8183173E+003   0.8557888E+003
   0.9819795E+003   0.9453716E+003
   0.1097478E+004   0.9826348E+003
   0.1141423E+004   0.1013733E+004
   0.1164875E+004   0.1064610E+004
   0.1159270E+004   0.1106573E+004
   0.1112605E+004   0.1115183E+004
   0.1012303E+004   0.1037092E+004
   0.9097244E+003   0.9348291E+003
   0.8436874E+003   0.8820935E+003
   0.7997447E+003   0.8553020E+003
   0.7835465E+003   0.8318284E+003
   0.7721867E+003   0.8159372E+003
   0.7456474E+003   0.7853855E+003
   0.7323382E+003   0.7562249E+003
   0.7226137E+003   0.7387302E+003
   0.7228555E+003   0.7445417E+003
   0.7653985E+003   0.7845159E+003
   0.8045604E+003   0.8217764E+003
   0.8446306E+003   0.8636495E+003
   0.8878311E+003   0.8928383E+003
   0.8972255E+003   0.8992397E+003
   0.8364035E+003   0.8453284E+003
   0.7987526E+003   0.8412437E+003
   0.7513780E+003   0.8054882E+003
   0.6823734E+003   0.7276886E+003
   0.6700760E+003   0.7030505E+003
   0.6537407E+003   0.6832016E+003
   0.6572451E+003   0.6528589E+003
   0.7198561E+003   0.6993655E+003
   0.7856622E+003   0.7680859E+003
   0.8106895E+003   0.8120732E+003
   0.7759470E+003   0.7952280E+003
   0.7136680E+003   0.7331759E+003
   0.6384154E+003   0.6572895E+003
   0.5566852E+003   0.5852533E+003
   0.5184823E+003   0.5569925E+003
   0.5139940E+003   0.5542548E+003
   0.5582811E+003   0.5801420E+003
   0.7015760E+003   0.7449878E+003
   0.8436446E+003   0.8806983E+003
   0.1031079E+004   0.1002742E+004
   0.1158108E+004   0.1054392E+004
   0.1187823E+004   0.1067037E+004
   0.1177344E+004   0.1081635E+004
   0.1119489E+004   0.1072616E+004
   0.1031796E+004   0.1041270E+004
   0.9224597E+003   0.9551851E+003
   0.8239440E+003   0.8516118E+003
   0.7763187E+003   0.8147572E+003
   0.7531794E+003   0.8071772E+003
   0.7445335E+003   0.7897701E+003
   0.7466884E+003   0.7946263E+003
   0.7379922E+003   0.7832609E+003
   0.7423494E+003   0.7692106E+003
   0.7490441E+003   0.7651239E+003
   0.7505944E+003   0.7713971E+003
   0.7792011E+003   0.8005302E+003
   0.7997228E+003   0.8218344E+003
   0.8177832E+003   0.8388737E+003
   0.8459111E+003   0.8515351E+003
   0.8408022E+003   0.8382991E+003
   0.7702431E+003   0.7779694E+003
   0.7287247E+003   0.7711102E+003
   0.6812678E+003   0.7318465E+003
   0.6238013E+003   0.6689214E+003
   0.6293699E+003   0.6616636E+003
   0.6386574E+003   0.6674264E+003
   0.6677566E+003   0.6604637E+003
   0.7417238E+003   0.7262201E+003
   0.8042678E+003   0.7983359E+003
   0.8052408E+003   0.8169851E+003
   0.7442928E+003   0.7596909E+003
   0.6688343E+003   0.6787096E+003
   0.5985449E+003   0.6143392E+003
   0.5276487E+003   0.5534261E+003
   0.4950487E+003   0.5331097E+003
   0.5024945E+003   0.5453591E+003
   0.5439961E+003   0.5632300E+003
   0.6959818E+003   0.7263614E+003
   0.8669057E+003   0.8977712E+003
   0.1062778E+004   0.1072177E+004
   0.1182852E+004   0.1136068E+004
   0.1187812E+004   0.1113641E+004
   0.1141099E+004   0.1074236E+004
   0.1060969E+004   0.1023351E+004
   0.9587488E+003   0.9625957E+003
   0.8616181E+003   0.8870559E+003
   0.7838095E+003   0.8064931E+003
