 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.7332383E+003   0.7354914E+003
   0.5426817E+003   0.5604343E+003
   0.4392758E+003   0.4397255E+003
   0.4676492E+003   0.4727145E+003
   0.4364635E+003   0.4374908E+003
   0.4318115E+003   0.4428435E+003
   0.5393250E+003   0.5819900E+003
   0.6159663E+003   0.6263016E+003
   0.6833987E+003   0.6640634E+003
   0.7300354E+003   0.7292046E+003
   0.7572920E+003   0.8085149E+003
   0.7980249E+003   0.8363680E+003
   0.6942353E+003   0.7569546E+003
   0.5329994E+003   0.6194088E+003
   0.5360037E+003   0.6277040E+003
   0.9412795E+003   0.1030211E+004
   0.1295662E+004   0.1356201E+004
   0.1225167E+004   0.1246328E+004
   0.1197370E+004   0.1214535E+004
   0.1215456E+004   0.1191630E+004
   0.1256862E+004   0.1223706E+004
   0.1292120E+004   0.1317261E+004
   0.1173751E+004   0.1179839E+004
   0.1013185E+004   0.1008211E+004
   0.9219571E+003   0.9042550E+003
   0.9178560E+003   0.9064441E+003
   0.1031965E+004   0.1078954E+004
   0.1100573E+004   0.1194467E+004
   0.9831447E+003   0.1058088E+004
   0.8140323E+003   0.8395264E+003
   0.8222463E+003   0.8526005E+003
   0.9417614E+003   0.9463550E+003
   0.9662364E+003   0.9384636E+003
   0.9969257E+003   0.9775358E+003
   0.1673403E+004   0.1439479E+004
   0.2084488E+004   0.1708872E+004
   0.1515931E+004   0.1118559E+004
   0.1133050E+004   0.8798187E+003
   0.8738279E+003   0.7869743E+003
   0.7317976E+003   0.7198888E+003
   0.5287459E+003   0.5339702E+003
   0.5437294E+003   0.5506905E+003
   0.5441927E+003   0.5432036E+003
   0.5688677E+003   0.5689185E+003
   0.5619124E+003   0.5579526E+003
   0.5713615E+003   0.5636402E+003
   0.6561268E+003   0.6864600E+003
   0.7280169E+003   0.7870320E+003
   0.8170419E+003   0.8333672E+003
   0.9323606E+003   0.9178855E+003
   0.9098604E+003   0.9157227E+003
   0.7490050E+003   0.7605272E+003
   0.4927395E+003   0.5188069E+003
   0.4689712E+003   0.5225383E+003
   0.7436313E+003   0.7514371E+003
   0.1104163E+004   0.1159191E+004
   0.1231136E+004   0.1258715E+004
   0.1275491E+004   0.1312341E+004
   0.1344023E+004   0.1383942E+004
   0.1167504E+004   0.1175583E+004
   0.1123785E+004   0.1122620E+004
   0.1232923E+004   0.1239916E+004
   0.1237219E+004   0.1219305E+004
   0.1037914E+004   0.1017081E+004
   0.8798952E+003   0.8625915E+003
   0.7616594E+003   0.7399344E+003
   0.7483604E+003   0.7027214E+003
   0.7461028E+003   0.7054480E+003
   0.6949833E+003   0.7021449E+003
   0.8478403E+003   0.9113932E+003
   0.1046245E+004   0.1122748E+004
   0.1126763E+004   0.1168324E+004
   0.1317232E+004   0.1309287E+004
   0.1492107E+004   0.1520811E+004
   0.1958330E+004   0.1996558E+004
   0.2394103E+004   0.2381136E+004
   0.1927502E+004   0.1853095E+004
   0.1299179E+004   0.1093756E+004
   0.9117206E+003   0.8453613E+003
   0.5711318E+003   0.5635916E+003
   0.5122406E+003   0.5111785E+003
   0.5363689E+003   0.5370719E+003
   0.6316024E+003   0.6486316E+003
   0.7761769E+003   0.8302384E+003
   0.8502910E+003   0.9095922E+003
   0.8494789E+003   0.8692851E+003
   0.9194454E+003   0.9297707E+003
