# ~alp d~p/dx   Phi_p_sgs,x
   0.7891875E+001   0.7775991E+001
   0.1153303E+002   0.6926694E+001
   0.1027811E+002   0.3215868E+001
   0.9862798E+001   0.1927570E+001
   0.8094535E+001   0.2192823E+001
   0.3638222E+001   0.1879695E+001
   0.9550396E-001   0.4553976E+000
  -0.8348033E+000   0.1267485E+000
   0.5834175E-001   0.2612924E+001
   0.1697388E+001   0.4207074E+001
   0.3365265E+001   0.3528853E+001
   0.4361678E+001   0.1751830E+001
   0.3183949E+001   0.8621324E+000
   0.1811410E+000   0.1444497E+001
  -0.1572860E+001   0.1837860E+001
  -0.9104341E+000  -0.4841079E+000
  -0.1490861E+000  -0.2567621E+000
  -0.3462940E+000  -0.3673865E+000
  -0.2291450E+001  -0.1607787E+001
  -0.4418030E+001   0.1438545E+001
  -0.3737057E+001   0.9016830E+001
   0.4544973E+001   0.9311519E+001
   0.9538206E+001   0.8320853E+001
   0.9053767E+001   0.8570395E+001
   0.2413731E+001   0.8486863E+001
  -0.2828190E+001   0.9320666E+001
  -0.7359719E+001   0.4107867E+001
  -0.1374353E+002  -0.1750396E+001
  -0.1404726E+002  -0.6506748E+000
  -0.2142160E+002  -0.3843840E+001
  -0.1525881E+002  -0.3194195E+001
  -0.1351504E+002  -0.6844168E+001
  -0.4953325E+001  -0.3882336E+001
  -0.8464453E+000  -0.6632832E+000
   0.8549321E+000  -0.8919144E+000
   0.1895871E+001  -0.3311125E+000
   0.2110644E+001   0.2481631E+000
   0.2163667E+001   0.5293526E-001
   0.1910081E+001  -0.4756851E+000
   0.4275324E+001   0.7523653E+001
   0.2275278E+001   0.5282810E+001
   0.4537884E+001   0.4921503E+001
   0.6975448E+001   0.4356733E+001
   0.7370846E+001   0.1714723E+000
   0.5826318E+001  -0.3504654E+001
   0.2887502E+001  -0.2626251E+001
  -0.1374325E+001  -0.2134469E+001
  -0.8329687E+000   0.2449658E+001
   0.1537677E+001   0.4478886E+001
   0.4421122E+001   0.5683314E+001
   0.8601562E+001   0.3905693E+001
   0.7590485E+001   0.1451139E+001
   0.4639144E+001   0.1528971E+001
   0.2957882E+000   0.2629084E+001
  -0.1617222E+001   0.2521538E+001
  -0.1114782E+001   0.1097900E+000
  -0.6232440E+000  -0.2328193E+000
  -0.9982052E+000  -0.3767895E+000
  -0.2044023E+001  -0.2496995E-001
  -0.2296606E+001   0.1795673E+001
   0.2268909E+001   0.1023872E+002
   0.1379777E+002   0.1312395E+002
   0.1863070E+002   0.1173713E+002
   0.1416494E+002   0.1294252E+002
   0.2637647E+001   0.9846402E+001
  -0.3550864E+001   0.8864147E+001
  -0.1010726E+002   0.3634762E+001
  -0.1972778E+002  -0.2589083E+001
  -0.2109159E+002  -0.1708407E+001
  -0.2823218E+002  -0.6094915E+001
  -0.1728208E+002  -0.4857513E+001
  -0.1582693E+002  -0.8409783E+001
  -0.6613808E+001  -0.4223217E+001
  -0.2567059E+001  -0.8115399E+000
   0.3682310E+000  -0.1037836E+001
   0.3983295E+001  -0.7680568E+000
   0.5540332E+001   0.1121469E+000
   0.4036966E+001   0.9959329E+000
   0.1671332E+001   0.8332186E+000
   0.9416275E+000   0.3187881E+001
   0.4631766E+000   0.7182729E+000
   0.1272315E+001   0.1166865E+001
   0.1896162E+001   0.2126681E+000
   0.7257151E-001  -0.1583944E+002
  -0.3765986E+001  -0.2353298E+002
   0.1861876E+000  -0.1656607E+002
   0.2135482E+001  -0.6478280E+001
   0.5363238E+001   0.1061385E+002
   0.4758775E+001   0.7002192E+001
   0.6162827E+001   0.6237161E+001
   0.9623212E+001   0.4841655E+001
   0.6865337E+001   0.2677269E+001
   0.3123302E+001   0.2067993E+001
  -0.2613649E+000   0.1945774E+001
  -0.1485093E+001   0.1002038E+001
  -0.9953288E+000  -0.5396504E-001
  -0.8658277E+000  -0.2531725E+000
  -0.1111178E+001  -0.2203972E+000
  -0.1329689E+001   0.3972548E-001
  -0.2899776E-001   0.1467153E+001
   0.7695687E+001   0.8206285E+001
   0.1949920E+002   0.1129455E+002
   0.2252261E+002   0.1084963E+002
   0.1285493E+002   0.1200011E+002
   0.1090231E+001   0.6960064E+001
  -0.3331743E+001   0.3631627E+001
  -0.1023012E+002  -0.1171146E+001
  -0.2166441E+002  -0.4057267E+001
  -0.2482731E+002  -0.2759916E+001
  -0.3140654E+002  -0.6253792E+001
  -0.1911497E+002  -0.5877176E+001
  -0.1766285E+002  -0.8743920E+001
  -0.8406568E+001  -0.5171693E+001
  -0.4145720E+001  -0.4201326E+000
  -0.1011145E+001   0.6146903E-001
   0.4103563E+001  -0.4716119E+000
   0.6554284E+001  -0.8393683E-001
   0.4415623E+001   0.1132593E+001
   0.1588562E+001   0.1051044E+001
   0.2323724E+000   0.6584014E-001
   0.9729942E-001  -0.5977681E-001
   0.3465852E+000  -0.5478992E+000
  -0.2471264E+000  -0.3077920E+001
  -0.9897679E+001  -0.3372339E+002
  -0.1967416E+002  -0.3958639E+002
  -0.7740722E+001  -0.2724826E+002
   0.1012103E+002  -0.1075612E+002
   0.2020357E+002   0.1736559E+002
   0.1289545E+002   0.1042350E+002
   0.9409409E+001   0.6721306E+001
   0.9031472E+001   0.4652606E+001
   0.4368516E+001   0.2100030E+001
   0.1396290E+001   0.1366831E+001
  -0.4932800E+000   0.5750464E+000
  -0.9531777E+000  -0.9488231E-001
  -0.6475682E+000  -0.7865566E-001
  -0.7247225E+000  -0.2682899E+000
  -0.7463524E+000  -0.1847581E-001
  -0.1214181E+000   0.1187901E+000
   0.2682875E+001   0.1918789E+001
   0.1081200E+002   0.6330895E+001
   0.1958302E+002   0.9047542E+001
   0.1721486E+002   0.1032176E+002
   0.6714537E+001   0.9520434E+001
   0.2015453E+000   0.1550857E+001
  -0.1603517E+001  -0.7694554E+000
  -0.8965229E+001  -0.5579447E+001
  -0.1896867E+002  -0.4035156E+001
  -0.2258363E+002  -0.2930943E+001
  -0.2750047E+002  -0.5071686E+001
  -0.1771783E+002  -0.4498438E+001
  -0.1971496E+002  -0.5809159E+001
  -0.1298822E+002  -0.3448007E+001
  -0.9707960E+001  -0.1402312E+001
  -0.5520681E+001  -0.3373874E+000
   0.1524937E+001  -0.1345039E+001
   0.5642263E+001  -0.6919759E+000
   0.4310883E+001   0.8941625E+000
   0.1823496E+001   0.9282754E+000
   0.3032266E+000   0.1807470E+000
  -0.4660510E+000  -0.2066969E+000
  -0.1180889E+001  -0.1210236E+001
  -0.5159776E+001  -0.5924359E+001
  -0.3200621E+002  -0.4256498E+002
  -0.4626599E+002  -0.4364502E+002
  -0.1920142E+002  -0.3337721E+002
   0.2118701E+002  -0.1375021E+002
   0.3886786E+002   0.2066014E+002
   0.2310820E+002   0.1158286E+002
   0.1349058E+002   0.7266181E+001
   0.7754036E+001   0.4057683E+001
   0.2856353E+001   0.8120232E+000
   0.8886944E+000   0.3848196E+000
  -0.1962181E+000   0.2477622E+000
  -0.4235971E+000   0.1138911E+000
  -0.2766127E+000   0.1349824E+000
  -0.3454190E+000  -0.6454721E-001
   0.1907038E-001   0.4424703E+000
   0.1095613E+001   0.4261090E+000
   0.4850309E+001   0.2096912E+001
   0.1085090E+002   0.3651563E+001
   0.1660296E+002   0.3945208E+001
   0.1293966E+002   0.5303541E+001
   0.4718067E+001   0.4681459E+001
   0.5183672E+000   0.4077426E+000
  -0.8595180E+000  -0.6419990E+000
  -0.6296937E+001  -0.5520263E+001
  -0.1004138E+002  -0.4293052E+001
  -0.1112180E+002  -0.4436320E+001
  -0.1531151E+002  -0.6240813E+001
  -0.1450944E+002  -0.6168005E+001
  -0.1980497E+002  -0.5499030E+001
  -0.1765020E+002  -0.4095483E+001
  -0.1429354E+002  -0.1828743E+001
  -0.1210070E+002  -0.5304024E+000
  -0.5444104E+001  -0.1161859E+001
   0.6424595E+000  -0.1066689E+001
   0.2031680E+001   0.2967795E+000
   0.1139789E+001   0.3983534E+000
   0.1314857E+000   0.1772583E+000
  -0.7652722E+000  -0.2478215E+000
  -0.3048859E+001  -0.9559239E+000
  -0.1245566E+002  -0.5424017E+001
  -0.4831822E+002  -0.3379375E+002
  -0.5690018E+002  -0.3175291E+002
  -0.2456371E+002  -0.2571701E+002
   0.2264445E+002  -0.5728403E+001
   0.4023263E+002   0.1982246E+002
   0.2523668E+002   0.1058468E+002
   0.1389282E+002   0.6305427E+001
   0.5894963E+001   0.3318769E+001
   0.2121835E+001   0.6148185E+000
