# ~alp d~p/dx   Phi_p_sgs,x
   0.8938337E+001   0.8439188E+001
   0.1339657E+002   0.7605738E+001
   0.1075850E+002   0.2558654E+001
   0.1198892E+002   0.2642636E+001
   0.1038709E+002   0.3152780E+001
   0.3268266E+001   0.2350800E+001
  -0.1186327E+001   0.3575022E-001
  -0.1268296E+001  -0.1406984E-001
   0.3299335E-001   0.2438475E+001
   0.2493359E+001   0.4551028E+001
   0.3970853E+001   0.3533203E+001
   0.4327611E+001   0.1505934E+001
   0.3669807E+001   0.7298427E+000
   0.4572047E+000   0.1449138E+001
  -0.1988845E+001   0.2026853E+001
  -0.9540859E+000  -0.4808981E+000
  -0.8608096E-001  -0.1185277E+000
  -0.2034621E+000  -0.1980422E+000
  -0.1995166E+001  -0.9027990E+000
  -0.4876088E+001   0.8774301E+000
  -0.5443099E+001   0.9006509E+001
   0.5724321E+001   0.9736148E+001
   0.1018058E+002   0.5413182E+001
   0.1104866E+002   0.6577462E+001
   0.6298340E+001   0.9841915E+001
  -0.9648816E+000   0.1103403E+002
  -0.7410491E+001   0.4276184E+001
  -0.1532503E+002  -0.4242878E+001
  -0.1485752E+002  -0.3157894E-001
  -0.2239958E+002  -0.3472873E+001
  -0.1752421E+002  -0.3285221E+001
  -0.1377128E+002  -0.7207383E+001
  -0.3786666E+001  -0.2271769E+001
  -0.7065268E+000  -0.4661485E+000
   0.9270766E+000  -0.9006943E+000
   0.1819469E+001  -0.1468716E+000
   0.2201484E+001   0.2220759E+000
   0.2058101E+001   0.1402426E+000
   0.1331608E+001  -0.1072360E+001
   0.3256083E+001   0.6921244E+001
   0.1827451E+001   0.5155763E+001
   0.4589745E+001   0.4797759E+001
   0.6449729E+001   0.3396316E+001
   0.8343996E+001   0.3010866E+001
   0.7502116E+001   0.6500145E+000
   0.2174689E+001   0.3318877E+000
  -0.3091359E+001  -0.8343385E+000
  -0.2557080E+001   0.9589607E+000
   0.9451668E+000   0.5332769E+001
   0.6408066E+001   0.7355529E+001
   0.1103498E+002   0.4492310E+001
   0.8131494E+001   0.1471778E+001
   0.5535962E+001   0.1454987E+001
   0.2027947E+000   0.2583914E+001
  -0.1958105E+001   0.2182281E+001
  -0.1124391E+001  -0.9888684E-001
  -0.4921237E+000  -0.1034410E+000
  -0.8965344E+000  -0.5495132E+000
  -0.2387421E+001  -0.1305685E+000
  -0.2962823E+001   0.7946633E+000
   0.6010378E+000   0.8679889E+001
   0.1742582E+002   0.1408061E+002
   0.2537782E+002   0.1048491E+002
   0.1677592E+002   0.1255020E+002
   0.3702430E+001   0.1035693E+002
  -0.3023456E+001   0.9763414E+001
  -0.9785776E+001   0.4435874E+001
  -0.2516433E+002  -0.6140917E+001
  -0.2434200E+002  -0.2310480E+001
  -0.3073933E+002  -0.6861567E+001
  -0.2023818E+002  -0.5585421E+001
  -0.1536647E+002  -0.8453809E+001
  -0.5111559E+001  -0.2321199E+001
  -0.2378711E+001  -0.7204369E+000
   0.2839173E+000  -0.1300151E+001
   0.3450587E+001  -0.1132637E+001
   0.5418934E+001   0.3526087E+000
   0.4226155E+001   0.8799062E+000
   0.1422578E+001   0.9140856E+000
   0.3034571E+000   0.9809162E+000
   0.2826357E+000   0.1387170E+000
   0.1215606E+001   0.7834720E+000
   0.1932007E+001   0.5382600E+000
   0.1540454E+001  -0.1046051E+002
  -0.4326702E+001  -0.2933115E+002
  -0.2151009E+001  -0.1958218E+002
   0.1932368E+001  -0.4655059E+001
   0.2758776E+001   0.1053097E+002
   0.3645416E+001   0.6861664E+001
   0.8149743E+001   0.8440976E+001
   0.1107392E+002   0.5720368E+001
   0.6412211E+001   0.2564952E+001
   0.3360503E+001   0.2077939E+001
  -0.6625334E+000   0.1232373E+001
  -0.1730265E+001   0.3530324E+000
  -0.1061373E+001  -0.5978561E-001
  -0.7533586E+000  -0.1658914E+000
  -0.1380123E+001  -0.5766171E+000
  -0.1907386E+001  -0.5358747E-001
  -0.7362229E+000   0.7009965E-001
   0.6606464E+001   0.7460428E+001
   0.2483413E+002   0.1142050E+002
   0.3000116E+002   0.1062938E+002
   0.1372589E+002   0.1287756E+002
   0.6390352E+000   0.5721169E+001
  -0.3197927E+001   0.2407822E+001
  -0.8103226E+001  -0.4463062E+000
  -0.2769289E+002  -0.7254220E+001
  -0.2777231E+002  -0.4555406E+001
  -0.3087250E+002  -0.8489107E+001
  -0.2088291E+002  -0.6899026E+001
  -0.1511117E+002  -0.8589408E+001
  -0.5925933E+001  -0.2578877E+001
  -0.4035570E+001  -0.1793545E+000
  -0.1602820E+001   0.1047597E+000
   0.4607100E+001  -0.6986736E+000
   0.8126031E+001  -0.6733629E-001
   0.5215302E+001   0.1253684E+001
   0.1368294E+001   0.9761377E+000
   0.8884436E-001  -0.2389650E-001
   0.1252685E+000  -0.7574133E-001
   0.5071778E+000  -0.2110507E+000
   0.3254615E+000  -0.1241960E+001
  -0.6351777E+001  -0.2833846E+002
  -0.2786700E+002  -0.5342854E+002
  -0.1630764E+002  -0.3350434E+002
   0.1892821E+002  -0.6446507E+001
   0.2176523E+002   0.1961221E+002
   0.1157107E+002   0.8607870E+001
   0.1018894E+002   0.6565680E+001
   0.8925678E+001   0.3742288E+001
   0.4183550E+001   0.1096479E+001
   0.1426132E+001   0.1124792E+001
  -0.8572419E+000   0.1290026E+000
  -0.1092094E+001  -0.1377295E+000
  -0.6449374E+000  -0.9352733E-001
  -0.6321827E+000  -0.1844610E+000
  -0.1134696E+001  -0.3589491E+000
  -0.3474143E+000   0.1343046E+000
   0.2011057E+001   0.6048665E+000
   0.1041653E+002   0.6197247E+001
   0.2315381E+002   0.7731646E+001
   0.1789681E+002   0.9414247E+001
   0.5011761E+001   0.7516908E+001
  -0.1271395E-002  -0.2186171E+000
  -0.1419173E+001  -0.6211930E+000
  -0.6681250E+001  -0.2506399E+001
  -0.2429569E+002  -0.5165548E+001
  -0.2618386E+002  -0.2538456E+001
  -0.2449855E+002  -0.3923628E+001
  -0.2019404E+002  -0.4324544E+001
  -0.1863511E+002  -0.5527001E+001
  -0.1054227E+002  -0.2536827E+001
  -0.8483435E+001  -0.9519200E+000
  -0.5724616E+001   0.5768480E+000
   0.2085505E+001  -0.4062972E+000
   0.6330055E+001   0.3374287E+000
   0.4374095E+001   0.1473084E+001
   0.1456129E+001   0.7936169E+000
   0.1761536E+000   0.1285390E+000
  -0.4510561E+000  -0.1045059E+000
  -0.9435195E+000  -0.1079047E+001
  -0.4113548E+001  -0.3710796E+001
  -0.3134756E+002  -0.3751784E+002
  -0.7074191E+002  -0.5503724E+002
  -0.3296882E+002  -0.3883473E+002
   0.4138761E+002  -0.5936086E+001
   0.4872610E+002   0.2266532E+002
   0.2526419E+002   0.1091065E+002
   0.1491100E+002   0.7656908E+001
   0.7058434E+001   0.3369107E+001
   0.2542924E+001   0.3278725E+000
   0.5990251E+000   0.2715835E+000
  -0.4571183E+000   0.1291554E+000
  -0.4210080E+000   0.4611863E-001
  -0.2431343E+000   0.7920600E-001
  -0.3277286E+000  -0.4558303E-001
  -0.1758054E+000   0.2713053E+000
   0.1072270E+001   0.4556264E+000
   0.4110735E+001   0.1359078E+001
   0.1110028E+002   0.3934657E+001
   0.1951618E+002   0.2715330E+001
   0.1264921E+002   0.4272040E+001
   0.4095948E+001   0.4154323E+001
   0.2763203E+000  -0.2155363E+000
  -0.7630188E+000  -0.4820935E+000
  -0.4996430E+001  -0.3134038E+001
  -0.1393600E+002  -0.5072081E+001
  -0.1359509E+002  -0.4407499E+001
  -0.1224633E+002  -0.3649563E+001
  -0.1869282E+002  -0.5748307E+001
  -0.2368156E+002  -0.4625610E+001
  -0.1659228E+002  -0.3306652E+001
  -0.1451084E+002  -0.1802999E+001
  -0.1223731E+002  -0.1010554E+001
  -0.4606630E+001  -0.1682285E+001
   0.1378934E+001  -0.1269291E+001
   0.2494015E+001   0.2881866E-001
   0.1382672E+001   0.3100067E+000
   0.1778734E+000   0.2183581E+000
  -0.8771745E+000  -0.1695751E+000
  -0.3069711E+001  -0.7334183E+000
  -0.1176250E+002  -0.3487848E+001
  -0.5607955E+002  -0.3067406E+002
  -0.8735488E+002  -0.4150781E+002
  -0.3596993E+002  -0.3321916E+002
   0.4007796E+002   0.5455721E+001
   0.5302423E+002   0.1978288E+002
   0.3038891E+002   0.9688762E+001
   0.1526206E+002   0.6874932E+001
   0.5476853E+001   0.2811419E+001
   0.1760339E+001   0.2005461E+000
   0.6388759E+000   0.3904401E-001
   0.5564017E+000   0.2201322E+000
   0.6305919E+000   0.3516372E+000
   0.2185744E+000   0.3786428E+000
   0.2183424E-001   0.2213564E+000
   0.6616494E+000   0.5507989E+000
   0.2025551E+001   0.2634375E+000
   0.5051417E+001   0.8356116E+000
   0.9328735E+001   0.2141451E+001
   0.1734097E+002   0.2021631E+001
   0.1463432E+002   0.3996856E+001
   0.6675550E+001   0.6312477E+001
   0.5728536E+000   0.5997078E+000
  -0.7583921E+000  -0.5996436E+000
  -0.2426647E+001  -0.2816983E+001
  -0.1906786E+001  -0.6630365E+001
  -0.9622291E+000  -0.6792271E+001
  -0.1993219E+001  -0.4238323E+001
  -0.9643583E+001  -0.6421405E+001
  -0.1932142E+002  -0.3513732E+001
  -0.2050693E+002  -0.1160085E+001
  -0.2248395E+002  -0.2102475E+000
  -0.2247195E+002  -0.1807563E+000
  -0.1529521E+002  -0.1176845E+001
  -0.4600166E+001  -0.2548333E+001
   0.9058873E+000  -0.9285547E+000
   0.1594068E+001   0.1924430E+000
   0.3776871E+000   0.1080754E+000
  -0.6320075E+000  -0.3232897E+000
  -0.4226468E+001  -0.1122319E+000
  -0.1434790E+002  -0.1456662E+001
  -0.4615964E+002  -0.2202618E+002
  -0.6004953E+002  -0.2870770E+002
  -0.2396755E+002  -0.1967584E+002
   0.2447251E+002   0.1212119E+002
   0.3450848E+002   0.1701025E+002
   0.2070686E+002   0.9257950E+001
   0.9288145E+001   0.5723271E+001
   0.3388735E+001   0.1293612E+001
   0.1227242E+001  -0.3364000E+000
   0.7520758E+000  -0.3218302E+000
   0.1182188E+001   0.8147626E-001
   0.1535794E+001   0.7190088E-001
   0.7591980E+000   0.2707014E+000
   0.5673924E+000   0.3225648E+000
   0.1558315E+001   0.5053356E+000
   0.3044286E+001   0.9605660E-001
   0.5249103E+001   0.1057450E+000
   0.7810324E+001   0.1123797E+001
   0.1615077E+002   0.2824870E+001
   0.1921869E+002   0.3742677E+001
   0.9912189E+001   0.7122549E+001
   0.6890513E+000   0.1435796E+001
  -0.1306670E+001  -0.8759698E+000
  -0.7642191E+000  -0.9578871E+000
   0.2762923E+001  -0.1325595E+001
   0.2697770E+001  -0.1280407E+001
   0.4724628E+000  -0.1319190E+001
  -0.5878246E+001  -0.4871585E+001
  -0.1425415E+002  -0.2921816E+001
  -0.1978552E+002  -0.5949589E+000
  -0.2157586E+002   0.9534969E+000
  -0.2125472E+002   0.8749718E+000
  -0.1656154E+002  -0.2847787E+000
  -0.7796049E+001  -0.1277643E+001
  -0.8427906E+000  -0.1094091E+001
   0.1298271E+001   0.3104114E-001
   0.5747645E+000  -0.5906154E-001
  -0.1972487E+000  -0.1957807E+000
  -0.3135767E+001  -0.6794483E-001
  -0.9542466E+001  -0.1438140E+001
  -0.2098380E+002  -0.1124788E+002
  -0.2447630E+002  -0.1171994E+002
  -0.1190212E+002  -0.2550956E+001
   0.8791996E+001   0.1054370E+002
   0.1355612E+002   0.9277151E+001
   0.7554775E+001   0.4173963E+001
   0.3272281E+001   0.5589760E+000
   0.1718762E+001  -0.8143119E+000
   0.2834236E+000  -0.5800474E+000
  -0.4411511E-001  -0.7350141E+000
   0.7137535E+000   0.6383079E-002
   0.1411481E+001   0.8021256E-001
   0.8511503E+000   0.2042726E+000
   0.8943428E+000   0.2818899E+000
   0.1978014E+001   0.3050203E+000
   0.4140761E+001   0.2293850E+000
   0.6361589E+001   0.2767094E+000
   0.8768243E+001   0.1293501E+001
   0.1987505E+002   0.6367542E+001
   0.2566583E+002   0.6247949E+001
   0.1431713E+002   0.1034526E+002
   0.1037148E+000   0.1688066E+001
  -0.1960362E+001  -0.8786152E+000
  -0.1028335E+001  -0.6590917E+000
   0.1681002E+001   0.5456230E+000
   0.1410643E+001   0.5631129E+000
  -0.8087313E+000   0.5952957E+000
  -0.5176208E+001   0.4551529E-003
  -0.1252552E+002   0.7406596E+000
  -0.1638778E+002   0.2072402E+001
  -0.1197787E+002   0.1124998E+001
  -0.8995805E+001   0.1032274E+001
  -0.9229041E+001  -0.2258256E+000
  -0.6048962E+001  -0.1073543E+001
  -0.1059818E+001  -0.9749955E+000
   0.1416271E+001  -0.1859993E+000
   0.8937739E+000  -0.3344845E-001
  -0.3357620E-001  -0.8976313E-001
  -0.1689670E+001  -0.3846711E+000
  -0.4026268E+001  -0.4143920E+000
  -0.5401489E+001  -0.7281504E+000
  -0.6068120E+001   0.1940512E+000
  -0.4745964E+001   0.3600999E+001
   0.1847212E+001   0.4020941E+001
   0.3951428E+001   0.3221134E+001
   0.2012599E+001   0.1620345E+001
   0.9997509E+000  -0.1610283E+000
   0.6371287E+000  -0.1156766E+001
  -0.1304379E+001  -0.9896088E+000
  -0.1466875E+001  -0.1025402E+001
   0.1471254E-002  -0.3946700E+000
   0.8730354E+000   0.4105431E-001
   0.5920531E+000   0.8794676E-001
   0.6007864E+000   0.3114635E+000
   0.1486772E+001   0.3645073E+000
   0.4345571E+001   0.9154573E+000
   0.8879323E+001   0.1939856E+001
   0.1328477E+002   0.2723515E+001
   0.2906758E+002   0.8999681E+001
   0.2985302E+002   0.8963976E+001
   0.1539919E+002   0.1110085E+002
  -0.2547825E+000   0.1060175E+001
  -0.2104996E+001  -0.5319040E+000
  -0.1677468E+001  -0.4781206E+000
  -0.1680844E+000   0.6021622E+000
  -0.3505400E+000   0.8262848E+000
  -0.1837124E+001   0.7998423E+000
  -0.5209133E+001  -0.1834286E+000
  -0.1002613E+002  -0.7090988E+000
  -0.1099039E+002   0.1344908E+001
  -0.3856279E+001   0.2111992E+001
   0.6426649E+000   0.2625781E+001
  -0.2419702E+001   0.2397033E+001
  -0.2872788E+001   0.7210163E+000
  -0.3572544E+000   0.2240701E+000
   0.1697017E+001  -0.2726700E-001
   0.9506849E+000   0.1453555E+000
   0.2178633E+000  -0.1063842E+000
  -0.7318205E+000  -0.3656680E+000
  -0.2350193E+001  -0.2531091E+000
  -0.3070028E+001  -0.3390898E-002
  -0.2957698E+001  -0.2026583E-001
  -0.2375489E+001   0.6243343E+000
  -0.2913015E+000   0.3711733E+000
   0.9715042E+000   0.2924109E+000
   0.6845296E+000   0.1832308E+000
   0.4092517E+000  -0.2955527E-001
   0.8634301E-002  -0.1167078E+001
  -0.2332619E+001  -0.1409417E+001
  -0.2874253E+001  -0.1160952E+001
  -0.5621219E+000  -0.1067179E+001
   0.6107174E+000  -0.7597584E-001
   0.5535061E+000  -0.7376868E-002
   0.4027136E+000   0.7316480E-001
   0.8291828E+000   0.2614552E+000
   0.3650188E+001   0.1747149E+001
   0.1206061E+002   0.4261720E+001
   0.2699246E+002   0.8646252E+001
   0.4364122E+002   0.1465513E+002
   0.3401967E+002   0.1909150E+002
   0.1030170E+002   0.1004388E+002
  -0.3018144E+000   0.6894443E+000
  -0.1859087E+001  -0.4451584E-001
  -0.1719350E+001  -0.1554273E+000
  -0.1076357E+001   0.1252227E+000
  -0.8745565E+000   0.1651822E+000
  -0.1565803E+001  -0.9924662E-001
  -0.3967057E+001  -0.7791149E+000
  -0.5735899E+001  -0.8498023E+000
  -0.4372041E+001  -0.5498952E-001
  -0.1079934E+001   0.3738481E+001
   0.2234685E+001   0.2882802E+001
   0.8678039E+000   0.2011511E+001
  -0.9005355E+000   0.6075106E+000
   0.2473731E+000   0.5609598E+000
   0.1571159E+001   0.1892036E+000
   0.1125425E+001   0.1992785E+000
