  -0.97980    0.00000
  -0.93939    0.00000
  -0.89899    0.00018
  -0.85859    0.00054
  -0.81818    0.00236
  -0.77778    0.00647
  -0.73737    0.01608
  -0.69697    0.03772
  -0.65657    0.07084
  -0.61616    0.11949
  -0.57576    0.17885
  -0.53535    0.25350
  -0.49495    0.36290
  -0.45455    0.46819
  -0.41414    0.58140
  -0.37374    0.70645
  -0.33333    0.84480
  -0.29293    0.94834
  -0.25253    1.06276
  -0.21212    1.15518
  -0.17172    1.24282
  -0.13131    1.26929
  -0.09091    1.25702
  -0.05051    1.24288
  -0.01010    1.16999
   0.03030    1.11257
   0.07071    1.01447
   0.11111    0.93686
   0.15152    0.87007
   0.19192    0.78992
   0.23232    0.70978
   0.27273    0.64619
   0.31313    0.60146
   0.35354    0.53552
   0.39394    0.48475
   0.43434    0.43102
   0.47475    0.39620
   0.51515    0.35800
   0.55556    0.31037
   0.59596    0.29055
   0.63636    0.25350
   0.67677    0.22775
   0.71717    0.19608
   0.75758    0.17849
   0.79798    0.15510
   0.83838    0.14875
   0.87879    0.12802
   0.91919    0.10523
   0.95960    0.09677
   1.00000    0.08921
   1.04040    0.07501
   1.08081    0.07060
   1.12121    0.05996
   1.16162    0.05295
   1.20202    0.05047
   1.24242    0.04122
   1.28283    0.03772
   1.32323    0.03536
   1.36364    0.02931
   1.40404    0.02333
   1.44444    0.02236
   1.48485    0.01983
   1.52525    0.01759
   1.56566    0.01493
   1.60606    0.01578
   1.64646    0.01360
   1.68687    0.01167
   1.72727    0.00967
   1.76768    0.00804
   1.80808    0.00858
   1.84848    0.00749
   1.88889    0.00568
   1.92929    0.00429
   1.96970    0.00532
   2.01010    0.00423
   2.05051    0.00393
   2.09091    0.00326
   2.13131    0.00387
   2.17172    0.00296
   2.21212    0.00254
   2.25253    0.00248
   2.29293    0.00272
   2.33333    0.00224
   2.37374    0.00193
   2.41414    0.00127
   2.45455    0.00157
   2.49495    0.00109
   2.53535    0.00121
   2.57576    0.00127
   2.61616    0.00103
   2.65657    0.00085
   2.69697    0.00097
   2.73737    0.00079
   2.77778    0.00085
   2.81818    0.00054
   2.85859    0.00121
   2.89899    0.00042
   2.93939    0.00066
   2.97980    0.00073
