#dalpdx  dalpdy   dalpdz
  -0.2490031E+001   0.4669531E+000   0.1238881E-001
  -0.1127549E+001   0.2298631E+001  -0.1530671E+001
  -0.1672488E+001   0.2524155E+001  -0.9547964E+000
  -0.8621608E+000   0.6843036E-001  -0.1274094E+000
  -0.1639623E+001  -0.2718233E+001   0.4878446E+000
  -0.1732884E+001  -0.2970498E+001   0.7028246E+000
  -0.1521653E+001  -0.1182686E+001   0.8757843E+000
   0.8383809E+000   0.1939871E+000   0.9739435E+000
   0.7051876E+001   0.1150898E+001  -0.1876033E+000
   0.4683193E+001   0.3404239E+000  -0.3908567E+001
   0.6690238E+000  -0.1430914E+000  -0.8062663E+001
  -0.3827454E+001  -0.2192384E+001  -0.8311864E+001
  -0.3639242E+001  -0.8869908E+000  -0.6859954E+001
  -0.3655117E+000  -0.5529631E+000  -0.5236491E+001
   0.5172341E+000  -0.1374502E+001  -0.3332220E+001
   0.4128992E+000  -0.3134728E+001  -0.1024108E+001
  -0.1959025E+001  -0.3622098E+001   0.1477486E+001
  -0.3985837E+000  -0.4004452E+001   0.2345068E+001
  -0.1629638E+001  -0.4453078E+001   0.2200579E+001
  -0.2314082E+001  -0.2941513E+001   0.1276024E+001
  -0.1431043E+001  -0.8581761E+000   0.1944993E+000
  -0.5829357E+000  -0.2191147E+000  -0.7278481E-001
   0.5912321E+000  -0.9275171E+000  -0.2363569E+000
   0.1930378E+001  -0.2695377E+001  -0.8053821E+000
   0.2391395E+001  -0.2723591E+001  -0.8165804E+000
   0.1132116E+000  -0.4699442E+000  -0.1910536E+000
   0.9606209E-001   0.1470378E+001   0.4621216E+000
   0.5246337E+000   0.1522795E+001   0.1461567E+000
   0.1008893E+001   0.7186199E-001  -0.4209349E+000
  -0.5974821E-001  -0.1198428E+001  -0.1146816E+000
   0.2647506E+001  -0.1762686E+001  -0.8397328E+000
   0.1452530E+001  -0.2288215E+001  -0.1198193E+001
  -0.4981572E+000  -0.6517134E+000  -0.2805514E+001
  -0.1627536E+001   0.1931704E+001  -0.1180335E+001
   0.1624605E+001   0.2391127E+001  -0.1250457E+001
   0.5436172E+001   0.1074231E+001  -0.2359077E+001
   0.4191283E+001   0.9221423E-001  -0.1900851E+001
   0.8483962E-001   0.1657736E+000   0.5293817E+000
  -0.5255863E+001  -0.6695425E+000   0.3293236E+001
  -0.1668357E+001  -0.8250384E+000   0.1424675E+001
  -0.9633658E+000   0.1594848E+001   0.7265042E-001
  -0.3129944E+000   0.1340490E+001  -0.2208909E+001
  -0.2254499E+001   0.7865544E+000  -0.1924566E+001
  -0.2955283E+001  -0.4292807E+000  -0.1143970E+001
  -0.2646152E+001  -0.1285811E+001  -0.3803873E+000
  -0.6096709E+000  -0.4472489E+000  -0.1900789E+000
  -0.4029208E-002   0.8408256E+000   0.9420871E-001
   0.1420952E+001   0.1701888E+001   0.7684473E+000
   0.5474990E+001  -0.2876060E+000   0.4981834E+000
   0.4390676E+001  -0.1810126E+001  -0.2691935E+001
  -0.4428615E+000  -0.2187087E+001  -0.5917515E+001
  -0.1413913E+001   0.1327139E+001  -0.6137037E+001
  -0.2723959E+001   0.2809373E+001  -0.6404961E+001
  -0.2103154E+001   0.1556921E+001  -0.5895556E+001
  -0.2585991E+001  -0.2141389E+001  -0.3750787E+001
  -0.6106278E+000  -0.4034900E+001  -0.2504015E+000
   0.2273857E+000  -0.2565024E+001   0.5713954E+000
   0.1659932E+000  -0.1441944E+001   0.1348340E+000
  -0.7429639E+000  -0.9761691E+000  -0.8924843E-001
  -0.1397024E+001  -0.6255023E+000  -0.1078215E+000
