#dalpdx  dalpdy   dalpdz
   0.1213724E+002  -0.1076884E+002  -0.1067144E+002
  -0.2348577E+001  -0.4218730E+001  -0.6354851E+001
  -0.5336583E+001   0.2685804E+001  -0.3265074E+001
   0.8867083E+000  -0.4284750E+001  -0.9330716E+001
  -0.5626168E+001  -0.8469227E+001  -0.6038616E+001
  -0.4441112E+001  -0.4064787E+001  -0.2091657E+001
   0.9175030E+001  -0.2084363E+001  -0.4654876E+001
   0.4941521E-001  -0.5058500E+001  -0.4887408E+001
  -0.2428103E+001  -0.5748915E+001  -0.4464034E+001
  -0.6218594E+001  -0.4665059E+001  -0.2855131E+001
  -0.4020481E+001  -0.3877605E+001  -0.2067626E+001
  -0.4017628E+001  -0.4855053E+000  -0.2484535E+000
   0.2501055E+001   0.5146413E+000   0.6110148E+000
   0.2096257E+002   0.8428488E+001   0.7149423E+001
   0.2653070E+002   0.1937258E+002   0.1611994E+002
   0.6739245E+001   0.2105403E+002   0.1008351E+002
  -0.1510470E+002   0.1920705E+002  -0.1116428E+002
  -0.2116637E+002   0.1746984E+002  -0.1846231E+002
  -0.1481137E+002   0.1109670E+002  -0.1098015E+002
  -0.5122892E+001   0.5360523E+001  -0.5154525E+001
  -0.8460906E+000   0.1533361E+001  -0.1594152E+001
  -0.1762201E+000   0.4659111E+000  -0.4467807E+000
   0.4436367E+000   0.8112990E+000   0.4745179E-001
   0.2264705E+000   0.6844030E+000   0.1924668E+000
  -0.2719862E+000  -0.3156298E+000   0.2009633E+000
  -0.4531130E+000  -0.7409292E+000   0.8323844E+000
  -0.5162544E+000  -0.6550709E-001   0.2097901E+001
  -0.1146884E+000  -0.1281713E-002   0.1648313E+001
   0.2194508E+001   0.1144369E+001  -0.1400028E+000
   0.3512818E+001   0.2398309E+001  -0.1485215E+001
   0.3656215E+001   0.2985475E+001  -0.2982195E+001
  -0.1720614E+001   0.3394257E+001  -0.1634216E+001
  -0.3103803E+001   0.2222130E+001   0.7797464E-001
  -0.7744590E+000   0.2056032E+000   0.2499209E+000
   0.4209501E+000   0.8874737E+000   0.3172512E+000
  -0.5580196E+000   0.1812257E+001   0.6149430E-001
  -0.1965289E+001   0.2202071E+001  -0.3534771E+000
  -0.1210718E+001   0.1260797E+001  -0.3411568E+000
   0.1679675E+001  -0.4140935E+000  -0.2884522E+000
   0.1228168E+002  -0.7390695E+001  -0.4580808E+001
   0.1477576E+002   0.1022610E+001  -0.7620787E+001
   0.1090384E+002   0.9362075E+001  -0.2747001E+001
  -0.4390247E+001   0.1370022E+002   0.3705471E+001
  -0.8049529E+001   0.8311517E+001  -0.5348947E+000
  -0.8881042E+001   0.3736871E+001  -0.7327337E+000
  -0.2682089E+001   0.2185832E+001  -0.1369470E+001
   0.3626150E+001  -0.3690096E+001  -0.2935289E+001
   0.5560027E+001  -0.4218476E+001  -0.2809370E+001
   0.3164262E-001  -0.8593784E+000  -0.1891018E+001
  -0.9248461E+001   0.1675609E+001  -0.1127542E+001
  -0.2820367E+001  -0.1474841E+001  -0.1297443E+001
  -0.1383294E+001   0.1405425E+001   0.3329994E+000
