 # filt(alp*rho*Vry/tfpF)    filt(alp*rho*Vry)/filt(tfpF)
   0.3371671E+003   0.3654904E+003
   0.1545844E+003   0.1554812E+003
  -0.7425530E+001  -0.7386847E+001
  -0.1549702E+002  -0.1553139E+002
   0.4664633E+002   0.5107067E+002
   0.2059964E+003   0.2008240E+003
   0.2522899E+003   0.2544010E+003
   0.1510181E+003   0.1514375E+003
   0.1924599E+003   0.2075311E+003
   0.4561322E+003   0.4451113E+003
   0.6396710E+003   0.5622877E+003
   0.3089981E+003   0.2751969E+003
   0.4672792E+002   0.4633343E+002
  -0.5526668E+002  -0.5699428E+002
  -0.6428864E+002  -0.6643863E+002
  -0.4895893E+002  -0.4860769E+002
   0.1031550E+001   0.7522709E+000
  -0.3083994E+001  -0.2247350E+001
  -0.7820162E+001  -0.7556794E+001
   0.4114813E+002   0.4086718E+002
   0.8385641E+001   0.1058360E+002
  -0.1935656E+003  -0.1904636E+003
  -0.1909399E+003  -0.1923804E+003
  -0.1182383E+003  -0.1181830E+003
  -0.1046170E+003  -0.1049199E+003
   0.2416845E+002   0.2865011E+002
   0.5674243E+002   0.6187684E+002
   0.1128778E+003   0.1151123E+003
   0.1925609E+003   0.2016893E+003
   0.1795743E+003   0.1860879E+003
   0.6491747E+003   0.6174683E+003
   0.1200701E+004   0.1101235E+004
   0.1296918E+004   0.1198187E+004
   0.7757051E+003   0.8283158E+003
   0.4309041E+003   0.4315164E+003
   0.1737017E+003   0.1852541E+003
   0.5684970E+002   0.5853587E+002
   0.7950458E+002   0.8989526E+002
   0.1525305E+003   0.1752690E+003
   0.1929392E+003   0.2245702E+003
   0.5041493E+003   0.4998087E+003
   0.3213624E+003   0.3219560E+003
   0.9715187E+002   0.1009758E+003
   0.1176663E+003   0.1270018E+003
   0.2236304E+003   0.2261126E+003
   0.3073823E+003   0.3099280E+003
   0.2724169E+003   0.2689892E+003
   0.2871547E+003   0.3131517E+003
   0.4892811E+003   0.5064504E+003
   0.6162755E+003   0.5701562E+003
   0.1441168E+003   0.1537340E+003
   0.1857705E+002   0.1983778E+002
  -0.2478364E+002  -0.2408443E+002
  -0.8310773E+002  -0.8431153E+002
  -0.1586155E+003  -0.1671171E+003
  -0.1775447E+003  -0.1786135E+003
  -0.7544317E+002  -0.7555913E+002
  -0.6334936E+002  -0.6346538E+002
  -0.1035997E+003  -0.1076346E+003
  -0.3185725E+002  -0.3388110E+002
   0.1286541E+002   0.1603338E+002
  -0.3195101E+002  -0.2800655E+002
  -0.1165205E+003  -0.1154979E+003
  -0.1448920E+003  -0.1477652E+003
  -0.5941511E+002  -0.6150881E+002
   0.1963930E+003   0.2021546E+003
   0.5069583E+003   0.5190124E+003
   0.5873448E+003   0.6118651E+003
   0.7270881E+003   0.7348077E+003
   0.1378222E+004   0.1372620E+004
   0.2071835E+004   0.2011136E+004
   0.1912200E+004   0.1830404E+004
   0.1601894E+004   0.1464675E+004
   0.1468074E+004   0.1450500E+004
   0.9440105E+003   0.9446426E+003
   0.4037093E+003   0.4187952E+003
   0.2233542E+003   0.2307937E+003
   0.3771144E+003   0.3857882E+003
   0.4434744E+003   0.4397778E+003
   0.5139916E+003   0.5013075E+003
   0.3220596E+003   0.3531598E+003
   0.2851985E+003   0.2892545E+003
   0.2027011E+003   0.1999431E+003
   0.7281105E+002   0.7424500E+002
   0.7205027E+002   0.7517093E+002
   0.1591902E+003   0.1585318E+003
   0.2537145E+003   0.2575677E+003
   0.5165371E+003   0.4912622E+003
   0.5513874E+003   0.5198079E+003
   0.2030290E+003   0.2088584E+003
   0.3306828E+002   0.3527012E+002
  -0.3765928E+000   0.5391719E-001
  -0.5486525E+002  -0.6027573E+002
  -0.1617578E+003  -0.1927175E+003
  -0.2790538E+003  -0.3408293E+003
  -0.1886947E+003  -0.2327207E+003
  -0.6265745E+002  -0.6555434E+002
  -0.5320353E+002  -0.5367181E+002
  -0.5315282E+002  -0.5403910E+002
  -0.4544156E+002  -0.4525536E+002
  -0.7878479E+002  -0.7689028E+002
  -0.2300925E+003  -0.2221880E+003
  -0.4557315E+003  -0.4466875E+003
  -0.4974970E+003  -0.4960137E+003
  -0.3026422E+003  -0.3036993E+003
   0.1193018E+003   0.1278627E+003
   0.8435314E+003   0.8718166E+003
   0.1177638E+004   0.1210086E+004
   0.1217890E+004   0.1240761E+004
   0.1498280E+004   0.1500027E+004
   0.9067541E+003   0.8642553E+003
   0.5858112E+003   0.6194344E+003
   0.1012924E+004   0.9827726E+003
   0.9407419E+003   0.9317215E+003
   0.9493369E+003   0.9615606E+003
   0.6138715E+003   0.6259352E+003
   0.4155653E+003   0.4195869E+003
   0.3632860E+003   0.3702760E+003
   0.3254400E+003   0.3570398E+003
   0.3216185E+003   0.3532012E+003
   0.2838411E+003   0.3387634E+003
   0.1437394E+003   0.1430484E+003
   0.1477498E+003   0.1489750E+003
   0.2989017E+002   0.2927278E+002
  -0.1661320E+002  -0.2140146E+002
   0.5961798E+002   0.5800336E+002
   0.1114974E+003   0.1111967E+003
   0.8745351E+002   0.9377404E+002
   0.1673287E+003   0.1720464E+003
   0.9411890E+002   0.1102598E+003
   0.7698119E+001   0.7713063E+001
  -0.4837632E+001  -0.4668932E+001
  -0.2036342E+002  -0.2033916E+002
  -0.2878467E+002  -0.2905586E+002
  -0.2760060E+002  -0.2794727E+002
  -0.3726041E+002  -0.3746561E+002
  -0.5875199E+002  -0.5860176E+002
  -0.7298444E+002  -0.7251331E+002
  -0.7587892E+002  -0.7510812E+002
  -0.1036642E+003  -0.1027543E+003
  -0.2117166E+003  -0.2121058E+003
  -0.7098207E+003  -0.7592308E+003
  -0.1420669E+004  -0.1533785E+004
  -0.1313204E+004  -0.1391951E+004
  -0.3342976E+003  -0.4711942E+003
   0.1128522E+004   0.9747018E+003
