# ~alp d~p/dx   Phi_p_sgs,x
   0.4148986E+001  -0.2833658E+001
   0.2459996E+001   0.9881854E+000
   0.1149241E+001   0.7767330E+000
   0.7848047E-001   0.1693842E+000
  -0.1162338E+001  -0.3448163E+000
  -0.2301388E+001   0.4930977E-001
  -0.1048408E+001   0.2546685E+001
   0.2292474E+001   0.3794336E+001
   0.4339207E+001   0.3648599E+001
   0.8864218E+001   0.4280797E+001
   0.1365125E+002   0.6349611E+001
   0.1530187E+002   0.9209762E+001
   0.1347610E+002   0.7231173E+001
   0.1308538E+002   0.7045752E+001
   0.1057848E+002   0.6764256E+001
   0.5553595E+001   0.4395179E+001
   0.1717260E+001  -0.1486204E+000
  -0.1635339E+000  -0.2225251E+000
  -0.1251688E+001  -0.2946936E+000
  -0.2671172E+001  -0.6911632E+000
  -0.4776964E+001  -0.4144705E+000
  -0.6489359E+001  -0.4918172E+000
  -0.6568613E+001   0.5149533E+000
  -0.6178276E+001   0.2152681E+001
  -0.5655075E+001   0.3820731E+001
  -0.4185828E+001   0.5033385E+001
  -0.4243526E+001   0.2700795E+001
  -0.1018826E+002  -0.5842861E+001
  -0.1364155E+002  -0.1018126E+002
  -0.1331193E+002  -0.1305967E+002
  -0.1168838E+002  -0.1729574E+002
  -0.1179385E+002  -0.2235311E+002
  -0.1011642E+002  -0.2295791E+002
  -0.9307194E+001  -0.3074284E+002
  -0.8151877E+001  -0.3887429E+002
  -0.5390056E+001  -0.3807277E+002
  -0.6344270E+000  -0.3822615E+002
   0.5415478E+001  -0.3207037E+002
   0.8278122E+001  -0.2060848E+002
   0.7434525E+001  -0.5026654E+001
   0.3344292E+001  -0.2366485E+001
   0.2498177E+001   0.2852691E+001
   0.1538806E+001   0.3349238E+001
   0.3619635E+000   0.1947393E+001
   0.2765135E-001   0.2072751E+001
   0.4839439E+000   0.3635997E+001
   0.2068883E+001   0.4981295E+001
   0.4866705E+001   0.5526587E+001
   0.6742922E+001   0.5693018E+001
   0.1040712E+002   0.5502382E+001
   0.1314234E+002   0.6261913E+001
   0.1245567E+002   0.7271476E+001
   0.9837567E+001   0.4681208E+001
   0.9934248E+001   0.4169432E+001
   0.7802686E+001   0.4114294E+001
   0.3797005E+001   0.2190429E+001
   0.1475881E+001  -0.8094743E+000
   0.2157549E+000  -0.3697883E+000
  -0.5835390E+000  -0.3850778E+000
  -0.1154889E+001  -0.9934092E+000
  -0.2440521E+001  -0.9524166E+000
  -0.4271509E+001  -0.1481177E+001
  -0.5527884E+001  -0.1759634E+001
  -0.6617420E+001  -0.1380534E+001
  -0.6504707E+001   0.2939140E+000
  -0.5614161E+001   0.1402877E+001
  -0.5780453E+001  -0.8598100E+000
  -0.1161821E+002  -0.8277501E+001
  -0.1586756E+002  -0.1221573E+002
  -0.1653817E+002  -0.1567601E+002
  -0.1473092E+002  -0.2001437E+002
  -0.1331932E+002  -0.2506715E+002
  -0.1045523E+002  -0.2593651E+002
  -0.7757684E+001  -0.3264523E+002
  -0.5744607E+001  -0.3877857E+002
  -0.3545602E+001  -0.3704249E+002
  -0.6288195E+000  -0.3706306E+002
   0.4275317E+001  -0.3041500E+002
   0.7004715E+001  -0.1866073E+002
   0.6138000E+001  -0.3646425E+001
   0.2952080E+001  -0.6918551E+000
   0.3791732E+001   0.1161213E+002
   0.4121022E+001   0.1586571E+002
   0.3092979E+001   0.1548160E+002
   0.3547732E+001   0.1900361E+002
   0.5450002E+001   0.1966232E+002
   0.5966245E+001   0.1343081E+002
   0.6305706E+001   0.9495956E+001
   0.6305058E+001   0.1006164E+002
   0.9197950E+001   0.1003338E+002
   0.1129828E+002   0.9292317E+001
   0.9532037E+001   0.7810313E+001
   0.7294176E+001   0.5390327E+001
   0.7882802E+001   0.5095701E+001
   0.6320823E+001   0.4722155E+001
   0.2523890E+001   0.1430740E+001
   0.9633491E+000  -0.8367082E+000
   0.2505686E+000   0.6584483E-001
  -0.4298258E+000  -0.3242819E+000
  -0.4686595E+000  -0.1378015E+001
  -0.4988283E+000  -0.1293163E+001
  -0.1888331E+001  -0.2168020E+001
  -0.4438732E+001  -0.3729321E+001
  -0.7376486E+001  -0.4346576E+001
  -0.7583969E+001  -0.2616995E+001
  -0.7453093E+001  -0.1435968E+001
  -0.8090656E+001  -0.3260049E+001
  -0.1367407E+002  -0.1001509E+002
  -0.1694459E+002  -0.1244612E+002
  -0.1886210E+002  -0.1524936E+002
  -0.1718858E+002  -0.1857412E+002
  -0.1420050E+002  -0.2192676E+002
  -0.9324938E+001  -0.2087061E+002
  -0.5771558E+001  -0.2574330E+002
  -0.4098198E+001  -0.3089397E+002
  -0.2351501E+001  -0.2837242E+002
  -0.9311210E+000  -0.2968402E+002
   0.1742636E+001  -0.2365660E+002
   0.3761896E+001  -0.1523637E+002
   0.4216308E+001  -0.4479564E+001
   0.1688906E+001  -0.2755010E+001
   0.5553308E+001   0.1584095E+002
   0.8911679E+001   0.2410547E+002
   0.9372332E+001   0.2651953E+002
   0.1060777E+002   0.3326929E+002
   0.1294923E+002   0.3587007E+002
   0.1018972E+002   0.2308545E+002
   0.6185592E+001   0.1204492E+002
   0.4340033E+001   0.1181092E+002
   0.6138522E+001   0.1266324E+002
   0.7519152E+001   0.1048435E+002
   0.6354005E+001   0.8033554E+001
   0.5719741E+001   0.5637387E+001
   0.7934521E+001   0.5353369E+001
   0.6817382E+001   0.4534390E+001
   0.2518564E+001   0.1122596E+001
   0.5182579E+000  -0.4061945E+000
  -0.4791741E+000   0.3133331E+000
  -0.1466792E+001  -0.5450700E+000
  -0.8678699E+000  -0.1564951E+001
   0.2988497E+000  -0.1138703E+001
   0.3776999E+000  -0.1985439E+001
  -0.2327561E+001  -0.4452343E+001
  -0.6081514E+001  -0.5851573E+001
  -0.7313665E+001  -0.4632042E+001
  -0.8611200E+001  -0.3980836E+001
  -0.9825567E+001  -0.5599649E+001
  -0.1364585E+002  -0.1277038E+002
  -0.1544327E+002  -0.1489225E+002
  -0.1771188E+002  -0.1705063E+002
  -0.1632894E+002  -0.1918907E+002
  -0.1282290E+002  -0.2012889E+002
  -0.7710921E+001  -0.1277159E+002
  -0.3722188E+001  -0.9602985E+001
  -0.2455099E+001  -0.1547550E+002
  -0.1705491E+001  -0.1283566E+002
  -0.1352545E+001  -0.1423939E+002
  -0.1133179E+000  -0.1061446E+002
  -0.2494021E+000  -0.1380428E+002
   0.7207040E+000  -0.8735390E+001
  -0.3105326E+000  -0.2946882E+001
   0.6869233E+001   0.1628827E+002
   0.1369779E+002   0.2400433E+002
   0.1555197E+002   0.2482213E+002
   0.1790183E+002   0.3388424E+002
   0.1941325E+002   0.3842446E+002
   0.1310145E+002   0.2494307E+002
   0.5366377E+001   0.1169795E+002
   0.2580136E+001   0.1116900E+002
   0.3149646E+001   0.1192551E+002
   0.3422683E+001   0.8608152E+001
   0.3445057E+001   0.5978626E+001
   0.4326833E+001   0.4690382E+001
   0.7837574E+001   0.4711855E+001
   0.7395098E+001   0.3810098E+001
   0.3449662E+001   0.2184907E+001
   0.4414607E+000   0.1210365E+001
  -0.8045656E+000   0.1857458E+001
  -0.2303395E+001   0.9442327E+000
  -0.1624741E+001  -0.8254333E-001
   0.1448118E-001   0.7569924E+000
   0.1360558E+001   0.8671699E+000
  -0.1020751E+001  -0.3613516E+001
  -0.4883065E+001  -0.7689460E+001
  -0.6587354E+001  -0.7444760E+001
  -0.7818780E+001  -0.7614801E+001
  -0.8671575E+001  -0.8482188E+001
  -0.9564157E+001  -0.1501016E+002
  -0.9572245E+001  -0.1561500E+002
  -0.1121631E+002  -0.1761446E+002
  -0.1100800E+002  -0.1856691E+002
  -0.1007300E+002  -0.1903850E+002
  -0.7205652E+001  -0.1230039E+002
  -0.3914432E+001  -0.6448041E+001
  -0.1691556E+001  -0.2505844E+001
  -0.1417088E+001  -0.3332764E+001
  -0.1302360E+001  -0.3693779E+001
  -0.5515729E+000   0.1152145E+001
