#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.3774803E-001  -0.1311157E-001  -0.1311391E+000   0.2940841E-001  -0.2000390E-001   0.8369174E+000
   0.2420817E-001  -0.2157976E-002  -0.1040696E+000   0.2153149E-001  -0.4872253E-001   0.7828478E+000
   0.1650480E-001   0.8500899E-002  -0.4542539E-001   0.5046682E-001  -0.2109795E-001   0.5343745E+000
   0.2400781E-001   0.1797522E-001  -0.1210522E+000   0.5351168E-001  -0.1573417E+000   0.1049010E+001
   0.5111480E-001   0.2358238E-001  -0.1273702E+000   0.5085722E-001  -0.1275745E+000   0.7878708E+000
   0.5587597E-001  -0.1834828E-001  -0.9515839E-001   0.4501046E-001   0.4986228E-001   0.2887152E+000
   0.2101711E-001   0.7953666E-002  -0.3218017E-001   0.1729415E-001  -0.3914118E-001   0.2316656E+000
   0.2372004E-001   0.5064806E-002  -0.3619211E-002   0.1330634E-001   0.6199333E-002   0.5481453E-001
   0.2675071E-001   0.8359442E-003   0.1440186E-001   0.1079600E-001  -0.7968863E-002   0.5955401E-001
   0.3081560E-001   0.7427307E-002   0.4524534E-001   0.1686608E-001   0.7416411E-002   0.2178248E+000
   0.1458617E-001  -0.5252098E-002  -0.1197861E-001   0.1769768E-001   0.5981163E-001   0.5002118E+000
   0.7217742E-002  -0.4467767E-002  -0.2336724E-001   0.4768696E-002   0.1654357E-001   0.2413075E+000
   0.2150623E-002   0.3126671E-003  -0.9688248E-003   0.3482923E-002  -0.9134642E-002   0.8275488E-001
   0.8088044E-002  -0.2389049E-002   0.4201929E-002   0.1215284E-001  -0.4946918E-001   0.2506751E+000
   0.2339468E-001   0.1640972E-002   0.3802793E-001   0.3384339E-001   0.1314045E-001   0.4447609E+000
   0.4665624E-001  -0.4311032E-002  -0.6475201E-002   0.1833547E-001   0.2072509E-001   0.4105435E+000
   0.2237020E-001   0.5546185E-002  -0.2247220E-001   0.1145210E-001   0.9288709E-001   0.1495748E+001
   0.2025417E-001   0.1265039E-001   0.9059502E-001   0.5505345E-001   0.1963225E+000   0.1070589E+001
   0.1220792E-001   0.9281435E-002   0.5077743E-001   0.4361433E-001   0.1591767E+000   0.7208532E+000
   0.1579984E-001  -0.6995513E-002  -0.2389188E-001   0.1808974E-001   0.4895750E-001   0.2387384E+000
   0.8968354E-001   0.7840308E-001  -0.1302067E+000   0.1441231E+000  -0.1138332E+000   0.2917221E+000
   0.1953143E+000   0.9974337E-001  -0.2742248E+000   0.8779827E-001  -0.1654483E+000   0.4223335E+000
   0.5272335E-001   0.2275194E-001  -0.5982337E-001   0.4193960E-001  -0.3892313E-001   0.9253607E-001
   0.1966161E+000   0.1151497E+000  -0.3300566E+000   0.8716805E-001  -0.2040126E+000   0.5856775E+000
   0.1518128E+000   0.6022058E-001  -0.2593290E+000   0.3035231E-001  -0.1045657E+000   0.4626865E+000
