 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.6501136E+003   0.7326270E+003
   0.6903475E+003   0.7123093E+003
   0.7690524E+003   0.7574760E+003
   0.8805676E+003   0.8781041E+003
   0.9525989E+003   0.9552673E+003
   0.9778651E+003   0.9886301E+003
   0.9690800E+003   0.1018143E+004
   0.9205292E+003   0.9730945E+003
   0.8997263E+003   0.9547453E+003
   0.9078375E+003   0.1014844E+004
   0.9116771E+003   0.1037858E+004
   0.9471052E+003   0.1048036E+004
   0.1031477E+004   0.1092777E+004
   0.1103926E+004   0.1187323E+004
   0.1172224E+004   0.1172873E+004
   0.1231883E+004   0.1151026E+004
   0.1184471E+004   0.1005430E+004
   0.1066473E+004   0.8821754E+003
   0.9568242E+003   0.8835678E+003
   0.8301303E+003   0.8482630E+003
   0.7277203E+003   0.7568125E+003
   0.6721034E+003   0.7125044E+003
   0.6682186E+003   0.7020156E+003
   0.6811686E+003   0.7043337E+003
   0.7559615E+003   0.7769936E+003
   0.8099218E+003   0.8441866E+003
   0.8069193E+003   0.8518021E+003
   0.8391370E+003   0.8950902E+003
   0.8410896E+003   0.9020928E+003
   0.8461445E+003   0.8965737E+003
   0.8819816E+003   0.9073469E+003
   0.8602747E+003   0.8735154E+003
   0.8124487E+003   0.8460212E+003
   0.7561930E+003   0.8013489E+003
   0.7040120E+003   0.7404614E+003
   0.6715032E+003   0.7079921E+003
   0.6314349E+003   0.6624354E+003
   0.6109182E+003   0.6376384E+003
   0.5914340E+003   0.6587118E+003
   0.6053298E+003   0.6968058E+003
   0.6067943E+003   0.6974039E+003
   0.6311598E+003   0.6734510E+003
   0.6921118E+003   0.7081096E+003
   0.7947686E+003   0.8152648E+003
   0.8630511E+003   0.8725706E+003
   0.8854262E+003   0.8936576E+003
   0.8801561E+003   0.9098271E+003
   0.8485828E+003   0.8813680E+003
   0.8415932E+003   0.8836072E+003
   0.8539924E+003   0.9395069E+003
   0.8658801E+003   0.9645569E+003
   0.9183283E+003   0.1001738E+004
   0.1013239E+004   0.1052153E+004
   0.1084498E+004   0.1114630E+004
   0.1148479E+004   0.1074552E+004
   0.1206112E+004   0.1035870E+004
   0.1181540E+004   0.9652329E+003
   0.1129655E+004   0.9482380E+003
   0.1070911E+004   0.9817883E+003
   0.9820391E+003   0.9711146E+003
   0.8913502E+003   0.9008783E+003
   0.8140988E+003   0.8514486E+003
   0.7996973E+003   0.8434732E+003
   0.7858293E+003   0.8409944E+003
   0.8284453E+003   0.8926357E+003
   0.8736571E+003   0.9463631E+003
   0.8715008E+003   0.9603560E+003
   0.9275418E+003   0.1017155E+004
   0.9679438E+003   0.1053654E+004
   0.9889564E+003   0.1054190E+004
